date,open,high,low,close,volume,close_raw
2020-12-14,9.1466,9.2112,9.0819,9.116,7325960,28.2
2020-12-15,9.1142,9.1304,9.0173,9.0513,7305490,28
2020-12-16,9.0496,9.195,9.0496,9.1321,10461450,28.25
2020-12-17,9.0819,9.3243,9.0658,9.1483,13567290,28.3
2020-12-18,9.195,9.2597,9.1466,9.1806,11693630,28.4
2020-12-21,9.2112,9.4698,9.1627,9.3584,22481640,28.95
2020-12-22,9.3566,9.3728,9.2435,9.2938,7573290,28.75
2020-12-23,9.3082,9.3243,9.0496,9.0836,11216860,28.1
2020-12-24,9.0819,9.1466,8.5648,8.825,15831250,27.3
2020-12-25,8.8234,9.0496,8.791,9.0352,9194080,27.95
2020-12-28,9.1466,9.1466,8.9365,8.9867,6223680,27.8
2020-12-29,8.985,9.0334,8.9203,8.9543,6501920,27.7
2020-12-30,8.985,9.1142,8.9688,8.9867,6741290,27.8
2020-12-31,9.0173,9.1466,9.0011,9.0836,6774680,28.1
2021-01-04,9.2274,9.3243,9.2112,9.2614,10776300,28.65
2021-01-05,9.2435,9.5667,9.1466,9.4877,18693900,29.35
2021-01-06,9.599,9.8899,9.4698,9.6655,15883900,29.9
2021-01-07,9.6637,9.696,9.5667,9.6655,11636100,29.9
2021-01-08,9.6798,9.8253,9.6314,9.7625,15519300,30.2
2021-01-11,9.8576,9.9869,9.7445,9.811,9821800,30.35
2021-01-12,9.7768,9.793,9.6798,9.7302,9277600,30.1
2021-01-13,9.793,9.8091,9.599,9.6494,9915300,29.85
2021-01-14,9.6637,9.6637,9.4374,9.6494,8491200,29.85
2021-01-15,9.696,9.8253,9.6798,9.7787,8184100,30.25
2021-01-18,9.8091,9.8576,9.6637,9.6817,8419100,29.95
2021-01-19,9.6314,9.6637,9.0173,9.019,13077400,27.9
2021-01-20,9.0496,9.1466,8.5002,9.1483,12323000,28.3
2021-01-21,9.3082,9.4051,9.1627,9.3584,6535000,28.95
2021-01-22,9.3405,9.4051,9.2112,9.2614,5438100,28.65
2021-01-25,9.1466,9.2112,9.0658,9.0836,7683600,28.1
2021-01-26,9.0658,9.2597,8.888,8.9867,8096200,27.8
2021-01-27,8.985,9.1627,8.791,8.8897,6387700,27.5
2021-01-28,8.4032,8.6294,8.2739,8.2755,15154800,25.6
2021-01-29,7.9184,8.6941,7.9184,8.6634,7621200,26.8
2021-02-01,8.6618,8.8557,8.5002,8.6149,7528200,26.65
2021-02-02,8.6133,8.8557,8.5163,8.8412,6544600,27.35
2021-02-03,8.8395,9.1142,8.791,9.0836,7054500,28.1
2021-02-04,9.0819,9.1142,8.985,9.116,4250800,28.2
2021-02-05,9.1142,9.2597,9.0981,9.213,5610600,28.5
2021-02-08,8.888,9.292,8.791,8.8897,5755400,27.5
2021-02-09,8.888,9.2274,8.8234,9.2291,5954800,28.55
2021-02-17,9.3082,9.5344,9.2758,9.5039,6855800,29.4
2021-02-18,9.5021,9.5182,9.3082,9.4231,5547900,29.15
2021-02-19,9.3728,10.0677,9.3405,10.0534,31184200,31.1
2021-02-22,10.1808,10.407,10.0515,10.2151,12587300,31.6
2021-02-23,10.2939,10.4232,10.1646,10.2474,13951000,31.7
2021-02-24,10.2293,10.2939,10.0192,10.0858,18685200,31.2
2021-02-25,10.1808,10.4878,10.0515,10.4737,15014200,32.4
2021-02-26,10.3101,10.7787,10.3101,10.6838,13071400,33.05
2021-03-01,10.7949,10.811,10.6333,10.7484,8464900,33.25
2021-03-02,10.7949,10.811,10.601,10.6676,9574100,33
2021-03-03,10.6333,10.811,10.5686,10.7484,9072300,33.25
2021-03-04,10.7949,10.7949,10.3586,10.4737,9814000,32.4
2021-03-05,10.3747,10.5363,10.2131,10.4898,10157000,32.45
2021-03-08,10.504,10.5686,10.197,10.2797,16047000,31.8
2021-03-09,10.1808,10.4394,10.0515,10.3605,8819900,32.05
2021-03-10,10.3747,10.7302,10.3101,10.5868,12152700,32.75
2021-03-11,10.6656,10.6979,10.5848,10.6676,7124300,33
2021-03-12,10.6656,10.6818,10.5525,10.6515,5195500,32.95
2021-03-15,10.6656,10.9403,10.5363,10.8293,18052500,33.5
2021-03-16,10.7949,10.8918,10.6818,10.8131,6112900,33.45
2021-03-17,10.811,10.8434,10.7302,10.8293,6246400,33.5
2021-03-18,10.9565,11.0696,10.8272,10.9747,10281900,33.95
2021-03-19,10.9726,11.0534,10.8918,10.9262,7108900,33.8
2021-03-22,11.005,11.0211,10.7787,10.7969,8706000,33.4
2021-03-23,10.8434,10.8434,10.601,10.6676,10347000,33
2021-03-24,10.4717,10.5848,10.3586,10.4898,9941600,32.45
2021-03-25,10.4878,10.5363,10.3101,10.3605,8322000,32.05
2021-03-26,10.3424,10.4878,10.1323,10.4898,7931700,32.45
2021-03-29,10.6333,10.6979,10.4717,10.6676,6981300,33
2021-03-30,10.6979,10.8272,10.5848,10.7646,8053200,33.3
2021-03-31,10.8272,10.9242,10.7464,10.7646,4986100,33.3
2021-04-01,10.811,10.9403,10.7626,10.9424,10439300,33.85
2021-04-02,11.0534,11.312,10.9888,11.201,13979400,34.65
2021-04-05,11.409,11.409,11.1827,11.2333,7433500,34.75
2021-04-06,11.215,11.2958,11.0373,11.2333,7565000,34.75
2021-04-07,11.1504,11.215,11.0858,11.1202,6400900,34.4
2021-04-08,11.1019,11.215,11.0534,11.1202,4687900,34.4
2021-04-09,11.0858,11.1827,11.0534,11.1202,5401500,34.4
2021-04-12,11.1827,11.3766,11.1342,11.3626,12513500,35.15
2021-04-13,11.4251,11.4736,11.1181,11.1848,8736000,34.6
2021-04-14,11.0858,11.2312,11.0373,11.1848,5073300,34.6
2021-04-15,11.1989,11.215,10.9242,10.9424,9686700,33.85
2021-04-16,10.9242,11.005,10.5686,10.7,8403400,33.1
2021-04-19,10.8272,10.908,10.601,10.8939,4291900,33.7
2021-04-20,10.9888,11.1181,10.7302,10.8616,7166900,33.6
2021-04-22,10.7949,10.8595,10.504,10.506,7843500,32.5
2021-04-23,10.4717,10.811,10.3747,10.7969,6687700,33.4
2021-04-26,10.7949,10.7949,10.5363,10.7646,7119100,33.3
2021-04-27,10.6656,10.9888,10.5525,10.9909,6393000,34
2021-04-28,10.8272,11.0858,10.7949,10.9262,5675200,33.8
2021-04-29,10.9242,11.1989,10.8595,11.201,16646300,34.65
2021-05-04,10.9888,11.2312,10.8272,11.1364,9333200,34.45
2021-05-05,11.1827,11.5867,11.1827,11.4111,17558400,35.3
2021-05-06,11.409,11.4251,11.1989,11.2495,7783800,34.8
2021-05-07,11.1504,11.4413,11.1504,11.3788,12059100,35.2
2021-05-10,11.3766,11.7483,11.3766,11.7021,13491300,36.2
2021-05-11,11.7645,11.7645,11.5706,11.5728,9777000,35.8
2021-05-12,11.4898,11.6837,11.4413,11.6859,8991300,36.15
2021-05-13,11.5382,11.9422,11.5382,11.7021,11724300,36.2
2021-05-14,11.7645,11.8614,11.6514,11.7829,6118400,36.45
2021-05-17,11.9584,12.023,11.7806,11.8152,9278700,36.55
2021-05-18,11.8291,11.8291,11.6029,11.7182,7881100,36.25
2021-05-19,11.6998,11.8614,11.6029,11.8314,8143500,36.6
2021-05-20,11.8291,12.12,11.8291,12.09,12263200,37.4
2021-05-21,12.0877,12.3786,12.0554,12.1223,9146500,37.5
2021-05-24,12.2331,12.2331,12.0392,12.1223,7546600,37.5
2021-05-25,12.12,12.3624,12.0554,12.2839,8757400,38
2021-05-26,12.2978,12.4917,12.2978,12.4294,9976000,38.45
2021-05-27,12.4432,12.6533,12.2493,12.3486,9551700,38.2
2021-05-28,12.3462,12.5725,12.2978,12.5749,9416000,38.9
2021-05-31,12.7664,13.3966,12.6048,13.383,16030300,41.4
2021-06-01,13.736,13.8653,13.5744,13.6093,11159800,42.1
2021-06-02,13.7845,14.4147,13.736,14.4175,16009600,44.6
2021-06-03,14.9642,14.9642,14.4147,14.8377,12265700,45.9
2021-06-04,14.544,14.8349,14.544,14.6437,9488100,45.3
2021-06-07,14.5117,14.5117,13.6552,13.9002,18505000,43
2021-06-08,13.7522,14.0269,12.9926,12.9951,14322800,40.2
2021-06-09,12.9926,13.7683,12.928,13.7224,12565100,42.45
2021-06-10,13.938,14.2814,13.7764,13.779,14000300,34.1
2021-06-11,13.8976,14.1804,13.6552,14.0013,9532300,34.65
2021-06-14,13.9986,14.0996,13.6754,13.779,10946100,34.1
2021-06-15,13.7764,14.6248,13.534,14.2841,18178200,35.35
2021-06-16,14.2814,14.3218,13.938,14.0215,8211200,34.7
2021-06-17,13.736,14.14,13.6148,14.1023,6392600,34.9
2021-06-18,14.2208,14.342,14.0996,14.1427,9215200,35
2021-06-21,14.0996,14.2208,13.9986,14.0417,5447600,34.75
2021-06-22,14.2208,14.544,14.0794,14.4053,14872000,35.65
2021-06-23,14.5036,14.7056,14.4228,14.4659,10244600,35.8
2021-06-24,14.544,14.7258,14.3824,14.6276,11494200,36.2
2021-06-25,14.6248,14.7864,14.5642,14.6882,7934000,36.35
2021-06-28,14.8268,14.8672,14.6652,14.8296,7937700,36.7
