date,open,high,low,close,volume,close_raw
2020-12-14,37.1429,37.7015,37.0498,37.7029,70140,40.5
2020-12-15,37.1429,39.8425,37.1429,38.3081,141460,41.15
2020-12-16,39.0513,39.1909,38.3531,38.3546,77520,41.2
2020-12-17,38.3531,38.9116,37.7945,38.1684,64770,41
2020-12-18,38.1669,38.1669,37.236,38.0753,74280,40.9
2020-12-21,38.1669,39.0513,38.0273,38.0753,208290,40.9
2020-12-22,38.0738,38.0738,37.7015,38.0753,86580,40.9
2020-12-23,37.9807,40.7269,37.8876,39.8441,415660,42.8
2020-12-24,40.2149,41.4251,37.7015,39.5648,73930,42.5
2020-12-25,39.5633,39.8425,38.3065,39.4717,113980,42.4
2020-12-28,39.8425,39.8425,38.8185,38.9597,196300,41.85
2020-12-29,39.0978,39.0978,38.4462,38.727,77380,41.6
2020-12-30,38.3531,38.772,37.7945,38.3546,56330,41.2
2020-12-31,37.7015,38.6324,37.7015,38.3546,47260,41.2
2021-01-04,38.3531,40.9596,38.1204,40.0303,211900,43
2021-01-05,40.0287,40.1218,39.284,39.751,106000,42.7
2021-01-06,40.0287,41.9836,40.0287,41.5198,277300,44.6
2021-01-07,40.9596,41.4251,40.7734,40.9612,86300,44
2021-01-08,40.9596,43.7988,39.5633,43.8006,276300,47.05
2021-01-11,46.8243,46.8243,46.8243,46.8261,92300,50.3
2021-01-12,50.0824,50.0824,47.0105,48.5018,380100,52.1
2021-01-13,48.4999,49.8962,45.6141,47.5709,301800,51.1
2021-01-14,47.4759,48.4999,46.8243,48.4087,98400,52
2021-01-15,48.4999,48.593,46.4519,48.1294,150700,51.7
2021-01-18,48.4068,51.0133,48.4068,49.8982,129500,53.6
2021-01-19,51.665,51.665,46.4054,48.3156,169100,51.9
2021-01-20,46.4054,48.2206,44.9625,48.2225,129000,51.8
2021-01-21,48.4068,49.3377,46.545,49.3397,121100,53
2021-01-22,47.569,52.782,47.569,52.7841,383000,56.7
2021-01-25,55.7609,56.4125,53.9922,53.9943,388000,58
2021-01-26,53.9922,55.0162,51.1995,53.9012,185500,57.9
2021-01-27,53.8991,55.9471,52.1304,53.9943,205000,58
2021-01-28,50.2686,55.7609,50.2686,50.2706,446900,54
2021-01-29,46.8243,53.0613,46.8243,52.1325,91300,56
2021-02-01,48.8723,51.665,48.8723,50.2706,357200,54
2021-02-02,48.4068,51.1995,48.4068,51.2015,97100,55
2021-02-03,51.1995,53.0613,49.3377,52.5979,138800,56.5
2021-02-04,49.8032,52.1304,49.8032,52.1325,22300,56
2021-02-05,52.1304,54.9231,50.2686,54.646,178800,58.7
2021-02-08,54.6438,54.6438,50.8271,52.0394,84500,55.9
2021-02-09,52.0373,53.0613,49.9893,53.0634,36400,57
2021-02-17,53.0613,54.4577,52.1304,54.4598,55800,58.5
2021-02-18,54.9231,55.7609,53.5268,55.67,117000,59.8
2021-02-19,55.854,56.7849,54.9231,56.5079,91900,60.7
2021-02-22,56.7849,57.0642,56.3195,56.7872,95100,61
2021-02-23,56.6918,56.7849,54.9231,56.7872,49300,61
2021-02-24,56.7849,56.7849,54.4577,54.9253,37600,59
2021-02-25,54.4577,54.9231,53.9922,54.4598,57400,58.5
2021-02-26,53.0613,54.3646,52.5959,53.5289,39200,57.5
2021-03-01,53.5268,54.4577,53.4337,53.5289,59500,57.5
2021-03-02,53.5268,53.8991,53.4337,53.9012,30500,57.9
2021-03-03,53.3406,56.7849,53.1544,56.7872,113000,61
2021-03-04,56.7849,56.7849,54.4577,54.4598,26600,58.5
2021-03-05,54.1784,54.4577,53.0613,54.1805,15300,58.2
2021-03-08,56.2264,56.2264,53.0613,53.9943,45100,58
2021-03-09,53.9922,54.1784,53.806,53.9012,67400,57.9
2021-03-10,53.0613,54.83,53.0613,54.8322,7600,58.9
2021-03-11,54.83,55.2024,53.6198,54.9253,45700,59
2021-03-12,54.9231,54.9231,53.7129,53.7151,17900,57.7
2021-03-15,54.4577,54.4577,53.7129,54.2736,3100,58.3
2021-03-16,54.2715,54.2715,53.3406,53.3427,24000,57.3
2021-03-17,53.0613,53.9922,53.0613,53.5289,16900,57.5
2021-03-18,53.9922,53.9922,53.0613,53.9012,8100,57.9
2021-03-19,53.8991,53.8991,52.9682,53.9012,17300,57.9
2021-03-22,53.7129,53.806,51.665,53.8082,14400,57.8
2021-03-23,53.806,53.806,52.3166,53.4358,25300,57.4
2021-03-24,53.4337,53.4337,51.1995,51.2015,9000,55
2021-03-25,51.1995,52.5959,51.1995,51.9463,20100,55.8
2021-03-26,50.8271,53.0613,50.8271,53.0634,41300,57
2021-03-29,53.9922,53.9922,52.1304,53.5289,9000,57.5
2021-03-30,52.1304,53.806,52.1304,53.8082,19300,57.8
2021-03-31,53.806,53.806,52.3166,53.5289,2600,57.5
2021-04-01,53.9922,53.9922,53.4337,53.4358,75800,57.4
