date,open,high,low,close,volume,close_raw
2014-01-24,7.5297,7.7279,7.3316,7.4523,8417060,18.8
2014-01-27,7.4127,7.4523,7.1748,7.2938,3240910,18.4
2014-02-06,7.2145,7.2541,6.9766,6.9767,959590,17.6
2014-02-07,6.8974,6.937,6.5406,6.5803,2987600,16.6
2014-02-10,6.5406,6.8181,6.4217,6.7388,4052090,17
2014-02-11,6.8181,6.8181,6.6992,6.6992,1938480,16.9
2014-02-12,6.6578,6.6975,6.6182,6.6595,1176180,16.8
2014-02-13,6.6595,6.6992,6.5802,6.5803,2156140,16.6
2014-02-14,6.6578,6.7371,6.5786,6.6595,1489380,16.8
2014-02-17,6.6992,6.6992,6.5802,6.6199,1173560,16.7
2014-02-18,6.6199,6.6199,6.5802,6.5803,1861540,16.6
2014-02-19,6.6199,6.6595,6.5406,6.5803,2988120,16.6
2014-02-20,6.6199,6.8181,6.5802,6.6992,3243650,16.9
2014-02-21,6.6595,6.6595,6.6199,6.6199,903040,16.7
2014-02-24,6.6595,6.6595,6.5802,6.6199,833430,16.7
2014-02-25,6.5802,6.6199,6.5406,6.6199,1249150,16.7
2014-02-26,6.6199,6.6992,6.5802,6.6199,1399670,16.7
2014-02-27,6.6199,6.8974,6.6199,6.6992,3731900,16.9
2014-02-28,6.6595,6.7388,6.6595,6.7388,1154560,17
2014-03-03,6.6992,6.7388,6.6199,6.6199,954830,16.7
2014-03-04,6.5802,6.6199,6.5406,6.5803,1551740,16.6
2014-03-05,6.6199,6.6595,6.5802,6.5803,737090,16.6
2014-03-06,6.5802,6.6199,6.5406,6.5803,768340,16.6
2014-03-07,6.5802,6.6199,6.5802,6.5803,773450,16.6
2014-03-10,6.5802,6.6595,6.5802,6.6199,957770,16.7
2014-03-11,6.5802,6.6199,6.5802,6.5803,752790,16.6
2014-03-12,6.5802,6.6199,6.5406,6.5406,979430,16.5
2014-03-13,6.5802,6.5802,6.501,6.5406,806950,16.5
2014-03-14,6.5802,6.6199,6.501,6.5803,924510,16.6
2014-03-17,6.5802,6.6199,6.5406,6.5803,989350,16.6
2014-03-18,6.5786,6.6975,6.539,6.6595,2171570,16.8
2014-03-19,6.6992,6.8974,6.6992,6.8974,5624790,17.4
2014-03-20,6.937,7.1352,6.937,7.0163,3325420,17.7
2014-03-21,6.937,7.0559,6.937,6.937,1236010,17.5
2014-03-24,7.0163,7.1352,6.9766,6.9767,2498010,17.6
2014-03-25,7.0163,7.0163,6.8181,6.8181,2051430,17.2
2014-03-26,6.856,6.856,6.6182,6.6595,2030920,16.8
2014-03-27,6.6975,6.6975,6.6182,6.6595,1026180,16.8
2014-03-28,6.6595,6.7388,6.6595,6.7388,713160,17
2014-03-31,6.7767,6.7767,6.6578,6.6595,831760,16.8
2014-04-01,6.6992,6.6992,6.5802,6.6199,1701600,16.7
2014-04-02,6.6199,6.6595,6.5406,6.6199,1217110,16.7
2014-04-03,6.6182,6.6975,6.5786,6.6595,519700,16.8
2014-04-04,6.6992,6.6992,6.6199,6.6992,608360,16.9
2014-04-07,6.6578,6.6975,6.6182,6.6595,441790,16.8
2014-04-08,6.6595,6.6992,6.6199,6.6199,515610,16.7
2014-04-10,6.6199,6.6595,6.6199,6.6199,485550,16.7
2014-04-11,6.5802,6.6199,6.5406,6.5803,670380,16.6
2014-04-14,6.6199,6.6595,6.5802,6.6199,414100,16.7
2014-04-15,6.5802,6.6199,6.5406,6.5406,480360,16.5
2014-04-16,6.5406,6.5406,6.2631,6.3424,1065090,16
2014-04-17,6.3424,6.501,6.3424,6.3821,681040,16.1
2014-04-18,6.382,6.4217,6.3028,6.3028,763370,15.9
2014-04-21,6.3028,6.3028,6.1046,6.1442,565920,15.5
2014-04-22,6.103,6.2615,6.0634,6.2631,529160,15.8
2014-04-23,6.3012,6.3012,6.1823,6.2631,217960,15.8
2014-04-24,6.2235,6.3028,6.2235,6.3028,288090,15.9
2014-04-25,6.2235,6.3424,6.2235,6.2235,516240,15.7
2014-04-28,6.2235,6.2631,6.1838,6.2235,336220,15.7
2014-04-29,6.2219,6.2615,6.2219,6.2631,202970,15.8
