date,open,high,low,close,volume,close_raw
2018-03-01,29.2749,29.2749,27.3108,29.2768,14162900,31.3
2018-03-02,30.9584,31.6131,28.9943,29.2768,7695417,31.3
2018-03-05,30.8649,30.8649,28.9008,28.9962,4083263,31
2018-03-06,28.9943,29.462,28.059,28.9027,3132026,30.9
2018-03-07,28.7137,29.462,27.6849,27.9673,2770016,29.9
2018-03-08,28.3396,28.3396,26.1884,26.6578,2383360,28.5
2018-03-09,26.5625,28.2461,26.5625,27.1255,3008463,29
2018-03-12,27.5914,27.7784,26.1884,26.7514,1896730,28.6
2018-03-13,27.0302,27.0302,26.0013,26.1901,1469970,28
2018-03-14,26.1884,26.1884,24.1307,24.7871,5329546,26.5
2018-03-15,24.9725,26.0949,24.2243,25.2548,2586788,27
2018-03-16,25.3466,25.7208,25.066,25.2548,1213193,27
2018-03-19,25.3466,25.4402,24.2243,24.3194,2111480,26
2018-03-20,24.3178,25.9078,23.8502,25.5354,3150487,27.3
2018-03-21,25.7208,25.9078,25.4402,25.6289,1270380,27.4
2018-03-22,25.7208,25.8143,24.9725,25.1612,1199547,26.9
2018-03-23,24.879,24.879,23.9437,24.6,1506200,26.3
2018-03-26,24.5049,25.1596,24.2243,24.3194,916293,26
2018-03-27,24.3178,24.9725,24.3178,24.4129,1025820,26.1
2018-03-28,24.3178,24.4113,23.8502,24.0388,1111610,25.7
2018-03-29,24.1307,24.4113,23.8502,24.0388,729200,25.7
2018-03-30,24.0372,24.879,23.9437,24.8806,1105930,26.6
2018-04-02,24.879,25.4402,24.2243,24.6,1817678,26.3
2018-04-03,24.3178,24.7855,23.5696,23.7582,2182202,25.4
2018-04-04,23.8502,23.8502,22.9149,23.384,2114026,25
2018-04-05,23.3825,23.3825,22.5407,22.7293,1953982,24.3
2018-04-06,22.8213,23.3825,22.0731,22.3551,2342281,23.9
2018-04-09,22.4472,22.4472,21.6054,22.4487,1716271,24
2018-04-10,22.7278,22.7278,21.886,21.981,1104775,23.5
2018-04-11,22.3537,22.4472,21.6054,21.981,1116412,23.5
2018-04-12,21.9796,21.9796,21.3248,21.6069,1285128,23.1
2018-04-13,21.5119,21.9796,21.0443,21.4198,1111730,22.9
2018-04-16,21.4184,21.886,20.8572,21.5133,1530858,23
2018-04-17,21.3248,21.7925,21.3248,21.6069,855535,23.1
2018-04-18,21.6054,21.6054,20.9507,21.0456,582850,22.5
2018-04-19,20.8572,21.3248,19.8284,19.9232,1120801,21.3
2018-04-20,20.109,20.3895,19.7348,20.2038,819882,21.6
2018-04-23,20.3895,21.1378,20.109,20.3909,817609,21.8
2018-04-24,20.4831,20.8572,19.8284,19.9232,848301,21.3
2018-04-26,19.9219,20.109,18.1448,18.6137,1134250,19.9
2018-04-27,18.7995,18.9866,18.0513,18.8008,1036590,20.1
2018-05-02,18.5189,18.706,17.0225,17.1171,1161645,18.3
2018-05-03,17.0225,17.2095,16.6483,17.2107,1671160,18.4
2018-05-04,16.9289,17.7707,16.9289,17.3977,1330950,18.6
2018-05-07,17.3966,20.109,17.3966,19.6426,2086585,21
2018-05-08,19.8284,20.109,18.8931,18.9878,750400,20.3
2018-05-09,19.0801,19.1737,18.5189,18.8943,761030,20.2
