date,open,high,low,close,volume,close_raw
2006-12-18,56.05,56.05,40.5625,47.2179,40500,320
2006-12-19,45.725,48.5865,44.9875,45.0045,45100,305
2006-12-20,45.725,45.725,43.5125,43.529,19300,295
2006-12-21,39.825,39.825,39.3235,39.3384,12500,266.6
2006-12-22,35.4443,35.4443,35.4443,35.4577,1400,240.3
2006-12-25,31.9043,34.6625,31.9043,34.6756,81300,235
2006-12-26,31.919,34.6625,29.205,33.2001,20300,225
2006-12-27,34.6625,34.6625,31.7125,31.7245,45500,215
2006-12-28,32.45,32.45,31.7125,32.0196,47000,217
2006-12-29,32.0813,32.0813,30.975,31.7245,28900,215
2007-01-02,34.0725,34.0725,29.5,31.7245,29100,215
2007-01-03,32.45,32.45,31.7125,31.9753,31700,216.7
2007-01-04,32.0075,32.45,31.86,32.4623,38500,220
2007-01-05,35.341,35.341,33.63,34.9855,4700,237.1
2007-01-08,38.468,38.468,37.17,38.2612,31200,259.3
2007-01-09,34.4265,42.067,34.4265,42.0829,72200,285.2
2007-01-10,43.5125,45.2678,42.9963,43.529,87400,295
2007-01-11,44.25,47.2,44.25,47.2179,80300,320
2007-01-12,50.681,50.681,46.7575,47.9556,124000,325
2007-01-15,52.6575,52.6575,48.2325,48.6934,48200,330
2007-01-16,49.855,49.855,44.1025,45.7423,36000,310
2007-01-17,47.2,47.9375,44.25,45.7423,99700,310
2007-01-18,43.5125,46.7575,43.5125,46.7752,67200,317
2007-01-19,46.4625,47.2,45.8725,46.6276,86500,316
2007-01-22,50.15,51.5513,46.4625,48.6934,133700,330
2007-01-23,49.855,49.855,47.2148,48.6934,52900,330
2007-01-24,49.4125,49.56,48.6898,48.7082,29800,330.1
2007-01-25,48.5275,48.6898,47.9375,48.1032,55900,326
2007-01-26,46.8165,47.2,46.315,46.4948,30400,315.1
2007-01-29,45.725,48.2325,45.725,48.1032,68000,326
2007-01-30,48.675,50.8875,47.9375,49.4312,119700,335
2007-01-31,52.3625,54.929,49.855,54.9498,162800,372.4
2007-02-01,59,59,51.625,54.8908,35100,372
2007-02-02,54.575,57.525,54.575,56.0712,65900,380
2007-02-05,52.3625,55.165,50.1058,54.3005,14300,368
2007-02-06,53.1,53.8375,53.0853,53.6956,29600,363.9
2007-02-07,53.5425,54.28,53.5425,53.5628,46800,363
2007-02-08,53.5425,53.5425,48.4685,49.5788,45500,336
2007-02-09,49.4125,51.625,48.8225,49.5788,46100,336
2007-02-12,49.7075,52.51,48.675,52.3823,23000,355
2007-02-13,53.1,53.1,52.6575,52.825,8600,358
2007-02-14,53.1738,53.1738,51.7725,52.9725,18400,359
2007-02-15,53.1,58.2035,53.1,56.0565,25100,379.9
2007-02-26,59.7375,61.065,58.2625,61.0881,44100,414
2007-02-27,66.2275,66.2275,60.475,66.2526,54100,449
2007-02-28,67.1125,67.1125,63.13,64.1868,9900,435
2007-03-01,64.9,65.195,59.5015,64.0392,14700,434
2007-03-02,62.815,65.032,62.076,63.5953,33200,430
2007-03-05,63.554,66.3622,63.554,65.2221,37600,441
2007-03-06,66.51,67.3968,64.4408,64.9263,12000,439
2007-03-07,65.032,65.032,64.293,64.3348,24900,435
2007-03-08,63.554,65.771,63.554,63.8911,24600,432
2007-03-09,63.4062,65.032,63.4062,65.0594,36600,439.9
2007-03-12,64.8842,65.032,63.554,63.5953,17700,430
2007-03-13,63.8496,63.8496,60.8936,60.9331,37600,412
2007-03-14,62.076,62.076,55.9275,61.3768,81900,415
2007-03-15,61.337,61.337,51.1388,56.2005,39900,380
2007-03-16,60.6867,60.6867,54.686,59.8979,21900,405
2007-03-19,54.42,66.51,54.42,61.8205,33200,418
2007-03-20,64.293,64.293,57.642,60.4895,28700,409
2007-03-21,59.859,60.598,59.12,59.8979,46700,405
2007-03-22,59.12,60.0068,58.3958,59.0105,23300,399
2007-03-23,59.12,59.12,53.2819,58.3893,24800,394.8
2007-03-26,53.208,56.164,52.0847,52.1185,53600,352.4
2007-03-27,48.774,50.1042,47.5177,48.5099,45900,328
2007-03-28,45.818,52.6464,44.6356,52.651,27100,356
2007-03-29,53.208,53.208,51.4344,52.0594,45700,352
2007-03-30,54.3904,54.3904,49.513,49.6931,18600,336
2007-04-02,49.3652,50.1042,47.296,47.6225,45200,322
2007-04-03,47.4438,48.035,46.557,47.3267,18800,320
2007-04-04,48.3306,48.774,48.035,48.0662,13300,325
2007-04-05,48.6262,49.3652,47.8872,48.0662,16800,325
2007-04-06,48.4784,49.9564,47.7394,49.9888,38700,338
2007-04-09,49.9416,49.9416,48.774,48.8057,4600,330
2007-04-10,48.9218,49.513,48.774,49.1015,19000,332
2007-04-11,49.3652,49.3652,48.4932,48.5838,8400,328.5
2007-04-12,48.774,48.774,47.7394,47.8444,25800,323.5
2007-04-13,47.7394,47.8872,47.296,47.3267,27200,320
