date,open,high,low,close,volume,close_raw
2008-01-09,0.399,0.798,0.399,0.5639,11800,42.2
2008-01-10,0.5586,0.5586,0.5254,0.5332,1200,39.9
2008-01-11,0.532,0.532,0.532,0.5345,1300,40
2008-01-14,0.5307,0.5307,0.5307,0.5332,200,39.9
2008-01-15,0.532,0.532,0.532,0.5345,100,40
2008-01-16,0.4788,0.5586,0.4788,0.5613,9500,42
2008-01-17,0.4655,0.4788,0.4655,0.4677,3100,35
2008-01-18,0.4655,0.4655,0.4655,0.4677,3000,35
2008-01-21,0.4655,0.4655,0.419,0.4276,1700,32
2008-01-22,0.4389,0.4655,0.419,0.461,2900,34.5
2008-01-23,0.4269,0.4788,0.4256,0.4811,3200,36
2008-01-24,0.4522,0.4655,0.4522,0.4677,600,35
2008-01-25,0.4562,0.4655,0.4535,0.4557,2300,34.1
2008-01-28,0.4256,0.4256,0.4136,0.4209,900,31.5
2008-01-29,0.4269,0.4269,0.4256,0.4276,1200,32
2008-01-30,0.4682,0.4682,0.4522,0.4677,2200,35
2008-01-31,0.4655,0.4655,0.4655,0.4677,100,35
2008-02-01,0.4855,0.4855,0.4855,0.4878,100,36.5
2008-02-12,0.4456,0.4456,0.4456,0.4477,1000,33.5
2008-02-13,0.4057,0.4136,0.4057,0.4143,2600,31
2008-02-14,0.4495,0.4495,0.4495,0.4517,1800,33.8
2008-02-15,0.4921,0.4921,0.4389,0.441,1000,33
2008-02-18,0.4389,0.4575,0.4123,0.4597,1200,34.4
2008-02-19,0.4389,0.4389,0.4389,0.441,100,33
2008-02-20,0.4655,0.4655,0.4256,0.4276,600,32
2008-02-21,0.4123,0.4123,0.4123,0.4143,100,31
2008-02-22,0.4123,0.4123,0.4123,0.4143,100,31
2008-02-25,0.4522,0.4522,0.4256,0.4276,200,32
2008-02-29,0.399,0.399,0.399,0.4009,100,30
2008-03-03,0.399,0.399,0.399,0.4009,1000,30
2008-03-04,0.3857,0.3857,0.3857,0.3875,100,29
2008-03-06,0.4179,0.4247,0.4179,0.4262,6800,31
2008-03-07,0.4672,0.4672,0.4658,0.4688,9300,34.1
2008-03-10,0.5138,0.5138,0.5069,0.5086,2800,37
2008-03-12,0.4658,0.4658,0.459,0.4605,1400,33.5
2008-03-13,0.4521,0.4521,0.4151,0.4165,200,30.3
2008-03-14,0.4768,0.4768,0.3918,0.3932,2600,28.6
2008-03-17,0.3589,0.3589,0.3589,0.3602,1200,26.2
2008-03-18,0.3233,0.3233,0.3233,0.3244,2500,23.6
2008-03-19,0.3288,0.3288,0.2918,0.2928,1600,21.3
2008-03-20,0.3151,0.3151,0.2877,0.3093,1400,22.5
2008-03-21,0.3151,0.3151,0.2754,0.2763,2000,20.1
2008-03-24,0.2562,0.2562,0.2562,0.2571,1200,18.7
2008-03-25,0.2329,0.2329,0.2315,0.2323,2200,16.9
2008-03-26,0.2178,0.2178,0.2178,0.2186,200,15.9
2008-03-27,0.2219,0.2219,0.2219,0.2227,200,16.2
2008-03-28,0.2261,0.2261,0.2261,0.2268,400,16.5
2008-03-31,0.2302,0.2302,0.2302,0.2309,100,16.8
2008-04-01,0.2343,0.2343,0.2343,0.2351,300,17.1
2008-04-02,0.2384,0.2384,0.2384,0.2392,200,17.4
2008-04-03,0.2425,0.2425,0.2425,0.2433,100,17.7
2008-04-04,0.2466,0.2466,0.2466,0.2474,200,18
2008-04-07,0.2535,0.2535,0.2535,0.2543,100,18.5
2008-04-08,0.2603,0.2603,0.2603,0.2612,5700,19
2008-04-09,0.2535,0.2672,0.2535,0.2681,1500,19.5
2008-04-10,0.2726,0.2726,0.2726,0.2736,200,19.9
2008-04-11,0.2658,0.2658,0.2658,0.2667,100,19.4
2008-04-16,0.2644,0.2644,0.2589,0.2598,3800,18.9
2008-04-17,0.2672,0.2672,0.2672,0.2681,2200,19.5
2008-04-18,0.274,0.274,0.2726,0.2736,200,19.9
2008-04-21,0.2809,0.2809,0.2809,0.2818,100,20.5
2008-04-22,0.2877,0.2877,0.2877,0.2887,1500,21
2008-04-23,0.2795,0.2795,0.2795,0.2804,100,20.4
2008-04-28,0.2713,0.274,0.2713,0.2749,1600,20
2008-04-29,0.2685,0.2685,0.2685,0.2694,1000,19.6
2008-05-05,0.2617,0.2617,0.2617,0.2626,2000,19.1
2008-05-07,0.2548,0.2548,0.2548,0.2557,400,18.6
2008-05-08,0.248,0.248,0.248,0.2488,100,18.1
2008-05-09,0.2411,0.2411,0.2411,0.2419,200,17.6
2008-05-12,0.2343,0.2343,0.2343,0.2351,800,17.1
2008-05-13,0.2343,0.2343,0.2274,0.2282,900,16.6
2008-05-14,0.2356,0.2356,0.2356,0.2364,500,17.2
2008-05-15,0.2398,0.2411,0.2398,0.2419,1500,17.6
2008-05-16,0.248,0.248,0.248,0.2488,1200,18.1
2008-05-19,0.2425,0.248,0.2425,0.2488,700,18.1
2008-05-23,0.2398,0.2398,0.2398,0.2406,800,17.5
2008-05-29,0.2329,0.2329,0.2329,0.2337,1400,17
2008-05-30,0.2261,0.2261,0.2261,0.2268,100,16.5
2008-06-06,0.2206,0.2206,0.2206,0.2213,300,16.1
2008-06-09,0.2151,0.2151,0.2151,0.2158,100,15.7
2008-06-10,0.2096,0.2096,0.2096,0.2103,2800,15.3
2008-06-11,0.2151,0.2151,0.2151,0.2158,1400,15.7
2008-06-12,0.2165,0.2206,0.2165,0.2199,3600,16
2008-06-13,0.2206,0.2206,0.2206,0.2213,3300,16.1
2008-06-16,0.2178,0.2219,0.2178,0.2199,9600,16
2008-06-17,0.2261,0.2261,0.2261,0.2268,1800,16.5
2008-06-18,0.2302,0.2315,0.2261,0.2268,3300,16.5
2008-06-19,0.2233,0.2233,0.2233,0.2241,100,16.3
2008-06-20,0.2151,0.2151,0.2151,0.2158,200,15.7
2008-06-23,0.2069,0.211,0.2069,0.2117,1000,15.4
2008-06-24,0.2028,0.2028,0.2028,0.2035,2100,14.8
2008-06-25,0.1987,0.1987,0.1959,0.198,1700,14.4
2008-06-26,0.1904,0.2041,0.1904,0.198,3400,14.4
2008-06-27,0.1973,0.2,0.1973,0.2007,600,14.6
2008-06-30,0.1918,0.2041,0.1904,0.2048,6000,14.9
2008-07-01,0.1945,0.2069,0.1945,0.2076,600,15.1
2008-07-02,0.2137,0.2137,0.2137,0.2145,900,15.6
2008-07-03,0.2219,0.2219,0.2219,0.2227,100,16.2
2008-07-04,0.2302,0.2302,0.2302,0.2309,2100,16.8
2008-07-07,0.2384,0.2384,0.2288,0.2296,4000,16.7
2008-07-08,0.2274,0.2343,0.2274,0.2351,5600,17.1
2008-07-09,0.2398,0.2398,0.2329,0.2351,6700,17.1
2008-07-10,0.2452,0.2466,0.2384,0.2474,7500,18
2008-07-11,0.2535,0.2535,0.2521,0.2543,3300,18.5
2008-07-14,0.263,0.263,0.263,0.2639,3000,19.2
2008-07-15,0.2726,0.2726,0.2726,0.2736,3600,19.9
2008-07-16,0.2822,0.2822,0.2795,0.2832,7400,20.6
2008-07-17,0.2932,0.2932,0.2932,0.2942,8500,21.4
2008-07-18,0.3041,0.3041,0.2822,0.2832,3500,20.6
