date,open,high,low,close,volume,close_raw
2014-09-29,4.386,4.386,4.269,4.3866,2604800,15
2014-09-30,4.8246,4.8246,4.8246,4.8253,425690,16.5
2014-10-01,5.2924,5.2924,5.2924,5.2932,1125625,18.1
2014-10-02,5.8188,5.8188,5.3217,5.7903,1980565,19.8
2014-10-03,5.848,6.1112,5.6726,5.7903,770850,19.8
2014-10-06,5.7895,5.848,5.3217,5.3224,801205,18.2
2014-10-07,5.3217,5.5556,5.1755,5.3809,1044220,18.4
2014-10-08,5.4094,5.4971,5,5.0007,963660,17.1
2014-10-09,5,5.117,4.8538,4.8838,776090,16.7
2014-10-10,4.9123,4.9123,4.6199,4.6206,1184660,15.8
2014-10-13,4.6199,4.6199,4.503,4.5621,603690,15.6
2014-10-14,4.5614,4.7661,4.5322,4.6498,473790,15.9
2014-10-15,4.6492,4.6784,4.2106,4.5621,634900,15.6
2014-10-16,4.5614,4.6199,4.386,4.5036,614740,15.4
2014-10-17,4.503,4.6784,4.503,4.6791,500900,16
2014-10-20,4.7661,4.7661,4.5322,4.6498,349900,15.9
2014-10-21,4.5907,4.6492,4.5322,4.6206,122700,15.8
2014-10-22,4.5614,4.6492,4.5614,4.6498,250410,15.9
2014-10-23,4.6492,4.9708,4.5907,4.7375,487603,16.2
2014-10-24,4.6784,4.8831,4.6784,4.7668,232410,16.3
2014-10-27,4.7369,4.8538,4.6784,4.7375,303500,16.2
2014-10-28,4.7369,4.7661,4.6199,4.7375,213800,16.2
2014-10-29,4.7076,5,4.7076,4.8838,821900,16.7
2014-10-30,4.8831,5.0878,4.8538,4.913,633930,16.8
2014-10-31,4.9708,5,4.8831,4.9715,676620,17
2014-11-03,5,5.1755,5,5.0885,1342200,17.4
2014-11-04,5.117,5.117,5,5.0007,555815,17.1
2014-11-05,5,5.0293,4.8538,4.9422,806800,16.9
2014-11-06,4.9416,4.9708,4.8246,4.8253,644140,16.5
2014-11-07,4.8538,4.9123,4.8246,4.8838,713500,16.7
2014-11-10,4.9123,5.117,4.9123,5.0592,1300900,17.3
2014-11-11,5.0585,5.0878,4.9708,4.9715,879740,17
2014-11-12,4.9708,5.0293,4.9416,4.9715,1040350,17
2014-11-13,4.9708,4.9708,4.9123,4.9715,615420,17
2014-11-14,4.9708,5.117,4.9416,5.03,1872510,17.2
2014-11-17,5.0585,5.2924,5.0585,5.147,1343903,17.6
2014-11-18,5.2047,5.3217,5.1462,5.1762,2361540,17.7
2014-11-19,5.1755,5.1755,4.6784,4.7083,4022600,16.1
2014-11-20,4.7369,4.8831,4.7076,4.796,1315013,16.4
2014-11-21,5.2212,5.2212,5.1101,5.1474,1574400,13.9
2014-11-24,5.0731,5.0731,4.8139,4.8141,388000,13
2014-11-25,4.8139,4.925,4.7769,4.8141,401400,13
2014-11-26,4.7769,4.8139,4.4436,4.5549,815400,12.3
2014-11-27,4.5547,4.6288,4.4436,4.592,654900,12.4
2014-11-28,4.5917,4.8139,4.5917,4.703,758200,12.7
2014-12-01,4.7398,4.888,4.6658,4.666,544100,12.6
2014-12-02,4.6658,4.7769,4.6288,4.703,620700,12.7
2014-12-03,4.7028,4.7398,4.6658,4.7401,578200,12.8
2014-12-04,4.7398,4.7398,4.6658,4.666,586800,12.6
2014-12-05,4.6658,4.7398,4.6288,4.703,667300,12.7
2014-12-08,4.7028,4.7028,4.5917,4.703,650700,12.7
2014-12-09,4.6658,4.6658,4.3325,4.592,842030,12.4
2014-12-10,4.5177,4.6658,4.4436,4.666,645610,12.6
2014-12-11,4.6288,4.6658,4.5547,4.592,704900,12.4
2014-12-12,4.5177,4.5917,4.4436,4.4438,633400,12
2014-12-15,4.4806,4.5547,4.4066,4.4438,561400,12
2014-12-16,4.4436,4.5177,4.3325,4.3327,586100,11.7
2014-12-17,4.3695,4.4066,3.9622,4.1476,707500,11.2
2014-12-18,4.2585,4.2955,4.1474,4.2957,349610,11.6
