date,open,high,low,close,volume,close_raw
2009-07-16,7.472,8.406,7.472,7.4923,2401900,40.1
2009-07-17,7.2105,7.2852,7.1171,7.1186,1002480,38.1
2009-07-20,6.7622,6.7622,6.7622,6.7636,156560,36.2
2009-07-21,6.4259,6.6314,6.4259,6.5207,2133390,34.9
2009-07-22,6.6314,6.7061,6.538,6.6141,949090,35.4
2009-07-23,6.5754,6.9303,6.5754,6.9318,758310,37.1
2009-07-24,7.2665,7.2665,7.2665,7.2681,640060,38.9
2009-07-27,7.6214,7.6214,7.3786,7.6231,3264870,40.8
2009-07-28,7.6214,7.8082,7.416,7.4362,2008120,39.8
2009-07-29,7.472,7.5654,7.2105,7.212,1060730,38.6
2009-07-30,7.061,7.1918,6.9116,7.0812,830120,37.9
2009-07-31,7.1918,7.416,7.1731,7.4176,1807290,39.7
2009-08-03,7.472,7.6214,7.3786,7.4736,1203870,40
2009-08-04,7.6588,7.6588,7.472,7.5297,1428170,40.3
2009-08-05,7.4533,7.528,7.3973,7.4736,1130020,40
2009-08-06,7.472,7.528,7.3786,7.3802,1483460,39.5
2009-08-07,7.3786,7.4346,7.3226,7.3615,668260,39.4
2009-08-10,7.416,7.472,7.3786,7.4549,730910,39.9
2009-08-11,7.416,7.4533,7.3412,7.3615,557710,39.4
2009-08-12,7.4346,7.4533,7.3226,7.3241,1001200,39.2
2009-08-13,7.4346,7.4346,7.3226,7.3615,1161040,39.4
2009-08-14,7.3786,7.4533,7.3599,7.4176,878140,39.7
2009-08-17,7.472,7.5094,7.3786,7.3802,1534900,39.5
2009-08-18,7.2852,7.3786,7.2665,7.3054,778860,39.1
2009-08-19,7.3039,7.3599,7.2852,7.3054,713790,39.1
2009-08-20,7.2852,7.3039,7.2478,7.2494,867530,38.8
2009-08-21,7.3786,7.472,7.2852,7.3054,1127700,39.1
2009-08-24,7.2852,7.3412,7.2852,7.3054,684140,39.1
2009-08-25,7.2852,7.2852,7.2292,7.2494,715430,38.8
2009-08-26,7.2105,7.2478,7.2105,7.212,635150,38.6
2009-08-27,7.1918,7.2105,7.1544,7.1747,609730,38.4
2009-08-28,7.1918,7.2105,7.1731,7.212,928800,38.6
2009-08-31,7.3412,7.3599,7.1918,7.2681,763090,38.9
2009-09-01,7.2105,7.2478,7.1918,7.2307,628060,38.7
2009-09-03,7.1358,7.2478,7.1358,7.156,659050,38.3
2009-09-04,7.1358,7.2105,7.005,7.0065,683440,37.5
2009-09-07,6.7622,6.949,6.7248,6.8757,737000,36.8
2009-09-08,6.9116,7.005,6.9116,7.0065,477720,37.5
2009-09-09,7.061,7.061,6.9676,6.9691,324240,37.3
2009-09-10,6.9116,6.949,6.8556,6.8757,373890,36.8
2009-09-11,6.8742,6.9116,6.8369,6.8383,570170,36.6
2009-09-14,6.8369,6.8556,6.7995,6.801,598780,36.4
2009-09-15,6.7622,6.9116,6.7622,6.8197,776350,36.5
2009-09-16,7.0984,7.1544,7.0237,7.156,1260580,38.3
2009-09-17,7.2852,7.2852,7.061,7.0999,1075010,38
2009-09-18,6.9116,7.0984,6.9116,7.0999,876100,38
2009-09-21,7.0984,7.0984,7.061,7.0812,852040,37.9
2009-09-22,7.005,7.0424,6.9116,6.9878,702320,37.4
2009-09-23,7.0984,7.0984,6.9863,6.9878,885880,37.4
2009-09-24,6.9303,6.9676,6.9116,6.9131,444170,37
2009-09-25,6.8742,7.0984,6.8742,7.0439,608020,37.7
2009-09-28,7.0984,7.0984,6.9676,6.9691,469480,37.3
2009-09-29,6.9303,6.9676,6.8929,6.9131,484260,37
2009-09-30,6.8556,6.9116,6.8556,6.8757,449040,36.8
2009-10-01,6.8369,6.9116,6.7995,6.801,434790,36.4
2009-10-02,6.6501,6.7248,6.594,6.6328,592860,35.5
2009-10-05,6.6314,6.7248,6.594,6.6141,364210,35.4
2009-10-06,6.6314,6.6874,6.594,6.5955,309510,35.3
2009-10-07,6.594,6.6874,6.594,6.6141,245860,35.4
2009-10-08,6.6314,6.6314,6.594,6.6141,333010,35.4
2009-10-09,6.6314,6.6501,6.6127,6.6328,488560,35.5
2009-10-12,6.6501,6.6874,6.6314,6.6889,448330,35.8
2009-10-13,6.6874,6.7061,6.6501,6.6515,336930,35.6
2009-10-14,6.6314,6.949,6.6127,6.9505,929480,37.2
2009-10-15,7.1544,7.1731,6.9116,7.0065,1060150,37.5
2009-10-16,6.8369,6.949,6.8369,6.857,347270,36.7
2009-10-19,6.8742,6.8742,6.8182,6.857,454800,36.7
2009-10-20,6.8742,6.8742,6.8182,6.857,433970,36.7
2009-10-21,6.7622,6.7995,6.7435,6.7636,384800,36.2
2009-10-22,6.7622,6.8369,6.7622,6.8383,448640,36.6
2009-10-23,6.9116,7.1731,6.8556,6.9131,2529720,37
2009-10-26,6.9116,6.9863,6.8182,6.8197,322910,36.5
2009-10-27,6.7248,6.8182,6.6501,6.6889,470240,35.8
2009-10-28,6.7248,6.8182,6.6501,6.6702,428140,35.7
2009-10-29,6.538,6.6127,6.4633,6.4834,815460,34.7
2009-10-30,6.594,6.594,6.4446,6.502,523470,34.8
2009-11-02,6.2391,6.4259,6.1831,6.2031,641990,33.2
2009-11-03,6.1644,6.2018,5.9029,5.9041,606340,31.6
2009-11-04,5.8095,6.1644,5.8095,5.9602,466720,31.9
2009-11-05,6.071,6.2391,6.0523,6.2405,261170,33.4
2009-11-06,6.2578,6.3138,6.1644,6.1657,296090,33
2009-11-09,6.0336,6.127,5.8842,5.8855,291820,31.5
2009-11-10,5.8842,5.9029,5.6974,5.6986,242450,30.5
2009-11-11,5.6974,5.7908,5.6974,5.792,255010,31
2009-11-12,5.7908,5.9776,5.7908,5.9415,221650,31.8
2009-11-13,5.9402,5.9776,5.9216,5.9602,244650,31.9
2009-11-16,5.9589,5.9589,5.8655,5.8668,121650,31.4
2009-11-17,5.8655,5.8655,5.7534,5.7547,151170,30.8
2009-11-18,5.7534,5.7908,5.7348,5.7547,187600,30.8
2009-11-19,5.7161,5.7721,5.7161,5.736,234250,30.7
2009-11-20,5.7348,5.7721,5.6974,5.6986,129660,30.5
2009-11-23,5.6227,5.6414,5.4919,5.4931,201440,29.4
2009-11-24,5.4172,5.4732,5.2304,5.2315,260020,28
2009-11-25,5.0436,5.081,4.9689,4.9699,239410,26.6
2009-11-26,4.7447,4.8568,4.726,4.7271,505360,25.3
2009-11-27,4.5392,4.9502,4.5392,4.9513,257220,26.5
2009-11-30,5.1744,5.193,5.137,5.1942,367620,27.8
2009-12-01,5.4359,5.4359,5.4359,5.437,54280,29.1
2009-12-02,5.604,5.604,5.3612,5.3623,722530,28.7
2009-12-03,5.3425,5.4546,5.3425,5.4184,308130,29
2009-12-04,5.4172,5.4546,5.3612,5.3997,353490,28.9
2009-12-07,5.4172,5.4546,5.3985,5.4557,199070,29.2
2009-12-08,5.4546,5.4546,5.3798,5.437,302510,29.1
2009-12-09,5.2304,5.2678,5.1744,5.1755,341100,27.7
2009-12-10,5.3238,5.3238,5.1557,5.1755,116540,27.7
2009-12-11,5.0623,5.2304,4.9502,4.9699,305170,26.6
2009-12-14,5.193,5.2117,5.1557,5.2128,291760,27.9
