date,open,high,low,close,volume,close_raw
2019-07-26,5.3197,5.3429,5.1803,5.2161,284370,22.45
2019-07-29,5.2151,5.2732,5.2151,5.251,22550,22.6
2019-07-30,5.25,5.3429,5.25,5.3207,36260,22.9
2019-07-31,5.3081,5.3081,5.1803,5.2045,93350,22.4
2019-08-01,5.2384,5.3081,5.1803,5.2278,14620,22.5
2019-08-02,5.2268,5.2964,5.2268,5.2742,54670,22.7
2019-08-05,5.2732,5.3429,5.2268,5.2742,50460,22.7
2019-08-06,5.3197,5.3197,5.2035,5.2742,55170,22.7
2019-08-07,5.3197,5.2732,5.2035,5.2742,26850,22.7
2019-08-08,5.2732,5.2732,5.1571,5.1581,39450,22.2
2019-08-09,5.1803,5.1803,5.0409,5.0884,56030,21.9
2019-08-12,5.1106,5.2035,5.0874,5.0884,50760,21.9
2019-08-13,5.0874,5.2035,5.0874,5.1581,32910,22.2
2019-08-14,5.2035,5.4358,5.2035,5.3439,68020,23
2019-08-15,5.2268,5.3661,5.2268,5.3672,71240,23.1
2019-08-16,5.3894,5.4126,5.3429,5.3672,19230,23.1
2019-08-19,5.2616,5.3661,5.2616,5.3439,26380,23
2019-08-20,5.3429,5.3894,5.2732,5.2742,73250,22.7
2019-08-21,5.3894,5.3894,5.2732,5.2975,8840,22.8
2019-08-22,5.3429,5.5055,5.2732,5.4833,85010,23.6
2019-08-23,5.4591,5.4591,5.3777,5.4369,15210,23.4
2019-08-26,5.4358,5.5752,5.4242,5.4485,49210,23.45
2019-08-27,5.4474,5.5404,5.4242,5.5066,13150,23.7
2019-08-28,5.4358,5.5287,5.3894,5.4136,25220,23.3
2019-08-29,5.3429,5.3661,5.2268,5.2626,46510,22.65
2019-08-30,5.552,5.552,5.2268,5.3439,59550,23
2019-09-03,5.25,5.4126,5.1571,5.2278,42960,22.5
2019-09-04,5.25,5.401,5.1106,5.1116,182390,22
2019-09-05,5.1106,5.25,5.1106,5.251,6110,22.6
2019-09-06,5.1803,5.2732,5.1803,5.2742,37770,22.7
2019-09-09,5.2732,5.3429,5.2732,5.3439,71870,23
2019-09-10,5.3429,5.3429,5.25,5.2975,20080,22.8
2019-09-11,5.2268,5.2848,5.1687,5.2742,21890,22.7
2019-09-12,5.25,5.3429,5.25,5.3439,61150,23
2019-09-13,5.3429,5.3429,5.2732,5.3439,5110,23
2019-09-16,5.3429,5.3429,5.2616,5.3323,20210,22.95
2019-09-17,5.2732,5.3313,5.2732,5.2742,13750,22.7
2019-09-18,5.3197,5.3197,5.2268,5.2278,14310,22.5
2019-09-19,5.2268,5.25,5.2268,5.2278,25280,22.5
2019-09-20,5.25,5.2732,5.2268,5.2742,24590,22.7
2019-09-23,5.2268,5.2732,5.2268,5.2742,36410,22.7
2019-09-24,5.3313,5.5868,5.2964,5.4601,142770,23.5
2019-09-25,5.4591,5.4591,5.2732,5.3091,103910,22.85
2019-09-26,5.2732,5.3661,5.2035,5.2975,133910,22.8
2019-09-27,5.3429,5.3429,5.2035,5.2045,84090,22.4
2019-09-30,5.1571,5.3197,5.1571,5.2975,30470,22.8
2019-10-01,5.3197,5.3197,5.2151,5.2161,36390,22.45
2019-10-02,5.2151,5.3081,5.1803,5.2278,41640,22.5
2019-10-03,5.2268,5.2732,5.1803,5.2045,36280,22.4
2019-10-04,5.2035,5.2616,5.1803,5.2278,96460,22.5
2019-10-07,5.2268,5.3081,5.2035,5.2045,98180,22.4
2019-10-08,5.2616,5.3777,5.25,5.3439,113870,23
2019-10-09,5.3197,5.552,5.3197,5.553,161500,23.9
