date,open,high,low,close,volume,close_raw
2015-03-31,6.4818,6.6724,6.1958,6.4826,3855500,13.6
2015-04-01,6.4818,6.4341,6.0528,6.0536,2209490,12.7
2015-04-02,6.0528,6.2911,6.0528,6.2919,935310,13.2
2015-04-03,6.2911,6.3864,6.2435,6.3873,569350,13.4
2015-04-06,6.3388,6.6247,6.2911,6.5779,2636480,13.8
2015-04-07,6.6247,6.6724,6.5294,6.5779,1453580,13.8
2015-04-08,6.6247,6.6724,6.5294,6.5779,1311780,13.8
2015-04-09,6.5771,6.6247,6.4818,6.6256,1637810,13.9
2015-04-10,6.6247,6.6724,6.5771,6.5779,1644610,13.8
2015-04-13,6.5771,6.6247,6.5294,6.5303,682090,13.7
2015-04-14,6.5294,6.5294,6.4341,6.4349,865310,13.5
2015-04-15,6.4341,6.5294,6.3864,6.4826,641430,13.6
2015-04-16,6.5294,6.5294,6.4341,6.4349,910930,13.5
2015-04-17,6.4818,6.4818,6.4341,6.4826,539770,13.6
2015-04-20,6.4818,6.5294,6.4341,6.4826,683100,13.6
2015-04-21,6.3864,6.5294,6.3864,6.4349,659760,13.5
2015-04-22,6.3864,6.4818,6.3864,6.4349,681400,13.5
2015-04-23,6.4341,6.4818,6.3864,6.4349,238820,13.5
2015-04-24,6.3864,6.4341,6.3388,6.3873,265140,13.4
2015-04-27,6.4341,6.4341,6.2911,6.3873,215330,13.4
2015-05-04,6.3388,6.3388,6.1481,6.1489,678920,12.9
2015-05-05,6.1005,6.2435,6.0052,6.1489,244100,12.9
2015-05-06,6.1481,6.1958,6.1005,6.1489,356100,12.9
2015-05-07,6.1481,6.1958,6.1005,6.1489,463020,12.9
2015-05-08,6.1005,6.1958,6.1005,6.1966,273760,13
2015-05-11,6.1958,6.1958,6.1481,6.1489,162530,12.9
2015-05-12,6.1481,6.1958,6.1005,6.1489,870250,12.9
2015-05-13,6.1958,6.2435,6.1005,6.1966,531500,13
2015-05-14,6.1958,6.1958,6.1481,6.1489,287330,12.9
2015-05-15,6.1958,6.1958,6.1481,6.1489,435650,12.9
2015-05-18,6.1005,6.1481,6.0528,6.1489,733610,12.9
2015-05-19,6.1481,6.1481,6.1005,6.1489,782140,12.9
2015-05-20,6.1481,6.2435,6.1481,6.2443,759920,13.1
2015-05-21,6.2435,6.2435,6.1481,6.1966,696260,13
2015-05-22,6.1958,6.2435,6.1481,6.1966,1130330,13
2015-05-25,6.1958,6.1958,6.1481,6.1966,456140,13
2015-05-26,6.1958,6.1958,6.1481,6.1489,519830,12.9
2015-05-27,6.1481,6.1958,6.1005,6.1489,677060,12.9
2015-05-28,6.1481,6.1958,6.1481,6.1489,678810,12.9
2015-05-29,6.1005,6.2435,6.1005,6.1489,753100,12.9
2015-06-01,6.1005,6.1958,6.1005,6.1489,296930,12.9
2015-06-02,6.1481,6.1958,6.1005,6.1489,467000,12.9
2015-06-03,6.1481,6.1958,6.1005,6.1489,519090,12.9
2015-06-04,6.1481,6.1958,6.1005,6.1489,415990,12.9
2015-06-05,6.1481,6.1958,6.1005,6.1489,443250,12.9
2015-06-08,6.1958,6.5771,6.1958,6.3873,1700970,13.4
2015-06-09,6.3388,6.3864,6.2435,6.2919,239150,13.2
2015-06-10,6.2911,6.3864,6.2435,6.2919,156810,13.2
2015-06-11,6.2911,6.3388,6.2435,6.2919,971140,13.2
2015-06-12,6.2911,6.2911,6.1958,6.2443,410880,13.1
2015-06-15,6.1958,6.2911,6.1958,6.2919,830820,13.2
2015-06-16,6.2911,6.3388,6.2435,6.2443,588200,13.1
2015-06-17,6.2435,6.2911,6.2435,6.2443,390230,13.1
2015-06-18,6.2435,6.3864,6.2435,6.2919,554880,13.2
2015-06-19,6.2911,6.3388,6.2435,6.2919,489170,13.2
2015-06-22,6.2911,6.2911,6.2435,6.2919,128860,13.2
2015-06-23,6.2435,6.2435,6.1958,6.1966,194720,13
2015-06-24,6.1958,6.2435,6.1481,6.1966,385320,13
2015-06-25,6.1958,6.1958,6.1481,6.1489,728450,12.9
2015-06-26,6.1481,6.1958,6.1005,6.1013,464600,12.8
2015-06-29,6.1005,6.1958,6.1005,6.1966,211790,13
2015-06-30,6.1005,6.2435,6.1005,6.1966,810310,13
2015-07-01,6.1958,6.1958,6.1481,6.1966,267310,13
2015-07-02,6.1958,6.2911,6.1958,6.2919,490180,13.2
2015-07-03,6.2435,6.2911,6.2435,6.2919,415530,13.2
2015-07-06,6.2435,6.2911,6.2435,6.2443,415090,13.1
2015-07-07,6.2435,6.4818,6.1958,6.2919,1354390,13.2
2015-07-08,6.3388,6.3388,6.2435,6.2919,476340,13.2
2015-07-09,6.3388,6.3388,6.2435,6.2919,406640,13.2
2015-07-10,6.2435,6.2911,6.1958,6.1966,259290,13
2015-07-13,6.1958,6.3864,6.1958,6.2919,608440,13.2
2015-07-14,6.2911,6.3388,6.2435,6.2919,382180,13.2
2015-07-15,6.2911,6.4818,6.2435,6.3873,3658260,13.4
2015-07-16,6.3864,6.3864,6.2911,6.3396,352250,13.3
2015-07-17,6.2911,6.3864,6.2911,6.3873,341070,13.4
2015-07-20,6.2911,6.2911,6.1958,6.1966,1386220,13
2015-07-21,6.2435,6.2435,6.1958,6.1966,794360,13
2015-07-22,6.1481,6.1958,6.1481,6.1489,1037430,12.9
2015-07-23,6.1958,6.2435,6.1958,6.1966,333700,13
2015-07-24,6.1958,6.1958,6.1481,6.1489,425950,12.9
2015-07-27,6.1958,6.2435,6.1958,6.2443,347140,13.1
2015-07-28,6.2435,6.2435,6.1481,6.1489,469340,12.9
2015-07-29,6.1958,6.2435,6.1481,6.1489,368870,12.9
2015-07-30,6.1481,6.1958,6.1481,6.1966,367870,13
2015-07-31,6.1958,6.2435,6.1481,6.1489,328730,12.9
2015-08-03,6.1481,6.1481,6.1005,6.1489,353980,12.9
2015-08-04,6.1481,6.1481,6.1005,6.1013,232740,12.8
2015-08-05,6.2435,6.2435,6.1481,6.2443,568260,13.1
2015-08-06,6.2435,6.2435,6.1481,6.1489,169470,12.9
2015-08-07,6.1958,6.1958,6.1481,6.1489,185660,12.9
2015-08-10,6.1958,6.1958,6.1481,6.1966,261710,13
2015-08-11,6.1481,6.1958,6.1481,6.1966,144980,13
2015-08-12,6.1958,6.1958,6.1005,6.1489,333980,12.9
2015-08-13,6.1481,6.1481,6.0528,6.1489,685560,12.9
2015-08-14,6.1481,6.1481,6.1005,6.1013,231730,12.8
2015-08-17,6.1005,6.1481,6.0528,6.1489,561850,12.9
2015-08-18,6.1481,6.2435,6.1481,6.2443,680190,13.1
2015-08-19,6.2435,6.2435,6.1958,6.1966,350240,13
2015-08-20,6.1481,6.1958,6.1481,6.1966,297240,13
2015-08-21,6.1481,6.1958,6.0528,6.1013,997390,12.8
2015-08-24,6.0528,6.0528,5.7192,5.7199,1631450,12
2015-08-25,5.6239,6.1005,5.6239,6.1013,793330,12.8
2015-08-26,6.0528,6.1958,6.0528,6.1966,667450,13
2015-08-27,6.1958,6.2435,6.1481,6.1966,769820,13
2015-08-28,6.1481,6.1958,6.1005,6.1966,401670,13
2015-08-31,6.1958,6.2435,6.1005,6.1966,348480,13
2015-09-01,6.1481,6.1958,6.1481,6.1966,497960,13
2015-09-03,6.1481,6.1958,6.1481,6.1966,834490,13
2015-09-04,6.1958,6.1958,6.1481,6.1966,432180,13
2015-09-07,6.1958,6.1958,6.1481,6.1966,305180,13
2015-09-08,6.1958,6.1958,6.1481,6.1966,157060,13
2015-09-09,6.1958,6.1958,6.1481,6.1489,424820,12.9
2015-09-10,6.1481,6.4818,6.1481,6.2443,3402080,13.1
2015-09-11,6.2435,6.2435,6.1481,6.1489,764850,12.9
2015-09-14,6.1958,6.1958,6.1005,6.1489,276550,12.9
2015-09-15,6.1481,6.1481,6.0528,6.1013,386900,12.8
2015-09-16,6.1481,6.2435,6.1005,6.1013,948860,12.8
2015-09-17,6.1481,6.1481,6.1005,6.1013,269560,12.8
2015-09-18,6.1481,6.1481,6.1005,6.1013,779970,12.8
2015-09-21,6.1005,6.1481,6.1005,6.1013,195250,12.8
2015-09-22,6.1481,6.1481,6.1005,6.1489,385930,12.9
2015-09-23,6.1481,6.1481,6.0528,6.1489,320660,12.9
2015-09-24,6.1481,6.1481,6.1005,6.1013,311230,12.8
2015-09-25,6.1005,6.1481,6.1005,6.1489,185290,12.9
2015-09-28,6.1481,6.1481,6.1005,6.1013,484940,12.8
2015-09-29,6.1005,6.1481,6.0528,6.1489,512820,12.9
2015-09-30,6.1481,6.1958,6.1005,6.1966,611360,13
2015-10-01,6.1958,6.2435,6.1481,6.1489,975230,12.9
2015-10-02,6.1481,6.1481,6.1005,6.1489,629800,12.9
2015-10-05,6.1481,6.1481,6.1005,6.1489,216690,12.9
2015-10-06,6.1481,6.1481,6.1005,6.1013,344150,12.8
2015-10-07,6.1005,6.1481,6.0528,6.1013,476510,12.8
2015-10-08,6.1005,6.1481,6.1005,6.1013,234570,12.8
2015-10-09,6.1005,6.1481,6.1005,6.1489,265750,12.9
2015-10-12,6.1005,6.1481,6.0528,6.0536,840340,12.7
2015-10-13,6.1005,6.1481,6.1005,6.1013,412800,12.8
