date,open,high,low,close,volume,close_raw
2015-08-03,5.6048,5.6048,5.1528,5.2037,313220,57.5
2015-08-04,5.198,5.2432,4.8364,4.8417,9220,53.5
2015-08-05,4.972,4.972,4.7912,4.9774,19420,55
2015-08-06,4.8364,4.8364,4.6556,4.6607,23650,51.5
2015-08-07,4.3302,4.6556,4.3302,4.3349,23890,47.9
2015-08-10,4.3302,4.6104,4.3302,4.6154,11530,51
2015-08-11,4.6556,4.8364,4.3844,4.3892,22830,48.5
2015-08-12,4.3934,4.4748,4.2488,4.3439,25000,48
2015-08-13,4.3392,4.4296,4.1494,4.4254,14720,48.9
2015-08-14,4.294,4.4206,4.2759,4.4163,3570,48.8
2015-08-17,4.2126,4.3934,4.2126,4.3801,49820,48.4
2015-08-18,4.3302,4.3573,4.303,4.3439,47070,48
2015-08-19,4.3392,4.4206,4.3302,4.3801,25460,48.4
2015-08-20,4.3934,4.4296,4.2669,4.4344,102480,49
2015-08-21,4.4296,4.511,4.3573,4.4978,104370,49.7
2015-08-24,4.4025,4.4025,4.3211,4.4073,48760,48.7
2015-08-25,4.4477,4.4477,4.1584,4.3077,75340,47.6
2015-08-26,4.3663,4.3663,4.1584,4.3168,105380,47.7
2015-08-27,4.3121,4.3302,4.2307,4.2353,20510,46.8
2015-08-28,4.3302,4.3302,4.1855,4.1991,49470,46.4
2015-08-31,4.2578,4.2578,4.1584,4.2082,63050,46.5
2015-09-01,4.2488,4.2669,4.1765,4.2082,64670,46.5
2015-09-03,4.2217,4.2217,4.1222,4.1901,105250,46.3
2015-09-04,4.2126,4.2126,4.1222,4.1267,16340,45.6
2015-09-07,4.1313,4.1313,4.068,4.1267,82270,45.6
2015-09-08,4.0951,4.1132,4.068,4.0996,57180,45.3
2015-09-09,4.1132,4.1132,4.059,4.0634,59660,44.9
2015-09-10,4.068,4.068,4.0499,4.0634,60240,44.9
2015-09-11,4.059,4.068,4.0499,4.0634,17410,44.9
2015-09-14,4.059,4.1494,4.0499,4.0634,69820,44.9
2015-09-15,4.059,4.059,3.8872,4.0543,12800,44.8
2015-09-16,4.0138,4.059,4.0047,4.0272,71540,44.5
2015-09-17,4.0228,4.1855,4.0228,4.1539,43750,45.9
2015-09-18,4.1494,4.2488,4.1494,4.1901,44790,46.3
2015-09-21,4.1765,4.2217,4.1313,4.181,41170,46.2
2015-09-22,4.1765,4.2307,4.1584,4.2353,78730,46.8
2015-09-23,4.2307,4.2307,4.1946,4.2082,6260,46.5
2015-09-24,4.2307,4.2307,4.059,4.1901,47390,46.3
2015-09-25,4.1855,4.1855,4.1584,4.181,30020,46.2
2015-09-28,4.1674,4.1674,4.1494,4.1629,50280,46
2015-09-29,4.1584,4.1584,4.0861,4.1629,47480,46
2015-09-30,4.2307,4.2307,4.1584,4.2263,25130,46.7
2015-10-01,4.2307,4.294,4.2126,4.2625,34670,47.1
2015-10-02,4.294,4.52,4.294,4.4887,168090,49.6
2015-10-05,4.4838,4.6556,4.4748,4.5702,77660,50.5
2015-10-06,4.5652,4.746,4.52,4.5702,102720,50.5
2015-10-07,4.52,4.6556,4.4477,4.4706,49580,49.4
2015-10-08,4.511,4.5652,4.4929,4.5249,92140,50
2015-10-09,4.62,4.8,4.56,4.6582,80930,38.8
2015-10-12,4.788,4.788,4.416,4.4181,89850,36.8
2015-10-13,4.404,4.62,4.356,4.6222,100500,38.5
2015-10-14,4.596,4.668,4.56,4.5982,84390,38.3
2015-10-15,4.416,4.62,4.32,4.4301,61910,36.9
2015-10-16,4.428,4.5,4.224,4.4301,94770,36.9
2015-10-19,4.428,4.428,4.2,4.31,75400,35.9
2015-10-20,4.2,4.368,4.2,4.346,78030,36.2
2015-10-21,4.284,4.284,4.08,4.25,41820,35.4
2015-10-22,4.248,4.248,4.08,4.1179,80090,34.3
2015-10-23,4.116,4.116,3.852,4.1179,112570,34.3
2015-10-26,4.116,4.356,4.116,4.31,107010,35.9
2015-10-27,4.32,4.344,4.236,4.346,86810,36.2
2015-10-28,4.32,4.344,4.14,4.346,75340,36.2
2015-10-29,4.368,4.464,4.344,4.4661,43620,37.2
2015-10-30,4.548,4.764,4.512,4.6102,103510,38.4
2015-11-02,4.68,4.68,4.5,4.5021,31060,37.5
2015-11-03,4.524,4.608,4.44,4.5982,102100,38.3
2015-11-04,4.56,4.56,4.464,4.5021,57600,37.5
2015-11-05,4.476,4.488,4.38,4.4781,24620,37.3
2015-11-06,4.38,4.476,4.38,4.4781,4510,37.3
2015-11-09,4.5,4.5,4.368,4.4781,12130,37.3
2015-11-10,4.488,4.488,4.368,4.4661,8620,37.2
2015-11-11,4.38,4.38,4.2,4.202,24670,35
2015-11-12,4.32,4.368,4.2,4.31,39100,35.9
2015-11-13,4.26,4.296,4.2,4.298,55140,35.8
2015-11-16,4.308,4.308,4.284,4.298,20400,35.8
2015-11-17,4.2,4.272,4.14,4.202,62420,35
2015-11-18,4.284,4.284,4.2,4.262,83390,35.5
2015-11-19,4.2,4.2,4.14,4.1419,60970,34.5
2015-11-20,4.14,4.14,3.96,3.9619,59710,33
2015-11-23,4.068,4.068,3.96,4.0099,53810,33.4
2015-11-24,4.188,4.188,3.912,3.9979,16280,33.3
2015-11-25,3.996,4.02,3.852,3.9018,8900,32.5
2015-11-26,3.984,3.984,3.72,3.9378,7030,32.8
2015-11-27,3.912,3.96,3.78,3.9138,29260,32.6
2015-11-30,3.864,4.08,3.864,4.0699,71600,33.9
2015-12-01,4.02,4.02,3.984,3.9859,4980,33.2
2015-12-02,3.984,3.972,3.936,3.9499,32520,32.9
2015-12-03,3.912,3.912,3.9,3.9018,40900,32.5
2015-12-04,3.876,3.888,3.876,3.8898,5300,32.4
2015-12-07,4.068,4.116,3.996,3.9979,5890,33.3
2015-12-08,3.996,3.996,3.96,3.9859,170,33.2
2015-12-09,3.984,4.02,3.936,3.9619,60510,33
2015-12-10,4.08,4.08,3.912,3.9258,95800,32.7
2015-12-11,3.912,3.96,3.84,3.9258,79560,32.7
2015-12-14,3.9,3.9,3.72,3.8418,20020,32
2015-12-15,3.84,3.9,3.84,3.8898,5590,32.4
2015-12-16,3.888,3.96,3.744,3.9619,33930,33
2015-12-17,3.96,4.068,3.96,3.9619,39010,33
2015-12-18,3.816,3.96,3.816,3.9619,20,33
2015-12-21,3.888,3.9,3.888,3.9018,8330,32.5
2015-12-22,3.792,3.9,3.792,3.9018,930,32.5
2015-12-23,3.864,3.864,3.792,3.7938,5000,31.6
2015-12-24,3.828,3.948,3.816,3.9018,35230,32.5
2015-12-25,3.9,4.164,3.84,3.9018,47810,32.5
2015-12-28,3.84,3.84,3.804,3.8058,270,31.7
2015-12-29,3.828,3.828,3.816,3.8298,19930,31.9
2015-12-30,4.092,4.092,3.828,4.0939,110410,34.1
2015-12-31,4.176,4.176,3.984,3.9859,34990,33.2
2016-01-04,4.02,4.02,3.852,4.0219,1520,33.5
2016-01-06,3.936,3.948,3.912,3.9258,12610,32.7
2016-01-07,3.84,3.912,3.66,3.9018,7930,32.5
2016-01-08,3.888,3.888,3.72,3.8178,5210,31.8
2016-01-11,3.552,4.02,3.552,3.8418,18240,32
2016-01-12,3.72,3.9,3.72,3.9018,11280,32.5
2016-01-13,3.744,3.9,3.72,3.9018,950,32.5
2016-01-14,3.9,3.9,3.78,3.7818,2630,31.5
2016-01-15,3.636,3.84,3.636,3.8178,600,31.8
2016-01-18,3.612,3.816,3.6,3.8178,4630,31.8
2016-01-19,3.636,3.78,3.6,3.7818,3310,31.5
2016-01-20,3.528,3.78,3.528,3.7818,820,31.5
2016-01-21,3.6,3.756,3.6,3.7578,11740,31.3
2016-01-22,3.72,3.72,3.708,3.7097,2820,30.9
2016-01-25,3.6,3.96,3.6,3.9619,21430,33
2016-01-26,3.96,3.96,3.84,3.9378,19590,32.8
2016-01-27,3.924,3.924,3.84,3.9138,15600,32.6
2016-01-28,3.912,3.924,3.744,3.7458,27110,31.2
2016-01-29,3.72,3.84,3.72,3.7818,15040,31.5
2016-02-01,3.792,3.84,3.78,3.8418,2740,32
2016-02-02,3.72,3.84,3.72,3.8418,1050,32
2016-02-03,3.84,3.84,3.84,3.8418,10,32
2016-02-04,3.72,3.888,3.72,3.8898,1320,32.4
2016-02-05,3.84,3.888,3.72,3.8898,3320,32.4
2016-02-15,3.996,3.996,3.996,3.9979,10,33.3
2016-02-16,3.78,3.888,3.78,3.8418,1180,32
2016-02-17,3.84,3.84,3.816,3.8178,6440,31.8
2016-02-18,3.816,3.876,3.732,3.8778,9140,32.3
2016-02-19,3.888,3.888,3.78,3.8418,11270,32
2016-02-22,3.852,3.9,3.84,3.9018,9000,32.5
2016-02-23,3.948,3.948,3.792,3.9499,21820,32.9
2016-02-24,3.84,3.936,3.816,3.9378,32260,32.8
2016-02-25,3.8746,3.8746,3.8621,3.8748,1370,30.8
2016-02-26,3.8746,3.9501,3.7614,3.7616,2100,29.9
2016-02-29,3.7614,3.8872,3.7111,3.7616,14160,29.9
2016-03-01,3.8117,3.8243,3.6608,3.7616,15310,29.9
2016-03-02,3.7614,3.774,3.6734,3.7616,15640,29.9
2016-03-03,3.7488,3.7614,3.6734,3.749,15790,29.8
2016-03-04,3.6608,3.6608,3.5979,3.598,32870,28.6
2016-03-07,3.7614,3.774,3.6482,3.7616,79170,29.9
2016-03-08,3.7614,4.013,3.7614,4.0132,107790,31.9
2016-03-09,4.013,4.0256,3.7488,4.0132,38260,31.9
2016-03-10,3.7866,4.0256,3.7866,4.0258,21450,32
2016-03-11,4.0004,4.0004,3.774,3.7993,26210,30.2
2016-03-14,3.774,3.9627,3.623,3.7742,7690,30
2016-03-15,3.8872,3.8872,3.5853,3.6484,11980,29
2016-03-16,3.8746,3.8746,3.5224,3.5855,37290,28.5
2016-03-17,3.7111,3.7488,3.6482,3.7113,22830,29.5
2016-03-18,3.7363,3.7363,3.6482,3.7113,25090,29.5
2016-03-21,3.7111,3.7111,3.6734,3.7113,16080,29.5
2016-03-22,3.7111,3.7111,3.6482,3.6484,19470,29
2016-03-23,3.6734,3.6734,3.5853,3.6735,30880,29.2
2016-03-24,3.6985,3.6985,3.6734,3.6735,14390,29.2
2016-03-25,3.6985,3.7111,3.6734,3.6735,15650,29.2
2016-03-28,3.6734,3.6734,3.6482,3.6735,44950,29.2
2016-03-29,3.7111,3.7111,3.5979,3.6358,40130,28.9
2016-03-30,3.6859,3.6859,3.5853,3.6484,20930,29
2016-03-31,3.6356,3.6356,3.623,3.6232,16230,28.8
2016-04-01,3.5853,3.6356,3.5224,3.6358,11100,28.9
2016-04-04,3.6356,3.6356,3.6105,3.6232,23720,28.8
2016-04-05,3.623,3.623,3.6105,3.6232,23270,28.8
2016-04-06,3.623,3.623,3.623,3.6232,24070,28.8
2016-04-07,3.623,3.623,3.384,3.6232,42540,28.8
2016-04-08,3.5853,3.5853,3.5601,3.5603,29310,28.3
2016-04-11,3.5853,3.5853,3.535,3.5603,24600,28.3
2016-04-12,3.6356,3.6356,3.384,3.5477,1730,28.2
2016-04-13,3.5098,3.5224,3.4092,3.51,460,27.9
2016-04-14,3.384,3.384,3.3085,3.3339,11460,26.5
2016-04-15,3.2205,3.4092,3.2205,3.4093,11170,27.1
2016-04-19,3.3337,3.3966,3.3337,3.3968,40,27
2016-04-20,3.3966,3.4092,3.296,3.2961,5060,26.2
2016-04-21,3.384,3.384,3.3463,3.3464,22850,26.6
2016-04-22,3.3085,3.3589,3.2708,3.3464,23680,26.6
2016-04-25,3.3211,3.3337,3.3211,3.3339,3970,26.5
2016-04-26,3.3211,3.3211,3.2708,3.2835,1270,26.1
2016-04-27,3.2834,3.2834,3.2205,3.2709,2910,26
2016-04-28,3.2205,3.2582,3.1827,3.1955,11340,25.4
2016-04-29,3.0192,3.384,3.0192,3.3842,12160,26.9
2016-05-04,3.3714,3.3714,3.3085,3.3339,4650,26.5
2016-05-05,3.3337,3.3337,3.2834,3.2835,4320,26.1
2016-05-06,3.2834,3.3211,3.2708,3.2961,11960,26.2
2016-05-09,3.1576,3.2834,3.1576,3.2835,3680,26.1
2016-05-11,3.2708,3.2708,3.1576,3.2709,140,26
2016-05-12,3.1702,3.2708,3.145,3.2584,2320,25.9
2016-05-13,3.2456,3.2456,3.1576,3.2332,1400,25.7
2016-05-16,3.2331,3.2331,3.145,3.1577,3840,25.1
2016-05-17,3.145,3.145,3.0192,3.0319,8390,24.1
2016-05-18,3.0192,3.0192,2.8305,2.8306,5040,22.5
2016-05-19,3.0192,3.0192,2.9186,2.9564,1910,23.5
2016-05-23,2.8934,3.0444,2.8934,2.9564,1380,23.5
2016-05-24,2.8934,2.8934,2.8934,2.8935,1690,23
2016-05-25,2.9563,2.9563,2.8808,2.8935,120,23
2016-05-27,2.8934,2.8934,2.7173,2.8935,6360,23
2016-05-30,2.7173,2.755,2.7047,2.7048,5460,21.5
2016-05-31,2.7676,2.8934,2.5286,2.8935,33190,23
2016-06-01,3.0192,3.0444,2.9186,2.9564,1530,23.5
2016-06-02,2.9437,2.9437,2.8808,2.9061,1000,23.1
2016-06-03,2.8934,2.9689,2.8934,2.9564,3890,23.5
2016-06-06,2.9563,2.9563,2.8305,2.8432,5280,22.6
2016-06-07,2.9437,3.0318,2.8431,3.0193,6160,24
2016-06-08,3.0192,3.0192,2.8934,3.0193,12510,24
2016-06-09,2.9311,2.9563,2.8808,2.9313,16950,23.3
2016-06-10,2.9311,2.9437,2.8179,2.9313,4760,23.3
2016-06-13,2.9311,3.0444,2.8934,3.0445,1460,24.2
2016-06-14,3.0444,3.0695,3.0444,3.0445,6830,24.2
2016-06-15,2.9563,3.0444,2.8557,3.0193,12840,24
2016-06-16,2.9563,3.0318,2.9563,3.0319,1120,24.1
