date,open,high,low,close,volume,close_raw
2009-08-19,8.5008,8.5008,8.5008,8.5017,2100,66
2009-08-20,8.8872,8.8872,8.8872,8.8881,10,69
2009-08-21,9.2736,9.2736,9.2736,9.2745,20,72
2009-08-24,9.7244,9.7244,9.7244,9.7254,10,75.5
2009-08-25,10.1752,10.1752,10.1752,10.1762,20,79
2009-08-26,10.626,10.626,10.626,10.6271,3310,82.5
2009-08-27,11.1412,11.1412,11.1412,11.1423,381720,86.5
2009-08-28,11.6564,11.6564,11.6564,11.6576,309600,90.5
2009-08-31,12.236,12.236,12.236,12.2372,112000,95
2009-09-01,12.8156,12.8156,12.7512,12.8169,921830,99.5
2009-09-03,12.7512,13.2664,12.236,13.0101,331850,101
2009-09-04,13.0088,13.0088,12.3648,12.3661,506740,96
2009-09-07,12.3648,12.6224,12.1716,12.4949,405040,97
2009-09-08,12.88,12.88,12.558,12.6237,326720,98
2009-09-09,12.558,12.558,12.236,12.2372,513680,95
2009-09-10,12.1072,12.4936,12.0428,12.4305,693920,96.5
2009-09-11,12.9748,13.04,12.9096,13.043,422220,100
2009-09-14,13.692,13.692,13.692,13.6952,55900,105
2009-09-15,14.344,14.344,14.344,14.3473,271220,110
2009-09-16,14.996,14.996,14.4744,14.9995,1262020,115
2009-09-17,15.2568,15.3872,14.344,15.1299,733950,116
2009-09-18,15.1264,15.7784,15.1264,15.7821,618210,121
2009-09-21,16.5608,16.5608,16.5608,16.5647,315910,127
2009-09-22,17.3432,17.3432,17.3432,17.3472,72040,133
2009-09-23,18.1256,18.1256,18.1256,18.1298,98680,139
2009-09-24,18.3864,18.908,18.256,18.9124,1795070,145
2009-09-25,19.2992,19.8208,18.908,19.0428,651310,146
2009-09-28,19.0384,19.0384,18.1256,18.2603,526570,140
2009-09-29,18.256,18.7776,17.604,17.9994,633580,138
2009-09-30,17.7344,17.9952,17.2128,17.2168,762150,132
2009-10-01,17.2128,17.4736,16.4304,16.4342,932980,126
2009-10-02,15.7784,16.3,15.648,15.6516,718960,120
2009-10-05,15.9088,16.4304,15.5176,16.4342,1367350,126
2009-10-06,16.8216,16.952,16.4304,16.4342,720350,126
2009-10-07,16.5608,16.952,16.3,16.3038,687880,125
2009-10-08,16.3,16.3,15.9088,15.9125,835270,122
2009-10-09,16.5608,16.6912,16.4304,16.6951,1874400,128
2009-10-12,17.4736,17.4736,17.4736,17.4777,302880,134
2009-10-13,17.4736,18.1256,17.0824,17.3472,914910,133
2009-10-14,17.0824,17.3432,16.8216,17.3472,878260,133
2009-10-15,18.1256,18.1256,17.8648,18.1298,1794380,139
2009-10-16,18.1256,18.3864,17.4736,17.4777,888180,134
2009-10-19,17.4736,17.604,16.8216,17.0864,778790,131
2009-10-20,17.3432,17.4736,17.0824,17.4777,843690,134
2009-10-21,17.2128,17.3432,16.952,17.0864,388920,131
2009-10-22,17.0824,17.0824,16.6912,16.6951,531110,128
2009-10-23,16.6912,17.0824,15.9088,15.9125,777980,122
2009-10-26,16.4304,16.6912,15.648,15.9125,814680,122
2009-10-27,15.7784,16.5608,15.7784,16.5647,826690,127
2009-10-28,16.8216,16.8216,16.3,16.4342,303620,126
2009-10-29,16.0392,16.1696,15.648,15.7821,522450,121
2009-10-30,16.1696,16.3,15.7784,16.0429,346340,123
2009-11-02,15.5176,15.9088,15.2568,15.2604,507990,117
2009-11-03,14.996,15.2568,14.6048,14.6082,842190,112
2009-11-04,14.7352,15.1264,14.344,14.3473,463830,110
2009-11-05,14.6048,14.996,14.344,14.9995,351800,115
2009-11-06,15.648,15.648,15.2568,15.3908,728260,118
2009-11-09,14.996,15.2568,14.7352,14.7386,426650,113
2009-11-10,14.6048,14.8656,14.0832,14.0865,559920,108
2009-11-11,14.344,14.7352,14.0832,14.7386,284120,113
2009-11-12,14.7352,15.3872,14.7352,14.9995,402890,115
2009-11-13,14.8656,15.3872,14.8656,15.1299,367210,116
2009-11-16,15.1264,15.2568,14.7352,14.7386,410310,113
2009-11-17,14.7352,15.3872,14.2136,15.3908,1044500,118
2009-11-18,15.9088,16.0392,15.3872,16.0429,1227740,123
2009-11-19,16.0392,16.3,15.5176,15.5212,692040,119
2009-11-20,15.3872,16.0392,15.2568,15.3908,1279060,118
2009-11-23,15.3872,15.5176,14.7352,14.7386,678470,113
2009-11-24,14.6048,14.8656,14.2136,14.3473,839030,110
2009-11-25,14.2136,14.2136,13.692,13.6952,1414730,105
2009-11-26,13.04,13.1704,13.04,13.043,441840,100
2009-11-27,12.388,13.692,12.388,13.5648,1155690,104
2009-11-30,13.3008,13.692,13.04,13.1735,369050,101
2009-12-01,13.04,13.4312,13.04,13.1735,717830,101
2009-12-02,13.1704,13.5616,12.9096,12.9126,1035480,99
2009-12-03,12.8444,13.04,12.388,12.8474,410140,98.5
2009-12-04,13.04,13.4312,12.9748,13.4343,527530,103
2009-12-07,13.5616,13.692,13.3008,13.6952,314770,105
2009-12-08,13.692,13.8224,13.3008,13.5648,830980,104
2009-12-09,13.1704,13.3008,12.9096,12.9126,469920,99
2009-12-10,13.04,13.04,12.6488,12.6517,289670,97
2009-12-11,12.388,12.7792,12.062,12.0648,416920,92.5
2009-12-14,12.5184,12.6488,12.1272,12.6517,411570,97
2009-12-15,12.8444,12.9748,12.6488,12.6517,240430,97
2009-12-16,12.5184,12.5184,12.062,12.0648,296880,92.5
2009-12-17,11.736,11.8012,11.4752,11.5431,799590,88.5
2009-12-18,11.8664,12.062,11.8012,12.0648,510080,92.5
2009-12-21,12.5836,12.6488,12.388,12.6517,445190,97
2009-12-22,13.1911,13.1911,13.1911,13.1949,61810,69.5
2009-12-23,13.286,13.7605,13.286,13.5746,1219550,71.5
2009-12-24,13.5707,13.5707,13.0013,13.4797,468900,71
2009-12-25,13.7605,14.1401,13.5707,13.8594,484290,73
2009-12-28,13.8554,14.1401,13.4758,13.6696,499500,72
2009-12-29,13.8554,14.3299,13.7605,14.3341,1158880,75.5
2009-12-30,14.3299,14.6146,14.1401,14.5239,600230,76.5
2009-12-31,14.8993,14.8993,14.3299,14.3341,731450,75.5
2010-01-04,14.6146,14.9942,14.5197,14.9985,405020,79
2010-01-05,15.6585,15.6585,15.3738,15.663,1129250,82.5
2010-01-06,15.6585,15.9432,15.2789,15.663,930340,82.5
2010-01-07,15.5636,15.7534,15.184,15.2833,631690,80.5
2010-01-08,15.6585,15.7534,14.8993,14.9036,850510,78.5
2010-01-11,14.8044,14.9942,14.4248,14.5239,260140,76.5
2010-01-12,14.4248,14.6146,13.9503,13.9543,576290,73.5
2010-01-13,13.9503,14.5197,13.4758,14.429,612760,76
2010-01-14,14.6146,14.8044,14.4248,14.6188,261710,77
2010-01-15,14.5197,14.7095,14.235,14.429,268010,76
2010-01-18,13.9503,14.0452,13.7605,13.7645,504790,72.5
2010-01-19,13.8554,13.9503,13.6656,13.7645,319620,72.5
2010-01-20,14.0452,14.0452,13.286,13.3848,319560,70.5
2010-01-21,13.3809,13.4758,12.9064,13.1,438440,69
2010-01-22,13.0013,13.1911,12.9064,13.0051,292340,68.5
2010-01-25,12.9064,13.1911,12.9064,13.1,122370,69
2010-01-26,13.4758,13.6656,13.4758,13.6696,255400,72
2010-01-27,13.8554,14.0452,13.5707,13.5746,309610,71.5
2010-01-28,13.4758,13.7605,13.1911,13.1949,136810,69.5
2010-01-29,13.0962,13.1911,12.8115,12.9101,261910,68
2010-02-01,12.9064,13.0962,12.8115,12.9101,138650,68
2010-02-02,13.0962,13.0962,12.8115,12.9101,130920,68
2010-02-03,13.0962,13.1911,12.8115,13.1949,199250,69.5
2010-02-04,13.3809,13.6656,13.286,13.6696,457760,72
2010-02-05,13.4758,13.5707,13.1911,13.2899,240080,70
2010-02-08,13.1911,13.1911,13.0013,13.0051,142140,68.5
2010-02-09,13.0013,13.0962,12.9064,13.0051,183810,68.5
2010-02-10,13.0013,13.286,13.0013,13.2899,177610,70
2010-02-11,13.286,13.3809,13.286,13.3848,91210,70.5
2010-02-12,13.5707,13.5707,13.3809,13.5746,122200,71.5
2010-02-22,13.7605,13.7605,13.3809,13.3848,138210,70.5
2010-02-23,13.286,13.286,13.0962,13.1,221780,69
2010-02-24,13.0013,13.0962,12.8115,12.9101,167400,68
2010-02-25,13.0962,13.0962,12.9064,12.9101,341620,68
2010-02-26,12.9064,13.0962,12.9064,13.0051,106860,68.5
2010-03-01,13.0962,13.0962,13.0013,13.0051,239360,68.5
2010-03-02,13.0013,13.0962,12.9064,13.0051,165280,68.5
2010-03-03,13.0962,13.1911,12.9064,13.1949,204990,69.5
2010-03-04,13.7605,13.7605,13.5707,13.6696,614710,72
2010-03-05,13.4758,13.6656,13.3809,13.5746,310120,71.5
2010-03-08,13.6656,14.0452,13.5707,14.0493,591490,74
2010-03-09,14.0452,14.7095,13.9503,14.6188,1537330,77
2010-03-10,14.6146,14.8993,14.5197,14.6188,700680,77
2010-03-11,14.8044,14.8044,14.5197,14.6188,459620,77
2010-03-12,14.7095,14.8993,14.5197,14.9036,616020,78.5
2010-03-15,14.9942,14.9942,14.5197,14.7138,828870,77.5
2010-03-16,14.6146,14.6146,14.0452,14.0493,942230,74
2010-03-17,14.235,14.235,13.7605,13.7645,440120,72.5
2010-03-18,13.9503,14.235,13.7605,14.2391,610370,75
2010-03-19,14.1401,14.235,13.9503,13.9543,227520,73.5
2010-03-22,13.9503,14.0452,13.7605,13.7645,320590,72.5
2010-03-23,13.7605,13.8554,13.4758,13.4797,499220,71
2010-03-24,13.6656,13.7605,13.3809,13.6696,464010,72
2010-03-25,13.3809,13.5707,13.1911,13.2899,475960,70
2010-03-26,13.4758,13.4758,13.1911,13.4797,398600,71
2010-03-29,13.4758,13.5707,13.286,13.3848,259830,70.5
2010-03-30,13.3809,13.3809,13.286,13.2899,228660,70
2010-03-31,13.286,13.3809,13.0013,13.0051,387410,68.5
2010-04-01,13.0013,13.5707,13.0013,13.5746,486070,71.5
2010-04-02,13.6656,13.7605,13.4758,13.5746,346950,71.5
2010-04-05,13.7605,13.9503,13.5707,13.8594,460000,73
2010-04-06,13.8554,14.1401,13.8554,14.0493,564760,74
2010-04-07,14.1401,14.1401,13.8554,13.9543,380110,73.5
2010-04-08,14.0452,14.0452,13.8554,13.8594,353110,73
2010-04-09,13.9503,14.0452,13.8554,13.9543,418810,73.5
2010-04-12,14.0452,14.235,13.9503,13.9543,356840,73.5
2010-04-13,14.0452,14.1401,13.7605,13.7645,296750,72.5
2010-04-14,13.8554,13.8554,13.6656,13.7645,233950,72.5
