date,open,high,low,close,volume,close_raw
2015-07-17,1.4297,1.5456,1.288,1.3542,25500,21
2015-07-20,1.3846,1.3846,1.2172,1.2253,2500,19
2015-07-21,1.2236,1.2751,1.2236,1.2768,11000,19.8
2015-07-22,1.2751,1.3395,1.2751,1.3413,23950,20.8
2015-07-23,1.2558,1.2687,1.2558,1.2575,11700,19.5
2015-07-24,1.2558,1.2751,1.2494,1.2768,6300,19.8
2015-07-27,1.288,1.3138,1.288,1.2897,4100,20
2015-07-28,1.288,1.3138,1.288,1.3091,7600,20.3
2015-07-29,1.288,1.3395,1.288,1.2962,6000,20.1
2015-07-30,1.288,1.2944,1.288,1.2962,700,20.1
2015-07-31,1.2944,1.2944,1.2944,1.2962,1000,20.1
2015-08-03,1.2944,1.3202,1.2944,1.322,8000,20.5
2015-08-04,1.3202,1.3331,1.3202,1.3349,2200,20.7
2015-08-05,1.346,1.3524,1.346,1.3542,3300,21
2015-08-07,1.2816,1.2816,1.2816,1.2833,100,19.9
2015-08-10,1.288,1.288,1.288,1.2897,200,20
2015-08-12,1.288,1.288,1.288,1.2897,200,20
2015-08-13,1.288,1.288,1.288,1.2897,700,20
2015-08-17,1.288,1.288,1.288,1.2897,2000,20
2015-08-18,1.3009,1.3009,1.3009,1.3026,1000,20.2
2015-08-19,1.3202,1.3524,1.3202,1.3542,3800,21
2015-08-24,1.3524,1.3524,1.3524,1.3542,1100,21
2015-08-25,1.3524,1.3653,1.3524,1.3607,24400,21.1
2015-08-27,1.3653,1.3653,1.3653,1.3671,5000,21.2
2015-08-28,1.3717,1.4168,1.3717,1.4187,2100,22
2015-08-31,1.449,1.449,1.449,1.451,800,22.5
2015-09-03,1.4168,1.4168,1.4168,1.4187,300,22
2015-09-04,1.4232,1.4297,1.4232,1.4316,2000,22.2
2015-09-07,1.449,1.449,1.449,1.451,1000,22.5
2015-09-08,1.3588,1.4812,1.3588,1.4832,900,23
2015-09-09,1.4748,1.4812,1.4748,1.4832,1600,23
2015-09-10,1.449,1.449,1.449,1.451,1000,22.5
2015-09-11,1.3846,1.5198,1.3846,1.5219,5100,23.6
2015-09-18,1.449,1.4683,1.449,1.4703,2400,22.8
2015-09-23,1.4683,1.4683,1.4683,1.4703,500,22.8
2015-09-24,1.5134,1.5134,1.5134,1.5154,100,23.5
2015-10-02,1.3846,1.4812,1.3717,1.4832,10600,23
2015-10-05,1.4812,1.6036,1.4812,1.6057,1100,24.9
