date,open,high,low,close,volume,close_raw
2017-11-16,4.524,4.524,4.35,4.5245,1174500,15.6
2017-11-17,4.959,4.959,4.524,4.8145,650800,16.6
2017-11-20,4.814,4.901,4.785,4.7855,228400,16.5
2017-11-21,4.64,4.698,4.524,4.6115,492500,15.9
2017-11-22,4.582,4.64,4.176,4.3214,77700,14.9
2017-11-23,4.321,4.64,4.118,4.2634,76500,14.7
2017-11-24,4.263,4.495,4.263,4.4954,150500,15.5
2017-11-27,4.466,4.466,4.379,4.4084,91600,15.2
2017-11-28,4.408,4.437,4.35,4.4374,113700,15.3
2017-11-29,4.408,4.408,4.35,4.4084,88800,15.2
2017-11-30,4.408,4.495,4.408,4.4954,100800,15.5
2017-12-01,4.495,4.524,4.495,4.5245,104900,15.6
2017-12-04,4.553,4.553,4.495,4.5245,102400,15.6
2017-12-05,4.495,4.495,4.466,4.4954,86600,15.5
2017-12-06,4.06,4.466,4.06,4.4084,101300,15.2
2017-12-07,4.437,4.437,4.321,4.3794,94400,15.1
2017-12-08,4.408,4.408,4.321,4.3794,104700,15.1
2017-12-11,4.4074,4.4074,4.3778,4.3791,36100,14.8
2017-12-12,4.3778,4.3778,4.3778,4.3791,18500,14.8
2017-12-13,4.3778,4.3778,4.3778,4.3791,34900,14.8
2017-12-14,4.3483,4.3483,4.2595,4.2904,34300,14.5
2017-12-15,4.2595,4.2595,4.2004,4.2016,137000,14.2
2017-12-18,4.2004,4.2891,4.2004,4.2904,100600,14.5
2017-12-19,4.3187,4.3778,4.3187,4.3791,89200,14.8
2017-12-20,4.3778,4.3778,4.3187,4.32,99800,14.6
2017-12-21,4.3187,4.3187,4.2299,4.2312,21200,14.3
2017-12-25,4.2299,4.2595,4.2299,4.2608,74400,14.4
2017-12-26,4.2891,4.2891,4.2595,4.2904,88400,14.5
2017-12-27,4.2891,4.2891,4.2891,4.2904,98000,14.5
2017-12-28,4.2299,4.2299,4.1708,4.172,100100,14.1
2017-12-29,4.1708,4.2299,4.1708,4.2016,135500,14.2
2018-01-02,4.2299,4.2299,4.2004,4.2312,109300,14.3
2018-01-03,4.2299,4.2299,4.1708,4.172,113000,14.1
2018-01-04,4.2004,4.2004,4.1708,4.2016,102800,14.2
2018-01-05,4.2299,4.2891,4.2299,4.2904,64500,14.5
2018-01-08,4.3187,4.3778,4.3187,4.32,207500,14.6
2018-01-09,4.3778,4.4074,4.3187,4.32,150500,14.6
2018-01-10,4.2891,4.3187,4.2891,4.32,145300,14.6
2018-01-11,4.2891,4.2891,4.2595,4.2904,163500,14.5
2018-01-12,4.2595,4.2891,4.2595,4.2904,140000,14.5
2018-01-15,4.2595,4.2595,4.1708,4.172,72200,14.1
2018-01-16,4.2595,4.2595,4.2004,4.2312,163100,14.3
2018-01-17,4.2004,4.2004,4.1116,4.1128,111700,13.9
2018-01-18,4.1708,4.1708,4.082,4.0832,83000,13.8
2018-01-19,4.0229,4.0229,3.9933,4.0241,122300,13.6
2018-01-22,4.0229,4.0229,3.9637,3.9649,208500,13.4
2018-01-23,3.9637,3.9637,3.875,3.8761,91900,13.1
2018-01-24,3.875,3.9046,3.875,3.9057,114400,13.2
2018-01-25,3.9046,3.9046,3.875,3.8761,153200,13.1
2018-01-26,3.9046,3.9341,3.875,3.8761,155500,13.1
2018-01-29,3.875,3.875,3.8454,3.8465,101000,13
2018-01-30,3.7862,3.7862,3.6383,3.6394,142000,12.3
2018-01-31,3.6088,3.6088,3.5496,3.5507,137600,12
2018-02-01,3.5496,3.5496,3.5496,3.5507,61000,12
2018-02-02,3.5496,3.5496,3.52,3.5211,74000,11.9
2018-02-05,3.4904,3.4904,3.4904,3.4915,35600,11.8
2018-02-06,3.52,3.5496,3.52,3.5507,101000,12
2018-02-07,3.4904,3.5496,3.4904,3.5507,53700,12
2018-02-08,3.5496,3.5496,3.52,3.5211,30000,11.9
2018-02-09,3.52,3.52,3.52,3.5211,19000,11.9
2018-02-12,3.52,3.5496,3.52,3.5507,35100,12
2018-02-13,3.5792,3.5792,3.5792,3.5802,100,12.1
2018-02-21,3.5792,3.6088,3.5792,3.6098,99000,12.2
2018-02-22,3.5496,3.5496,3.5496,3.5507,15000,12
2018-02-23,3.5496,3.5496,3.5496,3.5507,30000,12
2018-02-26,3.52,3.5496,3.52,3.5507,35300,12
2018-02-27,3.52,3.5496,3.52,3.5507,25100,12
2018-02-28,3.5496,3.6088,3.5496,3.6098,85000,12.2
2018-03-01,3.5496,3.5792,3.5496,3.5802,55000,12.1
2018-03-02,3.52,3.52,3.52,3.5211,20000,11.9
2018-03-06,3.52,3.52,3.52,3.5211,30000,11.9
2018-03-08,3.4904,3.5496,3.4904,3.5507,65000,12
2018-03-09,3.52,3.5792,3.52,3.5802,56000,12.1
2018-03-12,3.5792,3.5792,3.5792,3.5802,81000,12.1
2018-03-13,3.5792,3.5792,3.5792,3.5802,32000,12.1
2018-03-14,3.6088,3.6975,3.5496,3.6986,50200,12.5
2018-03-15,3.5792,3.5792,3.5792,3.5802,109500,12.1
2018-03-16,3.5496,3.6088,3.5496,3.6098,72000,12.2
2018-03-19,3.6383,3.6383,3.6383,3.6394,28400,12.3
2018-03-20,3.6679,3.6679,3.6383,3.6394,69300,12.3
2018-03-21,3.6088,3.6088,3.6088,3.6098,40000,12.2
2018-03-22,3.6088,3.6088,3.6088,3.6098,5000,12.2
2018-03-23,3.6383,3.6383,3.6088,3.6098,101000,12.2
2018-03-26,3.6383,3.6383,3.6383,3.6394,15000,12.3
2018-03-28,3.6383,3.6383,3.6383,3.6394,37200,12.3
2018-03-30,3.6679,3.6679,3.6383,3.669,62000,12.4
2018-04-02,3.6679,3.6679,3.6383,3.669,37900,12.4
2018-04-03,3.52,3.52,3.52,3.5211,100,11.9
2018-04-04,3.6088,3.6383,3.6088,3.6394,111700,12.3
2018-04-05,3.6679,3.6975,3.6679,3.669,48300,12.4
2018-04-06,3.7271,3.7271,3.7271,3.7282,14500,12.6
2018-04-09,3.7271,3.7862,3.7271,3.7874,28700,12.8
2018-04-10,3.7271,3.7271,3.7271,3.7282,22000,12.6
2018-04-11,3.6975,3.7567,3.6975,3.7578,130700,12.7
2018-04-12,3.7862,4.1116,3.7567,4.1128,1400,13.9
2018-04-13,3.9933,3.9933,3.875,3.8761,13100,13.1
2018-04-16,3.9341,3.9341,3.9341,3.9353,100,13.3
2018-04-17,3.9046,3.9341,3.9046,3.9353,57700,13.3
2018-04-18,3.9637,3.9933,3.9341,3.9945,44800,13.5
2018-04-19,4.0229,4.0229,4.0229,4.0241,59000,13.6
2018-04-20,4.0229,4.1116,4.0229,4.1128,92100,13.9
2018-04-23,4.1412,4.1412,4.1116,4.1128,32600,13.9
2018-04-24,4.0525,4.082,4.0525,4.0537,20900,13.7
2018-04-26,3.9637,3.9637,3.9341,3.9353,20500,13.3
2018-04-27,3.5792,3.9341,3.5792,3.9353,1400,13.3
2018-05-03,3.9046,3.9046,3.8454,3.8465,300,13
2018-05-07,3.6975,3.6975,3.6975,3.6986,100,12.5
2018-05-11,3.3721,3.3721,3.3721,3.3731,100,11.4
2018-05-16,3.6975,3.6975,3.6975,3.6986,100,12.5
2018-05-21,3.3425,3.3425,3.3425,3.3435,200,11.3
2018-05-22,3.3721,3.3721,3.3721,3.3731,1000,11.4
2018-05-31,3.6975,3.6975,3.6975,3.6986,100,12.5
2018-06-01,3.6679,3.6679,3.6679,3.669,100,12.4
2018-06-04,3.313,3.313,3.313,3.3139,100,11.2
2018-06-11,3.4904,3.6383,3.4904,3.6394,115500,12.3
2018-06-12,3.9933,3.9933,3.9933,3.9945,76100,13.5
2018-06-13,4.3778,4.3778,4.3778,4.3791,47900,14.8
2018-06-14,4.792,4.792,4.6736,4.7934,272800,16.2
2018-06-15,5.0286,5.2061,4.5553,4.5863,361600,15.5
2018-06-18,4.3778,4.437,4.1708,4.2904,126400,14.5
2018-06-19,4.1412,4.2299,4.082,4.1424,128800,14
2018-06-20,4.1412,4.3187,4.082,4.2904,150300,14.5
2018-06-21,4.2891,4.4666,4.2891,4.4383,171900,15
2018-06-22,4.437,4.6736,4.3778,4.4383,317300,15
2018-06-25,4.3778,4.437,4.2891,4.32,138300,14.6
2018-06-26,4.2891,4.3187,4.1412,4.2904,177900,14.5
2018-06-27,4.2891,4.4074,4.2004,4.3791,200100,14.8
2018-06-28,4.3483,4.4074,4.2595,4.2904,135400,14.5
2018-06-29,4.2595,4.3778,4.2004,4.3791,171300,14.8
