date,open,high,low,close,volume,close_raw
2009-12-22,3.2976,3.2976,3.2976,3.2991,10110,48
2009-12-23,3.435,3.435,3.435,3.4365,2610,50
2009-12-24,3.6068,3.6068,3.6068,3.6083,3600,52.5
2009-12-25,3.7785,3.7785,3.7785,3.7802,15520,55
2009-12-28,3.9503,3.9503,3.9503,3.952,22110,57.5
2009-12-29,4.122,4.122,4.122,4.1238,38610,60
2009-12-30,4.3281,4.3281,4.3281,4.33,6900,63
2009-12-31,4.5342,4.5342,4.5342,4.5362,16600,66
2010-01-04,4.7403,4.7403,4.7403,4.7424,9500,69
2010-01-05,4.9464,4.9464,4.9464,4.9486,20500,72
2010-01-06,5.1869,5.1869,4.9808,4.983,94440,72.5
2010-01-07,4.809,5.1525,4.809,5.086,45500,74
2010-01-08,5.2899,5.3243,5.1182,5.1204,23530,74.5
2010-01-11,5.3243,5.3586,5.1869,5.2922,14590,77
2010-01-12,5.496,5.496,5.0495,5.0517,31540,73.5
2010-01-13,4.809,4.809,4.809,4.8111,9910,70
2010-01-14,4.7747,4.9464,4.706,4.8455,53980,70.5
2010-01-15,4.6373,4.8777,4.6029,4.8799,15060,71
2010-01-18,4.9464,5.0151,4.6373,4.6393,43440,67.5
2010-01-19,4.6716,4.6716,4.6716,4.6737,1430,68
2010-01-20,4.6716,4.7403,4.5342,4.5362,1260,66
2010-01-21,4.3968,4.3968,4.3281,4.33,23690,63
2010-01-22,4.3968,4.4312,4.122,4.1238,25790,60
2010-01-25,3.9503,4.1907,3.9159,4.1582,39940,60.5
2010-01-26,4.2938,4.3625,4.2938,4.3644,27290,63.5
2010-01-27,4.4655,4.4655,4.1907,4.33,10730,63
2010-01-28,4.1907,4.3281,4.1564,4.1926,5940,61
2010-01-29,4.2594,4.2938,4.1907,4.2613,12380,62
2010-02-01,4.3281,4.3625,4.2251,4.33,3930,63
2010-02-02,4.2594,4.4312,4.2594,4.3644,12750,63.5
2010-02-03,4.3625,4.3625,4.3281,4.3644,1010,63.5
2010-02-04,4.2251,4.3968,4.2251,4.3987,6600,64
2010-02-05,4.1907,4.3625,4.1907,4.1926,26670,61
2010-02-08,4.2594,4.2594,3.9846,4.0551,18040,59
2010-02-09,4.0533,4.0533,3.8816,4.0551,12680,59
2010-02-10,4.0533,4.122,3.8816,4.0551,6400,59
2010-02-11,4.122,4.122,4.0533,4.1238,4530,60
2010-02-12,4.2594,4.3281,3.9846,4.2613,12020,62
2010-02-22,4.2594,4.2938,4.0533,4.2956,8050,62.5
2010-02-23,4.0877,4.2594,4.0877,4.2613,4960,62
2010-02-24,4.0877,4.122,4.0877,4.1238,3510,60
2010-02-25,4.0533,4.1564,3.9846,3.9864,6930,58
2010-02-26,4.0877,4.122,3.9846,3.9864,2800,58
2010-03-01,3.9846,4.122,3.9846,4.0895,8210,59.5
2010-03-02,4.0877,4.122,4.0877,4.1238,12780,60
2010-03-03,4.2251,4.2251,4.1907,4.1926,8110,61
2010-03-04,4.2594,4.2594,4.122,4.1926,12170,61
2010-03-05,4.1907,4.1907,3.9846,4.1926,21810,61
2010-03-08,4.2594,4.2594,4.1907,4.2613,23050,62
2010-03-09,4.3281,4.3281,4.1907,4.1926,3580,61
2010-03-10,4.2594,4.3968,4.2251,4.3987,288980,64
2010-03-11,4.6029,4.6029,4.6029,4.6049,221670,67
2010-03-12,4.809,4.809,4.809,4.8111,100110,70
2010-03-15,5.0495,5.0495,5.0151,5.0517,86950,73.5
2010-03-16,4.8434,5.1869,4.809,4.8111,115140,70
2010-03-17,4.9121,4.9121,4.706,4.708,74320,68.5
2010-03-18,4.809,4.809,4.5342,4.7424,57130,69
2010-03-19,4.809,4.809,4.7403,4.7768,100290,69.5
2010-03-22,4.706,4.7403,4.706,4.7424,12480,69
2010-03-23,4.6716,4.7403,4.6373,4.6393,17420,67.5
2010-03-24,4.706,4.706,4.6716,4.6737,4450,68
2010-03-25,4.6716,4.6716,4.5686,4.6393,33050,67.5
2010-03-26,4.706,4.7403,4.6373,4.6737,69020,68
2010-03-29,4.706,4.706,4.6716,4.708,19060,68.5
2010-03-30,4.6716,4.706,4.6029,4.6049,34860,67
2010-03-31,4.5686,4.6029,4.5342,4.5362,23400,66
2010-04-01,4.4655,4.6373,4.3968,4.6393,43260,67.5
2010-04-02,4.5342,4.6716,4.4999,4.5706,23680,66.5
2010-04-05,4.7403,4.7747,4.6716,4.7768,54510,69.5
2010-04-06,4.8777,4.8777,4.7403,4.7768,20710,69.5
2010-04-07,4.809,4.8434,4.7747,4.7768,13810,69.5
2010-04-08,4.809,4.809,4.7403,4.7768,24450,69.5
2010-04-09,4.8777,4.9808,4.8434,4.983,64150,72.5
2010-04-12,5.2212,5.2212,5.2212,5.2235,12590,76
2010-04-13,5.4617,5.4617,5.2899,5.4641,115230,79.5
2010-04-14,5.6678,5.7021,5.3243,5.7046,129540,83
2010-04-15,5.8739,5.9082,5.5304,5.6359,31180,82
2010-04-16,5.9082,5.9082,5.7365,5.9108,52620,86
2010-04-19,6.183,6.183,5.8395,6.117,55680,89
2010-04-20,6.08,6.2174,5.9426,6.117,73120,89
2010-04-21,6.1487,6.183,5.9082,6.0483,122180,88
2010-04-22,5.9426,6.183,5.9426,6.0483,52260,88
2010-04-26,6.0113,6.0456,5.7708,5.7734,125360,84
2010-04-27,5.7708,5.8052,5.7365,5.8077,25570,84.5
2010-04-28,6.0113,6.0113,5.7021,5.8077,37010,84.5
2010-04-29,5.9426,5.9426,5.7365,5.9108,40590,86
2010-05-04,5.8395,5.9082,5.7708,5.8077,33670,84.5
2010-05-05,5.8395,5.8395,5.7021,5.7046,21280,83
2010-05-06,5.7365,5.7365,5.4273,5.6703,37050,82.5
2010-05-07,5.4617,5.6334,5.393,5.4297,92890,79
2010-05-10,5.3586,5.3586,5.2212,5.2579,11950,76.5
