date,open,high,low,close,volume,close_raw
2005-12-26,0.8473,0.8473,0.8473,0.848,1000,18.5
2006-01-11,0.8473,0.8473,0.8473,0.848,400,18.5
2006-02-06,0.7786,0.7786,0.7786,0.7792,1000,17
2006-02-10,0.8015,0.8015,0.8015,0.8021,2000,17.5
2006-02-13,0.7786,0.7786,0.7786,0.7792,1000,17
2006-02-24,0.7786,0.7786,0.7786,0.7792,1000,17
2006-02-27,0.8015,0.8015,0.8015,0.8021,200,17.5
2006-03-01,0.8015,0.8015,0.8015,0.8021,300,17.5
2006-03-03,0.8107,0.8107,0.8107,0.8113,3700,17.7
2006-03-08,0.8702,0.8702,0.8702,0.8709,100,19
2006-03-10,0.8244,0.8244,0.8244,0.8251,100,18
2006-03-15,0.8381,0.8381,0.8244,0.8388,2500,18.3
2006-03-20,0.916,0.916,0.916,0.9167,1800,20
2006-03-22,0.916,0.9618,0.916,0.9626,1800,21
2006-03-24,0.916,0.9618,0.916,0.9534,11400,20.8
2006-03-27,0.9618,0.971,0.9618,0.9717,2500,21.2
2006-03-29,1.0076,1.0305,1.0076,1.0313,15600,22.5
2006-03-31,1.0534,1.1175,1.0351,1.1001,5700,24
2006-04-03,1.1771,1.1771,1.1771,1.178,1100,25.7
2006-04-05,1.2916,1.2916,1.2824,1.2926,6000,28.2
2006-04-07,1.3282,1.374,1.3282,1.3751,2800,30
2006-04-10,1.4198,1.4198,1.3282,1.3293,2700,29
2006-04-12,1.319,1.3282,1.3053,1.3109,3100,28.6
2006-04-14,1.2778,1.2824,1.2641,1.2834,3400,28
2006-04-17,1.2366,1.374,1.2366,1.3522,15500,29.5
2006-04-19,1.3282,1.374,1.3099,1.3751,9000,30
2006-04-21,1.3969,1.4198,1.374,1.398,6100,30.5
2006-04-24,1.4198,1.4656,1.4198,1.4439,7800,31.5
2006-04-26,1.4198,1.5755,1.4198,1.5768,16400,34.4
2006-04-28,1.4656,1.5435,1.4564,1.4897,6500,32.5
2006-05-03,1.5114,1.5114,1.4885,1.508,4000,32.9
2006-05-05,1.5343,1.5343,1.5022,1.5126,8800,33
2006-05-08,1.5297,1.6717,1.5206,1.5218,8400,33.2
2006-05-10,1.4198,1.4198,1.4015,1.4026,4500,30.6
2006-05-12,1.516,1.516,1.4656,1.4668,2500,32
2006-05-15,1.5389,1.5389,1.5068,1.5218,13600,33.2
2006-05-17,1.5206,1.5206,1.4656,1.4668,7000,32
2006-05-19,1.4198,1.4198,1.374,1.3751,2400,30
2006-05-22,1.3511,1.3648,1.3374,1.3384,400,29.2
2006-05-24,1.3282,1.4427,1.2595,1.3614,6300,29.7
2006-05-26,1.3053,1.3053,1.2366,1.2605,7600,27.5
2006-05-29,1.2824,1.287,1.1908,1.1918,13800,26
2006-05-31,1.2412,1.2412,1.2137,1.2147,3200,26.5
2006-06-01,1.1633,1.2229,1.1633,1.2238,300,26.7
2006-06-02,1.2045,1.2458,1.2045,1.2468,2800,27.2
2006-06-05,1.2366,1.2824,1.232,1.2834,2100,28
2006-06-06,1.374,1.3832,1.3511,1.3751,10000,30
2006-06-07,1.3832,1.3877,1.3694,1.3843,14600,30.2
2006-06-08,1.3832,1.3832,1.3832,1.3843,4600,30.2
2006-06-09,1.3832,1.4198,1.3832,1.3934,4400,30.4
2006-06-12,1.3969,1.4198,1.3877,1.3889,2200,30.3
2006-06-13,1.3969,1.3969,1.3969,1.398,5000,30.5
2006-06-14,1.3969,1.3969,1.3969,1.398,2200,30.5
2006-06-16,1.3969,1.3969,1.3969,1.398,8200,30.5
2006-06-19,1.3877,1.3969,1.3877,1.398,6000,30.5
2006-06-20,1.3969,1.3969,1.374,1.3751,700,30
2006-06-21,1.2824,1.2824,1.2824,1.2834,100,28
2006-06-22,1.3282,1.3282,1.3282,1.3293,2900,29
2006-06-23,1.3374,1.3374,1.3374,1.3384,1800,29.2
2006-06-27,1.3328,1.3328,1.3328,1.3339,100,29.1
2006-06-28,1.3328,1.3328,1.3328,1.3339,1000,29.1
2006-06-30,1.3328,1.3328,1.3328,1.3339,400,29.1
2006-07-03,1.4427,1.4427,1.3328,1.3339,2000,29.1
2006-07-04,1.3328,1.3328,1.3328,1.3339,1000,29.1
2006-07-05,1.3282,1.3282,1.3282,1.3293,3000,29
2006-07-07,1.3282,1.3282,1.3282,1.3293,500,29
2006-07-10,1.3282,1.3282,1.3282,1.3293,300,29
2006-07-12,1.3282,1.3282,1.3282,1.3293,1000,29
2006-07-13,1.3282,1.3282,1.319,1.3201,1400,28.8
2006-07-14,1.3236,1.3236,1.3145,1.3155,1600,28.7
2006-07-17,1.3099,1.3099,1.2732,1.2743,2100,27.8
2006-07-18,1.2824,1.2824,1.2824,1.2834,5100,28
2006-07-19,1.2732,1.2732,1.1542,1.1551,900,25.2
2006-07-20,1.2641,1.2687,1.2641,1.2697,2100,27.7
2006-07-21,1.2687,1.2687,1.2641,1.2651,3000,27.6
2006-07-24,1.2641,1.2641,1.1908,1.1918,5400,26
2006-07-25,1.2366,1.2595,1.2366,1.2514,2600,27.3
2006-07-28,1.2412,1.2412,1.2412,1.2422,1000,27.1
2006-08-01,1.2366,1.2366,1.1816,1.1826,600,25.8
2006-08-02,1.2,1.2,1.2,1.2009,200,26.2
2006-08-03,1.2,1.2137,1.2,1.2147,900,26.5
2006-08-07,1.1908,1.1908,1.1908,1.1918,400,26
2006-08-14,1.2549,1.3099,1.2549,1.3109,900,28.6
2006-08-15,1.2595,1.2595,1.2595,1.2605,700,27.5
2006-08-16,1.2595,1.2595,1.2274,1.2284,3100,26.8
2006-08-17,1.2412,1.2595,1.2366,1.2605,4800,27.5
2006-08-21,1.2366,1.2366,1.232,1.233,5100,26.9
2006-08-22,1.2274,1.2274,1.2274,1.2284,1000,26.8
2006-08-23,1.2137,1.2366,1.2137,1.2376,11600,27
2006-08-25,1.2366,1.2366,1.2366,1.2376,200,27
2006-08-29,1.2183,1.2366,1.2183,1.2376,2600,27
2006-08-30,1.2366,1.2366,1.2366,1.2376,1400,27
2006-09-01,1.2366,1.2366,1.2366,1.2376,1500,27
2006-09-05,1.2595,1.287,1.2595,1.288,4000,28.1
2006-09-06,1.2824,1.2824,1.2366,1.2422,6000,27.1
2006-09-07,1.2595,1.2595,1.2366,1.2376,600,27
2006-09-08,1.2366,1.2366,1.2366,1.2376,500,27
2006-09-11,1.2458,1.2458,1.2366,1.2376,3200,27
2006-09-13,1.2458,1.2549,1.2458,1.2514,800,27.3
2006-09-14,1.2366,1.2412,1.2366,1.2376,4500,27
2006-09-15,1.2412,1.2412,1.2366,1.2376,400,27
2006-09-18,1.2366,1.2366,1.2366,1.2376,100,27
2006-09-19,1.2366,1.2366,1.2366,1.2376,200,27
2006-09-20,1.2366,1.2366,1.2366,1.2376,1400,27
2006-09-21,1.2366,1.2366,1.2366,1.2376,700,27
2006-09-22,1.2595,1.2595,1.2458,1.2468,2200,27.2
2006-09-25,1.2412,1.2458,1.2412,1.2468,7000,27.2
2006-09-26,1.2366,1.2366,1.2366,1.2376,3600,27
2006-09-27,1.2366,1.2366,1.2366,1.2376,5500,27
2006-09-28,1.2366,1.2366,1.2366,1.2376,3500,27
2006-09-29,1.2366,1.2503,1.2366,1.2514,3000,27.3
2006-10-02,1.2503,1.2503,1.2458,1.2468,2500,27.2
2006-10-03,1.2458,1.2458,1.2458,1.2468,2100,27.2
2006-10-04,1.2458,1.2458,1.2458,1.2468,1100,27.2
2006-10-05,1.2595,1.2595,1.2412,1.2422,2700,27.1
2006-10-06,1.2595,1.2687,1.2595,1.2697,9700,27.7
2006-10-09,1.3053,1.3511,1.2961,1.3522,5500,29.5
2006-10-10,1.374,1.4473,1.374,1.4209,19600,31
2006-10-11,1.4198,1.4198,1.3969,1.4209,14800,31
2006-10-12,1.3969,1.3969,1.3282,1.3293,3000,29
2006-10-13,1.3694,1.374,1.3053,1.3293,5300,29
2006-10-16,1.2183,1.2183,1.2183,1.2193,100,26.6
2006-10-17,1.2824,1.2824,1.2366,1.2376,300,27
2006-10-18,1.145,1.3923,1.145,1.2605,900,27.5
2006-10-19,1.3465,1.3511,1.3465,1.3522,1400,29.5
2006-10-20,1.3511,1.3511,1.3511,1.3522,500,29.5
2006-10-23,1.3282,1.3282,1.3282,1.3293,100,29
2006-10-24,1.3282,1.3282,1.3282,1.3293,2000,29
2006-10-25,1.3282,1.3282,1.3282,1.3293,2000,29
2006-10-26,1.3282,1.3557,1.3282,1.3568,3800,29.6
2006-10-27,1.3419,1.3603,1.3419,1.3614,2200,29.7
2006-10-30,1.3603,1.3648,1.3603,1.3659,1100,29.8
2006-10-31,1.3511,1.374,1.3511,1.3751,8100,30
