date,open,high,low,close,volume,close_raw
2006-12-13,8.72,8.72,8.72,8.7519,83530,400
2006-12-14,9.156,9.156,9.156,9.1895,280710,420
2006-12-15,9.6138,9.6138,9.6138,9.6489,265300,441
2006-12-18,10.0934,10.0934,10.0934,10.1303,215790,463
2006-12-19,10.5948,10.5948,10.5948,10.6335,137520,486
2006-12-20,11.118,11.118,11.118,11.1586,220120,510
2006-12-21,10.9218,10.9218,10.573,10.6117,156400,485
2006-12-22,10.0498,10.0498,10.0498,10.0865,143500,461
2006-12-25,9.5484,9.5484,9.5484,9.5833,22140,438
2006-12-26,9.0906,10.0062,9.0906,10.0428,300150,459
2006-12-27,10.464,10.464,10.464,10.5023,413230,480
2006-12-28,10.246,10.464,10.246,10.5023,144840,480
2006-12-29,10.137,10.137,10.028,10.0647,69760,460
2007-01-02,9.592,9.81,9.592,9.6271,81170,440
2007-01-03,9.81,9.81,9.592,9.8459,74660,450
2007-01-04,10.2896,10.2896,10.2896,10.3272,148510,472
2007-01-05,10.791,10.791,10.791,10.8304,377800,495
2007-01-08,11.118,11.118,10.682,10.7211,351470,490
2007-01-09,10.791,10.791,10.682,10.7211,225270,490
2007-01-10,10.682,10.791,10.682,10.8304,314250,495
2007-01-11,10.9,10.9,10.9,10.9398,283920,500
2007-01-12,11.445,11.445,11.445,11.4868,279710,525
2007-01-15,11.663,12.0118,11.663,12.0557,274290,551
2007-01-16,12.6004,12.6004,12.6004,12.6465,339760,578
2007-01-17,13.0582,13.0582,11.99,12.0338,145870,550
2007-01-18,11.4014,12.0118,11.4014,12.0557,282430,551
2007-01-19,12.6004,12.6004,12.6004,12.6465,95290,578
2007-01-22,13.2108,13.2108,13.08,13.1278,461630,600
2007-01-23,13.08,13.1236,13.08,13.1716,243990,602
2007-01-24,13.1236,13.1236,12.644,12.6902,156420,580
2007-01-25,12.644,12.644,12.644,12.6902,142420,580
2007-01-26,12.644,12.8402,12.426,12.6902,129240,580
2007-01-29,13.189,13.189,12.753,13.2372,201310,605
2007-01-30,13.734,13.843,13.734,13.8936,258290,635
2007-01-31,13.9084,14.061,13.9084,14.1124,1993480,645
2007-02-01,14.1046,14.1046,13.516,13.5654,736990,620
2007-02-02,13.516,13.734,13.734,13.7842,500660,630
2007-02-05,13.0582,13.516,13.0582,13.1059,110440,599
2007-02-06,13.625,13.625,12.862,13.6748,195540,625
2007-02-07,13.843,13.843,13.2108,13.8936,116470,635
2007-02-08,13.1672,13.1672,13.1672,13.2153,103880,604
2007-02-09,12.5132,12.5132,12.5132,12.5589,194380,574
2007-02-12,13.1236,13.1236,13.1236,13.1716,60490,602
2007-02-13,13.734,13.7776,13.516,13.7842,160600,630
2007-02-14,13.298,13.516,13.298,13.3466,79810,610
2007-02-15,13.298,13.298,13.298,13.3466,59720,610
2007-02-26,13.952,13.952,13.952,14.003,231310,640
2007-02-27,14.497,14.6496,14.497,14.55,289680,665
2007-02-28,13.7776,14.497,13.7776,13.828,69560,632
2007-03-01,13.407,13.734,13.298,13.456,98850,615
2007-03-02,13.6686,14.061,13.6686,14.1124,163420,645
2007-03-05,13.843,14.061,13.843,13.8936,125170,635
2007-03-06,13.1672,13.189,13.1672,13.2272,200880,604
2007-03-07,13.625,13.625,13.298,13.3586,43980,610
2007-03-08,13.189,13.189,12.753,13.1396,85390,600
2007-03-09,13.516,13.516,13.08,13.1396,56050,600
2007-03-12,13.298,13.298,13.08,13.3586,87310,610
2007-03-13,13.298,13.3416,12.6876,13.3586,74620,610
2007-03-14,12.644,13.189,12.644,12.7017,57450,580
2007-03-15,12.0118,12.0118,12.0118,12.0666,102590,551
2007-03-16,12.0118,12.6004,12.0118,12.6579,102100,578
2007-03-19,13.08,13.08,12.6004,12.6579,105730,578
2007-03-20,12.426,12.426,12.208,12.3075,100430,562
2007-03-21,11.6412,11.6848,11.6412,11.7162,113940,535
2007-03-22,11.772,12.208,11.772,12.1542,139830,555
2007-03-23,12.099,12.099,12.099,12.1542,119530,555
2007-03-26,11.772,11.772,11.554,11.8257,107630,540
2007-03-27,11.227,11.227,11.1834,11.2344,62970,513
2007-03-28,10.6384,11.1834,10.6384,11.2344,126200,513
2007-03-29,11.1834,11.7284,11.1834,11.7819,117350,538
2007-03-30,11.9464,11.99,11.7938,11.8476,90460,541
2007-04-02,11.2052,11.445,11.2052,11.3877,57570,520
2007-04-03,10.9,10.9,10.8782,10.9497,64900,500
2007-04-04,10.9,11.2052,10.9,11.2563,23700,514
2007-04-05,11.2924,11.2924,11.227,11.2782,50520,515
2007-04-06,10.9654,11.118,10.9654,11.1687,38880,510
2007-04-09,11.118,11.227,11.118,11.2782,48570,515
