date,open,high,low,close,volume,close_raw
2012-05-21,15.0294,16.6948,15.0294,16.6549,2502080,41
2012-05-22,17.4666,17.4666,17.2635,17.4673,1934550,43
2012-05-23,17.426,17.4666,16.6136,16.6142,1055780,40.9
2012-05-24,15.8418,16.248,15.8012,15.8018,1009380,38.9
2012-05-25,15.8012,16.1668,15.07,15.8424,877260,39
2012-05-28,15.923,15.923,15.2325,15.2737,457400,37.6
2012-05-29,14.7451,15.0294,14.6638,14.9081,418300,36.7
2012-05-30,15.0294,15.395,14.9075,15.355,170280,37.8
2012-05-31,15.1106,15.3544,14.9075,15.1112,269030,37.2
2012-06-01,15.0294,15.1919,15.0294,15.1112,138370,37.2
2012-06-04,14.9482,14.9482,14.4607,14.4613,383250,35.6
2012-06-05,14.217,14.5826,14.217,14.4613,330550,35.6
2012-06-06,14.4607,14.6232,14.3389,14.5425,101300,35.8
2012-06-07,14.7451,15.2325,14.542,15.2331,280210,37.5
2012-06-08,15.3544,15.9637,15.1919,15.2331,300060,37.5
2012-06-11,15.0294,15.395,14.9482,14.9488,106110,36.8
2012-06-12,15.2325,15.2325,14.7451,14.7456,126760,36.3
2012-06-13,14.9075,14.9075,14.6638,14.7863,33550,36.4
2012-06-14,14.7044,14.9482,14.6638,14.7863,88860,36.4
2012-06-15,14.7857,15.1513,14.7857,15.0706,80460,37.1
2012-06-18,15.1513,15.4356,15.1513,15.3956,181580,37.9
2012-06-19,15.395,15.5168,15.2731,15.3956,263540,37.9
2012-06-20,15.395,15.7199,15.395,15.5987,224150,38.4
2012-06-21,15.7606,15.7606,15.4762,15.6393,86970,38.5
2012-06-22,15.5981,15.7606,15.5575,15.6799,182790,38.6
2012-06-25,15.7199,15.7199,15.2731,15.3956,216300,37.9
2012-06-26,15.1106,15.395,15.1106,15.3956,107410,37.9
2012-06-27,15.3544,15.5981,15.3544,15.4362,56490,38
2012-06-28,15.6387,15.6387,15.4356,15.6393,314740,38.5
2012-06-29,15.7199,15.7199,15.5981,15.5987,591130,38.4
2012-07-02,15.7199,16.248,15.5981,15.6393,111900,38.5
2012-07-03,15.5575,15.7606,15.5168,15.6799,98880,38.6
2012-07-04,15.6387,15.6793,15.5168,15.5581,181160,38.3
2012-07-05,15.5575,15.5981,15.2325,15.5581,32450,38.3
2012-07-06,15.5575,15.5575,15.2325,15.5581,27580,38.3
2012-07-09,15.5575,15.5575,15.3137,15.4362,14910,38
2012-07-10,15.3137,15.4356,15.2325,15.2331,54900,37.5
2012-07-11,15.0294,15.3544,15.0294,15.355,32940,37.8
2012-07-12,15.395,15.395,15.2731,15.3956,2830,37.9
2012-07-13,15.4356,15.5168,15.395,15.4768,77460,38.1
2012-07-16,15.2731,15.5575,15.2731,15.5581,75920,38.3
2012-07-17,15.6793,15.6793,15.4356,15.5581,182340,38.3
2012-07-18,15.6793,15.6793,15.3137,15.5987,146560,38.4
2012-07-19,15.5981,16.2886,15.395,16.2893,819250,40.1
2012-07-20,16.248,16.248,16.0043,16.0862,287610,39.6
2012-07-23,16.0855,16.0855,15.8418,16.0049,51430,39.4
2012-07-24,16.0043,16.0043,15.4762,15.6799,33440,38.6
2012-07-25,15.4356,15.8418,15.4356,15.6799,59190,38.6
2012-07-26,15.8012,15.8012,15.6793,15.8018,28250,38.9
2012-07-27,15.8012,15.8418,15.7199,15.7612,42110,38.8
2012-07-30,15.5168,15.923,15.5168,15.9237,36800,39.2
2012-07-31,16.0043,16.0043,15.7606,15.8018,37450,38.9
2012-08-01,15.8012,15.8824,15.8012,15.8424,126160,39
2012-08-02,15.8418,16.0855,15.7606,15.9643,379390,39.3
2012-08-03,15.8824,16.0043,15.8418,15.9643,338830,39.3
2012-08-06,16.1261,16.1261,15.8418,16.0049,307250,39.4
2012-08-07,16.0043,16.0449,15.8824,16.0049,39770,39.4
2012-08-08,16.0449,16.0449,15.8824,15.8831,88470,39.1
2012-08-09,15.8824,16.0043,15.8824,15.8831,139970,39.1
2012-08-10,15.8824,16.0043,15.8824,15.8831,82930,39.1
2012-08-13,15.6387,15.923,15.6387,15.8831,52670,39.1
2012-08-14,15.8418,15.9637,15.8418,15.9237,65220,39.2
2012-08-15,16.0043,16.0449,15.9637,16.0049,172630,39.4
2012-08-16,16.0449,16.3699,16.0449,16.2893,713090,40.1
2012-08-17,16.3699,16.9792,16.3699,16.8986,2424550,41.6
2012-08-20,17.0604,17.0604,16.8979,17.0205,285470,41.9
2012-08-21,16.9792,16.9792,16.2074,16.208,778620,39.9
2012-08-22,15.6387,16.6542,15.6387,16.4518,425250,40.5
2012-08-23,16.248,16.248,15.6387,15.6393,608680,38.5
2012-08-24,14.9482,16.3699,14.9482,16.0455,471190,39.5
2012-08-27,16.0043,16.0043,15.2731,15.2737,338670,37.6
2012-08-28,15.1106,15.7199,15.1106,15.5581,144670,38.3
2012-08-29,16.1668,16.3292,16.1668,16.3299,1294020,40.2
2012-08-30,16.573,16.7354,16.4511,16.6549,1204090,41
2012-08-31,16.8602,17.0267,16.7769,16.9881,1200100,40.8
2012-09-04,17.2348,17.2348,16.985,17.113,633240,41.1
2012-09-05,17.1099,17.1932,16.7769,16.9049,154700,40.6
2012-09-06,16.7353,16.9434,16.2357,16.2387,174400,39
2012-09-07,16.5271,17.0267,16.1941,17.0298,360690,40.9
2012-09-10,16.9434,16.9434,16.3606,16.6134,454770,39.9
2012-09-11,16.3606,17.0683,16.2773,16.7383,157910,40.2
2012-09-12,16.7353,17.0267,16.652,16.9881,566030,40.8
2012-09-13,17.0683,17.2348,17.0267,17.1963,533240,41.3
2012-09-14,17.6511,17.6511,17.2765,17.4045,824280,41.8
2012-09-17,17.2765,17.4846,17.1932,17.1963,113130,41.3
2012-09-18,17.2348,17.2348,16.4439,16.7383,143650,40.2
2012-09-19,16.6104,17.0683,16.6104,16.9465,262800,40.7
2012-09-20,16.9434,16.9434,16.4855,16.655,46540,40
2012-09-21,16.985,16.985,16.5271,16.655,98550,40
2012-09-24,16.2357,16.652,16.0276,16.1554,434220,38.8
2012-09-25,16.319,16.652,16.319,16.5718,303570,39.8
2012-09-26,16.5271,16.8185,16.5271,16.655,117740,40
2012-09-27,16.5687,16.6104,16.319,16.3219,90010,39.2
2012-09-28,16.2357,16.7353,16.2357,16.6967,199000,40.1
2012-10-01,16.652,16.652,16.0692,16.1137,129660,38.7
2012-10-02,16.2357,16.2357,16.0692,16.1137,227380,38.7
2012-10-03,16.1108,16.2357,16.0692,16.1137,236880,38.7
2012-10-04,16.1941,16.1941,16.1108,16.1554,162210,38.8
2012-10-05,16.1524,16.5687,16.1524,16.4885,217330,39.6
2012-10-08,16.4022,16.6936,16.4022,16.5301,242320,39.7
2012-10-09,16.6104,16.6104,16.1524,16.5301,238310,39.7
2012-10-10,16.319,16.5271,16.319,16.5301,33740,39.7
2012-10-11,16.5271,16.5687,16.4439,16.5301,110180,39.7
2012-10-12,16.5687,16.5687,16.4022,16.4052,79120,39.4
2012-10-15,16.5687,16.5687,16.0692,16.1137,45510,38.7
2012-10-16,16.1941,16.4439,16.1524,16.2387,87690,39
2012-10-17,16.2357,16.4022,16.1524,16.197,35150,38.9
2012-10-18,16.3606,16.3606,16.1941,16.197,60080,38.9
2012-10-19,16.319,16.5687,16.1108,16.5718,271750,39.8
2012-10-22,16.5687,16.5687,16.2357,16.4052,4050,39.4
2012-10-23,16.5687,16.8185,16.4439,16.655,172530,40
2012-10-24,16.7353,16.7353,16.5687,16.5718,53520,39.8
2012-10-25,16.3606,16.6104,16.3606,16.3636,12940,39.3
2012-10-26,16.3606,16.4855,16.2773,16.3636,26410,39.3
2012-10-29,16.5687,16.5687,16.3606,16.4468,29930,39.5
2012-10-30,16.4855,16.5687,16.4855,16.4885,79390,39.6
2012-10-31,16.4439,16.6104,16.4439,16.4468,76830,39.5
2012-11-01,16.5271,16.5271,16.4022,16.4468,223990,39.5
2012-11-02,15.8194,16.2357,15.8194,16.0721,95260,38.6
2012-11-05,16.1941,16.2773,16.0692,16.197,100740,38.9
2012-11-06,16.3606,16.3606,16.1524,16.2387,11380,39
2012-11-07,16.319,16.319,16.1524,16.2387,65790,39
2012-11-08,16.319,16.319,16.1941,16.2387,104620,39
2012-11-09,16.2357,16.4022,16.1941,16.2387,249060,39
2012-11-12,16.4022,16.4022,16.2357,16.2387,110350,39
2012-11-13,16.319,16.319,16.2357,16.2387,99660,39
2012-11-14,16.2357,16.319,16.1941,16.2387,119660,39
2012-11-15,16.319,16.319,16.1941,16.197,44850,38.9
2012-11-16,16.1524,16.2773,16.1524,16.2387,44410,39
2012-11-19,16.1941,16.2773,16.1524,16.1554,60140,38.8
2012-11-20,16.1524,16.2357,16.1524,16.197,13590,38.9
2012-11-21,16.1941,16.2773,16.1524,16.1554,88770,38.8
2012-11-22,16.1941,16.2773,16.1941,16.2387,148050,39
2012-11-23,16.2357,16.2773,16.1524,16.2387,82060,39
2012-11-26,16.1941,16.1941,16.1108,16.1554,44460,38.8
2012-11-27,16.1108,16.1941,16.1108,16.1554,29740,38.8
2012-11-28,16.1108,16.2357,16.1108,16.197,43070,38.9
2012-11-29,16.1941,16.1941,16.1524,16.1554,24140,38.8
2012-11-30,16.1941,16.2357,16.1524,16.1554,40500,38.8
2012-12-03,16.1941,16.2357,16.1524,16.197,60410,38.9
2012-12-04,16.4083,16.622,16.2801,16.6243,135030,38.9
2012-12-05,16.622,16.6647,16.5365,16.667,36080,39
2012-12-06,16.622,16.622,16.4938,16.4961,2760,38.6
2012-12-07,16.4938,16.5792,16.3229,16.4533,18370,38.5
2012-12-10,16.4938,16.5792,16.3656,16.4961,40080,38.6
2012-12-11,16.6647,16.7929,16.4938,16.6243,6570,38.9
2012-12-12,16.4938,16.6647,16.4511,16.6243,68420,38.9
2012-12-13,16.622,16.6647,16.4938,16.4961,127330,38.6
2012-12-14,16.6647,16.6647,16.4938,16.4961,58880,38.6
2012-12-17,16.4938,16.6647,16.4511,16.5815,112540,38.8
2012-12-18,16.5792,16.622,16.5365,16.6243,194580,38.9
2012-12-19,16.622,16.622,16.4938,16.5815,35120,38.8
2012-12-20,16.622,16.622,16.4511,16.4533,77850,38.5
2012-12-21,16.4511,16.5365,16.2801,16.3251,23440,38.2
2012-12-24,16.5792,16.5792,16.2374,16.5815,36900,38.8
2012-12-25,16.5792,16.622,16.4938,16.5815,44300,38.8
2012-12-26,16.4511,16.622,16.4511,16.6243,33230,38.9
2012-12-27,16.622,16.6647,16.5792,16.6243,109200,38.9
2012-12-28,16.4938,16.6647,16.4938,16.4961,77550,38.6
2013-01-02,16.5365,16.6647,16.4938,16.667,90770,39
2013-01-03,16.6647,16.8784,16.5792,16.667,1618510,39
2013-01-04,16.9638,17.1775,16.6647,17.0516,1318980,39.9
2013-01-07,17.092,17.2202,17.0493,17.0516,701600,39.9
2013-01-08,17.0065,17.6902,16.9211,17.4362,871680,40.8
2013-01-09,17.6048,17.8184,17.0493,17.1371,1192690,40.1
2013-01-10,17.1347,17.4338,17.0493,17.4362,286010,40.8
2013-01-11,17.5193,18.2884,17.5193,18.291,1009650,42.8
2013-01-14,18.2884,19.1858,18.2457,18.8893,504790,44.2
2013-01-15,18.8867,18.8867,18.4166,18.5046,476420,43.3
2013-01-16,18.4594,18.9294,18.4594,18.6756,1560150,43.7
2013-01-17,18.673,18.7157,17.9466,17.9491,505310,42
2013-01-18,17.9466,18.1603,17.733,17.7781,550040,41.6
2013-01-21,17.8611,17.8611,17.3484,17.3935,745790,40.7
2013-01-22,17.3057,17.8611,17.2202,17.3935,864580,40.7
2013-01-23,17.6048,17.6048,17.2629,17.3935,151470,40.7
2013-01-24,17.3911,17.9893,17.3911,17.9063,1013370,41.9
2013-01-25,18.0321,19.143,17.9466,19.1457,976320,44.8
2013-01-28,20.0831,20.4677,19.4422,19.4448,868650,45.5
2013-01-29,19.2712,19.9549,19.1858,19.4448,831050,45.5
2013-01-30,19.784,20.2968,19.4849,19.6585,422340,46
2013-01-31,19.6131,19.6558,19.1003,19.1029,409050,44.7
2013-02-01,19.0149,19.2285,18.7585,19.2312,354500,45
2013-02-04,19.6558,20.0404,19.4849,19.6585,373810,46
2013-02-05,19.6558,19.7413,19.3567,19.4448,264910,45.5
2013-02-06,19.4422,19.784,19.4422,19.7867,472350,46.3
2013-02-07,19.9122,19.9122,19.6558,19.744,373420,46.2
2013-02-08,19.784,19.9549,19.5703,19.9577,365340,46.7
2013-02-18,20.1686,20.1686,19.8267,19.9577,346920,46.7
2013-02-19,19.9549,19.9549,19.6558,19.6585,647860,46
2013-02-20,19.7413,19.9976,19.6985,19.8295,699390,46.4
2013-02-21,19.9549,20.4677,19.6558,19.6585,899530,46
2013-02-22,19.7413,19.9976,19.5703,19.7012,689770,46.1
2013-02-25,19.9549,19.9549,19.6985,19.7867,109600,46.3
2013-02-26,19.8267,19.8267,19.0576,19.2312,556910,45
2013-02-27,19.2285,19.6985,18.8867,19.7012,365170,46.1
2013-02-28,19.7413,19.8267,19.5276,19.6585,183820,46
2013-03-01,19.6558,20.0404,19.6558,19.7867,314740,46.3
2013-03-04,19.8267,19.9122,19.5276,19.5303,264030,45.7
2013-03-05,19.314,19.5276,19.2285,19.3166,89560,45.2
2013-03-06,19.4422,19.6131,19.314,19.6158,39940,45.9
2013-03-07,19.6131,19.6558,19.4849,19.4876,233500,45.6
2013-03-08,19.2712,19.6558,19.2712,19.4876,35110,45.6
2013-03-11,19.5276,19.6558,19.3567,19.4876,85580,45.6
2013-03-12,19.6558,19.7413,19.4849,19.573,235000,45.8
2013-03-13,19.6131,19.6131,19.4849,19.573,199990,45.8
2013-03-14,19.4849,19.6131,19.3567,19.573,156780,45.8
2013-03-15,19.5703,19.6985,19.5276,19.5303,200740,45.7
2013-03-18,19.6558,20.2113,19.6131,20.0859,429120,47
2013-03-19,20.0831,21.0232,20.0831,20.9406,533560,49
2013-03-20,21.2368,22.2196,20.9377,22.009,419370,51.5
2013-03-21,22.006,22.006,21.3223,21.3679,540040,50
2013-03-22,21.365,22.4333,21.3223,21.5816,671960,50.5
2013-03-25,22.006,22.2196,21.3223,21.3679,472830,50
