date,open,high,low,close,volume,close_raw
2018-01-18,10.0835,10.0835,10.0835,10.0842,31140,30.1
2018-01-19,10.787,10.787,10.787,10.7878,91830,32.2
2018-01-22,11.5408,11.5408,11.256,11.5416,3619740,34.45
2018-01-25,11.725,11.926,11.0215,11.3573,2264840,33.9
2018-01-26,11.3565,11.3565,10.72,10.8883,2515140,32.5
2018-01-29,10.787,10.8875,10.4855,10.4862,1873480,31.3
2018-01-30,10.452,10.4855,10.184,10.2182,1469010,30.5
2018-01-31,10.2175,10.921,10.2175,10.6202,1380700,31.7
2018-02-01,10.452,10.72,10.2175,10.2517,924090,30.6
2018-02-02,10.318,10.318,10.05,10.2015,1011970,30.45
2018-02-05,10.2008,10.2008,9.4973,9.4979,1560570,28.35
2018-02-06,9.4973,9.5475,8.844,9.4979,4346230,28.35
2018-02-07,9.983,9.983,9.581,9.8162,825060,29.3
2018-02-08,9.715,10.05,9.4638,9.7492,715180,29.1
2018-02-09,9.514,10.117,9.246,10.1177,966160,30.2
2018-02-12,10.1505,10.2845,9.983,10.2182,509950,30.5
2018-02-13,10.251,10.5525,10.2175,10.3857,343770,31
2018-02-21,10.8875,10.8875,10.251,10.5532,249530,31.5
2018-02-22,10.4185,10.72,10.385,10.5197,934440,31.4
2018-02-23,10.519,10.6028,10.519,10.5867,617110,31.6
2018-02-26,10.9545,10.9545,10.653,10.7208,726590,32
2018-02-27,10.72,10.7703,10.586,10.6873,557360,31.9
2018-02-28,10.6865,10.72,10.6028,10.6035,743520,31.65
2018-03-01,10.6865,10.854,10.586,10.8548,1127400,32.4
2018-03-02,10.854,11.5575,10.7535,11.5583,1447690,34.5
2018-03-05,11.591,11.8925,11.3565,11.3573,1710930,33.9
2018-03-06,11.457,11.926,11.3565,11.8598,1751220,35.4
2018-03-07,11.725,11.8925,11.6915,11.8933,1741430,35.5
2018-03-08,11.8925,12.06,11.8925,11.9268,1415170,35.6
2018-03-09,12.0265,12.1605,11.9428,12.0273,1661360,35.9
