date,open,high,low,close,volume,close_raw
2020-03-17,9.8202,10.0832,8.4173,9.8209,1626550,11.2
2020-03-18,10.0832,10.0832,9.1626,9.2071,1432550,10.5
2020-03-19,9.031,9.031,8.5926,8.5933,858400,9.8
2020-03-20,8.5926,8.768,7.9964,8.0058,1380930,9.13
2020-03-23,7.558,7.5668,7.4528,7.4534,1698240,8.5
2020-03-24,7.2336,7.7948,7.2336,7.6288,683830,8.7
2020-03-25,7.7158,7.9789,7.6369,7.8041,1559590,8.9
2020-03-26,7.7158,7.8824,7.4966,7.4972,811930,8.55
2020-03-27,7.5405,7.8912,7.33,7.4183,612810,8.46
2020-03-30,7.2336,7.5405,6.9004,7.278,1792710,8.3
2020-03-31,7.0144,7.6282,7.0144,7.3482,572600,8.38
2020-04-03,7.5405,7.8035,7.4528,7.6288,356910,8.7
2020-04-06,7.7158,7.9789,7.672,7.9795,591020,9.1
2020-04-07,7.9789,7.9789,7.7246,7.8568,277730,8.96
2020-04-08,7.8035,7.8824,7.7158,7.8831,212500,8.99
2020-04-09,7.9789,8.3559,7.9701,8.2864,574950,9.45
2020-04-10,8.7242,8.8557,8.6803,8.8564,934920,10.1
2020-04-13,9.4694,9.4694,8.8995,8.9002,2160110,10.15
2020-04-14,9.1187,9.5133,8.768,9.4702,957110,10.8
2020-04-15,9.2064,9.9078,9.2064,9.7771,788140,11.15
2020-04-16,9.6448,9.7763,9.2941,9.4702,634220,10.8
2020-04-17,9.6886,9.7763,9.3818,9.4702,649460,10.8
2020-04-20,9.6448,9.864,9.3818,9.3825,1221230,10.7
2020-04-21,9.2941,9.3818,8.7329,8.7336,1336580,9.96
2020-04-22,8.505,9.1187,8.4173,8.8125,867890,10.05
2020-04-23,9.031,9.0749,8.768,8.8564,653970,10.1
2020-04-24,8.8557,8.8995,8.7242,8.7336,837180,9.96
2020-04-27,8.8557,9.3379,8.8557,9.3387,1663520,10.65
2020-04-28,9.6448,9.8202,9.3818,9.4702,1444690,10.8
2020-04-29,9.7763,9.9517,9.4694,9.7771,1497360,11.15
2020-05-04,9.5571,9.6448,9.2941,9.3825,951850,10.7
2020-05-05,9.3818,9.8202,8.768,9.7333,1071460,11.1
2020-05-06,9.7763,10.3901,9.7763,10.3909,2682000,11.85
2020-05-07,10.5216,11.0915,10.3462,10.9609,2699550,12.5
2020-05-08,10.96,11.0477,10.5216,10.5224,1499440,12
2020-05-11,10.8723,10.96,10.3024,10.8732,1857810,12.4
2020-05-12,10.697,11.1792,10.5654,10.9609,1423970,12.5
2020-05-13,10.96,11.4861,10.8723,11.0486,3516310,12.6
2020-05-14,11.0477,11.0477,10.7846,10.7855,1400950,12.3
2020-05-15,10.7846,10.9162,10.5216,10.5663,1116140,12.05
2020-05-18,10.5654,10.8285,10.3462,10.7855,680550,12.3
2020-05-19,11.0915,11.1792,10.7846,10.7855,2001060,12.3
2020-05-20,10.7846,11.2669,10.7846,11.2239,1345440,12.8
2020-05-21,11.3107,11.6176,11.1354,11.2239,2381570,12.8
