date,open,high,low,close,volume,close_raw
2018-01-05,7.4295,7.5438,6.9533,7.5446,32205910,39.6
2018-01-08,7.62,7.62,7.5438,7.5636,3321420,39.7
2018-01-09,7.5629,7.5819,7.4105,7.5732,4537340,39.75
2018-01-10,7.4676,7.6772,7.4486,7.678,8726070,40.3
2018-01-11,7.6962,8.0963,7.6772,8.0971,9874500,42.5
2018-01-12,8.1153,8.6582,8.1153,8.6591,18714750,45.45
2018-01-15,8.6678,8.7059,8.382,8.6687,6559820,45.5
2018-01-16,8.4963,8.6106,8.4677,8.5639,6271100,44.95
2018-01-17,8.5535,8.563,8.1344,8.1352,5794700,42.7
2018-01-18,8.1153,8.382,7.9439,8.3829,5371340,44
2018-01-19,8.4773,8.7821,8.4773,8.6115,6728810,45.2
2018-01-22,8.5344,8.6487,8.4392,8.6306,4402360,45.3
2018-01-25,8.6678,9.2012,8.5725,9.1069,10284390,47.8
2018-01-26,9.1059,9.1631,8.8202,8.9544,5637470,47
2018-01-29,8.9726,9.0488,8.8202,8.964,6592140,47.05
2018-01-30,8.963,8.963,8.7059,8.9544,6121930,47
2018-01-31,8.9345,8.9345,8.763,8.8782,5581950,46.6
2018-02-01,8.8773,8.8964,8.7249,8.7639,3428660,46
2018-02-02,8.763,8.763,8.6297,8.7639,4567580,46
2018-02-05,8.6106,8.6868,8.1534,8.1924,3353170,43
2018-02-06,7.8105,7.8677,7.62,7.8113,3906020,41
2018-02-07,8.0772,8.3534,8.0582,8.3543,4238270,43.85
2018-02-08,8.3534,8.7344,8.2868,8.5543,4667920,44.9
2018-02-09,8.3439,8.5154,8.0201,8.4972,3454800,44.6
2018-02-12,8.5154,8.9535,8.5058,8.8592,3436010,46.5
2018-02-13,8.944,8.944,8.6678,8.8782,5066980,46.6
2018-02-21,8.9345,8.9726,8.6678,8.8973,3263200,46.7
2018-02-22,8.8011,8.8011,8.5725,8.5734,2243860,45
2018-02-23,8.5725,8.8583,8.4487,8.4877,2175420,44.55
2018-02-26,8.4868,8.763,8.3153,8.3829,2378080,44
2018-02-27,8.4773,8.4963,8.1534,8.4781,1579540,44.5
2018-02-28,8.382,8.4773,8.1915,8.4591,2241390,44.4
2018-03-01,8.2487,8.382,8.2296,8.3734,2739770,43.95
2018-03-02,8.2868,8.2963,8.2296,8.2971,1808640,43.55
2018-03-05,8.3058,8.3249,8.1725,8.1924,2578830,43
2018-03-06,8.1915,8.2963,8.1534,8.2305,2479350,43.2
2018-03-07,8.2296,8.363,8.0391,8.0971,1357460,42.5
2018-03-08,8.1915,8.2868,7.9629,8.0971,2182740,42.5
2018-03-09,8.0201,8.2677,7.982,8.0971,1018640,42.5
2018-03-12,8.0963,8.1725,8.0391,8.0971,1427550,42.5
2018-03-13,8.0963,8.0963,8.0105,8.059,1687940,42.3
2018-03-14,8.0963,8.4296,8.0772,8.3829,5974370,44
2018-03-15,8.382,8.4963,8.382,8.4781,4347760,44.5
2018-03-16,8.5344,8.5344,8.4773,8.5353,2863300,44.8
2018-03-19,8.5344,8.6392,8.4392,8.6115,4333110,45.2
2018-03-20,8.5439,8.5535,8.382,8.3829,2666350,44
2018-03-21,8.382,8.4201,8.2201,8.2876,2119630,43.5
2018-03-22,8.2868,8.382,8.0963,8.0971,2881270,42.5
2018-03-23,8.001,8.0391,7.7915,8.0018,2122680,42
2018-03-26,7.8296,8.3249,7.8296,8.3257,3490240,43.7
2018-03-27,8.3249,8.563,8.3249,8.5353,4513810,44.8
