date,open,high,low,close,volume,close_raw
2010-02-02,2.6986,2.6986,2.6986,2.7031,5520,103
2010-02-03,2.8296,2.8296,2.8296,2.8343,10140,108
2010-02-04,2.9606,2.9606,2.9606,2.9655,11690,113
2010-02-05,3.013,3.0916,3.013,3.0968,269750,118
2010-02-08,3.013,3.0654,2.9606,3.018,74810,115
2010-02-09,3.013,3.013,2.882,2.8868,44920,110
2010-02-10,2.8296,2.882,2.8034,2.8343,162280,108
2010-02-11,2.8034,2.9082,2.751,2.8343,60500,108
2010-02-12,2.882,2.9606,2.882,2.9655,52600,113
2010-02-22,3.0392,3.0654,2.9606,3.0443,12690,116
2010-02-23,2.9344,3.013,2.9082,2.9131,61590,111
2010-02-24,2.9344,2.9606,2.882,2.9393,23840,112
2010-02-25,2.9868,3.0392,2.9082,2.9655,28790,113
2010-02-26,2.9868,2.9868,2.9344,2.9655,42360,113
2010-03-01,3.013,3.013,2.9606,2.9918,31430,114
2010-03-02,3.013,3.0392,2.9868,2.9918,64440,114
2010-03-03,3.013,3.0654,2.9868,3.0705,100070,117
2010-03-04,3.144,3.144,3.0916,3.0968,29400,118
2010-03-05,3.0916,3.2226,3.0916,3.228,125640,123
2010-03-08,3.275,3.3798,3.2226,3.3592,39760,128
2010-03-09,3.3536,3.3536,3.3012,3.3067,40470,126
2010-03-10,3.3012,3.4584,3.3012,3.4379,153290,131
2010-03-11,3.4846,3.5894,3.4584,3.5954,86700,137
2010-03-12,3.7204,3.7466,3.5894,3.7529,135890,143
2010-03-15,3.8252,3.93,3.8252,3.9366,100270,150
2010-03-16,3.8776,4.0086,3.7728,3.9103,135810,149
2010-03-17,4.0086,4.0086,3.8776,3.8841,90920,148
2010-03-18,3.8776,3.9562,3.799,3.9628,70030,151
2010-03-19,3.9824,3.9824,3.8776,3.8841,66350,148
2010-03-22,3.8252,3.8252,3.6942,3.7266,123570,142
2010-03-23,3.7204,3.7204,3.537,3.5692,191400,136
2010-03-24,3.5894,3.7204,3.5894,3.7266,189240,142
2010-03-25,3.6418,3.799,3.5894,3.7266,80310,142
2010-03-26,3.7204,3.7728,3.6942,3.7791,56800,144
2010-03-29,3.7728,3.8776,3.7466,3.8578,57820,147
2010-03-30,3.7466,3.8514,3.668,3.6741,103050,140
2010-03-31,3.668,3.7728,3.6418,3.6479,51530,139
2010-04-01,3.668,3.7466,3.6418,3.7529,53340,143
2010-04-02,3.8252,3.93,3.8252,3.9366,259190,150
2010-04-05,4.061,4.061,3.9038,4.0678,177200,155
2010-04-06,4.061,4.1396,4.0348,4.0415,132400,154
2010-04-07,4.061,4.0872,3.9562,4.0678,160400,155
2010-04-08,4.0872,4.1134,4.061,4.094,146000,156
2010-04-09,4.1134,4.2706,4.0872,4.2777,278650,163
