date,open,high,low,close,volume,close_raw
2012-02-15,3.2235,3.2235,3.0393,3.2252,57520,35
2012-02-16,3.1775,3.2235,3.1314,3.1331,40310,34
2012-02-17,3.0854,3.1498,3.0854,3.087,38440,33.5
2012-02-20,3.0669,3.0946,3.0393,3.0409,27100,33
2012-02-21,3.0301,3.0301,2.9472,2.9488,25160,32
2012-02-22,2.9472,2.9564,2.938,2.9488,8540,32
2012-02-23,2.9472,2.9472,2.9196,2.9303,4700,31.8
2012-02-24,2.9012,2.9012,2.9012,2.9027,20,31.5
2012-02-27,2.8275,3.0117,2.8275,3.0133,7900,32.7
2012-02-28,3.0393,3.1314,3.0117,3.1331,11640,34
2012-02-29,3.0117,3.1314,2.9933,3.1146,5060,33.8
2012-03-01,3.1222,3.2235,3.0393,3.2252,12310,35
2012-03-02,3.2419,3.3801,3.1222,3.3634,8190,36.5
2012-03-05,3.3617,3.4998,3.3617,3.5017,3160,38
2012-03-06,3.6287,3.6287,3.3248,3.3266,9240,36.1
2012-03-07,3.3248,3.3248,3.159,3.1607,5880,34.3
2012-03-08,3.0025,3.113,3.0025,3.0041,19060,32.6
2012-03-09,2.8735,3.113,2.8735,3.1146,12200,33.8
2012-03-12,3.113,3.2235,2.9748,3.2252,7480,35
2012-03-13,3.3524,3.3524,3.0854,3.345,4180,36.3
2012-03-14,3.4169,3.4169,3.1775,3.1791,11120,34.5
2012-03-15,3.0946,3.2235,3.0301,3.2252,1430,35
2012-03-16,3.2972,3.3064,3.2972,3.3082,13460,35.9
2012-03-19,3.1498,3.3064,3.1498,3.1884,2930,34.6
2012-03-20,3.2143,3.2235,3.0301,3.0317,6550,32.9
2012-03-21,2.9104,3.1775,2.9104,3.1791,4820,34.5
2012-03-22,3.2235,3.2235,3.2235,3.2252,500,35
2012-03-23,3.2235,3.2327,3.1314,3.216,205040,34.9
2012-03-26,3.2235,3.2235,3.0577,3.0594,1250,33.2
2012-03-27,2.984,3.2051,2.984,3.2068,370,34.8
2012-03-28,3.2051,3.2972,3.2051,3.2713,69550,35.5
2012-03-29,3.2511,3.2511,3.2143,3.2436,143090,35.2
2012-03-30,3.2235,3.2511,3.1498,3.1515,5730,34.2
2012-04-03,3.2788,3.3064,3.0669,3.1515,61270,34.2
2012-04-04,3.1406,3.1775,3.1406,3.1791,1730,34.5
2012-04-05,3.1314,3.2051,3.1314,3.2068,1090,34.8
2012-04-06,3.1682,3.2235,3.1682,3.2252,1240,35
2012-04-09,3.0946,3.2511,3.0761,3.2529,3020,35.3
2012-04-10,3.1038,3.2696,3.1038,3.2621,10150,35.4
2012-04-11,3.2603,3.2603,3.113,3.2529,2320,35.3
