date,open,high,low,close,volume
2005-11-02,99.01,99.01,99.01,99.01,9900
2005-11-04,98.43,98.43,98.43,98.43,4200
2005-11-07,98.46,98.46,98.46,98.46,20300
2005-11-09,97.66,97.66,97.66,97.66,9700
2005-11-11,97.66,97.66,97.66,97.66,400
2005-11-14,97.72,97.72,97.72,97.72,15300
2005-11-16,97.73,97.73,97.73,97.73,2900
2005-11-18,96.45,96.45,96.45,96.45,6500
2005-11-21,96.42,96.42,96.42,96.42,12900
2005-11-23,96.42,96.42,96.42,96.42,8600
2005-11-25,96.34,96.34,96.34,96.34,4500
2005-11-28,96.32,96.32,96.32,96.32,600
2005-11-30,93.14,93.14,93.14,93.14,7000
2005-12-02,92.98,92.98,92.98,92.98,4900
2005-12-05,92.35,92.35,92.35,92.35,12200
2005-12-07,92.35,92.35,92.35,92.35,7500
2005-12-09,91.4,91.4,91.4,91.4,7200
2005-12-12,91.24,91.24,91.24,91.24,2600
2005-12-14,90.34,90.34,90.34,90.34,5200
2005-12-16,90.25,90.25,90.25,90.25,7700
2005-12-19,90.08,90.08,90.08,90.08,16600
2005-12-21,89.93,89.93,89.93,89.93,8600
2005-12-23,95.46,95.46,95.46,95.46,1000
2005-12-26,91.5,91.5,91.5,91.5,4100
2005-12-28,91.5,91.5,91.5,91.5,32600
2005-12-30,96.24,96.24,96.24,96.24,51200
2006-01-04,91.3,91.3,91.3,91.3,2100
2006-01-06,90.93,90.93,90.93,90.93,1600
2006-01-09,90.79,90.79,90.79,90.79,100
2006-01-11,90.79,90.79,90.79,90.79,400
2006-01-13,90.55,90.55,90.55,90.55,400
2006-01-16,93.52,93.52,93.52,93.52,9000
2006-01-18,93.67,93.67,93.67,93.67,3900
2006-01-20,93.58,93.58,93.58,93.58,29000
2006-01-23,93.58,93.58,93.58,93.58,4900
2006-01-25,94.06,94.06,94.06,94.06,10300
2006-02-06,95.72,95.72,95.72,95.72,24100
2006-02-08,96.31,96.31,96.31,96.31,24700
2006-02-10,97.55,97.55,97.55,97.55,17600
2006-02-13,97.44,97.44,97.44,97.44,11600
2006-02-15,98.33,98.33,98.33,98.33,14100
2006-02-17,97.14,97.14,97.14,97.14,8600
2006-02-20,97.22,97.22,97.22,97.22,4000
2006-02-22,94.56,94.56,94.56,94.56,21600
2006-02-24,94.43,94.43,94.43,94.43,21900
