date,open,high,low,close,volume,close_raw
2007-11-15,1.82,1.82,1.526,1.7868,1306330,127
2007-11-16,1.694,1.694,1.694,1.7024,248510,121
2007-11-19,1.61,1.61,1.61,1.618,120480,115
2007-11-20,1.54,1.54,1.54,1.5476,58710,110
2007-11-21,1.47,1.596,1.47,1.6039,728080,114
2007-11-22,1.596,1.596,1.54,1.6039,266040,114
2007-11-23,1.554,1.596,1.54,1.5476,106370,110
2007-11-26,1.512,1.54,1.498,1.5336,135430,109
2007-11-27,1.512,1.512,1.47,1.4773,262120,105
2007-11-28,1.484,1.498,1.484,1.5054,131020,107
2007-11-29,1.498,1.512,1.484,1.5054,128110,107
2007-11-30,1.484,1.484,1.47,1.4914,114720,106
2007-12-03,1.498,1.498,1.484,1.4914,68710,106
2007-12-04,1.47,1.484,1.47,1.4773,125040,105
2007-12-05,1.442,1.47,1.442,1.4632,112160,104
2007-12-06,1.498,1.498,1.456,1.4773,76580,105
2007-12-07,1.442,1.47,1.428,1.4351,133400,102
2007-12-10,1.4,1.414,1.365,1.3718,156420,97.5
2007-12-11,1.323,1.351,1.302,1.3085,184520,93
2007-12-12,1.239,1.358,1.239,1.3225,307780,94
2007-12-13,1.316,1.316,1.26,1.2733,130410,90.5
2007-12-14,1.26,1.281,1.26,1.2803,81260,91
2007-12-17,1.2922,1.2993,1.278,1.2803,87220,90
2007-12-18,1.278,1.3135,1.2709,1.3159,104160,92.5
2007-12-19,1.349,1.3774,1.3348,1.3799,217360,97
2007-12-20,1.3774,1.3845,1.3277,1.3372,105030,94
2007-12-21,1.3135,1.3632,1.3135,1.3372,114130,94
2007-12-24,1.3561,1.3561,1.3348,1.3515,166920,95
2007-12-25,1.349,1.3561,1.3348,1.3372,109460,94
2007-12-26,1.2922,1.3348,1.2922,1.3372,157680,94
2007-12-27,1.3348,1.349,1.3348,1.3372,86100,94
2007-12-28,1.3348,1.349,1.3348,1.3515,81580,95
2008-01-02,1.349,1.3632,1.349,1.3586,174750,95.5
2008-01-03,1.3703,1.3703,1.3632,1.3657,172390,96
2008-01-04,1.3774,1.3774,1.3632,1.3799,221230,97
2008-01-07,1.3916,1.3987,1.3774,1.4012,434240,98.5
2008-01-08,1.3987,1.4626,1.3987,1.4653,364540,103
2008-01-09,1.4626,1.5336,1.4058,1.5364,595940,108
2008-01-10,1.5194,1.5194,1.4626,1.5222,476150,107
2008-01-11,1.5052,1.5478,1.491,1.5079,467570,106
2008-01-14,1.5194,1.5194,1.491,1.5079,283070,106
2008-01-15,1.4768,1.4768,1.4342,1.4368,306310,101
2008-01-16,1.4626,1.5052,1.4626,1.4937,441980,105
2008-01-17,1.4768,1.4768,1.42,1.4226,158820,100
2008-01-18,1.3916,1.4484,1.3916,1.451,141170,102
2008-01-21,1.4342,1.4484,1.42,1.4226,71040,100
2008-01-22,1.3774,1.3916,1.3774,1.3799,83260,97
2008-01-23,1.3632,1.3632,1.3135,1.3159,119690,92.5
2008-01-24,1.3632,1.3632,1.3206,1.323,95130,93
2008-01-25,1.3135,1.3348,1.3135,1.323,82650,93
2008-01-28,1.349,1.349,1.3206,1.3301,41020,93.5
2008-01-29,1.3348,1.3561,1.3348,1.3586,120000,95.5
2008-01-30,1.42,1.42,1.3916,1.4226,362700,100
2008-01-31,1.349,1.3916,1.349,1.3941,82360,98
2008-02-01,1.4342,1.4342,1.4058,1.4368,192380,101
2008-02-12,1.4484,1.4484,1.4058,1.4226,104780,100
2008-02-13,1.4058,1.4058,1.3774,1.3799,150700,97
2008-02-14,1.3774,1.3916,1.3774,1.387,102680,97.5
2008-02-15,1.3774,1.3845,1.3774,1.3799,184330,97
2008-02-18,1.3135,1.3277,1.3135,1.323,209000,93
2008-02-19,1.2922,1.3206,1.2922,1.3159,86310,92.5
2008-02-20,1.3135,1.3206,1.2496,1.2519,92170,88
2008-02-21,1.1928,1.1928,1.1928,1.195,62400,84
2008-02-22,1.136,1.1502,1.136,1.1523,233220,81
2008-02-25,1.1928,1.207,1.1928,1.2092,231520,85
2008-02-26,1.207,1.207,1.1644,1.1665,250540,82
2008-02-27,1.1644,1.1999,1.1644,1.1807,92710,83
2008-02-28,1.1928,1.1928,1.1715,1.1736,50120,82.5
2008-02-29,1.1573,1.1644,1.136,1.1452,150350,80.5
2008-03-03,1.0863,1.0934,1.0863,1.0883,201920,76.5
2008-03-04,1.0366,1.0366,1.0366,1.0385,107190,73
2008-03-05,0.9869,1.0082,0.9869,1.0029,280760,70.5
2008-03-06,1.0508,1.0508,1.0508,1.0527,25170,74
2008-03-07,1.1005,1.1005,1.1005,1.1025,428080,77.5
2008-03-10,1.1502,1.1502,1.1502,1.1523,420740,81
2008-03-11,1.1786,1.1786,1.1431,1.1452,240380,80.5
2008-03-12,1.1502,1.1928,1.1502,1.1665,299590,82
2008-03-13,1.1786,1.1786,1.1502,1.1736,153220,82.5
2008-03-14,1.1502,1.1644,1.1502,1.1523,103180,81
2008-03-17,1.1076,1.1147,1.0934,1.0954,136120,77
2008-03-18,1.0437,1.0579,1.0437,1.0456,287080,73.5
2008-03-19,1.0934,1.0934,1.0437,1.0456,179640,73.5
2008-03-20,1.0295,1.065,1.0295,1.0314,165210,72.5
2008-03-21,1.0295,1.0295,0.9798,0.9816,269270,69
