date,open,high,low,close,volume,close_raw
2008-04-11,5.111,5.38,2.569,4.2395,117200,31.5
2008-04-16,3.6046,3.6046,3.6046,3.6069,1600,26.8
2008-04-17,3.497,3.6315,3.497,3.4992,70900,26
2008-04-18,3.4163,3.497,3.4163,3.4185,12200,25.4
2008-04-21,3.3222,3.3222,3.3222,3.3243,800,24.7
2008-04-24,3.228,3.228,3.228,3.2301,900,24
2008-05-16,3.1339,3.1339,3.1339,3.1359,500,23.3
2008-06-13,3.052,3.052,3.052,3.0528,1000,22.1
2008-06-16,2.9692,2.9692,2.9692,2.9699,800,21.5
2008-06-17,2.8863,2.8863,2.8863,2.887,900,20.9
2008-06-24,2.7758,2.7758,2.7758,2.7765,5300,20.1
2008-06-26,2.6653,2.6653,2.6653,2.666,8000,19.3
2008-07-02,2.5687,2.5687,2.5687,2.5693,2100,18.6
2008-07-04,2.472,2.472,2.472,2.4726,700,17.9
2008-07-07,2.3753,2.3753,2.3753,2.3759,1000,17.2
2008-07-09,2.2925,2.2925,2.2925,2.2931,100,16.6
2008-07-10,2.2096,2.2096,2.2096,2.2102,1400,16
2008-07-11,2.1267,2.1267,2.1267,2.1273,600,15.4
2008-07-14,2.0439,2.0577,2.0439,2.0582,71900,14.9
2008-07-15,2.1129,2.1129,1.9748,2.1135,45500,15.3
2008-07-16,2.1129,2.1682,2.0025,2.1135,28100,15.3
2008-07-17,2.0715,2.1129,1.9748,1.9753,24800,14.3
2008-07-18,1.9886,1.9886,1.9886,1.9892,8500,14.4
2008-07-21,1.9196,1.9196,1.9196,1.9201,1000,13.9
2008-07-22,1.8505,1.8505,1.8505,1.851,100,13.4
2008-07-23,1.7815,1.7815,1.7815,1.782,100,12.9
2008-07-24,1.7124,1.7124,1.7124,1.7129,100,12.4
2008-07-25,1.6572,1.6572,1.6572,1.6576,7200,12
2008-07-28,1.602,1.602,1.602,1.6024,300,11.6
2008-07-29,1.5467,1.5882,1.5467,1.5886,38600,11.5
2008-07-30,1.4915,1.5467,1.4915,1.4919,15800,10.8
