date,open,high,low,close,volume,close_raw
2019-12-10,9.3,10,9.3,9.501,66900,19
2019-12-11,9.45,9.75,9.45,9.751,35200,19.5
2019-12-13,9.65,9.75,9.25,9.551,25600,19.1
2019-12-16,9.6,9.6,9.3,9.3009,48500,18.6
2019-12-17,9.3,9.35,9.3,9.3509,19200,18.7
2019-12-18,9.45,9.45,9,9.1509,46500,18.3
2019-12-19,9.05,9.15,9.05,9.1509,1100,18.3
2019-12-20,9.05,9.1,9,9.1009,43800,18.2
2019-12-23,9.2,9.3,9.1,9.1009,64700,18.2
2019-12-24,9.1,9.25,9.1,9.2509,39800,18.5
2019-12-25,9.25,9.6,9.05,9.601,74800,19.2
2019-12-26,9.15,9.6,9.1,9.601,73300,19.2
2019-12-27,9.15,9.4,9.1,9.401,27200,18.8
2019-12-30,9.25,9.45,9.05,9.451,52100,18.9
2019-12-31,9.15,9.45,9.1,9.451,72500,18.9
2020-01-02,9.45,9.45,9.2,9.2009,20300,18.4
2020-01-03,9.3,9.3,9.15,9.1509,13000,18.3
2020-01-06,9.1,9.1,9.05,9.0509,16000,18.1
2020-01-07,8.8,8.9,8.8,8.9009,3000,17.8
2020-01-08,8.9,8.9,8.8,8.8009,16600,17.6
2020-01-09,8.9,9,8.8,9.0009,17300,18
2020-01-10,8.8,9,8.8,9.0009,3600,18
2020-01-13,9,9,9,9.0009,500,18
2020-01-14,9,9.05,8.9,8.9009,21600,17.8
2020-01-15,8.85,9.1,8.85,8.9509,46200,17.9
2020-01-16,9.15,9.15,8.9,8.9009,17600,17.8
2020-01-17,8.95,9.1,8.9,9.0009,11300,18
2020-01-20,8.8,8.95,8.8,8.9509,6000,17.9
2020-01-21,8.95,8.95,8.8,8.9009,23700,17.8
2020-01-22,9.25,9.25,9.25,9.2509,100,18.5
2020-02-03,8.65,8.8,8.65,8.7509,12000,17.5
2020-02-04,9.2,9.2,8.8,8.8009,20500,17.6
2020-02-05,8.85,8.85,8.7,8.7009,14201,17.4
2020-02-06,8.75,8.85,8.7,8.8509,7800,17.7
2020-02-07,8.85,9.05,8.8,9.0509,36600,18.1
2020-02-10,8.9,8.9,8.9,8.9009,5000,17.8
2020-02-11,9.5,9.5,9.05,9.1509,44801,18.3
2020-02-12,9.25,9.25,9.25,9.2509,1000,18.5
2020-02-13,9.15,9.25,9.15,9.2509,5700,18.5
2020-02-14,9.25,9.25,9.15,9.1509,8000,18.3
2020-02-17,9.15,9.15,9.05,9.1009,10000,18.2
2020-02-18,9.2,9.2,9.2,9.2009,9400,18.4
2020-02-19,9.2,9.25,9.1,9.2009,16200,18.4
2020-02-20,9.25,9.25,9.1,9.2509,15100,18.5
2020-02-21,9.25,9.25,9.15,9.2509,6500,18.5
2020-02-24,9.4,9.4,8.85,9.2009,16100,18.4
2020-02-25,9.15,9.2,8.95,9.2009,37700,18.4
2020-02-26,9.05,9.05,9,9.0009,5000,18
2020-02-27,9,9,9,9.0009,5000,18
2020-02-28,9.05,9.2,9,9.2009,21100,18.4
2020-03-02,9.25,9.3,9,9.2009,80300,18.4
2020-03-03,9.2,9.2,9.05,9.2009,42200,18.4
2020-03-04,9.05,9.15,9.05,9.0509,600,18.1
2020-03-05,9.1,9.1,9,9.0009,57613,18
2020-03-06,9.1,9.1,9,9.0009,20616,18
2020-03-09,8.9,9,8.8,9.0009,103100,18
2020-03-10,9,9.1,9,9.0009,109600,18
2020-03-11,9,9,8.9,9.0009,57600,18
2020-03-12,9.25,9.25,8.5,8.9009,28100,17.8
2020-03-13,8.5,8.8,8.1,8.8009,14000,17.6
2020-03-16,8.75,8.75,8.5,8.7509,6000,17.5
2020-03-17,8.55,8.55,8.5,8.5509,5100,17.1
2020-03-18,8.5,8.55,8.5,8.5509,19800,17.1
2020-03-19,8.5,8.55,8.5,8.5009,1200,17
2020-03-20,8.5,8.5,8.45,8.4509,632,16.9
2020-03-23,8.15,8.4,8.15,8.4009,17400,16.8
2020-03-24,8.85,8.85,8.3,8.3008,11110,16.6
2020-03-25,8.7,8.7,8.25,8.2508,11800,16.5
2020-03-26,8.15,8.15,8.1,8.1508,10000,16.3
2020-03-27,8.15,8.15,8.15,8.1508,4500,16.3
2020-03-30,8.05,8.1,8,8.0508,29900,16.1
2020-03-31,8.05,8.1,8,8.0008,10600,16
2020-04-01,8,8,7.9,7.9008,35800,15.8
2020-04-03,7.9,7.9,7.9,7.9008,1000,15.8
2020-04-08,7.9,8.5,7.9,8.5009,1100,17
2020-04-09,7.8,7.8,7.8,7.8008,100,15.6
2020-04-10,8.35,8.35,8.35,8.3508,200,16.7
2020-04-13,8.25,8.25,8.2,8.2508,3000,16.5
2020-04-14,8.2,8.3,8,8.0008,19200,16
2020-04-15,8,8.4,8,8.4009,10400,16.8
2020-04-16,8,8.4,8,8.3508,43569,16.7
2020-04-17,8.35,8.35,8,8.3508,22250,16.7
2020-04-20,8.35,8.65,8.3,8.6509,7208,17.3
2020-04-21,8.35,8.35,8,8.2508,13700,16.5
2020-04-22,7.9,8,7.5,8.0008,24700,16
2020-04-23,8,8.2,8,8.2008,5200,16.4
2020-04-24,8,8.3,8,8.3008,37469,16.6
2020-04-27,8.2,8.8,8.2,8.6009,37000,17.2
2020-04-28,8.5,8.6,8.5,8.6009,11000,17.2
2020-04-29,8.6,8.95,8.55,8.5509,7619,17.1
2020-05-04,8.25,8.3,8.25,8.3008,3600,16.6
2020-05-05,8.65,8.65,8.3,8.4509,3000,16.9
2020-05-06,8.45,8.45,8.3,8.3008,13500,16.6
2020-05-07,8.35,8.4,8.35,8.4009,3609,16.8
2020-05-08,8.4,8.5,8.4,8.4509,8400,16.9
2020-05-11,8.55,8.55,8.5,8.5509,12210,17.1
2020-05-12,8.5,8.5,8.45,8.4509,21700,16.9
2020-05-13,9.1,9.1,8.4,8.5009,24600,17
2020-05-14,8.45,8.5,8.45,8.4509,19500,16.9
2020-05-15,8.5,8.5,8.35,8.3508,4100,16.7
2020-05-18,8.5,8.65,8.3,8.5009,56000,17
2020-05-19,8.55,8.6,8.55,8.6009,500,17.2
2020-05-20,8.9,8.9,8.6,8.6009,2600,17.2
2020-05-21,8.55,8.65,8.5,8.5509,6700,17.1
2020-05-22,8.55,8.65,8.55,8.6009,22400,17.2
2020-05-25,8.6,9.25,8.6,8.9509,49010,17.9
2020-05-26,9,9.2,9,9.2009,29990,18.4
2020-05-27,9.2,9.2,8.9,8.9009,17200,17.8
2020-05-28,8.9,8.9,8.5,8.5509,183109,17.1
2020-05-29,8.65,8.7,8.6,8.6509,23402,17.3
2020-06-01,8.75,9.2,8.7,9.1509,52720,18.3
2020-06-02,9.15,9.8,9.15,9.751,155201,19.5
2020-06-03,10,10.7,9.45,9.801,63419,19.6
2020-06-04,9.75,9.8,9.5,9.751,28750,19.5
2020-06-05,9.5,9.5,9.4,9.501,26801,19
2020-06-08,9.55,9.9,9.45,9.901,55810,19.8
2020-06-09,9.9,9.9,9.55,9.551,44900,19.1
2020-06-10,9.5,9.6,9.5,9.601,12700,19.2
2020-06-11,9.25,9.6,9.2,9.2009,36200,18.4
2020-06-12,9,9.1,8.95,9.0509,15510,18.1
2020-06-15,9.05,9.1,8.85,9.0009,15203,18
2020-06-16,9,9.15,8.95,9.1509,11100,18.3
2020-06-17,9.1,9.25,9,9.2509,11500,18.5
2020-06-18,9.25,9.25,9.25,9.2509,8015,18.5
2020-06-19,9.25,9.25,9.25,9.2509,4000,18.5
2020-06-22,9.25,9.3,9.15,9.2009,3000,18.4
2020-06-23,9.25,9.25,9.15,9.1509,14500,18.3
2020-06-24,9.25,9.25,9.1,9.1009,11600,18.2
2020-06-25,9,9.15,9,9.0009,20200,18
2020-06-26,9,9.05,9,9.0009,9500,18
2020-06-29,9,9.15,8.75,9.0009,33201,18
2020-06-30,8.95,9,8.95,9.0009,17500,18
2020-07-01,9,9,8.85,8.8509,15700,17.7
2020-07-02,9,9.6,9,9.601,39400,19.2
2020-07-03,9.6,10,9.6,9.851,72524,19.7
2020-07-06,9.9,9.9,9.7,9.701,3710,19.4
2020-07-07,9.5,9.7,9.5,9.701,7590,19.4
2020-07-08,9.55,9.6,9.5,9.501,3800,19
2020-07-09,9.5,9.75,9.5,9.701,15320,19.4
2020-07-10,9.7,9.7,9.7,9.701,100,19.4
2020-07-13,9.7,9.7,9.55,9.701,15910,19.4
2020-07-14,9.7,9.85,9.6,9.751,11610,19.5
2020-07-15,9.7,9.85,9.7,9.851,3100,19.7
2020-07-16,9.9,9.9,9.55,9.551,4400,19.1
2020-07-17,9.55,9.85,9.55,9.801,7110,19.6
2020-07-20,9.65,9.8,9.6,9.801,6324,19.6
2020-07-21,9.8,9.8,9.55,9.651,11300,19.3
2020-07-22,9.9529,9.9529,9.6482,9.8517,6400,19.4
2020-07-23,9.9529,9.9529,9.6482,9.8517,400,19.4
2020-07-24,9.699,9.699,9.2927,9.6486,50300,19
2020-07-27,9.2927,9.5466,9.1912,9.547,11200,18.8
2020-07-28,9.4451,9.5466,9.2927,9.547,23500,18.8
2020-07-29,9.3943,9.4959,9.3435,9.4962,6600,18.7
2020-07-30,9.4451,9.4959,9.4451,9.4962,91010,18.7
2020-07-31,9.4959,9.4959,9.4959,9.4962,1500,18.7
2020-08-03,9.4959,9.5974,9.4959,9.5978,5000,18.9
2020-08-04,9.5974,9.5974,9.5974,9.5978,8000,18.9
2020-08-05,9.6482,9.6482,9.5974,9.5978,19900,18.9
2020-08-06,9.6482,9.6482,9.5974,9.5978,219,18.9
2020-08-07,9.5974,9.5974,9.5974,9.5978,59600,18.9
2020-08-10,9.5974,9.9021,9.5974,9.9025,26200,19.5
2020-08-11,10.3083,10.3083,10.0544,10.0548,14264,19.8
2020-08-12,10.0544,10.0544,9.699,10.0548,6100,19.8
2020-08-13,9.9529,9.9529,9.9529,9.9533,4000,19.6
2020-08-14,10.0544,10.0544,9.8513,9.9025,17110,19.5
2020-08-17,9.9021,10.0037,9.9021,9.9025,5900,19.5
2020-08-18,10.0544,10.156,10.0037,10.1056,30900,19.9
2020-08-19,10.156,10.156,10.0544,10.1056,23200,19.9
2020-08-20,9.9021,9.9021,9.9021,9.9025,10000,19.5
2020-08-21,9.9021,10.0544,9.5466,9.9025,33900,19.5
2020-08-24,9.9021,9.9529,9.8513,9.9533,63900,19.6
2020-08-25,9.9529,10.0037,9.9529,10.0041,4501,19.7
2020-08-26,9.9529,10.9177,9.9529,10.9181,173579,21.5
2020-08-27,10.9177,11.6286,10.9177,11.426,173720,22.5
2020-08-28,11.6286,11.8825,11.3747,11.5275,209400,22.7
2020-08-31,11.5271,11.5271,11.1208,11.2736,46560,22.2
2020-09-01,11.07,11.4255,10.9177,11.3244,75400,22.3
2020-09-03,11.4255,11.4763,10.9685,11.172,39100,22
2020-09-04,11.1208,11.3747,11.07,11.2228,73944,22.1
2020-09-07,11.3239,12.1364,11.2224,11.7814,335520,23.2
2020-09-08,11.8825,12.0349,11.7302,11.7814,119475,23.2
2020-09-09,11.6794,11.9333,11.6794,11.7814,86310,23.2
2020-09-10,11.781,11.8825,11.5778,11.8322,73700,23.3
2020-09-11,11.6794,11.8317,11.5778,11.6799,79210,23
2020-09-14,11.6286,12.3395,11.4255,12.2892,504810,24.2
2020-09-15,12.4411,12.4411,12.1364,12.1369,173920,23.9
2020-09-16,12.1364,12.238,12.0349,12.1369,106500,23.9
2020-09-17,12.1364,12.1364,11.9841,12.0353,64552,23.7
2020-09-18,11.9841,12.1872,11.9841,12.0861,79200,23.8
2020-09-21,12.695,12.695,12.0349,12.1877,74800,24
2020-09-22,12.0856,12.1364,11.7302,12.0861,35800,23.8
2020-09-23,12.0856,12.1872,11.9841,12.0861,118350,23.8
2020-09-24,12.0856,12.1364,12.0856,12.0861,19800,23.8
2020-09-25,12.0856,12.1364,12.0349,12.0353,42510,23.7
2020-09-28,12.0349,12.0349,11.3239,11.9846,159510,23.6
2020-09-29,12.1364,12.1364,11.8317,11.9846,87300,23.6
2020-09-30,11.5778,12.0856,11.5271,11.9338,6700,23.5
2020-10-01,11.8825,11.9333,11.7302,11.9338,52400,23.5
2020-10-02,11.9841,11.9841,11.5778,11.883,19852,23.4
2020-10-05,11.8825,12.1872,11.6794,12.1877,131240,24
2020-10-06,12.3903,12.5427,12.1364,12.4924,243513,24.6
2020-10-07,12.5427,12.9489,12.1872,12.3908,194120,24.4
2020-10-08,12.3395,12.4411,12.1364,12.3908,111330,24.4
2020-10-09,11.8317,12.3395,11.8317,12.34,33330,24.3
2020-10-12,12.3395,12.3903,12.0856,12.1877,226012,24
2020-10-13,12.1364,12.1872,12.0349,12.1877,37000,24
2020-10-14,12.1872,12.4919,12.0856,12.2385,187600,24.1
2020-10-15,12.238,13.4567,12.1364,13.4572,803540,26.5
2020-10-16,13.5075,13.5075,12.8981,13.1525,162060,25.9
2020-10-19,13.0505,13.2536,12.9489,13.1525,183820,25.9
2020-10-20,13.1012,13.4059,12.9489,13.3557,323453,26.3
2020-10-21,13.4567,13.9645,13.2028,13.2033,292219,26
2020-10-22,13.4567,13.4567,13.2028,13.2033,189910,26
2020-10-23,13.2028,13.2536,13.0505,13.2033,230100,26
2020-10-26,13.152,13.2028,13.0505,13.1018,161020,25.8
2020-10-27,12.9489,13.2028,12.5427,12.8986,58300,25.4
2020-10-28,12.7966,13.1012,12.1872,12.9494,138700,25.5
2020-10-29,12.4411,12.9489,12.4411,12.8479,32900,25.3
2020-10-30,12.8981,12.8981,12.695,12.8986,14700,25.4
2020-11-02,12.8473,13.7106,12.8473,13.3049,496510,26.2
2020-11-03,13.6598,13.7106,13.3551,13.5588,102810,26.7
2020-11-04,13.6598,13.7106,13.5583,13.6096,39800,26.8
2020-11-05,13.609,13.609,13.2536,13.3049,76000,26.2
2020-11-06,13.3044,13.3551,13.2028,13.3557,15500,26.3
2020-11-09,13.4059,13.609,13.3551,13.4065,113030,26.4
2020-11-10,13.4059,13.9645,12.695,13.3557,355100,26.3
2020-11-11,13.3551,13.5075,13.3551,13.3557,141700,26.3
2020-11-12,13.4567,13.6598,13.3551,13.4065,256900,26.4
2020-11-13,13.4059,13.4567,13.3551,13.4572,233620,26.5
2020-11-16,13.4567,13.7614,13.4567,13.508,398150,26.6
2020-11-17,13.4567,13.4567,13.4059,13.4572,222600,26.5
2020-11-18,13.4567,13.6598,13.4567,13.6604,113500,26.9
2020-11-19,13.6598,14.6754,13.6598,14.219,311058,28
2020-11-20,14.2184,14.5231,13.8122,13.9651,463291,27.5
2020-11-23,13.5583,15.0309,13.5583,14.5744,988411,28.7
2020-11-24,14.5739,15.234,13.9645,13.9651,1025650,27.5
2020-11-25,14.5739,14.5739,13.9645,14.0158,3122401,27.6
2020-11-26,14.2184,15.3863,13.6598,13.6604,9683349,26.9
2020-11-27,14.9293,14.9801,14.4723,14.9807,1150031,29.5
2020-11-30,14.9801,15.1832,14.2184,14.2697,1536100,28.1
2020-12-01,14.1168,15.1324,13.7614,14.9807,2195040,29.5
2020-12-02,14.6754,16.4527,14.6754,16.4534,1871582,32.4
2020-12-03,16.5543,17.5191,16.3512,17.1135,1712540,33.7
2020-12-04,17.1636,17.2652,16.7066,16.7581,1122200,33
2020-12-07,16.7574,17.3668,16.2496,16.9104,1330791,33.3
2020-12-08,16.859,17.6207,16.3004,17.1643,964692,33.8
2020-12-09,17.2144,17.6207,16.859,16.9104,1611140,33.3
2020-12-10,16.9097,17.0621,16.5543,16.5549,1158450,32.6
2020-12-11,16.5035,16.7066,16.1988,16.4534,1693209,32.4
2020-12-14,16.4527,17.1636,16.4527,16.8089,904910,33.1
2020-12-15,16.8082,17.773,16.8082,17.7737,2529951,35
2020-12-16,17.773,18.2808,17.773,18.0276,1120710,35.5
2020-12-17,17.9761,18.23,17.5191,18.2307,1760830,35.9
2020-12-18,18.23,19.2964,18.1285,18.7386,2699655,36.9
2020-12-21,18.9409,19.4995,18.7378,19.5003,1341838,38.4
2020-12-22,19.4487,19.9058,19.2964,19.5003,1292595,38.4
2020-12-23,19.5503,19.5503,17.5699,18.6878,3191595,36.8
2020-12-24,19.1948,19.1948,17.2652,18.3831,1502652,36.2
2020-12-25,17.8746,18.7886,17.8746,18.5862,658408,36.6
2020-12-28,18.5855,18.7886,17.773,17.8753,1627570,35.2
2020-12-29,17.8238,18.8394,17.7222,18.2815,1617916,36
2020-12-30,18.3824,18.7378,17.9253,18.2815,875010,36
2020-12-31,18.1792,18.3316,17.9253,18.0276,490045,35.5
2021-01-04,18.2808,18.4839,18.0269,18.0276,2019630,35.5
2021-01-05,18.2808,19.0933,17.9761,19.0433,4002500,37.5
2021-01-06,19.1948,19.4995,19.0425,19.2972,2692430,38
2021-01-07,19.2964,19.855,19.0425,19.805,3167031,39
2021-01-08,19.8042,20.769,19.7534,20.7698,5595070,40.9
2021-01-11,20.769,22.8002,20.769,22.3949,6480571,44.1
2021-01-12,22.5971,22.851,21.937,22.2933,4155119,43.9
2021-01-13,22.2924,22.6987,21.4292,21.8871,5386202,43.1
2021-01-14,21.8862,22.2416,21.6831,21.8363,3564500,43
2021-01-15,21.8862,23.8666,21.8354,23.8676,6438361,47
2021-01-18,23.8666,24.3744,23.6635,23.9691,4632040,47.2
2021-01-19,23.9682,23.9682,21.5815,21.5824,11315306,42.5
2021-01-20,19.9058,21.8354,19.5503,21.5824,3169800,42.5
2021-01-21,21.8354,21.937,20.312,21.3285,6808315,42
2021-01-22,21.3276,22.0893,20.6167,21.3285,4924810,42
2021-01-25,21.3276,22.4448,20.7182,21.3792,6806111,42.1
2021-01-26,21.3784,21.5815,19.8042,20.0081,4088802,39.4
2021-01-27,20.0073,20.312,18.0269,18.0276,5165038,35.5
2021-01-28,17.773,17.773,16.2496,16.2502,3575932,32
2021-01-29,14.6246,17.8746,14.6246,17.8753,2745220,35.2
2021-02-01,17.8238,18.7886,17.1129,17.5706,3618622,34.6
2021-02-02,17.5699,18.4839,17.1636,18.4847,3118468,36.4
2021-02-03,19.0425,20.312,18.3316,20.3128,5296168,40
2021-02-04,20.3628,20.8198,19.5503,19.805,5952000,39
2021-02-05,19.8042,20.9721,19.3472,20.9222,5077117,41.2
2021-02-08,20.8198,21.0737,18.9917,19.5511,5723494,38.5
2021-02-09,19.398,20.769,18.7886,20.4144,6139440,40.2
2021-02-17,20.312,21.3784,20.1089,21.0745,6223358,41.5
2021-02-18,21.0737,21.226,20.6167,21.2269,7128960,41.8
2021-02-19,21.226,21.3276,20.7182,21.2269,6880503,41.8
2021-02-22,21.226,21.226,20.4643,20.8206,6385319,41
2021-02-23,20.8198,20.8198,20.2104,20.4144,5150120,40.2
2021-02-24,20.4136,20.7182,19.5503,19.805,6967710,39
2021-02-25,19.8042,19.9565,19.0425,19.3987,6020202,38.2
2021-02-26,19.398,19.8042,18.7886,19.7034,3209007,38.8
2021-03-01,19.8042,20.312,19.2964,20.262,3253010,39.9
2021-03-02,20.2104,20.6675,20.2104,20.3636,5006500,40.1
2021-03-03,20.312,20.312,20.0073,20.2112,3128446,39.8
2021-03-04,20.1597,20.2104,18.7886,19.348,5841700,38.1
2021-03-05,19.3472,19.3472,18.6363,18.7893,5808950,37
2021-03-08,18.9409,19.2964,18.8902,19.1956,2224028,37.8
2021-03-09,19.1948,19.4995,18.7886,19.1448,1686796,37.7
2021-03-10,19.1948,19.4995,18.9409,19.3987,2589839,38.2
2021-03-11,19.4487,19.5503,19.1441,19.1956,2819622,37.8
