date,open,high,low,close,volume,close_raw
2010-06-01,1.9148,1.9148,1.332,1.4346,5400,43
2010-06-02,1.5718,1.5718,1.372,1.3746,10600,41.2
2010-06-03,1.302,1.3154,1.302,1.3045,7100,39.1
2010-06-04,1.2155,1.2155,1.2121,1.2144,6300,36.4
2010-06-07,1.1289,1.1988,1.1289,1.2011,12600,36
2010-06-08,1.1988,1.1988,1.1655,1.1811,1200,35.4
2010-06-09,1.2321,1.2321,1.0989,1.1844,5700,35.5
2010-06-10,1.1655,1.1655,1.0989,1.101,1000,33
2010-06-11,1.0656,1.0656,1.0523,1.0543,4800,31.6
2010-06-14,0.999,1.0589,0.9857,1.061,12600,31.8
2010-06-15,1.0023,1.0323,0.999,1.0343,9900,31
2010-06-16,1.0823,1.0823,1.0823,1.0843,6300,32.5
2010-06-17,1.1489,1.1555,1.1489,1.1577,5500,34.7
2010-06-18,1.0756,1.1455,1.0756,1.1477,7000,34.4
2010-06-21,1.1755,1.1755,1.0989,1.1177,9800,33.5
2010-06-22,1.0989,1.0989,1.0256,1.0276,4500,30.8
2010-06-23,1.0989,1.0989,1.009,1.0176,10600,30.5
2010-06-24,1.0157,1.0656,0.999,1.0076,8600,30.2
2010-06-25,0.9824,0.9857,0.979,0.9842,1500,29.5
2010-06-28,0.969,1.049,0.9657,1.051,11900,31.5
2010-06-29,1.0623,1.0989,1.0323,1.101,65800,33
2010-06-30,1.1322,1.1755,1.0823,1.1711,32100,35.1
2010-07-01,1.1955,1.1988,1.1322,1.1444,17200,34.3
2010-07-02,1.1455,1.2388,1.1389,1.141,24700,34.2
2010-07-05,1.2155,1.2521,1.1655,1.2011,10900,36
2010-07-06,1.1988,1.2621,1.1555,1.1577,20500,34.7
2010-07-07,1.2121,1.2121,1.1289,1.131,11700,33.9
2010-07-08,1.1555,1.2121,1.0856,1.0977,22100,32.9
2010-07-09,1.1955,1.1955,1.1056,1.1143,19800,33.4
2010-07-12,1.1888,1.1921,1.1022,1.1043,19100,33.1
2010-07-13,1.1688,1.1688,1.1522,1.1577,23300,34.7
2010-07-14,1.1788,1.1788,1.1555,1.1744,78100,35.2
2010-07-15,1.1655,1.1655,1.1322,1.1577,7200,34.7
2010-07-16,1.1555,1.1555,1.1156,1.1177,10400,33.5
2010-07-19,1.1455,1.1455,1.0989,1.1077,11400,33.2
2010-07-20,1.1422,1.1622,1.0623,1.081,45900,32.4
2010-07-21,1.1322,1.1622,1.0689,1.071,32000,32.1
2010-07-22,1.1056,1.1056,1.0989,1.101,7000,33
2010-07-23,1.0523,1.0656,1.0256,1.0676,19200,32
2010-07-26,0.969,1.0323,0.969,0.9842,53300,29.5
2010-07-27,1.049,1.049,0.999,1.0009,18500,30
2010-07-28,1.049,1.0756,0.9824,0.9909,15500,29.7
2010-07-29,1.0456,1.0823,1.0456,1.0543,12800,31.6
2010-07-30,1.0656,1.0656,1.0057,1.0243,15300,30.7
2010-08-02,1.0989,1.0989,0.999,1.0009,17800,30
2010-08-03,1.0789,1.0789,0.999,1.0009,30800,30
2010-08-04,0.9824,0.9824,0.9624,0.9642,10100,28.9
2010-08-05,0.9058,0.989,0.9058,0.9876,27400,29.6
2010-08-06,0.9657,0.9957,0.9158,0.9675,7300,29
2010-08-09,0.9191,0.9191,0.9191,0.9208,11800,27.6
2010-08-10,0.959,0.959,0.8558,0.8574,35500,25.7
2010-08-11,0.8891,0.8891,0.8225,0.8241,29300,24.7
2010-08-12,0.8292,0.8325,0.7726,0.7941,27700,23.8
2010-08-13,0.7426,0.7659,0.7393,0.7674,23100,23
2010-08-16,0.7892,0.7892,0.7892,0.7907,10800,23.7
2010-08-17,0.8325,0.8325,0.7925,0.7941,3900,23.8
2010-08-18,0.7592,0.7659,0.7459,0.7674,6500,23
2010-08-19,0.716,0.7526,0.716,0.754,5700,22.6
2010-08-20,0.7426,0.7659,0.7326,0.7674,10800,23
2010-08-23,0.7493,0.7493,0.7493,0.7507,1000,22.5
2010-08-24,0.7393,0.7393,0.716,0.7273,11100,21.8
2010-08-25,0.6793,0.686,0.676,0.6873,9100,20.6
2010-08-26,0.6926,0.6926,0.6727,0.6806,14900,20.4
2010-08-27,0.6793,0.6926,0.666,0.694,19800,20.8
2010-08-30,0.686,0.7226,0.686,0.724,8900,21.7
2010-08-31,0.7226,0.7692,0.7226,0.7707,3500,23.1
2010-09-01,0.7493,0.7992,0.7493,0.8007,18200,24
2010-09-06,0.8159,0.8358,0.8159,0.8374,25500,25.1
2010-09-07,0.8225,0.8924,0.8225,0.8508,5600,25.5
