date,open,high,low,close,volume,close_raw
2007-12-18,33.488,33.696,33.488,33.6996,20000,162
2007-12-19,36.8992,36.8992,36.8992,36.9031,22000,177.4
2007-12-20,40.5808,40.5808,40.5808,40.5851,37800,195.1
2007-12-21,44.6368,44.6368,43.68,44.6416,14400,214.6
2007-12-24,48.36,48.36,43.9712,43.9759,2800,211.4
2007-12-25,41.9744,41.9744,41.9744,41.9789,6000,201.8
2007-12-26,37.7936,38.3968,37.7936,38.4009,7800,184.6
2007-12-27,37.648,41.5792,35.36,35.3638,3500,170
2007-12-28,35.36,40.5392,35.36,40.5435,4600,194.9
2008-01-02,44.0752,44.0752,41.6,41.6044,7400,200
2008-01-03,39.312,40.768,39.312,40.7723,6800,196
2008-01-04,40.768,40.768,40.768,40.7723,5100,196
2008-01-07,40.976,40.976,39.52,39.5242,7400,190
2008-01-08,40.768,40.976,37.44,39.3162,8900,189
2008-01-09,39.52,39.52,39.52,39.5242,300,190
2008-01-10,38.896,39.9152,38.896,39.5242,7100,190
2008-01-11,39.52,39.936,39.52,39.9403,1100,192
2008-01-14,39.936,39.936,37.544,37.548,5300,180.5
2008-01-15,39.4992,39.4992,39.4992,39.5034,7000,189.9
2008-01-16,38.272,39.7072,38.272,39.5242,19900,190
2008-01-17,40.144,40.144,38.688,39.5242,32500,190
2008-01-18,39.104,39.936,39.104,39.7322,37900,191
2008-01-21,40.144,40.144,39.52,39.9403,30300,192
2008-01-22,39.936,39.936,39.936,39.9403,30000,192
2008-01-23,39.728,39.728,38.48,38.4841,32900,185
2008-01-24,39.832,39.832,39.832,39.8362,33000,191.5
2008-01-25,39.728,39.728,39.728,39.7322,30500,191
2008-01-28,39.4576,39.4576,38.48,39.4618,31400,189.7
2008-01-29,40.144,40.144,39.52,39.5242,33200,190
2008-01-30,40.768,40.768,39.832,39.8362,38200,191.5
2008-01-31,40.56,40.664,40.56,40.6683,36000,195.5
2008-02-01,39.936,40.768,38.48,40.0443,36400,192.5
2008-02-12,41.6,41.6,38.48,38.4841,38700,185
2008-02-13,38.896,39.104,37.856,37.86,36500,182
2008-02-14,38.272,38.48,37.44,37.444,35700,180
2008-02-15,38.4384,38.4384,38.064,38.0681,41400,183
2008-02-18,38.1056,38.48,37.648,37.652,27100,181
2008-02-19,38.168,38.272,38.168,38.1721,25100,183.5
2008-02-20,38.2096,38.2512,38.2096,38.2553,27000,183.9
2008-02-21,37.3776,41.1424,37.232,37.236,30000,179
2008-02-22,37.648,37.752,37.648,37.756,32000,181.5
2008-02-25,38.688,38.688,37.9184,37.9224,40400,182.3
2008-02-26,37.3776,37.3984,34.528,34.5317,31200,166
