date,open,high,low,close,volume,close_raw
2008-04-23,4.053,4.053,2.2118,2.3519,97400,20.3
2008-04-24,2.3276,2.3276,2.3276,2.3287,22900,20.1
2008-04-25,2.2581,2.2581,2.2581,2.2592,6400,19.5
2008-04-28,2.2002,2.2234,2.2002,2.2129,21700,19.1
2008-04-29,2.1423,2.2581,2.1423,2.1434,32800,18.5
2008-05-05,2.1423,2.1423,2.1191,2.1202,11600,18.3
2008-05-06,2.0612,2.0612,2.0612,2.0623,11200,17.8
2008-05-07,2.0033,2.0033,2.0033,2.0043,700,17.3
2008-05-08,1.9454,1.9454,1.9454,1.9464,5000,16.8
2008-05-09,1.8875,1.8875,1.8875,1.8885,1500,16.3
2008-05-12,1.8412,1.8412,1.8412,1.8421,13900,15.9
2008-05-13,1.7949,1.7949,1.7949,1.7958,100,15.5
2008-05-14,1.7486,1.7486,1.7486,1.7495,1100,15.1
2008-05-15,1.7023,1.7023,1.7023,1.7031,10500,14.7
2008-05-16,1.6559,1.6559,1.6559,1.6568,24600,14.3
2008-05-19,1.6096,1.6096,1.6096,1.6104,4700,13.9
2008-05-20,1.5633,1.5633,1.5633,1.5641,2300,13.5
2008-05-21,1.517,1.517,1.517,1.5177,2500,13.1
2008-05-22,1.4822,1.4822,1.4822,1.483,3100,12.8
2008-05-23,1.4475,1.4475,1.4475,1.4482,3000,12.5
2008-05-26,1.4128,1.4128,1.4128,1.4135,4800,12.2
2008-05-27,1.378,1.4128,1.378,1.3787,18700,11.9
2008-05-28,1.3433,1.4128,1.3433,1.344,82100,11.6
2008-05-29,1.3085,1.3433,1.3085,1.3324,89800,11.5
2008-05-30,1.3549,1.3549,1.3317,1.3555,21200,11.7
2008-06-02,1.3896,1.3896,1.3201,1.3787,41700,11.9
2008-06-03,1.378,1.378,1.3317,1.3671,30100,11.8
2008-06-04,1.3317,1.3433,1.3201,1.3324,21000,11.5
2008-06-05,1.297,1.297,1.297,1.2976,16000,11.2
2008-06-06,1.2622,1.3085,1.2622,1.2629,23200,10.9
