date,open,high,low,close,volume,close_raw
2012-03-01,2.6699,3.2421,2.6699,3.2421,70100,22.1
2012-03-02,3.4475,3.4475,3.2274,3.2274,25700,22
2012-03-05,3.0807,3.3741,3.066,3.3008,86100,22.5
2012-03-06,3.3741,3.3741,3.1394,3.1541,20400,21.5
2012-03-07,3.0074,3.0074,2.9487,2.9634,36900,20.2
2012-03-08,2.8313,2.8607,2.7873,2.8607,34800,19.5
2012-03-09,2.846,2.9633,2.846,2.9047,207300,19.8
2012-03-12,2.934,3.0807,2.934,2.9927,136000,20.4
2012-03-13,2.9613,3.02,2.9613,2.978,93500,20.3
2012-03-14,2.9467,3.02,2.932,3.022,76700,20.6
2012-03-15,2.934,3.0807,2.934,3.0367,28700,20.7
2012-03-16,3.0367,3.2421,3.0367,3.2421,163100,22.1
2012-03-19,3.2714,3.4475,3.2714,3.4475,206500,23.5
2012-03-20,3.6382,3.6675,3.6088,3.6675,587300,25
2012-03-21,3.8996,3.8996,3.8556,3.9022,223800,26.6
2012-03-22,4.0343,4.0343,3.6382,3.6529,90300,24.9
2012-03-23,3.621,3.7236,3.5331,3.5648,109500,24.3
2012-03-26,3.5208,3.5355,3.3888,3.3888,165400,23.1
2012-03-27,3.3741,3.6235,3.3301,3.4328,103100,23.4
2012-03-28,3.3741,3.5501,3.3741,3.5062,29700,23.9
2012-03-29,3.5501,3.5501,3.4328,3.4328,117500,23.4
2012-03-30,3.4328,3.4768,3.4328,3.4475,44000,23.5
2012-04-03,3.4011,3.4891,3.4011,3.4621,36900,23.6
2012-04-04,3.4475,3.5061,3.4328,3.4328,46500,23.4
2012-04-05,3.4475,3.6675,3.4475,3.5208,56300,24
2012-04-06,3.5795,3.5795,3.4475,3.5208,102800,24
2012-04-09,3.5208,3.7409,3.5061,3.7409,259900,25.5
2012-04-10,3.7409,3.8876,3.6675,3.8142,85200,26
2012-04-11,3.7849,3.8142,3.6968,3.8142,65300,26
2012-04-12,3.8289,3.9316,3.8142,3.8436,164800,26.2
2012-04-13,3.9462,3.9462,3.7555,3.7996,116000,25.9
2012-04-16,3.8582,3.9902,3.8289,3.9756,183800,27.1
2012-04-17,4.1076,4.2396,4.0049,4.225,340200,28.8
2012-04-18,4.2367,4.2954,4.1488,4.1516,71400,28.3
2012-04-19,4.1516,4.181,4.0636,4.0636,106900,27.7
2012-04-20,4.0049,4.1076,4.0049,4.1076,50200,28
2012-04-23,4.1076,4.1223,4.0636,4.1223,58100,28.1
2012-04-24,4.0608,4.1488,4.0608,4.1516,24300,28.3
2012-04-25,4.2836,4.3277,4.181,4.2397,101300,28.9
2012-04-26,4.2983,4.3277,4.225,4.225,72200,28.8
2012-04-27,4.2543,4.4303,4.225,4.3864,151400,29.9
2012-05-02,4.6211,4.7091,4.5477,4.7091,220900,32.1
2012-05-03,4.9585,4.9731,4.489,4.7971,51700,32.7
2012-05-04,4.7237,4.7678,4.6651,4.6651,126300,31.8
2012-05-07,4.8704,5.0025,4.8704,5.0025,343100,34.1
2012-05-08,5.3399,5.3399,5.3399,5.3399,215800,36.4
2012-05-09,5.7066,5.7066,5.3399,5.4279,129300,37
2012-05-10,5.4719,5.5013,5.1345,5.1492,202400,35.1
2012-05-11,5.1785,5.1785,4.8411,4.9292,113200,33.6
2012-05-14,4.9585,4.9878,4.6211,4.6211,196200,31.5
2012-05-15,4.5446,4.7645,4.2954,4.2983,316600,29.3
2012-05-16,4.2543,4.5477,4.181,4.4744,161300,30.5
2012-05-17,4.4744,4.5477,4.2543,4.4744,108500,30.5
2012-05-18,4.3423,4.401,4.181,4.401,78800,30
2012-05-21,4.3717,4.6504,4.3717,4.6504,30400,31.7
2012-05-22,4.6504,4.7678,4.533,4.6651,161100,31.8
2012-05-23,4.4744,4.5184,4.3277,4.3277,60900,29.5
2012-05-24,4.401,4.401,4.225,4.2837,110100,29.2
2012-05-25,4.4744,4.577,4.4744,4.5771,133800,31.2
2012-05-28,4.6944,4.6944,4.5037,4.5037,94800,30.7
2012-05-29,4.4303,4.533,4.4157,4.4744,39600,30.5
2012-05-30,4.4744,4.533,4.445,4.5184,47700,30.8
2012-05-31,4.4744,4.533,4.401,4.4157,67600,30.1
2012-06-01,4.4597,4.4744,4.4157,4.4744,34800,30.5
2012-06-04,4.4157,4.4303,4.2543,4.2837,53500,29.2
2012-06-05,4.2836,4.401,4.2103,4.401,29100,30
2012-06-06,4.401,4.4744,4.3277,4.4744,9800,30.5
2012-06-07,4.5477,4.7678,4.5477,4.7678,213800,32.5
2012-06-08,4.7824,4.8411,4.6211,4.6358,98400,31.6
2012-06-11,4.6211,4.7384,4.6211,4.6651,49900,31.8
2012-06-12,4.6651,4.6944,4.533,4.5477,29500,31
2012-06-13,4.5037,4.5477,4.489,4.5037,32000,30.7
2012-06-14,4.5037,4.5184,4.4157,4.5184,51400,30.8
2012-06-15,4.489,4.6064,4.489,4.5331,133200,30.9
2012-06-18,4.7025,4.7966,4.7025,4.7232,68600,25.1
2012-06-19,4.7025,4.7025,4.6649,4.6667,16700,24.8
2012-06-20,4.6649,4.6649,4.6085,4.6667,9700,24.8
2012-06-21,4.6649,4.6649,4.5896,4.6103,9700,24.5
2012-06-22,4.5708,4.6085,4.458,4.6103,47100,24.5
2012-06-25,4.4204,4.4204,4.2511,4.2716,48800,22.7
2012-06-26,4.3075,4.4204,4.2699,4.4221,49300,23.5
2012-06-27,4.5708,4.5708,4.3827,4.4786,3300,23.8
2012-06-28,4.4956,4.5896,4.4956,4.5726,24400,24.3
2012-06-29,4.5708,4.5896,4.5144,4.5726,23500,24.3
2012-07-02,4.4392,4.4392,4.3639,4.3657,14700,23.2
2012-07-03,4.3639,4.4015,4.3075,4.3845,63600,23.3
2012-07-04,4.3263,4.3263,4.3075,4.328,24300,23
2012-07-05,4.3263,4.4392,4.2699,4.4409,48400,23.6
2012-07-06,4.5708,4.5896,4.3639,4.3657,17100,23.2
2012-07-09,4.3639,4.4204,4.3451,4.4221,28200,23.5
2012-07-10,4.4015,4.5144,4.4015,4.5162,11200,24
2012-07-11,4.552,4.552,4.5144,4.5162,2400,24
2012-07-12,4.5144,4.5708,4.5144,4.5726,15200,24.3
2012-07-13,4.4956,4.7025,4.4956,4.6667,42900,24.8
2012-07-16,4.6837,4.6837,4.5896,4.6291,25400,24.6
2012-07-17,4.6273,4.8342,4.6273,4.8173,127000,25.6
2012-07-18,4.8906,5.0035,4.7401,4.9678,178500,26.4
2012-07-19,4.9658,5.3044,4.9658,5.3065,265300,28.2
2012-07-20,5.3609,5.3985,5.1728,5.2313,196700,27.8
2012-07-23,5.2292,5.5113,5.2292,5.3065,256400,28.2
2012-07-24,5.2668,5.2668,5.0035,5.1184,115000,27.2
2012-07-25,5.1163,5.1351,5.0035,5.0807,77000,27
2012-07-26,5.0787,5.2104,5.0035,5.0619,63700,26.9
2012-07-27,5.0599,5.0787,4.9282,5.0243,58000,26.7
2012-07-30,4.9282,5.0035,4.853,4.9302,88500,26.2
2012-07-31,5.0223,5.0787,4.9282,4.9866,46400,26.5
2012-08-01,4.9094,4.9658,4.853,4.9678,51400,26.4
2012-08-02,4.947,5.0035,4.947,4.9678,28900,26.4
2012-08-03,4.9847,5.0223,4.9094,4.9866,26300,26.5
2012-08-06,5.0787,5.2104,5.0223,5.1372,111000,27.3
2012-08-07,5.1351,5.1916,5.0787,5.1372,115900,27.3
2012-08-08,5.1539,5.1916,5.1351,5.1936,48600,27.6
2012-08-09,5.3044,5.3044,5.1916,5.2313,125900,27.8
2012-08-10,5.2668,5.2668,5.1539,5.2124,21300,27.7
2012-08-13,5.1351,5.1351,5.0599,5.1372,40100,27.3
2012-08-14,5.1351,5.1728,5.0787,5.1748,31400,27.5
2012-08-15,5.0975,5.1728,5.0975,5.1748,21000,27.5
2012-08-16,5.1728,5.2104,5.0975,5.2124,46100,27.7
2012-08-17,5.1728,5.248,5.1728,5.2313,36100,27.8
2012-08-20,5.2668,5.3609,5.248,5.3253,94000,28.3
2012-08-21,5.3232,5.3232,4.9658,4.9866,377600,26.5
2012-08-22,4.9658,5.1539,4.9094,5.1184,82300,27.2
2012-08-23,5.0975,5.0975,4.7589,4.7796,275600,25.4
2012-08-24,4.7025,5.1163,4.7025,5.1184,101900,27.2
2012-08-27,4.9847,5.0787,4.947,5.0619,129300,26.9
2012-08-28,4.9658,5.0975,4.9658,5.0619,131100,26.9
2012-08-29,5.0787,5.248,5.0787,5.2124,155900,27.7
2012-08-30,5.1728,5.2856,5.1351,5.2313,101600,27.8
2012-08-31,5.1916,5.4173,5.1916,5.3253,327700,28.3
2012-09-04,5.4549,5.4549,5.3044,5.4383,196700,28.9
2012-09-05,5.4737,5.6054,5.342,5.5888,383200,29.7
2012-09-06,5.643,5.643,5.4173,5.4194,73900,28.8
2012-09-07,5.3797,5.4549,5.342,5.4383,93800,28.9
2012-09-10,5.4361,5.549,5.2292,5.2877,149200,28.1
2012-09-11,5.1728,5.3232,5.1728,5.2877,22900,28.1
2012-09-12,5.3985,5.4173,5.2856,5.3065,102800,28.2
2012-09-13,5.3044,5.4549,5.2856,5.4571,59900,29
2012-09-14,5.3985,5.5113,5.3985,5.4571,107900,29
2012-09-17,5.3797,5.4361,5.3609,5.363,80800,28.5
2012-09-18,5.2856,5.4361,5.2856,5.3065,116000,28.2
2012-09-19,5.248,5.342,5.248,5.3442,84500,28.4
2012-09-20,5.2668,5.3232,5.2668,5.2877,68100,28.1
2012-09-21,5.2856,5.342,5.2856,5.3065,44200,28.2
2012-09-24,5.2668,5.3044,5.2668,5.2689,31100,28
2012-09-25,5.2668,5.3232,5.248,5.2501,72600,27.9
2012-09-26,5.3232,5.3232,5.248,5.3065,64200,28.2
2012-09-27,5.2668,5.3044,5.248,5.2501,121500,27.9
2012-09-28,5.248,5.2668,5.2292,5.2501,39700,27.9
2012-10-01,5.248,5.248,5.2104,5.2313,89400,27.8
2012-10-02,5.2292,5.3044,5.2104,5.2877,107000,28.1
2012-10-03,5.2668,5.3044,5.248,5.2689,114900,28
2012-10-04,5.2668,5.2668,5.2292,5.2689,134600,28
2012-10-05,5.2668,5.2856,5.248,5.2689,39100,28
2012-10-08,5.2856,5.3232,5.2668,5.3065,123600,28.2
2012-10-09,5.2856,5.2856,5.248,5.2689,93700,28
2012-10-10,5.248,5.3044,5.2292,5.3065,90100,28.2
2012-10-11,5.2856,5.3609,5.2668,5.3065,189900,28.2
2012-10-12,5.2668,5.3044,5.248,5.2689,113200,28
2012-10-15,5.2856,5.2856,5.2292,5.2501,42000,27.9
2012-10-16,5.248,5.3044,5.248,5.2877,135500,28.1
2012-10-17,5.2668,5.2668,5.248,5.2501,105000,27.9
2012-10-18,5.2292,5.2668,5.2104,5.2313,134600,27.8
2012-10-19,5.2668,5.3797,5.2104,5.2501,133600,27.9
2012-10-22,5.2292,5.2292,5.1916,5.2313,140000,27.8
2012-10-23,5.2292,5.2292,5.1916,5.2124,115400,27.7
2012-10-24,5.2104,5.2104,5.1916,5.1936,151900,27.6
2012-10-25,5.1916,5.248,5.1916,5.2313,197500,27.8
2012-10-26,5.248,5.2668,5.2104,5.2124,22200,27.7
2012-10-29,5.2104,5.2104,5.1916,5.2124,25500,27.7
2012-10-30,5.2104,5.248,5.1916,5.1936,177900,27.6
2012-10-31,5.2104,5.248,5.2104,5.2313,89100,27.8
2012-11-01,5.2292,5.2292,5.2292,5.2313,9800,27.8
2012-11-02,5.2104,5.2104,5.0787,5.1184,173600,27.2
2012-11-05,5.1728,5.1916,5.1163,5.1184,55700,27.2
2012-11-06,5.2104,5.2292,5.1916,5.2313,56700,27.8
2012-11-07,5.1916,5.2292,5.1916,5.1936,83700,27.6
2012-11-08,5.2104,5.2104,5.1728,5.1748,56900,27.5
2012-11-09,5.1728,5.1916,5.1728,5.1748,18800,27.5
2012-11-12,5.1728,5.1916,5.1728,5.1936,123300,27.6
2012-11-13,5.1539,5.1916,5.1539,5.1748,68500,27.5
2012-11-14,5.1539,5.1916,5.1351,5.1748,105200,27.5
2012-11-15,5.1351,5.1728,5.1351,5.156,28200,27.4
2012-11-16,5.1351,5.1728,5.1351,5.156,107000,27.4
2012-11-19,5.1539,5.1539,5.1163,5.1184,31000,27.2
2012-11-20,5.1163,5.1539,5.1163,5.156,40200,27.4
2012-11-21,5.1539,5.1539,5.0975,5.1184,11000,27.2
2012-11-22,5.1163,5.1351,5.0975,5.1184,20400,27.2
2012-11-23,5.1351,5.1351,5.1163,5.1372,23100,27.3
2012-11-26,5.1539,5.1916,5.1163,5.156,36200,27.4
2012-11-27,5.1539,5.1728,5.1539,5.156,77200,27.4
2012-11-28,5.1728,5.1728,5.1539,5.156,50700,27.4
2012-11-29,5.1539,5.1728,5.1163,5.1184,7300,27.2
2012-11-30,5.1351,5.1351,5.1163,5.1372,23300,27.3
2012-12-03,5.0975,5.1351,5.0975,5.1372,2400,27.3
2012-12-04,5.1351,5.1351,5.1163,5.1372,13000,27.3
2012-12-05,5.1163,5.1351,5.1163,5.1372,64900,27.3
2012-12-06,5.1163,5.1163,5.0975,5.0995,16800,27.1
2012-12-07,5.0787,5.0975,5.0787,5.0807,18000,27
2012-12-10,5.0787,5.1163,5.0787,5.1184,36000,27.2
2012-12-11,5.0787,5.0787,5.0787,5.0807,5600,27
