date,open,high,low,close,volume,close_raw
2010-01-13,0.9,1.34,0.9,1.2053,141100,60
2010-01-14,1.178,1.178,1.178,1.1832,30500,58.9
2010-01-15,1.26,1.26,1.26,1.2655,126400,63
2010-01-18,1.348,1.348,1.26,1.2655,28000,63
2010-01-19,1.236,1.26,1.236,1.2414,144700,61.8
2010-01-20,1.276,1.276,1.16,1.1651,38100,58
2010-01-21,1.112,1.158,1.112,1.141,59700,56.8
2010-01-22,1.196,1.2,1.12,1.2053,73400,60
2010-01-25,1.256,1.256,1.18,1.1952,10200,59.5
2010-01-26,1.23,1.264,1.23,1.2595,57500,62.7
2010-01-27,1.254,1.254,1.168,1.2133,16900,60.4
2010-01-28,1.124,1.124,1.122,1.1269,38200,56.1
2010-01-29,1.08,1.1,1.044,1.0948,21800,54.5
2010-02-01,1.132,1.132,1.09,1.0948,2700,54.5
2010-02-02,1.136,1.136,1.12,1.135,700,56.5
2010-02-03,1.12,1.12,1.1,1.1088,3400,55.2
2010-02-04,1.12,1.12,1.07,1.0867,17100,54.1
2010-02-05,1.064,1.064,1.01,1.0385,38400,51.7
2010-02-08,1.02,1.02,1,1.0245,8400,51
2010-02-09,1.078,1.078,0.94,0.9441,12100,47
2010-02-10,1.014,1.014,1.012,1.0184,3000,50.7
2010-02-11,1.074,1.074,1.012,1.0164,400,50.6
2010-02-12,1.04,1.08,1.04,1.0807,18700,53.8
2010-02-22,1.092,1.092,1.04,1.0667,12500,53.1
2010-02-23,1.024,1.03,1.024,1.0345,6600,51.5
2010-02-24,1.0965,1.1008,1.0965,1.1037,106300,51.2
2010-02-25,1.1438,1.1589,1.1073,1.1209,45200,52
2010-02-26,1.1073,1.1159,1.075,1.0993,17200,51
2010-03-01,1.0965,1.1288,1.0965,1.1015,25200,51.1
2010-03-02,1.1073,1.1073,1.0643,1.0692,7000,49.6
2010-03-03,1.075,1.1051,1.0535,1.0993,11000,51
2010-03-04,1.1137,1.1159,1.0707,1.0778,42400,50
2010-03-05,1.0772,1.1137,1.075,1.0993,46600,51
2010-03-08,1.118,1.1481,1.118,1.1511,63300,53.4
2010-03-09,1.1718,1.1782,1.1223,1.1425,24700,53
2010-03-10,1.161,1.161,1.0858,1.136,27100,52.7
2010-03-11,1.1223,1.1245,1.1073,1.1101,22900,51.5
2010-03-12,1.0578,1.1266,1.0578,1.1209,34100,52
2010-03-15,1.161,1.1761,1.161,1.1791,186000,54.7
2010-03-16,1.2556,1.2556,1.0965,1.0993,53100,51
2010-03-17,1.1395,1.1395,1.1073,1.1425,14600,53
2010-03-18,1.1567,1.1804,1.0965,1.1813,38800,54.8
2010-03-19,1.1288,1.1395,1.1008,1.1209,49000,52
2010-03-22,1.1008,1.1288,1.0901,1.1101,26300,51.5
2010-03-23,1.1911,1.1911,1.1245,1.1317,49700,52.5
2010-03-24,1.1395,1.1503,1.0965,1.0993,22400,51
2010-03-25,1.118,1.1911,1.075,1.1856,76500,55
