date,open,high,low,close,volume,close_raw
2017-10-05,4.0522,4.326,3.6963,3.8884,7293500,14.2
2017-10-06,3.888,3.888,3.7237,3.7789,1196846,13.8
2017-10-09,3.7784,3.8332,3.7511,3.8063,1018740,13.9
2017-10-10,3.8058,3.8332,3.7237,3.7515,1369264,13.7
2017-10-11,3.7784,3.7784,3.532,3.5872,1929895,13.1
2017-10-12,3.5868,3.5868,3.4225,3.4777,1503890,12.7
2017-10-13,3.4225,3.5046,3.313,3.3407,1998290,12.2
2017-10-16,3.313,3.6142,3.2856,3.4503,2078341,12.6
2017-10-17,3.4773,3.6689,3.4773,3.6693,2352646,13.4
2017-10-18,3.6415,3.7511,3.6415,3.642,1921054,13.3
2017-10-19,3.6415,3.6415,3.532,3.5598,1665342,13
2017-10-20,3.5868,3.5868,3.5046,3.5598,716310,13
2017-10-23,3.5594,3.5594,3.4499,3.4503,989690,12.6
2017-10-24,3.4499,3.6142,3.4225,3.5598,2296792,13
2017-10-25,3.5594,3.7511,3.5594,3.7241,4451160,13.6
2017-10-26,3.6963,3.7511,3.6689,3.7241,4783279,13.6
2017-10-27,3.6963,3.7237,3.6689,3.6967,917448,13.5
2017-10-30,3.6963,3.6963,3.6142,3.642,1155892,13.3
2017-10-31,3.6142,3.6142,3.5594,3.5598,998097,13
2017-11-01,3.5868,3.5868,3.532,3.5872,1832620,13.1
2017-11-02,3.5868,3.5868,3.532,3.5598,1436565,13
2017-11-03,3.5594,3.5594,3.4773,3.505,1311510,12.8
2017-11-06,3.4499,3.532,3.4225,3.4777,1721340,12.7
2017-11-07,3.5046,3.5046,3.3951,3.4229,3472406,12.5
2017-11-08,3.4499,3.5594,3.4225,3.5324,3419190,12.9
2017-11-09,3.532,3.6689,3.532,3.6146,2027331,13.2
2017-11-10,3.5868,3.6415,3.5594,3.5598,2162571,13
2017-11-13,3.5868,3.5868,3.5046,3.5598,1658710,13
2020-11-09,5.0539,5.1742,4.9335,4.9543,11604700,12.35
2020-11-10,5.0138,5.0138,4.753,4.7738,11107830,11.9
2020-11-11,4.7731,4.7931,4.6327,4.7136,7614050,11.75
2020-11-12,4.6728,4.7129,4.6327,4.6534,7167760,11.6
2020-11-13,4.6528,4.8934,4.6528,4.8741,7041560,12.15
2020-11-16,4.9135,4.9335,4.753,4.7537,7407110,11.85
2020-11-17,4.7931,4.8132,4.753,4.7738,4317120,11.9
2020-11-18,4.7731,4.7931,4.733,4.7938,5542510,11.95
2020-11-19,4.7931,4.8533,4.7731,4.7938,5461410,11.95
