date,open,high,low,close,volume,close_raw
2011-11-01,1.7255,1.7255,1.6422,1.6426,2719290,13.8
2011-11-02,1.6184,1.6422,1.5708,1.5712,1255220,13.2
2011-11-03,1.547,1.5708,1.4994,1.5593,1193910,13.1
2011-11-04,1.5708,1.5708,1.5351,1.5355,483860,12.9
2011-11-07,1.5351,1.5351,1.4637,1.4641,1158750,12.3
2011-11-08,1.4399,1.4518,1.4042,1.4284,1105490,12
2011-11-09,1.4161,1.428,1.3804,1.3807,740500,11.6
2011-11-10,1.3566,1.4399,1.3566,1.4046,1258020,11.8
2011-11-11,1.428,1.4518,1.4161,1.4284,1024320,12
2011-11-14,1.4161,1.428,1.4042,1.4165,681580,11.9
2011-11-15,1.4161,1.428,1.4042,1.4046,333650,11.8
2011-11-16,1.4042,1.428,1.3923,1.4165,963200,11.9
2011-11-17,1.4161,1.4161,1.3923,1.4165,833240,11.9
2011-11-18,1.4042,1.428,1.3804,1.4284,1468870,12
2011-11-21,1.4042,1.4756,1.4042,1.476,1247370,12.4
2011-11-22,1.4756,1.547,1.4756,1.5236,1100380,12.8
2011-11-23,1.5351,1.547,1.4994,1.5117,580420,12.7
2011-11-24,1.5113,1.5113,1.4756,1.476,545770,12.4
2011-11-25,1.4637,1.4756,1.4399,1.4641,587810,12.3
2011-11-28,1.4756,1.5232,1.4637,1.4998,1119140,12.6
2011-11-29,1.4994,1.5351,1.4994,1.5236,1368920,12.8
2011-11-30,1.5351,1.5351,1.4875,1.4879,1192350,12.5
2011-12-01,1.4994,1.5232,1.4994,1.5117,903960,12.7
2011-12-02,1.5113,1.5232,1.4994,1.5117,505490,12.7
2011-12-05,1.5113,1.5589,1.5113,1.5474,915680,13
2011-12-06,1.547,1.547,1.5232,1.5236,709500,12.8
2011-12-07,1.5493,1.5625,1.51,1.5366,1243680,11.7
2011-12-08,1.5493,1.5493,1.5231,1.5235,381970,11.6
2011-12-09,1.5231,1.5231,1.4837,1.4972,861100,11.4
2011-12-12,1.4837,1.5231,1.4837,1.5104,640030,11.5
2011-12-13,1.4968,1.5231,1.4968,1.4972,648920,11.4
2011-12-14,1.4968,1.4968,1.4574,1.4841,1185060,11.3
2011-12-15,1.4968,1.4968,1.4443,1.4841,582760,11.3
2011-12-16,1.4837,1.51,1.4706,1.4841,510930,11.3
2011-12-19,1.4706,1.4968,1.4706,1.4841,468810,11.3
2011-12-20,1.4706,1.4837,1.4706,1.4841,560760,11.3
2011-12-21,1.4837,1.4968,1.4837,1.4972,588730,11.4
2011-12-22,1.4968,1.4968,1.4574,1.471,587640,11.2
2011-12-23,1.4706,1.4837,1.4574,1.4578,597370,11.1
2011-12-26,1.4574,1.4706,1.4049,1.4447,1035190,11
2011-12-27,1.4312,1.4312,1.3787,1.379,1727600,10.5
2011-12-28,1.3787,1.4049,1.3655,1.3922,1741660,10.6
2011-12-29,1.4049,1.418,1.3918,1.4184,1019180,10.8
2011-12-30,1.418,1.4443,1.418,1.4184,510030,10.8
2012-01-03,1.418,1.4312,1.4049,1.4316,462000,10.9
2012-01-04,1.418,1.4312,1.3918,1.4316,368740,10.9
2012-01-05,1.4312,1.4312,1.3918,1.4053,478490,10.7
2012-01-06,1.4049,1.418,1.3918,1.4053,331370,10.7
2012-01-09,1.418,1.4312,1.3918,1.4184,464800,10.8
2012-01-10,1.4049,1.4443,1.4049,1.4447,897700,11
2012-01-11,1.4574,1.4574,1.4443,1.4578,653750,11.1
2012-01-12,1.4574,1.4837,1.4443,1.4841,475010,11.3
2012-01-13,1.4837,1.51,1.4837,1.5104,425170,11.5
2012-01-16,1.51,1.5625,1.51,1.5498,553980,11.8
2012-01-17,1.5625,1.5625,1.51,1.5104,645660,11.5
2012-01-18,1.51,1.5493,1.4968,1.5104,343520,11.5
2012-01-19,1.5362,1.5625,1.5231,1.5629,268670,11.9
2012-01-20,1.5625,1.5756,1.5362,1.5498,275900,11.8
2012-01-30,1.5625,1.5756,1.5362,1.576,457150,12
2012-01-31,1.5756,1.6281,1.5625,1.5892,822330,12.1
2012-02-01,1.5887,1.5887,1.5493,1.576,586840,12
2012-02-02,1.6019,1.6544,1.6019,1.6548,1360930,12.6
2012-02-03,1.6938,1.7332,1.6675,1.6811,4077030,12.8
2012-02-06,1.7069,1.7069,1.6413,1.6417,1157510,12.5
2012-02-07,1.6806,1.6806,1.6281,1.6548,963570,12.6
2012-02-08,1.6675,1.72,1.6544,1.7205,2496360,13.1
2012-02-09,1.72,1.7988,1.72,1.7599,4113510,13.4
2012-02-10,1.7594,1.7857,1.72,1.7336,3139790,13.2
2012-02-13,1.7437,1.7437,1.6888,1.6891,949610,12.3
2012-02-14,1.6888,1.7437,1.6751,1.744,1310730,12.7
2012-02-15,1.7437,1.7437,1.6751,1.7028,1089850,12.4
2012-02-16,1.6888,1.7163,1.6751,1.7165,1264950,12.5
2012-02-17,1.7163,1.7437,1.7163,1.744,1215500,12.7
2012-02-20,1.7712,1.8261,1.7574,1.8127,2941850,13.2
2012-02-21,1.8398,1.8398,1.7712,1.7715,2805190,12.9
2012-02-22,1.7574,1.8398,1.7574,1.8264,3635880,13.3
2012-02-23,1.8398,1.9085,1.8124,1.9088,5790660,13.9
2012-02-24,1.9359,1.9909,1.9222,1.95,7576700,14.2
2012-02-27,1.9771,2.032,1.9359,2.0187,5071310,14.7
2012-02-28,2.0595,2.0595,1.9194,1.9626,4770100,14
2012-02-29,1.9194,2.0034,1.9194,2.0046,6070940,14.3
2012-03-01,2.0174,2.1015,1.9894,2.0887,11644670,14.9
2012-03-02,2.1295,2.1856,2.1155,2.1869,14086080,15.6
2012-03-05,2.2836,2.2836,2.2836,2.285,1604700,16.3
2012-03-06,2.3957,2.3957,2.2836,2.313,15791100,16.5
2012-03-07,2.2836,2.3117,2.2136,2.2569,9630560,16.1
2012-03-08,2.1575,2.2416,2.1435,2.1448,9290320,15.3
2012-03-09,2.0735,2.1575,2.0455,2.0887,6469510,14.9
2012-03-12,2.0875,2.0875,1.9894,2.0186,7728610,14.4
2012-03-13,2.0595,2.1155,2.0174,2.1027,5046780,15
2012-03-14,2.1435,2.1435,2.0455,2.0467,3632820,14.6
2012-03-15,2.0174,2.1435,2.0034,2.1448,5270660,15.3
2012-03-16,2.2276,2.2416,2.1575,2.1728,6865540,15.5
2012-03-19,2.1575,2.2136,2.1435,2.1728,4156720,15.5
2012-03-20,2.1856,2.2276,2.1716,2.2289,3748430,15.9
2012-03-21,2.2556,2.3257,2.2416,2.271,8486760,16.2
2012-03-22,2.2416,2.2836,2.2136,2.2149,5042930,15.8
2012-03-23,2.2416,2.2836,2.2136,2.2429,6886300,16
2012-03-26,2.2696,2.2696,2.1716,2.1728,4345740,15.5
2012-03-27,2.1435,2.1716,2.0735,2.0747,6171100,14.8
2012-03-28,2.0455,2.1155,2.0174,2.1168,3287320,15.1
2012-03-29,2.1295,2.1295,2.0455,2.0607,2667660,14.7
2012-03-30,2.0455,2.0735,2.0174,2.0327,2563210,14.5
2012-04-03,2.0315,2.1295,2.0315,2.1308,4560310,15.2
2012-04-04,2.1295,2.1435,2.0735,2.0887,2466650,14.9
2012-04-05,2.0875,2.1575,2.0595,2.1448,3033670,15.3
2012-04-06,2.1435,2.1716,2.1155,2.1168,2553500,15.1
2012-04-09,2.1295,2.1575,2.1015,2.1448,1622410,15.3
2012-04-10,2.1435,2.1575,2.0735,2.0887,3968660,14.9
2012-04-11,2.1435,2.1435,2.0875,2.1448,3865700,15.3
