date,open,high,low,close,volume,close_raw
2016-03-28,1.601,1.601,1.2008,1.233,339100,7.7
2016-03-29,1.2328,1.2488,1.1687,1.1689,182400,7.3
2016-03-30,1.2008,1.2008,1.1367,1.1689,46470,7.3
2016-03-31,1.1527,1.1687,1.0887,1.0889,317900,6.8
2016-04-01,1.0887,1.1047,1.0407,1.0408,195200,6.5
2016-04-04,1.0246,1.0727,1.0246,1.0408,85100,6.5
2016-04-05,1.0246,1.0887,1.0086,1.0889,118200,6.8
2016-04-06,1.0887,1.0887,1.0407,1.0408,22600,6.5
2016-04-07,1.0727,1.0727,1.0407,1.0408,47330,6.5
2016-04-08,1.0407,1.0407,1.0246,1.0248,36230,6.4
2016-04-11,1.0246,1.0727,1.0246,1.0729,77100,6.7
2016-04-12,1.0407,1.0727,1.0407,1.0729,12300,6.7
2016-04-13,1.0407,1.0567,1.0246,1.0408,31552,6.5
2016-04-14,1.0407,1.0407,1.0086,1.0248,81300,6.4
2016-04-15,1.0246,1.0567,1.0246,1.0248,123385,6.4
2016-04-19,1.0407,1.0407,0.9926,0.9928,37537,6.2
2016-04-20,1.0086,1.0246,0.9926,1.0248,124015,6.4
2016-04-21,1.0086,1.0086,0.9766,0.9928,99925,6.2
2016-04-22,0.9766,0.9926,0.9606,0.9928,167737,6.2
2016-04-25,1.0086,1.0246,1.0086,1.0248,68000,6.4
2016-04-26,0.9926,0.9926,0.9766,0.9928,57620,6.2
2016-04-27,0.9926,1.0086,0.9766,0.9928,24210,6.2
2016-04-28,0.9926,1.0086,0.9606,0.9608,104740,6
2016-04-29,0.9766,0.9766,0.9606,0.9768,55940,6.1
2016-05-04,0.8806,0.9766,0.8806,0.9608,36075,6
2016-05-05,0.9446,0.9606,0.9446,0.9608,79800,6
2016-05-06,0.9606,0.9606,0.9446,0.9608,33018,6
2016-05-09,0.9446,0.9606,0.9286,0.9287,33150,5.8
2016-05-10,0.9286,0.9606,0.9286,0.9608,24710,6
2016-05-11,0.9446,0.9606,0.9446,0.9608,16144,6
2016-05-12,0.9606,0.9606,0.9446,0.9608,8702,6
2016-05-13,0.9606,0.9606,0.9286,0.9448,41610,5.9
2016-05-16,0.9446,0.9766,0.9446,0.9608,50700,6
2016-05-17,0.9606,0.9766,0.9606,0.9768,59910,6.1
2016-05-18,0.9606,0.9766,0.9606,0.9608,17200,6
2016-05-19,0.9606,0.9606,0.9606,0.9608,16100,6
2016-05-20,0.9606,0.9606,0.9446,0.9608,43810,6
2016-05-23,0.9606,0.9606,0.9446,0.9448,8300,5.9
2016-05-24,0.9446,0.9606,0.9446,0.9608,5700,6
2016-05-25,0.9446,0.9606,0.9286,0.9448,60200,5.9
2016-05-26,0.9446,0.9446,0.9286,0.9448,8098,5.9
2016-05-27,0.9446,0.9606,0.9286,0.9448,57525,5.9
2016-05-30,0.9446,0.9446,0.9286,0.9448,13200,5.9
2016-05-31,0.9446,0.9446,0.9286,0.9448,22600,5.9
2016-06-01,0.9446,0.9606,0.9446,0.9608,5200,6
2016-06-02,0.9286,0.9606,0.9286,0.9608,9200,6
2016-06-03,0.9286,0.9446,0.9286,0.9448,12500,5.9
2016-06-06,0.9446,0.9446,0.9446,0.9448,35500,5.9
2016-06-07,0.9606,0.9606,0.9446,0.9448,8500,5.9
2016-06-08,0.9446,0.9446,0.9446,0.9448,4700,5.9
2016-06-09,0.9286,0.9606,0.9286,0.9448,19900,5.9
2016-06-10,0.9446,0.9606,0.9446,0.9608,23300,6
2016-06-13,0.9446,0.9446,0.9286,0.9448,28000,5.9
2016-06-14,0.9286,0.9446,0.9286,0.9287,16100,5.8
2016-06-15,0.9286,0.9446,0.9286,0.9448,18914,5.9
2016-06-16,0.9286,0.9446,0.9286,0.9448,21800,5.9
2016-06-17,0.9286,0.9606,0.9286,0.9448,79400,5.9
