date,open,high,low,close,volume,close_raw
2025-12-25,176.396,179.2023,170.623,179.2068,1009000,223.5
2025-12-26,173.1888,177.5987,173.1888,176.4004,295000,220
2025-12-29,176.396,176.4762,171.5852,176.4806,643900,220.1
2025-12-30,176.3158,177.3582,175.5942,177.3626,382800,221.2
2025-12-31,177.3582,180.405,177.3582,178.004,142000,222
2026-01-05,179.523,179.523,173.0284,177.3626,458700,221.2
2026-01-06,176.8771,176.8771,175.4338,176.4004,148900,220
2026-01-07,175.0329,176.396,173.7501,176.4004,403200,220
2026-01-08,174.9528,174.9528,172.7077,173.594,494300,216.5
2026-01-09,172.445,176.4851,167.518,173.4304,189200,176
2026-01-12,169.9643,170.5554,167.501,170.2771,110800,172.8
2026-01-13,168.9961,170.2771,161.6056,167.4195,321200,169.9
2026-01-14,162.7881,167.2224,162.7881,165.5472,96300,168
2026-01-15,163.0837,165.4487,161.5071,162.591,373200,165
2026-01-16,162.591,162.591,153.7224,157.664,488100,160
2026-01-19,157.664,157.664,152.737,157.664,306300,160
2026-01-20,157.648,162.5745,157.648,159.4377,244400,161.8
2026-01-21,159.4215,159.6186,155.6774,157.4669,188700,159.8
2026-01-22,158.1407,158.1407,153.7068,156.4815,214200,158.8
2026-01-23,156.5642,157.648,155.1848,156.4815,166700,158.8
2026-01-26,158.3538,158.4523,154.7078,156.1859,130600,158.5
2026-01-27,156.1859,156.5801,153.7224,156.1859,148900,158.5
2026-01-28,156.1701,156.7612,154.1995,154.8063,200500,157.1
2026-01-29,154.1995,159.6186,154.1995,155.7917,471000,158.1
2026-01-30,159.5201,159.5201,155.8745,156.7771,203900,159.1
2026-02-02,156.6786,156.8757,150.6677,151.6531,195300,153.9
2026-02-03,151.6377,154.5936,149.8641,153.3282,220900,155.6
2026-02-04,153.3282,155.8903,152.737,154.9049,177600,157.2
2026-02-05,154.8892,155.6774,152.3274,152.3428,114100,154.6
2026-02-06,152.3274,152.3274,149.5685,150.0764,113500,152.3
2026-02-09,150.0612,150.1597,148.9774,150.0764,122300,152.3
2026-02-10,149.9779,149.9779,139.6312,147.81,349800,150
2026-02-11,147.81,147.81,141.0107,147.81,107200,150
2026-02-12,143.5728,147.81,142.5874,146.8246,225300,149
2026-02-13,142.883,146.8246,142.883,146.8246,70200,149
2026-02-23,146.8246,146.8246,143.4742,146.8246,84400,149
2026-02-24,144.8538,146.8246,143.6713,146.8246,52500,149
2026-02-25,144.6567,146.3319,136.5764,144.8538,216100,147
2026-02-26,143.8684,143.8684,141.8976,143.8684,49000,146
2026-02-27,141.9961,142.3903,136.9706,138.9414,325500,141
2026-03-02,133.029,138.9414,132.8319,138.9414,259700,141
2026-03-03,134.9861,148.5832,134.9861,148.5983,439500,150.8
2026-03-04,149.7808,157.664,148.8939,157.664,808500,160
2026-03-05,162.5745,163.5598,147.795,147.9085,322900,150.1
2026-03-06,147.3024,147.3024,139.7155,140.0253,217700,142.1
2026-03-09,130.5655,131.4524,130.2699,130.2699,208800,132.2
