date,open,high,low,close,volume,close_raw
2014-07-14,5.7915,5.8273,5.7915,5.8345,10660,81.5
2014-07-15,6.2205,6.2205,6.2205,6.2282,13480,87
2014-07-16,6.6495,6.6495,6.6495,6.6577,17290,93
2014-07-17,7.1143,7.1143,7.1143,7.1231,95120,99.5
2014-07-18,7.579,7.579,7.579,7.5884,134460,106
2014-07-21,8.0795,8.0795,7.2215,7.5884,311030,106
2014-07-22,7.436,7.7935,7.436,7.8031,568890,109
2014-07-23,7.865,7.865,7.722,7.8031,23330,109
2014-07-24,7.722,7.7935,7.722,7.7316,33590,108
2014-07-25,7.722,7.7935,7.722,7.7316,79630,108
2014-07-28,7.722,7.7935,7.722,7.7316,93810,108
2014-07-29,7.722,7.722,7.5075,7.5884,25300,106
2014-07-30,7.6505,7.6505,7.5075,7.5884,16160,106
2014-07-31,7.5075,7.5075,7.2215,7.3736,37400,103
2014-08-01,7.5075,7.5075,7.293,7.3736,28290,103
2014-08-04,7.3645,7.3645,7.3645,7.3736,13350,103
2014-08-05,7.436,7.5075,7.436,7.4452,21340,104
2014-08-06,7.436,7.6505,7.436,7.66,20800,107
2014-08-07,7.6505,7.6505,7.579,7.66,17250,107
2014-08-08,7.579,7.6505,7.579,7.66,9190,107
2014-08-11,8.151,8.151,7.9365,8.1611,179250,114
2014-08-12,8.2225,8.437,8.2225,8.4474,64140,118
2014-08-13,8.5085,8.9375,8.3655,8.877,147010,124
2014-08-14,8.866,9.438,8.866,9.4497,149800,132
2014-08-15,10.01,10.0815,9.724,10.094,100130,141
2014-08-18,10.439,10.6535,10.296,10.6667,29910,149
2014-08-19,10.3675,10.582,9.9385,9.9508,39150,139
2014-08-20,9.3665,10.01,9.3665,9.9508,46550,139
2014-08-21,9.7955,9.9385,9.6525,9.6644,58570,135
2014-08-22,9.6525,10.0815,9.6525,10.094,45860,141
2014-08-25,10.3675,10.439,10.0815,10.3087,61190,144
2014-08-26,10.296,10.296,9.581,9.5929,29880,134
2014-08-27,9.867,10.01,9.6525,9.8076,11450,137
2014-08-28,9.7955,9.7955,9.6525,9.8076,5070,137
2014-08-29,9.7955,9.7955,9.295,9.6644,15750,135
2014-09-03,9.724,9.724,9.5095,9.6644,25120,135
2014-09-04,9.581,9.581,9.295,9.4497,37750,132
2014-09-05,9.5095,9.724,9.5095,9.736,44760,136
2014-09-08,9.867,10.3675,9.724,10.3803,171700,145
2014-09-09,11.0825,11.0825,10.5105,10.6667,88810,149
2014-09-10,10.9395,10.9395,10.439,10.8815,23640,152
2014-09-11,10.7965,11.011,10.725,10.8815,25860,152
2014-09-12,10.868,10.9395,10.6535,10.8099,44670,151
2014-09-15,10.7965,10.9395,10.7965,10.8815,14500,152
2014-09-16,10.7965,10.868,10.725,10.8815,65900,152
2014-09-17,11.011,11.011,10.725,10.8815,6430,152
2014-09-18,10.725,11.011,10.725,11.0246,13030,154
2014-09-19,11.2255,11.726,11.2255,11.7405,20120,164
2014-09-22,12.5125,12.5125,12.012,12.528,28590,175
2014-09-23,12.87,13.0845,12.441,12.4564,13620,174
2014-09-24,12.727,12.727,12.3695,12.3848,5790,173
2014-09-25,12.155,12.155,11.5115,11.5258,30100,161
2014-09-26,12.155,12.155,11.6545,11.9553,26080,167
2014-09-29,12.155,12.155,12.012,12.0269,11420,168
2014-09-30,11.7975,12.0835,11.7975,12.0985,12510,169
2014-10-01,12.0835,12.298,12.0835,12.17,24590,170
2014-10-02,12.0835,12.3695,12.0835,12.3132,51070,172
2014-10-03,12.5125,12.6555,12.441,12.528,22400,175
2014-10-06,12.584,12.584,12.441,12.528,19250,175
2014-10-07,12.441,12.584,12.441,12.528,37960,175
2014-10-08,13.387,13.387,13.1436,13.3879,138900,110
2014-10-09,14.1172,14.2389,14.1172,14.2398,271340,117
2014-10-10,14.1172,14.3606,13.9955,14.2398,63600,117
2014-10-13,13.9955,13.9955,13.5087,13.6313,17150,112
2014-10-14,13.7521,13.7521,13.5087,13.6313,34880,112
2014-10-15,13.6304,13.7521,13.5087,13.753,94190,113
2014-10-16,13.6304,13.7521,12.9002,13.0227,37680,107
2014-10-17,13.387,13.387,12.9002,13.2661,59410,109
2014-10-20,13.5087,13.5087,13.1436,13.1444,7760,108
2014-10-21,13.1436,13.2653,12.9002,13.1444,14260,108
2014-10-22,13.2653,13.2653,13.0219,13.0227,15150,107
2014-10-23,13.0219,13.0219,12.6568,12.7793,21100,105
2014-10-24,12.7785,13.1436,12.7785,13.1444,17040,108
2014-10-27,13.387,13.7521,13.2653,13.2661,26890,109
