date,open,high,low,close,volume,close_raw
2011-04-21,2.8062,3.118,1.7149,1.7774,492500,11.4
2011-04-22,1.8396,1.8552,1.6993,1.6994,65800,10.9
2011-04-25,1.7149,1.7929,1.6525,1.6682,53000,10.7
2011-04-26,1.7773,1.824,1.6214,1.6215,69000,10.4
2011-04-27,1.6837,1.7149,1.5746,1.6059,215900,10.3
2011-04-28,1.637,1.6993,1.6058,1.6838,214800,10.8
2011-04-29,1.7149,1.7461,1.7149,1.7306,79100,11.1
2011-05-04,1.7617,1.7617,1.637,1.6682,14200,10.7
2011-05-05,1.6681,1.6993,1.5746,1.637,55300,10.5
2011-05-06,1.7149,1.7149,1.559,1.5903,47400,10.2
2011-05-09,1.637,1.6525,1.5746,1.637,47100,10.5
2011-05-10,1.6837,1.6837,1.637,1.637,37700,10.5
2011-05-11,1.6214,1.6214,1.559,1.6215,76500,10.4
2011-05-12,1.637,1.6993,1.637,1.6994,215300,10.9
2011-05-13,1.7617,1.7929,1.7617,1.7929,291400,11.5
2011-05-16,1.824,1.902,1.8084,1.8241,147000,11.7
2011-05-17,1.8396,1.8396,1.7149,1.7462,141600,11.2
2011-05-18,1.6681,1.824,1.6525,1.7774,201900,11.4
2011-05-19,1.824,1.8552,1.7773,1.7929,256100,11.5
2011-05-20,1.8396,1.8396,1.7305,1.8085,132800,11.6
2011-05-23,1.8084,1.824,1.6681,1.6994,147800,10.9
2011-05-24,1.7461,1.7617,1.637,1.637,69300,10.5
2011-05-25,1.6837,1.6993,1.559,1.5903,57000,10.2
2011-05-26,1.5902,1.6058,1.4811,1.5747,209400,10.1
2011-05-27,1.5902,1.6058,1.4966,1.5591,110000,10
2011-05-30,1.637,1.637,1.4655,1.4655,26700,9.4
2011-05-31,1.5122,1.5278,1.4343,1.4655,92300,9.4
2011-06-01,1.4966,1.5434,1.4343,1.5123,84000,9.7
2011-06-02,1.5434,1.5902,1.5122,1.5903,92200,10.2
2011-06-03,1.5746,1.6837,1.4966,1.5591,34800,10
2011-06-06,1.6214,1.637,1.5122,1.5279,44000,9.8
2011-06-07,1.5746,1.5902,1.5278,1.5435,80600,9.9
2011-06-08,1.5746,1.5902,1.4966,1.5435,44400,9.9
2011-06-09,1.5902,1.6214,1.559,1.5591,51800,10
2011-06-10,1.6214,1.6525,1.5746,1.6215,48500,10.4
2011-06-13,1.6681,1.6837,1.5746,1.6215,46600,10.4
2011-06-14,1.6681,1.6681,1.5278,1.5435,74000,9.9
2011-06-15,1.6058,1.6058,1.4655,1.4655,63200,9.4
2011-06-16,1.4966,1.5278,1.4811,1.4811,8100,9.5
2011-06-17,1.4811,1.4966,1.4031,1.4032,88200,9
2011-06-20,1.4343,1.4343,1.3875,1.4344,50300,9.2
2011-06-21,1.4655,1.4655,1.4031,1.45,20300,9.3
2011-06-22,1.4031,1.4031,1.3563,1.3564,68100,8.7
2011-06-23,1.3407,1.3407,1.2784,1.2785,87200,8.2
2011-06-24,1.3096,1.3719,1.294,1.372,50100,8.8
2011-06-27,1.3563,1.4031,1.3252,1.4032,45200,9
2011-06-28,1.4187,1.4187,1.3407,1.3564,18000,8.7
2011-06-29,1.3252,1.3252,1.294,1.3252,43100,8.5
2011-06-30,1.3563,1.3563,1.294,1.3096,46900,8.4
2011-07-01,1.294,1.294,1.2784,1.294,28200,8.3
2011-07-04,1.294,1.3252,1.294,1.3096,6900,8.4
2011-07-05,1.3407,1.3719,1.3252,1.372,56700,8.8
2011-07-06,1.4343,1.4343,1.3096,1.3408,29700,8.6
2011-07-07,1.3719,1.3719,1.3407,1.3564,25900,8.7
2011-07-08,1.3719,1.3719,1.3252,1.372,27000,8.8
2011-07-11,1.3407,1.3563,1.3252,1.3252,52800,8.5
2011-07-12,1.3407,1.3563,1.3252,1.3564,45500,8.7
2011-07-13,1.4118,1.4118,1.3944,1.395,22000,8
2011-07-14,1.499,1.499,1.3421,1.3427,7800,7.7
2011-07-15,1.3595,1.4816,1.3595,1.4822,23500,8.5
2011-07-18,1.499,1.5164,1.3944,1.395,16500,8
2011-07-19,1.4467,1.4467,1.4118,1.4124,5000,8.1
2011-07-20,1.4118,1.4293,1.4118,1.4124,12800,8.1
2011-07-21,1.4118,1.4641,1.4118,1.4647,38300,8.4
