date,open,high,low,close,volume,close_raw
2006-12-11,3.696,3.96,3.696,3.9679,40100,150
2006-12-13,3.9072,3.9864,3.9072,3.9944,90000,151
2006-12-14,3.96,4.0128,3.96,4.0208,93700,152
2006-12-15,4.0128,4.0392,3.96,4.0473,77100,153
2006-12-18,4.0128,4.0656,4.0128,4.0208,54100,152
2006-12-19,3.9864,4.0656,3.9864,4.0737,55200,154
2006-12-20,4.0392,4.1052,4.0128,4.0737,94900,154
2006-12-21,4.0128,4.0392,3.96,3.9944,71100,151
2006-12-22,3.96,3.96,3.6168,3.9415,88300,149
2006-12-25,3.828,3.8808,3.8016,3.8357,60100,145
2006-12-26,3.8544,3.9072,3.696,3.8357,29100,145
2006-12-27,3.96,3.96,3.828,3.8357,14500,145
2006-12-28,3.8544,3.8808,3.8016,3.8886,19500,147
2006-12-29,3.8808,3.9072,3.8597,3.8886,36800,147
2007-01-02,3.8544,3.8755,3.8016,3.8621,35300,146
2007-01-03,3.8412,3.8808,3.8306,3.8595,23500,145.9
2007-01-04,3.8544,3.96,3.8518,3.9679,32100,150
2007-01-05,4.2768,4.2768,4.0392,4.2615,92600,161.1
2007-01-08,4.2768,4.488,4.2108,4.251,30600,160.7
2007-01-09,4.2742,4.6464,4.2742,4.6557,97100,176
2007-01-10,4.9949,4.9949,4.6992,5.0049,57300,189.2
2007-01-11,5.2932,5.2932,5.016,5.1848,95500,196
2007-01-12,5.2087,5.6364,5.1612,5.3435,129300,202
2007-01-15,5.808,6.0007,5.808,5.9519,103900,225
2007-01-16,6.5604,6.5604,5.7816,5.9783,63400,226
2007-01-17,5.4859,5.544,5.4859,5.4969,26800,207.8
2007-01-18,4.9394,5.412,4.9394,5.4228,114300,205
2007-01-19,5.3592,5.6813,5.28,5.6926,70800,215.2
2007-01-22,5.28,5.7552,5.2272,5.5524,47700,209.9
2007-01-23,5.4912,5.808,5.412,5.4757,18900,207
2007-01-24,5.4173,5.4912,5.3856,5.3964,21500,204
2007-01-25,5.412,5.5704,5.2536,5.5815,84500,211
2007-01-26,5.3328,5.4648,5.3196,5.4757,23500,207
2007-01-29,5.544,5.7262,5.5176,5.7376,10600,216.9
2007-01-30,6.1512,6.1512,5.6786,5.9783,20800,226
2007-01-31,6.072,6.336,6.072,6.2693,59500,237
2007-02-01,6.5472,6.5472,6.072,6.2085,21100,234.7
2007-02-02,6.072,6.072,5.808,6.0577,6900,229
2007-02-05,5.94,6.0192,5.7816,5.9519,26500,225
2007-02-06,5.9664,5.9664,5.8872,5.899,29800,223
2007-02-07,5.94,5.94,5.8608,5.9387,34100,224.5
2007-02-08,5.94,6.204,5.808,5.8196,28300,220
2007-02-09,5.9664,5.969,5.8634,5.9519,112400,225
2007-02-12,5.9928,6.5472,5.9928,6.4545,58600,244
2007-02-13,6.6,6.732,6.336,6.5603,37400,248
2007-02-14,6.6,6.732,6.3888,6.6661,18600,252
2007-02-15,7.3049,7.3049,7.2864,7.3195,55600,276.7
2007-02-26,7.8936,8.0335,7.8936,8.0496,82300,304.3
2007-02-27,8.8334,8.8334,8.052,8.4649,76100,320
2007-02-28,8.8176,8.8176,7.788,8.2797,30100,313
2007-03-01,8.052,8.052,7.656,7.7771,38200,294
2007-03-02,7.8408,7.92,7.656,7.8565,40300,297
2007-03-05,7.92,8.052,7.656,7.7242,60300,292
2007-03-06,7.6824,7.788,7.524,7.6713,67000,290
2007-03-07,7.788,7.788,6.9274,7.4068,21600,280
2007-03-08,7.656,7.6824,7.392,7.5391,18200,285
2007-03-09,7.6824,7.6824,7.4976,7.5364,34400,284.9
2007-03-12,7.5082,7.5504,7.4448,7.5126,31300,284
2007-03-13,7.4976,7.524,7.392,7.4068,24200,280
2007-03-14,7.392,7.392,7.128,7.2481,29900,274
2007-03-15,6.9696,6.9696,6.4548,6.4809,36300,245
2007-03-16,6.6264,7.2996,6.336,7.1423,35600,270
2007-03-19,7.5953,7.5953,6.996,7.1396,33100,269.9
2007-03-20,7.128,7.128,6.732,6.8777,11500,260
2007-03-21,6.864,6.864,6.336,6.7455,32500,255
2007-03-22,6.732,6.732,6.5208,6.5867,30400,249
2007-03-23,6.6,6.6,6.468,6.4836,21600,245.1
2007-03-26,6.4812,6.4812,5.8397,5.899,13100,223
2007-03-27,6.1406,6.1406,5.5282,5.5392,42600,209.4
2007-03-28,5.3064,6.0852,5.016,6.0974,77300,230.5
2007-03-29,6.2462,6.2462,6.0456,6.2587,105000,236.6
2007-03-30,6.4944,6.6,6.072,6.0841,39300,230
2007-04-02,6.072,6.072,5.7024,5.7138,33100,216
2007-04-03,5.808,5.9268,5.3856,5.5551,59800,210
2007-04-04,5.5466,5.8608,5.544,5.8064,33300,219.5
2007-04-05,5.94,5.94,5.5704,5.6874,53500,215
2007-04-06,5.7816,5.7816,5.7024,5.7667,30800,218
2007-04-09,5.808,5.9374,5.7842,5.8196,54800,220
2007-04-10,5.94,6.336,5.808,5.8196,48500,220
2007-04-11,5.8687,5.8687,5.676,5.7932,39000,219
2007-04-12,5.7816,5.7816,5.412,5.4757,82800,207
2007-04-13,5.28,5.4516,5.148,5.2879,69300,199.9
2007-04-16,5.2404,5.2747,4.7573,4.788,53100,181
2007-04-17,4.6992,5.3064,4.488,5.2932,131900,200.1
2007-04-18,5.28,5.4516,5.28,5.4625,60700,206.5
2007-04-19,5.544,5.544,5.016,5.1583,36400,195
2007-04-20,5.148,5.148,4.9104,4.9996,13600,189
2007-04-23,4.752,4.8576,4.488,4.788,78200,181
2007-04-24,4.488,4.752,4.3085,4.7615,22300,180
2007-04-25,4.752,4.8708,4.7256,4.8303,70900,182.6
2007-05-02,4.8312,4.8418,4.7256,4.7351,15600,179
2007-05-03,4.7388,4.8022,4.7256,4.7615,30900,180
2007-05-04,4.7784,4.8259,4.752,4.8356,24600,182.8
2007-05-07,4.9104,4.9896,4.7784,4.9996,39800,189
2007-05-08,5.0186,5.28,5.0186,5.2509,60300,198.5
2007-05-09,5.742,5.742,5.4384,5.6609,135500,214
2007-05-10,5.808,5.808,5.4912,5.5763,90700,210.8
2007-05-11,5.5704,5.6786,5.4912,5.6874,125600,215
2007-05-14,5.808,5.808,5.6892,5.7535,89500,217.5
2007-05-15,5.7974,5.7974,5.544,5.5683,145500,210.5
2007-05-16,5.6811,5.7565,5.6056,5.7273,44600,144
2007-05-17,5.7128,5.7168,5.558,5.6079,35800,141
2007-05-18,5.6374,5.6453,5.5183,5.5483,56700,139.5
2007-05-21,5.5183,5.5501,5.3595,5.4489,64300,137
2007-05-22,5.3992,5.554,5.3992,5.5244,135300,138.9
2007-05-23,5.558,5.7089,5.558,5.6278,128500,141.5
2007-05-24,5.558,5.558,5.3595,5.4648,84100,137.4
2007-05-25,5.3992,5.4389,5.3595,5.4011,111400,135.8
2007-05-28,5.5183,5.5183,5.3198,5.3295,131800,134
2007-05-29,5.3555,5.3992,5.2841,5.3136,118300,133.6
2007-05-30,5.2404,5.3198,5.1809,5.3295,66200,134
2007-05-31,5.2761,5.3595,5.2761,5.3295,58900,134
2007-06-01,5.3198,5.3992,5.2404,5.3136,50200,133.6
2007-06-04,5.3198,5.3277,5.2007,5.2182,19700,131.2
2007-06-05,5.3198,5.3198,5.0816,5.1108,58700,128.5
2007-06-06,5.161,5.161,5.0816,5.1108,117600,128.5
2007-06-07,5.161,5.2801,5.1054,5.1267,54100,128.9
2007-06-08,5.161,5.2007,5.0816,5.1108,66200,128.5
2007-06-11,5.0816,5.0816,5.0022,5.0193,11000,126.2
