date,open,high,low,close,volume,close_raw
2006-12-27,5.0728,5.222,4.5506,4.8516,15500,65
2006-12-28,5.595,5.595,5.222,5.2994,12200,71
2006-12-29,5.5801,5.5801,5.0728,5.3293,21200,71.4
2007-01-02,5.3712,5.4458,5.222,5.3741,22500,72
2007-01-03,5.6323,5.6323,5.2966,5.3517,26300,71.7
2007-01-04,5.3339,5.5204,5.3339,5.5233,17100,74
2007-01-05,5.6025,5.6696,5.5204,5.598,9600,75
2007-01-08,5.595,5.595,5.3712,5.4263,4600,72.7
2007-01-09,5.3712,5.4831,5.3712,5.486,17500,73.5
2007-01-10,5.4458,5.5577,5.4458,5.5233,6300,74
2007-01-11,5.5577,5.6323,5.5055,5.598,17700,75
2007-01-12,5.6696,6.1097,5.6323,5.9637,21000,79.9
2007-01-15,6.341,6.5499,6.2664,6.2697,21000,84
2007-01-16,7.1616,7.1616,6.341,6.3444,12400,85
2007-01-17,6.4977,6.4977,6.2664,6.2697,2600,84
2007-01-18,6.1172,6.2515,5.8188,5.9712,3700,80
2007-01-19,6.1097,6.1097,5.8188,5.8219,4900,78
2007-01-22,6.4156,6.5275,5.595,5.598,3900,75
2007-01-23,5.8188,5.8561,5.4458,5.6353,8200,75.5
2007-01-24,5.9124,5.9124,5.5713,5.6896,10500,75
2007-01-25,5.7608,5.7608,5.685,5.7654,11000,76
2007-01-26,5.8366,6.064,5.8063,5.811,7100,76.6
2007-01-29,6.064,6.1398,6.064,6.0765,11300,80.1
2007-01-30,6.5188,6.5188,6.2914,6.2965,18700,83
2007-01-31,6.064,6.822,6.064,6.524,11100,86
2007-02-01,6.822,7.1252,6.5567,6.6758,9500,88
2007-02-02,6.822,6.9736,6.7841,6.9034,11500,91
2007-02-05,7.5421,7.5421,6.6704,6.7137,4900,88.5
2007-02-06,6.6704,6.6704,6.4657,6.6378,8400,87.5
2007-02-07,5.9882,6.5567,5.9882,6.562,38100,86.5
2007-02-08,6.5112,6.5112,6.2156,6.4482,3800,85
2007-02-09,6.2914,6.4203,6.2914,6.2965,2400,83
