date,open,high,low,close,volume,close_raw
2013-06-28,5.7523,6.4124,5.7523,6.4133,4100,68
2013-07-01,6.8839,6.8839,6.1295,6.1304,600,65
2013-07-03,6.0352,6.0352,6.0352,6.0361,100,64
2013-07-04,5.9409,5.9409,5.9409,5.9418,200,63
2013-07-05,5.9409,5.9409,5.9409,5.9418,100,63
2013-07-08,5.658,5.658,5.658,5.6588,1000,60
2013-07-09,5.8466,5.8466,5.658,5.6588,200,60
2013-07-10,5.658,5.658,5.4694,5.4702,200,58
2013-07-11,5.4694,5.4694,5.4694,5.4702,2700,58
2013-07-12,5.4694,5.4694,5.4223,5.4702,7200,58
2013-07-15,5.4694,5.4694,5.4694,5.4702,100,58
2013-07-17,5.4223,5.4223,5.4223,5.423,100,57.5
2013-07-18,5.4223,5.4223,5.3751,5.423,9500,57.5
2013-07-19,5.4223,5.4223,5.4223,5.423,5000,57.5
2013-07-29,5.1865,5.1865,5.1865,5.1873,2000,55
2013-07-30,5.4223,5.4223,5.4223,5.423,600,57.5
2013-08-05,5.4694,5.4694,5.4694,5.4702,300,58
2013-08-06,5.4694,5.4694,5.4694,5.4702,100,58
2013-08-16,5.1865,5.1865,5.1865,5.1873,100,55
2013-09-12,5.1865,5.5166,5.1865,5.5173,300,58.5
2013-09-13,5.1865,5.1865,5.1865,5.1873,100,55
2013-09-25,4.715,5.1865,4.715,5.1873,14500,55
2013-09-27,5.7052,5.7052,5.7052,5.706,100,60.5
2013-10-01,5.1865,5.1865,5.1394,5.1401,1300,54.5
2013-10-07,5.0922,5.0922,5.0922,5.0929,1300,54
2013-10-09,5.1865,5.1865,5.0922,5.0929,2500,54
2013-10-10,5.1394,5.1394,5.0922,5.0929,200,54
2013-10-16,5.0922,5.0922,5.0922,5.0929,300,54
2013-10-22,5.1865,5.1865,5.1865,5.1873,200,55
2013-10-29,5.1865,5.2808,5.1865,5.2816,700,56
2013-10-30,5.658,5.7523,5.4694,5.4702,1200,58
2013-10-31,5.4694,5.4694,5.4694,5.4702,400,58
2013-11-01,5.658,5.658,5.4694,5.4702,9100,58
2013-11-04,5.4694,5.4788,5.4694,5.4796,2000,58.1
2013-11-05,5.4694,5.4694,5.4694,5.4702,300,58
2013-11-15,5.467,5.467,5.4173,5.4203,600,54.5
2013-11-18,5.6658,5.6658,5.5664,5.5695,600,56
2013-11-19,5.467,5.467,5.4173,5.4203,3600,54.5
2013-11-25,5.467,5.467,5.467,5.4701,100,55
2013-11-26,5.467,5.467,5.467,5.4701,100,55
2013-11-27,5.467,5.467,5.4173,5.4203,700,54.5
2013-12-03,5.3676,5.3676,5.3676,5.3706,2000,54
2013-12-05,5.3676,5.3676,5.3676,5.3706,4000,54
2013-12-06,4.97,5.3676,4.97,5.3706,5100,54
2013-12-09,5.2682,5.2682,5.2682,5.2711,2000,53
2013-12-17,5.467,5.467,5.3179,5.3209,300,53.5
2013-12-19,5.2682,5.2682,5.2682,5.2711,500,53
2013-12-20,5.0694,5.0694,5.0694,5.0722,200,51
2013-12-24,5.0694,5.0694,5.0694,5.0722,1000,51
2013-12-27,5.0688,5.0688,5.0688,5.0722,1000,49.5
2014-01-06,5.0176,5.0176,5.0176,5.0209,200,49
2014-01-07,5.12,5.12,5.12,5.1234,100,50
2014-01-09,5.3248,5.3248,5.3248,5.3283,100,52
2014-01-13,5.3248,5.3248,5.3248,5.3283,4900,52
2014-01-22,5.12,5.3248,5.0176,5.3283,3000,52
2014-01-27,5.4272,5.4272,5.3248,5.3283,8300,52
2014-02-06,5.3248,5.3248,5.3248,5.3283,5000,52
2014-02-11,5.3248,5.3248,5.3248,5.3283,100,52
2014-02-13,5.632,5.632,5.632,5.6357,100,55
2014-02-17,5.3248,5.3248,5.2224,5.2259,500,51
2014-02-18,5.2224,5.2224,5.2224,5.2259,300,51
2014-02-19,5.12,5.12,5.12,5.1234,400,50
2014-02-20,5.0688,5.0688,5.0176,5.0209,3800,49
2014-02-27,5.2736,5.2736,5.2224,5.2259,500,51
2014-03-14,5.1098,5.1098,5.0688,5.0722,800,49.5
2014-03-18,4.9152,4.9152,4.608,4.6111,300,45
2014-03-19,5.0688,5.0688,4.7104,4.7135,1700,46
2014-03-20,4.7104,4.7104,4.7104,4.7135,100,46
2014-03-21,4.7104,4.7104,4.7104,4.7135,130,46
2014-03-24,4.608,4.6182,4.608,4.6213,890,45.1
2014-03-25,4.9152,4.9152,4.9152,4.9185,100,48
2014-03-26,5.376,5.376,5.376,5.3796,230,52.5
2014-03-27,5.376,5.376,5.376,5.3796,190,52.5
2014-03-31,4.9152,4.9152,4.8435,4.8467,300,47.3
2014-04-01,4.8435,4.8435,4.8435,4.8467,190,47.3
2014-04-04,4.8947,4.8947,4.8947,4.898,290,47.8
2014-04-08,4.9152,4.9152,4.9152,4.9185,100,48
2014-04-10,4.9152,4.9152,4.9152,4.9185,190,48
2014-04-11,4.9152,4.9152,4.608,4.6111,500,45
2014-04-14,4.5056,4.5056,4.1472,4.15,4100,40.5
2014-04-15,4.096,4.096,4.096,4.0987,590,40
2014-04-16,3.799,3.799,3.7888,3.7913,500,37
2014-04-17,3.584,3.584,3.584,3.5864,100,35
2014-04-18,3.8912,3.8912,3.8912,3.8938,100,38
2014-04-21,3.584,3.8912,3.584,3.8938,2000,38
2014-04-22,4.096,4.096,4.096,4.0987,100,40
2014-04-23,4.1984,4.1984,4.1984,4.2012,100,41
2014-04-25,3.9936,4.5056,3.9936,4.3037,5790,42
2014-04-28,4.0448,4.0448,3.9936,3.9963,3700,39
2014-04-29,3.9629,4.096,3.9424,3.9553,16000,38.6
2014-05-05,3.8298,4.0038,3.7888,4.0065,700,39.1
2014-05-06,3.8298,3.8298,3.7376,3.8221,3300,37.3
2014-05-07,3.8195,3.9424,3.8195,3.945,301,38.5
2014-05-08,3.6864,3.6864,3.5635,3.5659,2700,34.8
2014-05-09,3.584,3.8912,3.584,3.8938,1191,38
2014-05-12,3.5123,3.5123,3.5021,3.5044,1900,34.2
2014-05-13,3.6307,3.7485,3.6307,3.6439,601,34
2014-05-14,3.695,4.0055,3.695,4.0083,6300,37.4
2014-05-15,3.7057,3.7057,3.7057,3.7082,500,34.6
2014-05-16,4.0055,4.0055,4.0055,4.0083,100,37.4
2014-05-20,3.7485,4.0055,3.695,4.0083,10100,37.4
2014-05-21,4.0698,4.0698,3.9627,4.019,400,37.5
2014-05-22,3.7271,3.7271,3.7057,3.7189,2601,34.7
2014-05-23,3.3737,3.3737,3.3737,3.3759,200,31.5
2014-05-26,3.6414,3.6414,3.545,3.5474,2500,33.1
2014-05-27,3.7485,3.7485,3.7485,3.7511,1900,35
2014-05-28,3.8556,3.8556,3.7271,3.8475,15800,35.9
2014-05-29,3.8449,3.8449,3.8449,3.8475,800,35.9
2014-06-05,3.9627,3.9627,3.8556,3.8582,200,36
2014-06-09,3.9092,3.9092,3.9092,3.9118,100,36.5
2014-06-10,3.5236,3.5236,3.5236,3.526,100,32.9
2014-06-11,3.7485,3.7485,3.6414,3.6439,4500,34
2014-06-12,3.8342,3.8342,3.8342,3.8368,100,35.8
2014-06-13,3.8342,3.8342,3.8342,3.8368,191,35.8
2014-06-17,3.6521,3.7378,3.5879,3.5903,2200,33.5
2014-06-18,3.5879,3.5879,3.5879,3.5903,290,33.5
2014-06-19,3.4915,3.7164,3.4915,3.7189,500,34.7
2014-06-20,3.7164,3.7164,3.695,3.6975,2000,34.5
2014-06-23,3.5343,3.695,3.4272,3.6975,2090,34.5
2014-06-24,3.5343,3.6628,3.5343,3.6653,1200,34.2
2014-06-25,3.5343,3.6414,3.5343,3.6439,49300,34
2014-06-26,3.5879,3.5879,3.5557,3.5581,3000,33.2
2014-07-01,3.5557,3.5557,3.5557,3.5581,600,33.2
2014-07-03,3.5557,3.62,3.5557,3.5903,4300,33.5
2014-07-04,3.5986,3.6414,3.5986,3.6332,4700,33.9
2014-07-07,3.6414,3.6414,3.6414,3.6439,400,34
2014-07-08,3.62,3.6735,3.62,3.676,1200,34.3
2014-07-09,3.6414,3.7485,3.6414,3.7403,26900,34.9
2014-07-10,3.7485,3.8342,3.7485,3.8368,3200,35.8
2014-07-11,3.8342,3.8342,3.7485,3.7511,1000,35
2014-07-14,3.8021,3.8021,3.695,3.8046,6900,35.5
2014-07-16,3.8021,3.8021,3.7485,3.7511,1600,35
2014-07-17,3.7057,3.7913,3.7057,3.7939,5900,35.4
2014-07-18,3.7913,3.8021,3.7913,3.8046,6300,35.5
2014-07-21,3.8235,3.8556,3.8021,3.8046,20030,35.5
2014-07-22,3.8877,4.0377,3.8877,4.0404,8000,37.7
2014-07-23,3.9948,4.4339,3.9841,4.437,11000,41.4
2014-07-24,4.4339,4.8731,4.4339,4.8764,14900,45.5
2014-07-25,5.1408,5.355,5.1408,5.3586,20400,50
2014-07-28,5.355,5.355,4.8195,5.2515,18230,49
2014-07-29,5.0873,5.0873,4.7231,4.7263,14100,44.1
2014-07-30,4.7231,5.1944,4.7231,4.7692,5100,44.5
2014-07-31,4.766,4.9266,4.6053,4.8764,16293,45.5
2014-08-01,4.8195,5.355,4.8195,5.3586,60407,50
2014-08-04,5.837,5.8905,5.837,5.8945,7400,55
2014-08-05,6.1047,6.1047,5.8905,5.8945,12350,55
2014-08-06,5.8905,6.4796,5.8905,6.484,89450,60.5
2014-08-07,6.9615,6.9615,5.837,6.484,83300,60.5
2014-08-08,6.5331,6.5331,5.837,6.4197,85100,59.9
2014-08-11,5.9441,5.9976,5.7834,5.9481,71700,55.5
2014-08-12,5.7299,5.7834,5.6228,5.7873,63100,54
2014-08-13,5.7834,5.7834,5.3015,5.3694,154400,50.1
2014-08-14,5.355,5.8905,5.2479,5.8945,141200,55
2014-08-15,5.8905,5.8905,5.5264,5.6266,118000,52.5
2014-08-18,5.4086,5.7299,5.4086,5.573,65200,52
2014-08-19,5.4621,5.5692,5.4086,5.5194,50500,51.5
2014-08-20,5.4621,5.5157,5.3657,5.5194,38100,51.5
2014-08-21,5.5692,5.6228,5.4621,5.5194,48300,51.5
2014-08-22,5.4621,5.6763,5.4621,5.5194,47000,51.5
2014-08-25,5.6228,5.6228,5.5157,5.573,68300,52
2014-08-26,5.5157,5.6549,5.5157,5.5837,50600,52.1
2014-08-27,5.7299,6.0833,5.5692,6.0017,72393,56
2014-08-28,5.9976,6.1047,5.7406,5.7873,171000,54
2014-08-29,5.9441,5.9441,5.6228,5.7338,122507,53.5
2014-09-03,5.5799,5.7299,5.5692,5.5837,90000,52.1
2014-09-04,5.5692,5.5692,5.4835,5.573,96800,52
2014-09-05,5.6763,5.8905,5.5692,5.7338,88500,53.5
2014-09-08,5.8905,5.8905,5.6763,5.7338,67000,53.5
2014-09-09,5.5692,5.6763,5.4086,5.4658,86100,51
2014-09-10,5.6763,5.6763,5.4086,5.573,62500,52
2014-09-11,5.6228,5.6763,5.6228,5.6373,52000,52.6
2014-09-12,5.6228,5.7299,5.5157,5.6802,60700,53
2014-09-15,5.6763,5.6763,5.5157,5.5516,53800,51.8
2014-09-16,5.6549,5.6549,5.4621,5.5194,39300,51.5
2014-09-17,5.4621,5.5157,5.1408,5.3586,48570,50
2014-09-18,5.355,5.355,5.1729,5.3051,21400,49.5
2014-09-19,5.2479,5.3443,5.1944,5.2408,25950,48.9
2014-09-22,5.1944,5.7513,5.1944,5.7552,46700,53.7
2014-09-23,5.7513,6.3189,5.7513,6.3232,35320,59
2014-09-24,6.5867,6.5867,5.9976,6.484,118540,60.5
2014-09-25,6.4796,6.4796,6.1047,6.1517,25220,57.4
2014-09-26,6.1475,6.3189,6.1475,6.3232,28080,59
2014-09-29,6.1047,6.3725,6.1047,6.3768,26990,59.5
2014-09-30,6.2118,6.5331,6.2118,6.484,84900,60.5
2014-10-01,6.5867,7.1007,6.5331,7.0198,88760,65.5
2014-10-02,6.426,6.9615,6.3296,6.8591,20900,64
2014-10-03,6.426,6.6402,6.4046,6.4089,21800,59.8
2014-10-06,6.4046,6.4796,6.3189,6.4304,20230,60
2014-10-07,6.3189,6.426,6.3189,6.4304,20000,60
2014-10-08,6.3189,6.5331,6.3189,6.5375,32770,61
2014-10-09,6.426,6.6402,6.3189,6.5375,23500,61
2014-10-10,6.426,6.5331,6.3189,6.5375,19700,61
2014-10-13,6.426,6.426,6.3189,6.3232,19490,59
2014-10-14,6.426,6.6402,6.426,6.5375,18000,61
2014-10-15,6.426,6.426,6.3189,6.4304,12880,60
2014-10-16,6.3189,6.3189,6.2118,6.216,4100,58
2014-10-17,6.2118,6.2118,6.2118,6.216,7500,58
2014-10-20,6.2118,6.5331,6.2118,6.4304,6670,60
2014-10-21,6.2118,6.3189,6.2118,6.216,8200,58
2014-10-22,6.3189,6.3189,6.2118,6.216,15200,58
2014-10-23,6.3189,6.3189,6.2118,6.216,8100,58
2014-10-24,6.2118,6.2118,6.2118,6.216,7760,58
2014-10-27,6.5331,6.5331,6.2118,6.216,6500,58
2014-10-28,6.2118,6.2118,6.2118,6.216,550,58
2014-10-29,6.2118,6.2118,6.1904,6.1946,2400,57.8
2014-10-30,6.2118,6.2118,6.2118,6.216,1400,58
2014-10-31,6.1904,6.1904,5.6228,6.1946,2000,57.8
2014-11-03,6.426,6.426,6.3189,6.3232,600,59
2014-11-04,5.7834,6.3189,5.7834,6.3232,450,59
2014-11-05,6.1047,6.1047,5.9976,6.0017,300,56
2014-11-06,5.9976,6.2011,5.9976,6.2053,660,57.9
2014-11-10,6.2118,6.2118,6.2118,6.216,200,58
2014-11-13,6.3189,6.3189,6.3189,6.3232,140,59
2014-11-19,5.6977,6.2118,5.6977,6.216,800,58
2014-11-20,6.3189,6.3189,6.3189,6.3232,100,59
2014-12-04,5.6977,6.2118,5.6977,6.216,400,58
2014-12-09,6.2118,6.2118,6.2118,6.216,39,58
2014-12-11,6.2118,6.2118,6.2118,6.216,70,58
2014-12-16,5.5906,6.2118,5.5906,6.216,9900,58
2014-12-18,6.2118,6.426,6.2011,6.216,352770,58
2014-12-19,6.3189,6.3189,6.2118,6.216,4310,58
2014-12-22,6.2011,6.2011,6.2011,6.2053,200,57.9
2014-12-23,5.612,6.1904,5.612,6.1946,6100,57.8
2014-12-24,6.1904,6.1904,6.1904,6.1946,30,57.8
2014-12-25,6.1904,6.426,6.1904,6.4304,1200,60
2014-12-26,5.8048,6.2654,5.7941,6.2696,200600,58.5
2014-12-29,5.9976,5.9976,5.7299,5.7338,330,53.5
2014-12-30,5.6763,6.1047,5.6763,6.1089,8800,57
2014-12-31,6.1047,6.1047,5.7299,6.0553,192200,56.5
2015-01-05,5.7834,5.7834,5.7299,5.7338,1400,53.5
2015-01-06,5.7299,5.9441,5.7299,5.9481,12100,55.5
2015-01-07,5.967,6.318,5.967,6.3187,1100,54
2015-01-08,5.7564,6.2361,5.733,6.2368,400,53.3
2015-01-12,6.318,6.318,6.318,6.3187,100,54
2015-01-23,5.85,6.1425,5.85,6.1432,200,52.5
2015-03-02,5.733,6.1425,5.733,6.1432,900,52.5
2015-03-17,5.616,5.616,5.616,5.6167,500,48
2015-03-19,5.616,5.616,5.616,5.6167,1621,48
2015-03-20,5.85,5.85,5.85,5.8507,100,50
2015-03-24,5.85,5.85,5.85,5.8507,11,50
2015-03-25,5.85,5.85,5.85,5.8507,100,50
2015-03-30,6.435,6.435,6.435,6.4358,2100,55
2015-03-31,6.435,6.435,6.435,6.4358,700,55
