date,open,high,low,close,volume,close_raw
2013-12-24,10.5793,10.5793,10.5793,10.5796,100,16.1
2013-12-25,11.6307,11.6307,11.6307,11.631,100,17.7
2013-12-26,12.7477,12.7477,12.7477,12.7481,4000,19.4
2013-12-27,13.9962,13.9962,13.9962,13.9967,11900,21.3
2013-12-30,15.3761,15.3761,14.0619,15.048,84500,22.9
2013-12-31,15.1133,15.1133,14.1277,14.8509,2900,22.6
2014-01-02,14.0619,14.0619,13.4048,13.6024,11900,20.7
2014-01-03,12.3535,13.4048,12.3535,13.4052,27800,20.4
2014-01-06,12.3535,12.5506,12.2878,12.2881,23200,18.7
2014-01-07,11.4993,13.4706,11.3678,13.471,9500,20.5
2014-01-08,14.719,14.719,13.2077,13.471,15600,20.5
2014-01-09,13.4706,13.7991,13.4706,13.7338,11300,20.9
2014-01-10,13.602,13.602,13.4706,13.471,11200,20.5
2014-01-13,13.4706,13.7991,13.4706,13.7338,10200,20.9
2014-01-14,14.3248,15.0476,14.3248,15.048,38500,22.9
2014-01-15,15.0476,15.3761,14.5219,14.5223,11210,22.1
2014-01-16,15.7704,15.7704,14.7848,14.7852,3900,22.5
2014-01-17,14.4562,14.4562,14.4562,14.4566,9100,22
2014-01-20,13.2734,14.4562,13.2734,13.2738,4100,20.2
2014-01-21,13.2734,14.0619,13.2734,14.0624,21800,21.4
2014-01-22,14.1934,14.4562,14.1277,14.1281,6600,21.5
2014-01-23,14.1934,14.2591,14.1277,14.1938,19300,21.6
2014-01-24,14.1934,14.1934,14.1934,14.1938,2200,21.6
2014-02-07,14.1934,14.1934,13.7334,13.7995,12500,21
2014-02-10,13.6677,13.6677,13.2734,13.3395,30600,20.3
2014-02-11,13.4048,13.4048,13.142,13.1424,10700,20
2014-02-12,13.4706,13.4706,13.4048,13.4052,800,20.4
2014-02-13,13.4048,13.5363,13.2077,13.5367,15900,20.6
2014-02-14,13.2734,13.6677,13.2734,13.6024,6900,20.7
2014-02-17,13.7991,14.1277,13.602,13.7995,26300,21
2014-02-18,14.1277,15.179,13.9305,15.1795,49880,23.1
2014-02-19,15.8361,16.6903,15.8361,16.6908,84730,25.4
2014-02-20,17.4132,18.3331,16.6903,17.7422,82408,27
2014-02-21,16.8218,18.0703,16.4275,18.0051,14760,27.4
2014-02-24,17.8731,19.713,17.7417,19.7136,61450,30
2014-02-25,20.5015,21.5529,20.0416,21.4221,74000,32.6
2014-02-26,22.3414,22.3414,20.3701,21.2907,38400,32.4
2014-02-27,21.29,21.29,19.1873,19.1879,68700,29.2
2014-02-28,19.0559,19.1873,18.3988,19.1222,71600,29.1
2014-03-03,19.0559,19.3845,18.7274,18.7936,16600,28.6
2014-03-04,19.0559,19.0559,19.0559,19.0565,8500,29
2014-03-05,19.0559,19.1216,18.7931,18.9908,7800,28.9
2014-03-06,19.1216,19.3187,18.9902,19.1222,8900,29.1
2014-03-07,19.0559,19.1216,18.9902,19.1222,5600,29.1
2014-03-10,19.0559,19.1216,18.3988,19.1222,8800,29.1
2014-03-11,19.0559,19.1216,18.3988,18.7279,45710,28.5
2014-03-12,18.3988,18.5302,17.7417,18.3994,22700,28
2014-03-13,18.0045,18.7274,18.0045,18.7279,5200,28.5
2014-03-14,17.8731,18.5959,17.8731,18.3994,700,28
2014-03-17,18.3988,18.3988,17.9388,17.9394,9700,27.3
2014-03-18,18.136,18.136,18.136,18.1365,1400,27.6
2014-03-19,18.136,18.136,18.0045,18.1365,2100,27.6
2014-03-20,18.136,18.136,17.7417,17.7422,14500,27
2014-03-21,17.7417,18.0703,17.7417,18.0708,11750,27.5
2014-03-24,18.0703,18.136,17.8731,17.8737,10600,27.2
2014-03-25,18.7274,18.7274,17.6103,17.6108,29500,26.8
2014-03-26,17.6103,17.6103,15.9675,15.968,32920,24.3
2014-03-27,15.9675,17.5446,15.9675,17.5451,28720,26.7
2014-03-28,18.0703,18.136,18.0703,18.1365,800,27.6
2014-03-31,17.7417,18.0703,17.7417,18.0708,10220,27.5
2014-04-01,18.0045,18.0045,17.216,17.8079,2620,27.1
2014-04-02,17.8074,17.8074,16.6903,17.5451,5500,26.7
2014-04-03,17.9388,17.9388,16.5589,16.888,8210,25.7
2014-04-04,16.7561,16.9532,16.7561,16.9537,10200,25.8
2014-04-07,16.9532,16.9532,16.7561,16.9537,3500,25.8
2014-04-08,16.6903,16.9532,16.4932,16.6908,4800,25.4
2014-04-10,16.6903,17.216,16.6903,17.2165,6000,26.2
2014-04-11,17.0846,17.0846,17.0846,17.0851,3600,26
2014-04-14,17.0846,17.0846,16.6903,16.6908,6200,25.4
2014-04-15,16.3618,17.6103,16.3618,17.2165,33700,26.2
2014-04-16,17.3474,17.6103,17.0846,17.2165,34900,26.2
2014-04-17,17.6103,17.7417,17.216,17.7422,10500,27
2014-04-18,17.9388,17.9388,17.3474,17.4137,12900,26.5
2014-04-21,16.9532,17.6103,16.0332,17.2165,18200,26.2
2014-04-22,17.216,17.216,16.9532,17.0851,14800,26
2014-04-23,17.4132,17.7417,17.216,17.7422,10200,27
2014-04-24,17.7417,17.7417,17.7417,17.7422,1200,27
2014-04-25,17.8731,17.8731,17.7417,17.8079,9900,27.1
2014-04-28,17.7417,17.9388,17.7417,17.9394,5300,27.3
2014-05-05,17.7417,17.7417,17.1503,17.4794,12248,26.6
2014-05-06,17.2817,17.4789,16.6246,17.4794,49900,26.6
2014-05-07,17.216,17.4789,17.1503,17.4137,6600,26.5
2014-05-08,17.4132,17.4132,15.7704,16.428,43620,25
2014-05-09,17.4132,17.4132,17.4132,17.4137,420,26.5
2014-05-12,16.099,16.099,15.7047,15.7052,15200,23.9
2014-05-13,15.3761,15.5733,15.3761,15.4423,20900,23.5
2014-05-14,16.4275,16.7561,15.7704,16.3623,4400,24.9
2014-05-15,16.3618,16.3618,16.0332,16.0994,12400,24.5
2014-05-19,16.8143,16.8143,15.0255,16.4566,5200,23
2014-05-20,16.9574,16.9574,16.9574,16.9575,208,23.7
2014-05-21,17.0289,17.816,17.0289,17.7445,2300,24.8
2014-05-22,17.6729,17.6729,17.6013,17.6014,3200,24.6
2014-05-23,17.7444,17.8875,17.7444,17.8161,11700,24.9
2014-05-27,17.6729,17.816,17.172,17.8161,6200,24.9
