date,open,high,low,close,volume,close_raw
2007-11-15,25.8172,32.6628,24.08,29.2422,380300,170
2007-11-16,29.2572,29.2916,29.24,29.2938,173300,170.3
2007-11-19,32.2156,32.2156,32.2156,32.218,51800,187.3
2007-11-20,35.432,35.432,29.3948,29.397,139800,170.9
2007-11-21,29.24,29.24,28.6552,28.6574,44500,166.6
2007-11-22,25.8516,28.896,25.8516,27.3501,157100,159
2007-11-23,27.0212,27.0212,26.2472,26.4212,149900,153.6
2007-11-26,25.456,26.316,23.908,25.6299,258000,149
2007-11-27,25.112,26.488,24.854,25.5439,49200,148.5
2007-11-28,25.8,25.8,25.198,25.5439,33400,148.5
2007-11-29,25.3356,25.8,25.198,25.2859,57200,147
2007-11-30,25.3012,25.4388,24.768,24.9419,41200,145
2007-12-03,25.026,25.112,24.596,24.7011,59100,143.6
2007-12-04,24.8368,24.8368,23.908,24.0818,85300,140
2007-12-05,24.424,24.596,23.22,23.7378,50700,138
2007-12-06,23.736,23.736,22.36,22.7057,78900,132
2007-12-07,22.36,24.424,21.672,23.0498,77100,134
2007-12-10,22.7384,23.392,22.0332,22.1897,81300,129
2007-12-11,22.0332,22.188,21.586,21.5876,37900,125.5
2007-12-12,21.5,22.36,20.8464,21.5876,104700,125.5
2007-12-13,21.5172,21.5172,20.812,20.9856,11800,122
2007-12-14,20.6572,20.8464,19.78,20.2975,35000,118
2007-12-17,20.296,20.296,18.5932,18.6634,44200,108.5
2007-12-18,17.888,19.3328,17.544,19.0935,61700,111
2007-12-19,18.6104,20.0896,17.716,20.0911,31400,116.8
2007-12-20,20.468,21.156,18.9372,19.9535,45600,116
2007-12-21,19.264,21.156,19.264,20.6416,77000,120
2007-12-24,21.5172,21.844,20.64,20.8136,44500,121
2007-12-25,20.812,20.812,20.296,20.504,41200,119.2
2007-12-26,20.21,21.242,20.21,20.8136,38600,121
2007-12-27,20.984,20.984,20.6572,20.8136,36600,121
2007-12-28,20.812,22.8416,20.6572,22.6369,51700,131.6
2008-01-02,22.876,22.876,21.5,21.8457,58300,127
2008-01-03,22.016,22.016,21.156,21.4156,19000,124.5
2008-01-04,21.5,21.5,20.8464,20.9856,22300,122
2008-01-07,21.1216,21.1216,19.092,20.2803,18600,117.9
2008-01-08,20.124,21.4828,19.78,20.1255,27900,117
2008-01-09,20.468,20.468,19.264,19.5235,32600,113.5
2008-01-10,19.5564,19.608,17.63,18.9214,120800,110
2008-01-11,18.232,19.436,18.146,18.6634,49100,108.5
2008-01-14,18.6104,18.6104,17.544,17.855,36000,103.8
2008-01-15,17.888,17.888,16.0304,16.3412,81700,95
2008-01-16,17.028,17.9396,17.028,17.941,66500,104.3
2008-01-17,18.92,19.264,16.512,18.0614,74500,105
2008-01-18,18.232,19.264,16.856,18.4054,56800,107
2008-01-21,18.0428,18.404,17.716,18.2334,29500,106
2008-01-22,17.716,17.716,16.856,17.4937,36100,101.7
2008-01-23,17.544,17.63,16.34,17.0293,122700,99
2008-01-24,17.544,17.888,16.9076,17.2013,53400,100
2008-01-25,17.2,17.716,16.9592,17.2013,44500,100
2008-01-28,17.5096,17.544,16.7872,17.0293,26200,99
2008-01-29,16.856,17.8708,16.856,17.3733,44000,101
2008-01-30,17.8536,19.264,17.8536,19.2655,64200,112
2008-01-31,19.0748,19.264,17.716,18.7494,50500,109
2008-02-01,18.404,19.0404,18.404,18.7322,50400,108.9
2008-02-12,18.404,18.404,17.716,17.9754,21100,104.5
2008-02-13,17.372,17.888,17.372,17.4765,20100,101.6
2008-02-14,17.5268,18.0428,17.372,17.4593,30300,101.5
2008-02-15,17.544,17.544,17.028,17.2013,31800,100
2008-02-18,16.512,16.684,16.0132,16.5993,37800,96.5
2008-02-19,16.5292,16.856,15.8412,16.3584,28600,95.1
2008-02-20,16.3916,16.512,15.308,15.4812,33700,90
2008-02-21,14.534,14.62,14.276,14.2771,32600,83
2008-02-22,13.0892,14.62,12.9172,13.589,94600,79
2008-02-25,13.158,14.4652,12.9,14.4663,45100,84.1
2008-02-26,15.2908,15.2908,12.9516,13.073,41600,76
2008-02-27,12.384,13.76,12.126,12.557,62900,73
2008-02-28,12.9,13.0032,12.384,12.5914,44900,73.2
2008-02-29,12.556,13.244,12.556,13.245,113100,77
2008-03-03,12.8312,13.2096,11.868,12.901,78500,75
2008-03-04,13.072,13.072,11.2144,11.2153,110200,65.2
2008-03-05,10.492,10.75,10.1308,10.5788,78300,61.5
2008-03-06,11.3692,11.3692,11.3692,11.3701,1400,66.1
2008-03-07,12.5044,12.5044,12.5044,12.5053,14100,72.7
2008-03-10,13.7428,13.7428,12.5044,12.729,102000,74
2008-03-11,12.728,12.728,12.1604,12.1613,54300,70.7
2008-03-12,12.47,13.2096,12.0228,12.557,52400,73
2008-03-13,12.9,12.9,12.384,12.729,26700,74
2008-03-14,12.384,12.556,12.298,12.3333,18000,71.7
2008-03-17,11.61,11.61,11.1628,11.1636,36000,64.9
