date,open,high,low,close,volume,close_raw
2016-12-06,44.2728,44.2728,44.2728,44.2753,3010,132
2016-12-07,47.3585,47.3585,47.3585,47.3612,30,141.2
2016-12-08,50.6454,50.6454,50.6454,50.6483,1000,151
2016-12-09,50.6454,54.1671,50.6454,54.1702,3010,161.5
2016-12-12,57.9571,57.9571,57.9571,57.9604,35690,172.8
2016-12-13,61.9819,61.9819,61.9819,61.9854,96830,184.8
2016-12-14,66.3086,66.3086,66.3086,66.3123,154380,197.7
2016-12-15,70.9371,70.9371,70.434,70.9411,380050,211.5
2016-12-16,75.901,75.901,67.08,75.4693,387520,225
2016-12-19,71.1048,75.465,71.1048,71.1088,168190,212
2016-12-20,70.7694,70.9371,66.1409,66.1446,399710,197.2
2016-12-21,66.1409,68.2539,62.049,67.3521,241750,200.8
2016-12-22,70.4005,70.4005,68.0862,68.0901,52460,203
2016-12-23,68.0862,68.0862,66.1073,67.0838,54810,200
2016-12-26,67.419,67.419,64.695,67.0838,169870,197
2016-12-27,67.0785,68.0319,65.7506,67.4243,69880,198
2016-12-28,68.0319,68.0319,67.1126,67.7308,28530,198.9
2016-12-29,67.419,67.419,65.7165,67.0838,98560,197
2016-12-30,67.419,67.419,66.5678,67.3222,96740,197.7
2017-01-03,67.0785,67.3169,66.704,67.0838,63170,197
2017-01-04,67.0785,67.6233,66.3975,67.0838,87490,197
2017-01-05,67.0785,67.419,66.738,67.1179,27170,197.1
2017-01-06,67.385,71.471,67.1466,70.1485,212390,206
2017-01-09,70.143,70.824,69.8025,69.808,31390,205
2017-01-10,70.4495,70.4495,68.6108,69.6378,44540,204.5
2017-01-11,69.462,71.505,68.781,71.5107,228480,210
2017-01-12,72.5265,72.5265,71.505,71.715,55290,210.6
2017-01-13,71.7434,72.2541,71.7093,72.1236,37670,211.8
2017-01-16,71.8455,71.8455,70.824,71.1701,33890,209
2017-01-17,70.9943,74.0247,70.8581,73.7241,113760,216.5
2017-01-18,73.3097,76.6125,73.3097,76.2099,103480,223.8
2017-01-19,76.6125,76.6125,74.91,76.2099,40040,223.8
2017-01-20,75.9315,76.6466,75.9315,76.2099,77940,223.8
2017-01-23,76.2039,76.2039,75.0803,75.597,44360,222
2017-01-24,74.91,76.272,74.91,75.597,137100,222
2017-01-25,75.591,76.2039,74.91,76.2099,18800,223.8
2017-02-02,76.238,76.238,74.5695,74.5754,18560,219
2017-02-03,74.0247,75.8975,73.6842,73.8943,51700,217
2017-02-06,74.7398,74.7398,72.0158,73.2133,50070,215
2017-02-07,73.2075,74.91,72.5265,73.5538,76580,216
2017-02-08,73.548,73.8885,73.2075,73.3154,36350,215.3
2017-02-09,73.3097,73.3097,70.824,71.8512,150070,211
2017-02-10,71.8455,72.867,71.8455,72.6003,35880,213.2
2017-02-13,72.5946,73.1054,71.505,72.6684,25240,213.4
2017-02-14,72.6627,73.8545,72.5606,73.5538,72220,216
2017-02-15,73.548,73.548,72.4584,72.8387,84300,213.9
2017-02-16,72.867,73.548,72.867,73.3495,44230,215.4
2017-02-17,73.2075,73.2075,72.867,73.1111,34430,214.7
2017-02-20,72.6287,74.229,72.5946,74.2349,103930,218
2017-02-21,74.0928,74.91,74.0928,74.7797,34930,219.6
2017-02-22,74.7398,76.4423,74.7398,76.3802,100360,224.3
2017-02-23,76.5785,77.2935,76.272,77.2996,130020,227
2017-02-24,77.634,78.315,76.953,77.2996,107840,227
2017-02-27,76.6466,77.6,76.272,76.6526,61270,225.1
2017-02-28,76.7828,77.0211,76.6466,76.6526,50720,225.1
2017-03-01,76.953,76.953,76.6125,76.925,69440,225.9
2017-03-02,77.2935,77.2935,74.6376,76.5845,30250,224.9
2017-03-03,75.9315,76.7487,75.2505,76.7548,20670,225.4
2017-03-06,76.6125,76.7828,75.591,76.4483,32990,224.5
2017-03-07,76.5785,76.6125,75.7953,75.8013,35720,222.6
2017-03-08,75.7953,75.7953,74.3652,74.5413,14120,218.9
2017-03-09,73.5821,75.2505,72.186,73.5538,56450,216
2017-03-10,71.8455,73.548,71.8455,71.8512,17550,211
2017-03-13,71.8455,71.8455,70.2792,70.4891,30560,207
2017-03-14,70.4835,73.8885,69.1896,72.8728,54260,214
2017-03-15,72.867,73.2075,71.8455,72.0555,13250,211.6
2017-03-16,72.0498,72.867,69.9728,72.4982,7450,212.9
2017-03-17,72.4925,72.4925,70.824,70.8296,14250,208
2017-03-20,70.824,71.471,70.824,71.1701,7670,209
2017-03-21,71.1645,71.1645,69.7344,69.8761,61100,205.2
2017-03-22,69.8706,70.109,68.2703,69.127,42630,203
2017-03-23,68.8832,69.7344,68.2703,68.7864,20840,202
2017-03-24,68.781,68.8151,67.7936,68.1054,101770,200
2017-03-27,68.1,68.2703,67.7595,68.1054,25830,200
2017-03-28,68.4405,68.781,67.7595,67.7649,55080,199
2017-03-29,67.4531,69.8025,67.419,68.1054,35850,200
2017-03-30,68.1,68.781,68.1,68.7864,11700,202
2017-03-31,68.781,68.781,68.1,68.1054,10830,200
2017-04-03,68.1,68.747,68.1,68.2416,20480,200.4
2017-04-04,67.8957,68.2362,67.8957,68.2416,11070,200.4
2017-04-05,68.9513,69.1215,68.3043,69.127,24480,203
2017-04-07,69.1215,69.8025,68.781,69.808,22080,205
2017-04-10,69.462,71.1645,69.428,71.1701,41220,209
2017-04-11,71.1645,71.3348,70.4835,70.6593,47920,207.5
2017-04-12,70.4835,70.6538,69.1215,69.127,7830,203
2017-04-13,68.781,70.143,68.781,69.808,17760,205
2017-04-14,70.4495,70.4495,68.9513,69.4675,24610,204
2017-04-17,69.8025,70.4835,69.462,70.4891,60990,207
2017-04-18,70.143,70.143,69.2918,69.808,49600,205
2017-04-19,69.8025,69.8025,68.2703,68.6162,9950,201.5
2017-04-20,68.6108,68.6108,68.1,68.1054,23910,200
2017-04-21,68.1,68.4405,67.419,68.4459,28730,201
2017-04-24,68.4405,68.6108,68.1,68.1054,54940,200
2017-04-25,67.7595,68.1,67.7595,67.7649,12720,199
2017-04-26,67.9298,68.2703,67.7595,68.2756,15380,200.5
2017-04-27,68.2703,68.4405,68.066,68.0713,66200,199.9
2017-04-28,68.066,68.1,67.419,68.0713,7590,199.9
2017-05-03,68.066,68.066,67.7595,68.0713,5880,199.9
2017-05-04,68.066,68.066,67.5212,67.7649,39290,199
2017-05-05,67.6914,67.8957,67.6914,67.867,1140,199.3
2017-05-08,67.9298,67.9298,67.7595,67.7649,38090,199
2017-05-09,67.7595,67.7595,66.9764,66.9816,15040,196.7
2017-05-10,66.9083,67.7595,66.9083,67.0157,7830,196.8
2017-05-11,67.0104,67.5212,66.704,66.7092,18710,195.9
2017-05-12,66.738,67.385,66.738,66.9135,7380,196.5
2017-05-15,66.9083,66.9083,66.057,66.0622,23710,194
2017-05-16,66.057,66.057,65.0696,65.0747,8650,191.1
2017-05-17,64.014,66.3975,64.014,64.2574,21820,188.7
2017-05-18,64.2864,64.695,64.2864,64.6661,8860,189.9
2017-05-19,64.695,64.695,64.3205,64.7001,18730,190
2017-05-22,64.695,65.376,64.5248,64.8363,68360,190.4
2017-05-23,66.5678,66.6359,65.0355,66.0622,234300,194
2017-05-24,66.057,66.057,64.7972,65.0406,38050,191
2017-05-25,64.695,65.0355,64.661,65.0406,48990,191
2017-05-26,65.9208,65.9208,64.014,64.5298,28150,189.5
2017-05-29,64.5248,64.8653,64.5248,64.7001,79770,190
