date,open,high,low,close,volume,close_raw
2008-02-25,5.0976,5.2675,5.0976,5.0989,392000,24
2008-02-26,4.8427,4.8427,4.8427,4.8439,245000,22.8
2008-02-27,4.6091,4.6091,4.6091,4.6102,104350,21.7
2008-02-28,4.3967,4.6728,4.3967,4.4615,325810,21
2008-02-29,4.5666,4.5666,4.3542,4.3978,101860,20.7
2008-03-03,4.1843,4.248,4.1843,4.1853,85780,19.7
2008-03-04,3.9931,3.9931,3.9931,3.9941,13390,18.8
2008-03-05,3.802,3.802,3.802,3.8029,27480,17.9
2008-03-06,3.9719,3.9719,3.9719,3.9729,62160,18.7
2008-03-07,4.163,4.163,4.1418,4.1641,206280,19.6
2008-03-10,4.3542,4.3542,4.0356,4.0366,395780,19
2008-03-11,3.8444,3.9294,3.8444,3.8454,170610,18.1
2008-03-12,3.6958,3.9294,3.6958,3.8666,91200,18.2
2008-03-13,3.9294,3.9294,3.7382,3.8242,98900,18
2008-03-14,3.717,3.7807,3.717,3.7392,47520,17.6
2008-03-17,3.6108,3.6108,3.5683,3.5692,124610,16.8
2008-03-18,3.3984,3.3984,3.3984,3.3993,24280,16
2008-03-19,3.2922,3.5471,3.2285,3.2293,191760,15.2
2008-03-20,3.1435,3.2072,3.0798,3.0806,181630,14.5
2008-03-21,2.9311,2.9524,2.9311,2.9319,147620,13.8
2008-03-24,2.8037,2.8037,2.8037,2.8044,26050,13.2
2008-03-25,2.6762,2.6762,2.6762,2.6769,33900,12.6
2008-03-26,2.57,2.74,2.57,2.5919,327290,12.2
2008-03-27,2.6125,2.6125,2.6125,2.6132,11600,12.3
2008-03-28,2.6338,2.6338,2.6338,2.6344,38060,12.4
2008-03-31,2.655,2.655,2.655,2.6557,3200,12.5
2008-04-01,2.6762,2.6762,2.6762,2.6769,1920,12.6
2008-04-02,2.6975,2.6975,2.6975,2.6982,600,12.7
2008-04-03,2.7187,2.7187,2.7187,2.7194,200,12.8
2008-04-04,2.74,2.74,2.74,2.7406,26370,12.9
2008-04-07,2.7824,2.7824,2.7824,2.7831,11030,13.1
2008-04-08,2.8249,2.8249,2.74,2.8256,269240,13.3
2008-04-09,2.8674,2.8674,2.8674,2.8681,67550,13.5
2008-04-10,2.9099,2.9099,2.8249,2.8256,275490,13.3
2008-04-11,2.7824,2.8249,2.7824,2.8256,130430,13.3
2008-04-16,2.8037,2.8037,2.7824,2.7831,114650,13.1
2008-04-17,2.74,2.8249,2.74,2.8256,63310,13.3
2008-04-18,2.8674,2.8674,2.8249,2.8681,224600,13.5
2008-04-21,2.9099,2.9099,2.9099,2.9106,39620,13.7
2008-04-22,2.9524,2.9524,2.9524,2.9531,59950,13.9
2008-04-23,2.9948,2.9948,2.9524,2.9956,626230,14.1
2008-04-24,2.9736,2.9948,2.9524,2.9531,232310,13.9
2008-04-25,2.9295,2.9993,2.9295,2.9995,97270,12.9
2008-04-28,3.0458,3.0458,3.0458,3.046,4410,13.1
2008-04-29,3.0923,3.0923,3.0923,3.0925,19850,13.3
2008-05-05,3.1388,3.1388,3.1388,3.139,35720,13.5
2008-05-06,3.1853,3.1853,3.1853,3.1855,31610,13.7
2008-05-07,3.2318,3.2318,3.1388,3.139,283530,13.5
2008-05-08,3.0923,3.0923,3.0923,3.0925,35170,13.3
2008-05-09,3.0458,3.0458,3.0458,3.046,22790,13.1
2008-05-12,2.9993,2.9993,2.9993,2.9995,30330,12.9
2008-05-13,2.9528,2.9528,2.9528,2.953,27820,12.7
2008-05-14,2.9063,2.9063,2.9063,2.9065,26440,12.5
2008-05-15,2.8598,2.8598,2.8598,2.86,21010,12.3
2008-05-16,2.8365,2.9063,2.8133,2.8367,416610,12.2
2008-05-19,2.8365,2.883,2.8365,2.8832,124660,12.4
2008-05-20,2.9295,2.9295,2.8365,2.8367,109760,12.2
2008-05-21,2.79,2.79,2.79,2.7902,61910,12
2008-05-22,2.7435,2.7435,2.7435,2.7437,152980,11.8
2008-05-23,2.697,2.697,2.697,2.6972,34350,11.6
2008-05-26,2.6505,2.6505,2.6505,2.6507,13750,11.4
