date,open,high,low,close,volume,close_raw
2009-06-25,4.6552,5.1858,4.3416,4.851,1828600,40.2
2009-06-26,5.0049,5.0652,4.7999,4.8027,1163400,39.8
2009-06-29,4.8722,5.0531,4.7999,4.863,1534300,40.3
2009-06-30,4.8843,4.9084,4.5466,4.5493,867200,37.7
2009-07-01,4.4019,4.4381,4.4019,4.4045,1488400,36.5
2009-07-02,4.1004,4.4622,4.1004,4.2235,1581200,35
2009-07-03,4.1004,4.2089,3.9195,4.1873,901100,34.7
2009-07-06,4.1486,4.426,4.1486,4.4286,1293600,36.7
2009-07-07,4.6431,4.6431,4.3657,4.4648,594100,37
2009-07-08,4.3778,4.4622,4.221,4.32,197000,35.8
2009-07-09,4.3416,4.3778,4.2331,4.2355,410500,35.1
2009-07-10,4.3295,4.631,4.3295,4.6338,3845100,38.4
2009-07-13,4.5828,4.7637,4.4019,4.5251,591400,37.5
2009-07-14,4.6431,4.6672,4.2692,4.4286,557500,36.7
2009-07-15,4.6431,4.6431,4.2934,4.3441,605600,36
2009-07-16,4.631,4.6431,4.2934,4.3924,392400,36.4
2009-07-17,4.3175,4.3295,4.1486,4.2235,140200,35
2009-07-20,3.9798,3.9798,3.9436,3.9459,49500,32.7
2009-07-21,3.9798,3.9798,3.6783,3.7287,227200,30.9
2009-07-22,3.8351,4.0401,3.7386,3.8011,474400,31.5
2009-07-23,3.9798,4.1245,3.811,4.0787,953400,33.8
2009-07-24,4.3054,4.3054,4.3054,4.3079,539000,35.7
2009-07-27,4.5828,4.5949,4.4622,4.5975,1054200,38.1
2009-07-28,4.6431,4.7637,4.2934,4.3441,730800,36
2009-07-29,4.4622,4.4622,4.2692,4.2838,579200,35.5
2009-07-30,4.3175,4.3778,4.0883,4.1028,540800,34
2009-07-31,4.3416,4.4381,4.1969,4.2355,569600,35.1
2009-08-03,4.3175,4.3175,4.0642,4.1028,393300,34
2009-08-04,4.3054,4.3054,4.1245,4.1631,471700,34.5
2009-08-05,4.1607,4.2451,4.0763,4.1752,309600,34.6
2009-08-06,4.1728,4.2089,4.0642,4.1028,579100,34
2009-08-07,3.9195,4.1848,3.9195,4.0183,279000,33.3
2009-08-10,4.1486,4.1969,3.8471,4.139,567800,34.3
2009-08-11,4.1366,4.1366,3.9677,3.9942,592500,33.1
2009-08-12,4.0039,4.0642,3.9195,3.9701,633500,32.9
2009-08-13,4.1004,4.1607,4.016,4.0425,464800,33.5
2009-08-14,4.1607,4.221,3.9798,3.9821,461700,33
