date,open,high,low,close,volume,close_raw
2012-10-16,4.3648,5.337,4.3648,5.3392,8100,26.9
2012-10-18,5.6941,5.6941,5.6941,5.6965,1400,28.7
2012-10-19,6.0909,6.0909,6.0909,6.0934,2400,30.7
2012-10-22,6.5075,6.5075,6.3488,6.5103,6800,32.8
2012-10-23,6.071,6.071,6.071,6.0736,3200,30.6
2012-10-24,5.6941,5.6941,5.6941,5.6965,600,28.7
2012-10-25,5.3568,5.3568,5.3171,5.3194,2300,26.8
2012-10-26,5.456,5.456,5.3171,5.3194,200,26.8
2012-11-02,4.96,4.96,4.96,4.9621,100,25
2012-11-05,4.6426,4.6426,4.6426,4.6445,100,23.4
2012-11-06,4.7418,4.7418,4.7418,4.7438,100,23.9
2012-11-09,5.0394,5.0394,5.0394,5.0415,100,25.4
2012-11-12,5.3766,5.3766,5.3766,5.3789,100,27.1
2012-11-13,5.7338,5.7338,5.7338,5.7362,100,28.9
2012-11-14,5.7338,6.0512,5.7338,6.0538,200,30.5
2012-11-29,5.6346,5.6346,5.6346,5.6369,100,28.4
2012-11-30,5.2576,5.2576,5.2576,5.2598,300,26.5
2012-12-05,5.6086,5.6086,5.6086,5.6103,100,27.2
2012-12-19,5.2169,5.2169,5.2169,5.2184,200,25.3
2012-12-20,5.5674,5.5674,5.5674,5.569,100,27
2013-01-21,5.0107,5.0107,5.0107,5.0121,1000,24.3
2013-01-30,4.5364,4.5364,4.5364,4.5377,1500,22
2013-02-04,4.5364,4.5364,4.5364,4.5377,1000,22
2013-02-18,4.557,4.557,4.557,4.5583,100,22.1
2013-02-19,4.7426,4.7426,4.7426,4.744,300,23
2013-02-22,4.7426,4.7426,4.7426,4.744,100,23
2013-02-28,4.5364,4.5364,4.5364,4.5377,500,22
2013-03-01,4.9076,4.99,4.9076,4.9915,900,24.2
2013-03-04,5.3612,5.3612,5.3612,5.3628,500,26
2013-03-18,4.9694,4.9694,4.9488,4.9502,3000,24
2013-03-20,4.9282,4.9282,4.9282,4.9296,200,23.9
2013-03-22,4.7426,4.7426,4.7426,4.744,1000,23
2013-03-26,5.155,5.2169,5.155,5.1977,1900,25.2
2013-03-29,5.5674,5.5674,5.5674,5.569,200,27
2013-04-01,5.2581,5.2581,5.2581,5.2596,1000,25.5
2013-04-02,5.2581,5.2581,5.2581,5.2596,200,25.5
2013-04-08,5.3612,5.3612,5.2581,5.2596,1700,25.5
2013-04-09,5.2581,5.2581,5.2581,5.2596,800,25.5
2013-04-12,5.3612,5.3612,5.155,5.1565,1800,25
2013-04-22,5.6086,5.6086,5.6086,5.6103,100,27.2
2013-04-23,5.1756,5.1756,5.1756,5.1771,200,25.1
2013-04-24,5.6086,5.6086,5.6086,5.6103,100,27.2
2013-04-26,5.3612,5.3612,5.3612,5.3628,100,26
2013-05-02,5.3612,5.3612,5.3612,5.3628,2000,26
2013-05-06,5.588,5.6086,5.588,5.6103,3700,27.2
2013-05-15,5.2581,5.2581,5.2581,5.2596,200,25.5
2013-06-14,5.3612,5.3612,5.3612,5.3628,100,26
2013-06-18,5.5674,5.6086,5.5674,5.6103,900,27.2
2013-06-25,5.6086,5.6086,5.6086,5.6103,800,27.2
2013-07-25,6.1314,6.1314,6.1314,6.1339,100,28.1
