date,open,high,low,close,volume,close_raw
2021-03-24,8.2514,8.2514,8.2514,8.2529,6007500,20.15
2021-03-25,8.8247,8.8247,8.8247,8.8263,1464100,21.55
2021-03-26,9.439,9.439,9.439,9.4406,1078500,23.05
2021-03-29,10.0942,10.0942,9.828,10.096,3992200,24.65
2021-03-30,10.7903,10.7903,10.7494,10.7922,1896300,26.35
2021-03-31,11.5274,11.5274,11.1384,11.5295,4138700,28.15
2021-04-01,11.507,11.5479,11.0975,11.5499,3793500,28.2
2021-04-02,11.3432,11.5684,11.3432,11.5704,2990700,28.25
2021-04-05,11.4865,11.5274,11.2203,11.509,1564100,28.1
2021-04-06,11.466,11.466,11.1794,11.468,1881700,28
2021-04-07,11.466,11.466,11.2613,11.468,1208100,28
2021-04-08,11.3841,11.3841,11.2613,11.3042,911300,27.6
2021-04-09,11.0565,11.3432,11.0565,11.3452,955900,27.7
2021-04-12,11.1794,11.3432,11.0565,11.3452,846900,27.7
2021-04-13,11.0975,11.2613,11.0975,11.1813,433600,27.3
2021-04-14,11.0565,11.1589,10.9746,10.9765,579800,26.8
2021-04-15,10.8108,11.0565,10.4423,11.0585,1409400,27
2021-04-16,11.0565,11.1794,10.8518,11.1813,574400,27.3
2021-04-19,11.1998,11.2613,11.0975,11.2632,886900,27.5
2021-04-20,11.3022,11.3022,11.2203,11.2632,1465400,27.5
2021-04-22,11.1794,11.2613,10.9746,11.2632,729000,27.5
2021-04-23,11.2613,11.2613,10.688,10.6898,853900,26.1
2021-04-26,11.0565,11.1384,10.7903,10.9765,578000,26.8
2021-04-27,10.2785,11.0156,10.2785,11.0175,705300,26.9
2021-04-28,10.9746,11.036,10.647,10.9765,846500,26.8
2021-04-29,10.688,11.036,10.688,10.997,1199900,26.85
2021-05-04,10.6675,10.8518,10.6675,10.8127,1055500,26.4
2021-05-05,10.8108,10.8518,10.688,10.8332,647500,26.45
2021-05-06,10.8313,11.5889,10.7699,11.2018,1078900,27.35
2021-05-07,11.2613,11.3432,11.0565,11.2632,1122000,27.5
2021-05-10,11.2613,11.466,11.0565,11.468,1638300,28
2021-05-11,11.5889,11.5889,11.3432,11.468,942400,28
2021-05-12,11.466,11.466,11.3432,11.468,1429600,28
2021-05-13,11.466,11.6708,11.0975,11.5909,2069300,28.3
2021-05-14,11.6708,12.3874,11.2613,12.3896,3100400,30.25
2021-05-17,12.4079,13.104,12.4079,12.8811,3145000,31.45
2021-05-18,13.145,13.145,12.8583,12.9015,3096400,31.5
2021-05-19,12.8993,13.0835,12.0803,13.0039,3510600,31.75
2021-05-20,13.0835,13.0835,12.1212,13.0039,4030600,31.75
2021-05-21,13.0016,13.104,12.4283,13.1063,4272700,32
2021-05-24,13.104,13.3497,12.4898,13.3521,2716700,32.6
2021-05-25,13.493,14.2711,12.4898,14.2736,3725900,34.85
2021-05-26,14.2916,15.2334,13.7183,15.2361,2720400,37.2
2021-05-27,15.2744,15.2948,14.353,15.1747,2077400,37.05
2021-05-28,15.1515,15.9705,14.5373,15.9733,2006200,39
2021-05-31,15.9705,16.7076,15.561,16.7106,1832500,40.8
2021-06-01,16.7281,17.1581,15.9705,16.7515,1733600,40.9
2021-06-02,16.6667,16.9943,15.9296,16.9973,1816900,41.5
2021-06-03,17.0352,17.6085,15.991,17.6116,2794400,43
2021-06-04,17.7723,18.6323,16.421,18.6356,4445100,45.5
2021-06-07,18.6323,18.6323,17.3628,17.8164,1594600,43.5
2021-06-08,16.9943,17.6085,16.6257,17.6116,2450000,43
2021-06-09,16.5848,17.6904,16.4414,16.4648,2641700,40.2
2021-06-10,16.6667,17.4447,15.3563,16.9154,3337900,41.3
2021-06-11,16.9124,17.5676,16.1753,17.5707,2589300,42.9
2021-06-14,17.5676,17.6085,16.7895,17.6116,2782100,43
2021-06-15,17.5676,17.588,16.421,16.9154,2466800,41.3
2021-06-16,16.9124,16.9124,15.8067,16.301,1489700,39.8
2021-06-17,16.2162,16.2981,15.3153,16.26,1823600,39.7
2021-06-18,15.561,16.5643,15.1515,16.5263,2734900,40.35
2021-06-21,16.5233,16.5233,15.9705,16.3829,2216300,40
2021-06-22,16.38,16.421,15.9296,16.4034,2389900,40.05
2021-06-23,16.3595,16.3595,15.991,16.26,2069900,39.7
2021-06-24,16.2572,16.3186,15.9705,16.2805,2276400,39.75
2021-06-25,16.2981,16.421,15.9705,16.4239,2106000,40.1
2021-06-28,16.0115,16.7895,15.7658,16.7106,2093400,40.8
2021-06-29,16.7076,16.7895,16.6667,16.772,2099600,40.95
2021-06-30,16.769,16.9328,16.1753,16.8539,2195300,41.15
2021-07-01,16.8509,16.8714,16.0934,16.731,2349400,40.85
2021-07-02,16.7486,17.3628,16.3595,17.3659,3294900,42.4
