date,open,high,low,close,volume,close_raw
2006-12-15,4.256,6.08,4.104,4.8968,293000,161
2006-12-18,5.168,5.545,5.168,5.5477,340200,182.4
2006-12-19,5.928,6.004,5.5024,6.007,326900,197.5
2006-12-20,6.5755,6.5755,5.9584,5.9614,651600,196
2006-12-21,6.08,6.08,5.7061,5.7089,200100,187.7
2006-12-22,5.1376,5.1376,5.1376,5.1402,41300,169
2006-12-25,4.6238,4.6238,4.6238,4.6261,289000,152.1
2006-12-26,4.1648,4.9248,4.1648,4.836,435500,159
2006-12-27,4.864,5.1437,4.864,4.8664,376200,160
2006-12-28,5.0464,5.0768,4.56,4.7752,162400,157
2006-12-29,4.3472,4.7424,4.3472,4.7144,235500,155
2007-01-02,4.8032,4.864,4.6208,4.6383,236800,152.5
2007-01-03,4.6664,4.8093,4.6512,4.6839,301900,154
2007-01-04,4.8032,5.1498,4.8032,5.1523,213900,169.4
2007-01-05,5.6392,5.6392,5.6392,5.642,357100,185.5
2007-01-08,6.2016,6.2016,5.0768,5.4534,317300,179.3
2007-01-09,5.472,5.776,4.9066,5.6876,535800,187
2007-01-10,6.1986,6.1986,5.776,5.9948,606000,197.1
2007-01-11,5.624,6.1712,5.624,5.9918,520400,197
2007-01-12,6.6333,6.6333,6.08,6.4784,759000,213
2007-01-15,6.84,6.992,6.5542,6.7826,492600,223
2007-01-16,6.9008,7.144,6.384,6.6305,304400,218
2007-01-17,6.6576,6.6576,6.1286,6.1317,212100,201.6
2007-01-18,5.5997,6.536,5.5997,6.448,461700,212
2007-01-19,6.536,6.688,6.381,6.4176,482500,211
2007-01-22,6.384,6.384,5.8368,6.0526,279700,199
2007-01-23,6.1013,6.232,5.928,6.0526,272400,199
2007-01-24,6.1104,6.232,5.4568,6.0982,236700,200.5
2007-01-25,6.1408,6.1408,5.7152,5.8762,189100,193.2
2007-01-26,5.928,6.08,5.7152,6.083,208500,200
2007-01-29,6.2016,6.384,6.2016,6.3872,257800,210
2007-01-30,6.4448,6.9707,6.384,6.6761,259000,219.5
2007-01-31,6.8704,6.8704,6.4752,6.6609,215200,219
2007-02-01,6.688,6.8704,6.0496,6.448,236400,212
2007-02-02,6.4752,6.4752,6.08,6.3568,273700,209
2007-02-05,6.384,6.688,6.2472,6.3111,260800,207.5
2007-02-06,6.3536,6.384,6.232,6.2959,202900,207
2007-02-07,6.2928,6.3536,6.08,6.2047,391400,204
2007-02-08,6.232,6.232,5.776,5.9157,432100,194.5
2007-02-09,5.8368,5.9523,5.776,5.934,314700,195.1
2007-02-12,5.9888,6.232,5.9888,6.2351,173000,205
2007-02-13,6.2624,6.3536,6.1256,6.2746,173600,206.3
2007-02-14,6.2928,6.4144,6.2624,6.2959,221300,207
2007-02-15,6.3232,6.384,6.2928,6.372,246500,209.5
2007-02-26,6.536,6.9981,6.5056,7.0016,379500,230.2
2007-02-27,7.3264,7.5696,6.992,7.0867,331600,233
2007-02-28,7.296,7.296,6.5998,6.7218,381700,221
2007-03-01,6.8522,6.8522,6.5664,6.7522,239600,222
2007-03-02,6.992,6.992,6.6272,6.6913,271400,220
2007-03-05,6.6576,6.84,6.6576,6.7674,261600,222.5
2007-03-06,6.8096,6.8096,6.6302,6.6609,302400,219
2007-03-07,6.688,6.7792,6.384,6.448,293000,212
2007-03-08,6.4448,7.2626,6.4448,6.6305,234500,218
2007-03-09,6.688,6.837,6.6272,6.6305,302400,218
2007-03-12,6.84,7.0042,6.688,6.8738,412100,226
2007-03-13,7.296,7.296,6.9312,7.0168,384900,230.7
2007-03-14,7.144,7.144,6.536,6.737,371700,221.5
2007-03-15,6.84,6.84,6.5086,6.594,319700,216.8
2007-03-16,6.992,7.2413,6.6302,6.9651,423700,229
2007-03-19,7.6486,7.6486,7.6486,7.6525,669700,251.6
2007-03-20,8.3904,8.4117,7.6304,7.7559,702700,255
2007-03-21,7.904,8.1472,7.6912,7.7559,505300,255
2007-03-22,7.7216,7.7733,7.5696,7.6646,498400,252
2007-03-23,7.6912,7.752,7.4632,7.5521,542900,248.3
2007-03-26,7.448,7.6608,6.992,7.1171,420900,234
2007-03-27,6.9312,6.9312,6.4904,6.5393,504300,215
2007-03-28,6.3901,7.2109,6.384,7.2084,450100,237
2007-03-29,7.296,7.448,6.5634,7.2084,426700,237
2007-03-30,7.296,7.296,6.8704,6.959,345500,228.8
2007-04-02,7.144,7.144,6.612,6.8586,271400,225.5
2007-04-03,6.8096,6.8704,6.6272,6.8586,200700,225.5
2007-04-04,6.992,7.144,6.992,7.0077,187800,230.4
2007-04-05,7.0528,7.0528,6.84,6.8982,159100,226.8
2007-04-06,6.9008,6.9646,6.691,6.9499,234300,228.5
2007-04-09,7.0224,7.296,6.992,7.1445,354300,234.9
2007-04-10,7.144,7.2656,7.0528,7.1019,303800,233.5
2007-04-11,7.1136,7.144,7.0072,7.1019,228200,233.5
2007-04-12,7.0984,7.1136,6.9616,6.9651,257600,229
2007-04-13,6.8704,6.992,6.8704,6.9164,233100,227.4
