date,open,high,low,close,volume,close_raw
2006-07-12,12.7374,12.7374,12.7374,12.7403,763190,78
2006-07-13,13.064,13.309,13.064,13.3119,1694670,81.5
2006-07-14,13.5539,13.5539,13.1457,13.1486,935410,80.5
2006-07-17,12.9007,12.9007,12.6558,12.6586,1320510,77.5
2006-07-18,12.3292,12.3292,12.3292,12.3319,721380,75.5
2006-07-19,12.2475,12.2475,11.9209,11.9236,747410,73
2006-07-20,11.7576,12.4925,11.7576,12.4953,988420,76.5
2006-07-21,12.3292,12.3292,12.2475,12.2503,603240,75
2006-07-24,12.2475,12.2475,12.0026,12.0053,311780,73.5
2006-07-25,11.8393,11.8393,11.431,11.4336,342530,70
2006-07-26,11.0228,11.1861,11.0228,11.1886,311540,68.5
2006-07-27,11.1861,11.1861,11.1044,11.1886,400570,68.5
2006-07-28,11.2677,11.2677,11.0228,11.0252,289270,67.5
2006-07-31,10.6145,10.6145,10.5329,10.5352,200780,64.5
2006-08-01,10.043,10.043,10.043,10.0452,167240,61.5
2006-08-02,9.5531,9.5531,9.5531,9.5552,476710,58.5
2006-08-03,9.9613,9.9613,9.9613,9.9635,542710,61
2006-08-04,10.4512,10.4512,10.4512,10.4536,117920,64
2006-08-07,10.6145,10.6145,10.043,10.0452,538860,61.5
2006-08-08,10.043,10.3696,10.043,10.2085,246690,62.5
2006-08-09,9.8797,9.8797,9.798,9.8002,1078960,60
2006-08-10,9.798,9.9613,9.798,9.9635,293470,61
2006-08-11,9.9613,10.1246,9.9613,10.1269,395920,62
2006-08-14,10.4512,10.6145,10.4512,10.6169,487760,65
2006-08-15,10.6145,10.6145,10.3696,10.3719,534520,63.5
2006-08-16,10.5329,10.6145,10.5329,10.6169,286200,65
2006-08-17,10.9411,10.9411,10.6962,10.6986,563530,65.5
2006-08-18,10.8595,10.8595,10.6145,10.6169,370910,65
2006-08-21,10.6145,10.6145,10.5329,10.5352,191270,64.5
2006-08-22,10.3696,10.3696,10.2879,10.2902,268930,63
2006-08-23,10.2063,10.4512,10.2063,10.4536,164010,64
2006-08-24,10.4512,10.4512,10.4512,10.4536,154360,64
2006-08-25,10.4512,10.4512,10.3696,10.3719,87030,63.5
2006-08-28,10.3696,10.5329,10.3696,10.5352,185880,64.5
2006-08-29,10.6145,10.6145,10.6145,10.6169,340960,65
2006-08-30,10.6145,10.6145,10.6145,10.6169,373920,65
2006-08-31,10.6962,10.6962,10.6962,10.6986,432700,65.5
2006-09-01,10.8595,11.0228,10.8595,11.0252,599270,67.5
2006-09-05,11.5127,11.5127,11.5127,11.5152,358380,70.5
2006-09-06,11.9209,11.9209,11.5943,11.5969,442200,71
2006-09-07,11.431,11.431,11.3494,11.3519,290910,69.5
2006-09-08,11.431,11.431,11.431,11.4336,280320,70
2006-09-11,11.5127,11.5127,11.431,11.4336,235040,70
2006-09-12,11.3494,11.3494,11.1044,11.1069,276340,68
2006-09-13,11.1861,11.431,11.1861,11.4336,173700,70
2006-09-14,11.3494,11.3494,11.2677,11.2702,153820,69
2006-09-15,11.3494,11.3494,11.2677,11.4336,276270,70
2006-09-18,11.431,11.431,11.3494,11.3519,160300,69.5
2006-09-19,11.3494,11.3494,11.3494,11.3519,176660,69.5
2006-09-20,11.431,11.431,11.3494,11.3519,312200,69.5
2006-09-21,11.431,11.431,11.3494,11.3519,247000,69.5
2006-09-22,11.2677,11.3494,11.2677,11.3519,154130,69.5
