date,open,high,low,close,volume,close_raw
2017-01-16,5.529,5.529,5.3447,5.3449,2000,14.5
2017-03-10,4.8287,4.8287,4.8287,4.8289,1000,13.1
2017-03-13,4.3495,4.3495,4.3495,4.3497,100,11.8
2017-03-14,3.944,3.944,3.944,3.9442,100,10.7
2017-03-15,3.5754,3.5754,3.5754,3.5756,4800,9.7
2017-03-16,3.5386,3.5386,3.428,3.4281,2000,9.3
2017-03-20,3.17,3.17,3.17,3.1701,200,8.6
2017-03-21,3.1331,3.1331,3.1331,3.1332,800,8.5
2017-03-22,3.0962,3.0962,3.0962,3.0964,500,8.4
2017-03-24,3.3911,3.3911,3.0594,3.0595,600,8.3
2017-03-27,3.2068,3.2068,3.0594,3.0595,1100,8.3
2017-03-28,3.0962,3.0962,3.0962,3.0964,900,8.4
2017-03-30,3.0962,3.0962,3.0962,3.0964,1000,8.4
2017-03-31,3.1331,3.1331,3.1331,3.1332,1000,8.5
2017-04-05,3.1331,3.1331,3.1331,3.1332,700,8.5
2017-04-07,3.1331,3.1331,3.1331,3.1332,300,8.5
2017-04-10,3.17,3.428,3.17,3.4281,1100,9.3
2017-04-12,3.2437,3.2437,3.2437,3.2438,1000,8.8
2017-04-14,3.2068,3.2068,3.2068,3.2069,1000,8.7
2017-04-18,3.2068,3.5017,3.2068,3.3175,1300,9
2017-04-25,3.2437,3.2437,3.2437,3.2438,1000,8.8
2017-04-28,3.17,3.17,3.17,3.1701,1000,8.6
2017-05-04,3.1331,3.1331,3.1331,3.1332,1000,8.5
2017-05-12,3.428,3.428,3.428,3.4281,100,9.3
2017-05-17,3.7597,3.7597,3.7597,3.7599,100,10.2
2017-05-25,3.5017,3.5017,3.5017,3.5018,2000,9.5
2017-05-29,3.5017,3.5017,3.5017,3.5018,200,9.5
2017-05-31,3.8511,3.8511,3.8511,3.8519,100,9.9
2017-06-07,3.89,3.89,3.89,3.8908,100,10
2017-06-20,3.9678,3.9678,3.9678,3.9686,120,10.2
2017-06-26,3.89,4.0845,3.89,4.0853,400,10.5
2017-06-29,4.2012,4.4735,4.2012,4.4744,1200,11.5
2017-06-30,4.5902,4.5902,4.4735,4.4744,500,11.5
2017-07-04,4.3179,4.3179,4.3179,4.3188,500,11.1
2017-07-06,4.5902,4.5902,4.4735,4.4744,500,11.5
2017-07-07,4.4346,4.4346,4.4346,4.4355,548,11.4
2017-07-11,4.0067,4.0067,4.0067,4.0075,100,10.3
2017-07-12,4.3957,4.3957,4.279,4.2799,552,11
2017-07-13,3.8511,3.8511,3.8511,3.8519,100,9.9
2017-07-14,4.0845,4.0845,4.0845,4.0853,600,10.5
2017-07-17,3.6955,3.6955,3.6955,3.6963,100,9.5
2017-07-18,4.0456,4.0456,4.0067,4.0075,5100,10.3
2017-07-20,3.6177,3.6177,3.6177,3.6184,2000,9.3
2017-07-24,3.2676,3.2676,3.2676,3.2683,2000,8.4
2017-07-25,3.5788,3.5788,3.5788,3.5795,600,9.2
2017-07-28,3.2287,3.2287,3.2287,3.2294,2000,8.3
2017-07-31,3.5399,3.5399,3.5399,3.5406,200,9.1
2017-08-01,3.89,3.89,3.89,3.8908,100,10
2017-08-02,3.89,3.89,3.89,3.8908,300,10
2017-08-09,3.501,3.501,3.501,3.5017,7100,9
2017-08-10,3.8511,3.8511,3.8511,3.8519,100,9.9
2017-08-16,3.501,3.501,3.501,3.5017,100,9
2017-08-21,3.1509,3.3065,3.1509,3.3072,4000,8.5
2017-08-23,2.9953,2.9953,2.9953,2.9959,500,7.7
2017-08-25,2.7619,2.7619,2.7619,2.7625,100,7.1
2017-08-28,3.0342,3.0342,3.0342,3.0348,1100,7.8
2017-08-29,2.7619,2.7619,2.7619,2.7625,5000,7.1
2017-08-30,2.4896,2.4896,2.4896,2.4901,100,6.4
2017-08-31,2.5285,2.5285,2.5285,2.529,3500,6.5
2017-09-01,2.7619,2.7619,2.7619,2.7625,100,7.1
2017-09-05,2.4896,2.4896,2.4896,2.4901,100,6.4
2017-09-06,2.723,2.723,2.723,2.7236,100,7
2017-09-08,2.4896,2.4896,2.4896,2.4901,100,6.4
2017-09-12,2.723,2.723,2.723,2.7236,100,7
2017-09-19,2.4507,2.4507,2.4507,2.4512,1000,6.3
2017-09-20,2.334,2.334,2.334,2.3345,1000,6
2017-09-21,2.2562,2.2562,2.2562,2.2567,1000,5.8
2017-09-22,2.2951,2.2951,2.2951,2.2956,1000,5.9
2017-09-26,2.4896,2.4896,2.4896,2.4901,100,6.4
2017-09-27,2.723,2.723,2.723,2.7236,100,7
2017-09-29,2.723,2.723,2.723,2.7236,100,7
2017-10-05,2.723,2.723,2.723,2.7236,200,7
2017-10-09,2.7619,2.9953,2.7619,2.9959,200,7.7
2017-10-17,3.112,3.112,3.112,3.1126,1500,8
2017-10-18,3.112,3.112,3.112,3.1126,500,8
2017-10-20,3.112,3.112,3.112,3.1126,700,8
2017-11-14,3.4232,3.4232,3.4232,3.4239,100,8.8
2017-11-15,3.7344,3.7344,3.7344,3.7352,100,9.6
2017-11-27,3.3843,3.3843,3.3843,3.385,100,8.7
2017-11-28,3.0731,3.0731,3.0731,3.0737,1000,7.9
2017-11-29,3.112,3.112,3.112,3.1126,1000,8
2018-01-30,2.8008,2.8008,2.8008,2.8014,100,7.2
2018-01-31,3.0731,3.0731,3.0731,3.0737,100,7.9
2018-02-02,3.3454,3.3454,3.3454,3.3461,100,8.6
2018-02-05,3.3454,3.3454,3.3454,3.3461,50,8.6
2018-03-15,3.3454,3.3454,3.3454,3.3461,4900,8.6
2018-03-16,3.3454,3.3454,3.3454,3.3461,3800,8.6
2018-04-05,3.501,3.501,3.501,3.5017,2400,9
2018-04-09,3.501,3.501,3.501,3.5017,5000,9
2018-04-10,3.3454,3.3454,3.3454,3.3461,7000,8.6
2018-04-12,3.501,3.501,3.501,3.5017,5000,9
2018-04-13,3.501,3.501,3.501,3.5017,3000,9
2018-08-03,3.3752,3.3752,3.3752,3.3752,5256,8
2018-10-17,3.3752,3.3752,3.3752,3.3752,3500,8
2018-11-01,3.3752,3.3752,3.3752,3.3752,400,8
2019-03-21,3.0377,3.7127,3.0377,3.7128,400,8.8
2019-03-28,3.7127,4.0502,3.7127,4.0503,1100,9.6
2019-04-05,4.3034,4.3034,4.3034,4.3034,100,10.2
2019-04-12,4.7253,4.7253,4.7253,4.7253,200,11.2
2019-05-29,4.43,4.7253,4.43,4.7253,6200,11.2
2019-05-31,4.2612,4.43,4.2612,4.2612,14800,10.1
2019-06-07,3.8393,3.8393,3.8393,3.8393,2000,9.1
2019-07-23,4.219,4.219,4.219,4.219,1000,10
2019-07-24,4.6409,4.6409,4.6409,4.6409,2232,11
2019-07-25,5.105,5.105,5.105,5.105,9000,12.1
2019-07-26,5.6113,5.6113,5.6113,5.6113,6200,13.3
2019-07-29,6.1597,6.1597,6.1597,6.1598,20000,14.6
2019-07-30,6.7799,6.7799,6.647,6.6473,900,10
2019-08-02,6.647,6.647,6.647,6.6473,100,10
2019-08-05,5.9823,5.9823,5.9823,5.9826,500,9
2019-08-15,5.65,5.9823,5.65,5.9826,1500,9
2019-08-16,6.2482,6.2482,6.2482,6.2485,700,9.4
2019-08-20,6.647,6.647,6.647,6.6473,100,10
2019-08-22,7.3117,7.3117,7.3117,7.312,100,11
2019-08-23,6.9794,6.9794,6.9794,6.9797,100,10.5
2019-09-09,6.647,6.647,6.647,6.6473,100,10
2019-09-20,5.9823,6.647,5.9823,6.6473,200,10
2019-09-23,6.2482,6.2482,5.9823,5.9826,1000,9
2019-09-25,5.3841,5.3841,5.3841,5.3843,300,8.1
2019-09-27,5.3841,5.3841,5.3841,5.3843,2700,8.1
2019-10-01,5.4505,5.4505,5.3841,5.3843,600,8.1
2019-10-02,5.3841,5.3841,5.3841,5.3843,1800,8.1
2019-10-03,5.4505,5.4505,5.3841,5.3843,2500,8.1
2019-10-11,5.9158,5.9158,5.9158,5.9161,102,8.9
2019-10-14,5.3841,6.0488,5.3841,6.049,700,9.1
2019-10-16,6.3147,6.3147,6.3147,6.3149,100,9.5
2019-10-22,6.4476,6.4476,6.4476,6.4479,100,9.7
2019-11-07,5.9823,5.9823,5.9823,5.9826,5600,9
2019-11-13,5.3841,5.3841,5.3841,5.3843,3898,8.1
2019-11-15,5.3841,5.3841,5.3841,5.3843,2,8.1
2019-11-19,5.3841,5.3841,5.3841,5.3843,48,8.1
2019-11-22,5.9158,5.9158,5.9158,5.9161,100,8.9
2019-11-25,6.3811,6.3811,6.3811,6.3814,100,9.6
2019-11-26,6.3811,6.3811,6.3811,6.3814,3,9.6
2019-11-29,5.7829,5.7829,5.7829,5.7832,200,8.7
2019-12-05,6.2482,6.2482,6.2482,6.2485,100,9.4
