date,open,high,low,close,volume,close_raw
2007-11-22,3.434,3.7623,3.2825,3.3837,29400,67
2007-11-23,3.333,3.333,3.227,3.2271,800,63.9
2007-11-26,2.9543,2.9543,2.9543,2.9544,1500,58.5
2007-11-27,2.6614,2.9038,2.6614,2.7271,69000,54
2007-11-28,2.6311,2.6765,2.5351,2.6261,28100,52
2007-11-29,2.626,2.727,2.5503,2.5958,45700,51.4
2007-11-30,2.626,2.626,2.4745,2.4746,46900,49
2007-12-03,2.5755,2.7876,2.525,2.7877,229300,55.2
2007-12-04,2.9997,2.9997,2.7775,2.9999,227000,59.4
2007-12-05,3.2926,3.2926,2.8533,3.2322,192600,64
2007-12-06,3.131,3.2825,3.131,3.2574,82600,64.5
2007-12-07,3.227,3.2825,3.0048,3.1312,158500,62
2007-12-10,3.1815,3.1815,2.9038,2.9544,81600,58.5
2007-12-11,2.9341,2.9341,2.7775,2.8332,50200,56.1
2007-12-12,2.8785,3.03,2.828,2.8281,69200,56
2007-12-13,2.9846,2.9846,2.8533,2.8888,19400,57.2
2007-12-14,2.8836,2.924,2.7977,2.8787,22600,57
2007-12-17,2.8785,2.8785,2.6765,2.6867,31900,53.2
2007-12-18,2.7018,2.823,2.626,2.7776,42800,55
2007-12-19,2.828,2.9745,2.828,2.9241,42900,57.9
2007-12-20,2.8785,2.9038,2.6816,2.7978,26200,55.4
2007-12-21,2.828,2.9038,2.7775,2.818,30200,55.8
2007-12-24,2.828,2.8533,2.7876,2.8029,26900,55.5
2007-12-25,2.7775,2.7977,2.7371,2.7827,15300,55.1
2007-12-26,2.727,2.828,2.727,2.7776,22000,55
2007-12-27,2.8482,2.8482,2.8028,2.8029,10800,55.5
2007-12-28,2.8028,2.8179,2.7523,2.7776,22200,55
2008-01-02,2.7927,2.7927,2.6765,2.6766,18900,53
2008-01-03,2.9745,2.9745,2.626,2.6514,13900,52.5
2008-01-04,2.5755,2.6311,2.5553,2.5756,13500,51
2008-01-07,2.4998,2.4998,2.4493,2.4746,25800,49
2008-01-08,2.323,2.525,2.2725,2.3231,57800,46
2008-01-09,2.3735,2.3735,2.2473,2.2726,58600,45
2008-01-10,2.3028,2.3028,2.0756,2.1363,50900,42.3
2008-01-11,2.222,2.2675,2.1059,2.1211,39600,42
2008-01-14,2.0503,2.0503,1.9342,1.9444,42300,38.5
2008-01-15,1.8938,1.8938,1.7776,1.7878,63500,35.4
2008-01-16,1.8433,1.9594,1.8433,1.9595,24100,38.8
2008-01-17,2.1463,2.1463,1.8685,2.0706,90500,41
2008-01-18,2.02,2.1463,1.9443,2.0959,49600,41.5
2008-01-21,2.0453,2.1715,1.9695,2.0959,29500,41.5
2008-01-22,1.9746,2.0655,1.9443,2.0403,39400,40.4
2008-01-23,1.9948,2.02,1.8685,1.9696,39200,39
2008-01-24,2.015,2.0251,1.8736,1.9191,27800,38
2008-01-25,1.919,1.9796,1.919,1.9545,26100,38.7
2008-01-28,1.9695,1.9695,1.8938,1.8938,6300,37.5
2008-01-29,1.9645,1.9746,1.914,1.9747,42400,39.1
2008-01-30,2.02,2.1463,2.02,2.1464,59900,42.5
2008-01-31,2.222,2.2725,2.0453,2.1716,68800,43
2008-02-01,2.222,2.2725,2.1715,2.2625,41900,44.8
2008-02-12,2.121,2.1715,2.02,2.1615,36500,42.8
2008-02-13,2.1715,2.1715,2.0301,2.0555,20100,40.7
2008-02-14,2.0958,2.1564,2.0705,2.0706,17600,41
2008-02-15,2.0352,2.0705,1.9695,2.0151,19600,39.9
2008-02-18,1.9695,1.9695,1.8029,1.8989,24100,37.6
2008-02-19,1.8433,1.9897,1.7675,1.9039,32900,37.7
2008-02-20,1.919,1.9443,1.7372,1.7373,33800,34.4
2008-02-21,1.6665,1.6665,1.6211,1.6211,25600,32.1
2008-02-22,1.515,1.7423,1.4645,1.5959,38800,31.6
2008-02-25,1.4645,1.6918,1.4645,1.6918,22500,33.5
2008-02-26,1.717,1.7726,1.515,1.5201,33100,30.1
2008-02-27,1.5655,1.6665,1.515,1.5151,33900,30
2008-02-28,1.5756,1.5908,1.51,1.5403,10800,30.5
2008-02-29,1.4898,1.515,1.4645,1.4646,23600,29
2008-03-03,1.4696,1.4898,1.3231,1.3636,37100,27
2008-03-04,1.2625,1.2676,1.2373,1.2373,19300,24.5
2008-03-05,1.1363,1.2373,1.1211,1.1414,64400,22.6
2008-03-06,1.2474,1.2474,1.2474,1.2474,1300,24.7
2008-03-07,1.3686,1.3686,1.3686,1.3686,6700,27.1
2008-03-10,1.5049,1.5049,1.3736,1.4444,86600,28.6
2008-03-11,1.51,1.51,1.3635,1.3888,41800,27.5
