date,open,high,low,close,volume,close_raw
2011-01-11,2.9205,2.9205,2.655,2.8626,8700,19.4
2011-01-12,2.6993,2.6993,2.6845,2.6855,1500,18.2
2011-01-14,2.5813,2.5813,2.5223,2.5232,1200,17.1
2011-01-17,2.4043,2.4043,2.3748,2.3757,7400,16.1
2011-01-18,2.419,2.419,2.2863,2.3019,3500,15.6
2011-01-19,2.2715,2.2715,2.2125,2.2429,5900,15.2
2011-01-20,2.2125,2.2125,2.0798,2.0806,5700,14.1
2011-01-21,2.0355,2.065,2.0355,2.0658,5000,14
2011-01-24,1.9913,1.9913,1.947,1.992,5200,13.5
2011-01-25,1.9323,1.9913,1.9323,1.992,200,13.5
2011-01-26,2.065,2.0945,2.065,2.0953,600,14.2
2011-01-27,2.006,2.1093,2.006,2.1101,1700,14.3
2011-01-28,2.0798,2.0798,2.0798,2.0806,1300,14.1
2011-02-08,2.124,2.183,2.124,2.1838,1700,14.8
2011-02-10,2.065,2.065,2.065,2.0658,800,14
2011-02-11,2.124,2.1535,2.124,2.1543,900,14.6
2011-02-14,2.183,2.2863,2.183,2.2871,3100,15.5
2011-02-15,2.2863,2.3748,2.2863,2.3757,16400,16.1
2011-02-16,2.4338,2.4928,2.3748,2.4937,7100,16.9
2011-02-17,2.4928,2.6255,2.4928,2.6118,6300,17.7
2011-02-18,2.4043,2.4043,2.4043,2.4052,4200,16.3
2011-02-21,2.301,2.301,2.2568,2.2576,4300,15.3
2011-02-22,2.3305,2.3305,2.3305,2.3314,100,15.8
2011-02-23,2.3305,2.3305,2.2125,2.2134,5800,15
2011-02-24,2.2273,2.2273,2.2125,2.2134,1100,15
2011-02-25,2.183,2.183,2.0798,2.1691,4300,14.7
2011-02-28,2.1535,2.301,2.1535,2.3019,2100,15.6
2011-03-01,2.1535,2.2715,2.124,2.2724,4200,15.4
2011-03-02,2.1388,2.1388,2.0355,2.1396,4200,14.5
2011-03-04,2.1388,2.1388,2.065,2.1396,800,14.5
2011-03-07,2.065,2.065,2.065,2.0658,1200,14
2011-03-08,2.065,2.065,2.065,2.0658,1000,14
2011-03-09,2.065,2.065,1.9323,1.933,1600,13.1
2011-03-10,2.006,2.065,1.9028,2.0658,4100,14
2011-03-11,2.006,2.0798,2.006,2.0806,600,14.1
2011-03-14,1.947,2.0355,1.947,2.0215,1100,13.7
2011-03-15,2.0355,2.0355,2.0355,2.0363,300,13.8
2011-03-16,2.006,2.0355,2.006,2.0363,1100,13.8
2011-03-17,2.006,2.006,2.006,2.0068,300,13.6
2011-03-18,2.065,2.065,2.065,2.0658,600,14
2011-03-21,2.0945,2.124,2.0945,2.1248,2400,14.4
2011-03-22,2.0503,2.0503,2.0503,2.051,100,13.9
2011-03-24,2.0503,2.0503,2.0503,2.051,200,13.9
2011-03-25,2.065,2.065,2.065,2.0658,500,14
2011-03-28,2.0798,2.0798,2.0798,2.0806,1000,14.1
2011-03-29,2.065,2.0945,2.065,2.0806,2300,14.1
2011-03-30,2.0798,2.0798,2.0798,2.0806,100,14.1
2011-03-31,2.0945,2.0945,2.0945,2.0953,400,14.2
2011-04-01,2.124,2.1535,2.124,2.1543,1500,14.6
2011-04-04,2.0945,2.1535,2.0945,2.1543,600,14.6
