date,open,high,low,close,volume,close_raw
2007-12-13,8.51,8.625,5.8075,6.6701,71500,116
2007-12-14,6.21,6.463,5.819,6.0376,36800,105
2007-12-17,5.405,5.4625,5.3533,5.3533,12500,93.1
2007-12-18,4.8875,4.8875,4.8415,4.8415,19900,84.2
2007-12-19,4.8875,5.3245,4.37,5.3245,32200,92.6
2007-12-20,5.29,5.29,4.715,4.9795,13000,86.6
2007-12-21,5.0543,5.3475,5.0543,5.2325,8800,91
2007-12-24,4.945,5.405,4.945,5.0313,11000,87.5
2007-12-25,5.0543,5.0543,4.9278,4.945,16900,86
2007-12-26,4.945,5.06,4.8875,5.06,23100,88
2007-12-27,5.06,5.06,4.945,4.9738,9600,86.5
2007-12-28,4.945,5.0025,4.945,4.991,2400,86.8
2008-01-02,4.9738,4.9738,4.715,4.83,5900,84
2008-01-04,4.7323,4.7323,4.3988,4.5483,8300,79.1
2008-01-07,4.0883,4.3068,4.0768,4.1573,2700,72.3
2008-01-08,4.3068,4.3125,4.0825,4.0825,19900,71
2008-01-09,4.14,4.5138,4.14,4.1688,5200,72.5
2008-01-10,4.4505,4.4505,3.8008,4.025,9900,70
2008-01-11,3.9675,4.3758,3.9675,4.025,7000,70
2008-01-14,4.4563,4.4563,3.772,3.9963,4000,69.5
2008-01-15,3.7375,3.7375,3.473,3.473,16800,60.4
2008-01-16,3.4615,3.8238,3.4615,3.8238,25300,66.5
2008-01-17,4.1343,4.1343,3.68,3.7605,28800,65.4
2008-01-18,3.8353,3.8813,3.8295,3.8525,13200,67
2008-01-21,4.2263,4.2263,3.7375,3.7375,5100,65
2008-01-22,4.1975,4.1975,3.6513,3.7088,20300,64.5
2008-01-23,3.703,3.703,3.5075,3.6743,10700,63.9
2008-01-24,3.6053,3.8525,3.6053,3.6513,9500,63.5
2008-01-25,3.7893,3.795,3.6513,3.6513,11000,63.5
2008-01-28,3.7375,3.9445,3.3695,3.45,4900,60
2008-01-29,3.795,3.795,3.45,3.565,19100,62
2008-01-30,3.565,3.9503,3.565,3.9503,23100,68.7
2008-01-31,4.324,4.324,3.795,3.91,1700,68
2008-02-01,3.9388,3.9675,3.68,3.9043,14200,67.9
2008-02-12,3.8583,3.8583,3.841,3.8468,1800,66.9
2008-02-13,3.7663,3.7663,3.5938,3.5938,2600,62.5
2008-02-14,3.634,3.7548,3.5938,3.611,7000,62.8
2008-02-15,3.5708,3.6168,3.565,3.6168,18500,62.9
2008-02-18,3.2775,3.45,3.2775,3.45,8700,60
2008-02-19,3.6685,3.6685,3.3925,3.4213,6100,59.5
2008-02-20,3.6225,3.6225,3.105,3.2718,9300,56.9
2008-02-21,3.427,3.427,2.829,2.829,8700,49.2
2008-02-22,2.5818,2.8693,2.5818,2.8578,26800,49.7
2008-02-25,2.9325,2.99,2.875,2.99,25300,52
2008-02-26,3.0188,3.0188,2.668,2.668,11800,46.4
2008-02-27,2.8175,2.8175,2.645,2.7025,3100,47
2008-02-28,2.76,2.76,2.4898,2.5875,4100,45
2008-02-29,2.5875,2.5875,2.3863,2.3863,11000,41.5
2008-03-03,2.4438,2.4438,2.2023,2.2138,10800,38.5
2008-03-04,2.3575,2.3575,2.001,2.001,11500,34.8
2008-03-05,1.84,1.8975,1.8285,1.8515,20100,32.2
2008-03-06,2.0298,2.0298,2.0298,2.0298,18400,35.3
2008-03-07,2.231,2.231,2.231,2.231,3400,38.8
2008-03-10,2.4495,2.4495,2.415,2.4495,68700,42.6
2008-03-11,2.691,2.691,2.3,2.3575,22800,41
2008-03-12,2.53,2.6393,2.507,2.507,31600,43.6
2008-03-13,2.5671,2.6268,2.5671,2.5689,3300,43
2008-03-14,2.5671,2.597,2.4776,2.533,6500,42.4
2008-03-17,2.388,2.388,2.2805,2.3,14300,38.5
2008-03-18,2.1492,2.1492,2.0955,2.1029,20500,35.2
2008-03-19,2.1492,2.3223,2.1492,2.2104,10100,37
2008-03-20,2.3283,2.3283,2.2805,2.2881,2600,38.3
2008-03-21,2.3164,2.3164,2.1492,2.1805,9400,36.5
2008-03-24,2.0298,2.0298,1.9522,1.9834,16300,33.2
2008-03-25,1.7791,1.8029,1.7791,1.7922,24700,30
