date,open,high,low,close,volume,close_raw
2009-06-30,9.054,9.054,9.054,9.0586,294070,60
2009-07-01,9.5067,9.5067,8.9786,9.1341,6248390,60.5
2009-07-02,8.9786,9.054,8.6768,8.7565,1515670,58
2009-07-03,8.5259,8.6013,8.4504,8.4547,899720,56
2009-07-06,8.4504,8.8277,8.4504,8.8321,1571740,58.5
2009-07-07,8.6768,8.7522,8.5259,8.5301,1115420,56.5
2009-07-08,8.2995,8.4504,8.2241,8.3792,763030,55.5
2009-07-09,8.2241,8.4504,8.0732,8.1528,982430,54
2009-07-10,7.9977,8.0732,7.7714,7.7752,1973450,51.5
2009-07-13,7.545,7.7714,7.3941,7.3979,812260,49
2009-07-14,7.4243,7.4243,7.1678,7.2167,847840,47.8
2009-07-15,7.2432,7.5148,7.2432,7.3979,807250,49
2009-07-16,7.545,7.545,7.4545,7.5186,638990,49.8
2009-07-17,7.4696,7.4997,7.3639,7.413,311000,49.1
2009-07-20,7.1074,7.1376,7.047,7.0657,869220,46.8
2009-07-21,7.1225,7.1979,7.0621,7.0807,483900,46.9
2009-07-22,7.1678,7.1828,7.1225,7.1714,411780,47.5
2009-07-23,7.0923,7.5148,7.0923,7.5186,929090,49.8
2009-07-24,7.8468,7.8468,7.8468,7.8507,624760,52
2009-07-27,8.2241,8.2241,7.9223,8.2281,1535460,54.5
2009-07-28,8.2241,8.4504,7.9223,8.0017,1192800,53
2009-07-29,8.0732,8.1486,7.7714,7.9263,924570,52.5
2009-07-30,7.8468,7.9223,7.6205,7.7752,606660,51.5
2009-07-31,8.0732,8.1486,7.9977,8.1528,1125450,54
2009-08-03,8.5259,8.5259,8.2995,8.5301,2707260,56.5
2009-08-04,8.9031,8.9031,8.6013,8.8321,1869220,58.5
2009-08-05,8.7522,8.9031,8.6013,8.7565,1654270,58
2009-08-06,8.7522,8.9031,8.5259,8.6057,1656340,57
2009-08-07,8.5259,8.6768,8.5259,8.5301,1017420,56.5
2009-08-10,8.6013,8.7522,8.5259,8.681,689300,57.5
2009-08-11,8.6013,8.7522,8.5259,8.6057,1207840,57
2009-08-12,8.6768,8.6768,8.5259,8.5301,996150,56.5
2009-08-13,8.6768,8.6768,8.5259,8.6057,896790,57
2009-08-14,8.5259,8.6768,8.5259,8.6057,709790,57
2009-08-17,8.5259,8.6013,8.4504,8.4547,622790,56
2009-08-18,8.2995,8.4504,8.2995,8.3792,927850,55.5
2009-08-19,8.5259,8.5259,8.2995,8.3792,719390,55.5
2009-08-20,8.4504,8.4504,8.2995,8.3792,578130,55.5
2009-08-21,8.4504,8.7522,8.4504,8.4547,1444220,56
2009-08-24,8.6013,8.6013,8.4504,8.5301,634370,56.5
2009-08-25,8.5259,8.5259,8.375,8.3792,577480,55.5
2009-08-26,8.4504,8.5259,8.375,8.4547,516120,56
2009-08-27,8.4504,8.4504,8.375,8.4547,538870,56
2009-08-28,8.5259,8.5259,8.4504,8.5301,639140,56.5
2009-08-31,8.6768,8.6768,8.5259,8.681,874340,57.5
2009-09-01,8.5259,8.6768,8.5259,8.6057,847070,57
2009-09-03,8.4504,8.5259,8.2241,8.4547,1078760,56
2009-09-04,8.4504,8.4504,8.2241,8.2281,1015060,54.5
2009-09-07,7.9977,8.2241,7.8468,8.0017,954060,53
2009-09-08,8.1486,8.1486,7.9977,8.0772,687300,53.5
2009-09-09,8.0732,8.1486,7.9977,8.0772,682660,53.5
2009-09-10,7.9977,8.0732,7.9977,8.0017,412250,53
2009-09-11,7.9977,8.0732,7.9223,8.0017,416470,53
2009-09-14,7.9977,8.0732,7.9223,8.0017,588470,53
2009-09-15,8.0732,8.0732,7.9223,7.9263,727020,52.5
2009-09-16,8.2995,8.2995,8.2995,8.3036,879780,55
2009-09-17,8.6768,8.6768,8.1486,8.4547,2195540,56
2009-09-18,8.2995,8.5259,8.1486,8.5301,850000,56.5
2009-09-21,8.5259,8.5259,8.2995,8.3036,761980,55
2009-09-22,8.1486,8.2995,8.1486,8.1528,658880,54
2009-09-23,8.2995,8.4504,8.2241,8.2281,757950,54.5
2009-09-24,8.1486,8.2241,8.0732,8.0772,541670,53.5
2009-09-25,8.0732,8.4504,7.9977,8.3792,933140,55.5
2009-09-28,8.4504,8.4504,8.2241,8.2281,561480,54.5
2009-09-29,8.2995,8.2995,8.0732,8.1528,750310,54
2009-09-30,8.1486,8.2241,7.9977,8.0772,712000,53.5
2009-10-01,8.0732,8.0732,7.9223,7.9263,875180,52.5
2009-10-02,7.7714,7.7714,7.545,7.6999,1416100,51
2009-10-05,7.7714,7.7714,7.545,7.6999,606370,51
2009-10-06,7.7714,7.7714,7.6205,7.6243,460990,50.5
2009-10-07,7.6959,7.7714,7.6205,7.6999,596580,51
2009-10-08,7.7714,7.7714,7.6205,7.6999,448600,51
2009-10-09,7.7714,7.8468,7.6959,7.7752,794860,51.5
2009-10-12,7.8468,7.9977,7.7714,8.0017,759120,53
2009-10-13,7.9977,7.9977,7.6959,7.8507,513610,52
2009-10-14,7.7714,8.2241,7.7714,8.2281,1359110,54.5
2009-10-15,8.6013,8.6013,8.4504,8.6057,3378300,57
2009-10-16,8.6768,8.9031,8.5259,8.5301,2239820,56.5
2009-10-19,8.2995,8.5259,8.2241,8.3036,1015080,55
2009-10-20,8.375,8.4504,8.2241,8.2281,909450,54.5
2009-10-21,8.2241,8.2241,8.1486,8.1528,1038410,54
2009-10-22,8.2241,8.2995,8.1486,8.3036,865390,55
2009-10-23,8.375,8.6768,8.2995,8.5301,3946240,56.5
2009-10-26,8.6013,8.6768,8.2241,8.3036,1130810,55
2009-10-27,7.9977,8.2241,7.9223,8.0017,1594080,53
2009-10-28,8.1486,8.1486,7.9223,8.0017,623620,53
2009-10-29,7.7714,7.9223,7.6205,7.6999,3489050,51
2009-10-30,7.9223,7.9977,7.6959,7.8507,1302800,52
2009-11-02,7.8468,7.9977,7.6205,8.0017,2142950,53
2009-11-03,7.9223,7.9977,7.6205,7.7752,1390550,51.5
2009-11-04,7.8468,7.9223,7.6959,7.7752,788110,51.5
2009-11-05,7.7714,8.0732,7.7714,8.0017,997290,53
2009-11-06,7.9977,8.0732,7.7714,7.7752,905910,51.5
2009-11-09,7.6959,7.8468,7.6205,7.6243,1193030,50.5
2009-11-10,7.6959,7.7714,7.4846,7.4884,813300,49.6
2009-11-11,7.545,7.6205,7.4696,7.5488,657810,50
2009-11-12,7.6205,7.6959,7.5148,7.6243,948480,50.5
2009-11-13,7.545,7.545,7.4846,7.5186,703390,49.8
2009-11-16,7.4696,7.545,7.4696,7.4884,770120,49.6
2009-11-17,7.4545,7.4696,7.379,7.3826,601790,48.9
2009-11-18,7.3187,7.3639,7.2583,7.2922,536330,48.3
2009-11-19,7.3036,7.4394,7.2432,7.3826,533380,48.9
2009-11-20,7.379,7.379,7.2734,7.277,585050,48.2
2009-11-23,7.2432,7.2583,7.1225,7.1261,771170,47.2
2009-11-24,7.0923,7.1074,6.9867,6.9902,585000,46.3
2009-11-25,6.9414,6.9414,6.6396,6.6429,1319610,44
2009-11-26,6.4133,6.4736,6.3076,6.3108,1859930,41.8
2009-11-27,6.0058,6.6094,6.0058,6.6127,947680,43.8
2009-11-30,6.7603,6.9263,6.7151,6.9297,715590,45.9
2009-12-01,7.2432,7.2583,7.1678,7.2619,943350,48.1
2009-12-02,7.0923,7.379,6.8961,7.0958,796240,47
2009-12-03,6.9414,7.1678,6.8961,7.0958,485690,47
2009-12-04,7.1225,7.1225,6.9414,6.9751,267060,46.2
2009-12-07,6.881,6.9867,6.881,6.9449,275960,46
2009-12-08,6.9414,6.9414,6.7151,6.7486,537020,44.7
2009-12-09,6.5038,6.5491,6.4434,6.4919,865220,43
2009-12-10,6.5792,6.5792,6.4434,6.4467,533130,42.7
2009-12-11,6.3378,6.4133,6.1416,6.1598,749300,40.8
2009-12-14,6.4585,6.4585,6.3076,6.4616,459670,42.8
2009-12-15,6.4585,6.7754,6.4133,6.7789,976610,44.9
2009-12-16,6.7754,6.7905,6.4887,6.4919,889550,43
2009-12-17,6.4585,6.7905,6.3378,6.6429,462480,44
2009-12-18,6.7905,6.9716,6.7905,6.9751,722180,46.2
2009-12-21,6.9716,7.2432,6.9716,7.1865,561830,47.6
2009-12-22,6.9414,7.1225,6.9414,7.0355,387540,46.6
2009-12-23,7.0319,7.0319,6.9414,6.9751,296080,46.2
2009-12-24,6.881,6.9414,6.866,6.9449,396050,46
2009-12-25,7.2432,7.2432,7.0923,7.0958,685690,47
2009-12-28,6.9565,7.0018,6.9263,6.9449,264190,46
2009-12-29,6.7905,7.0169,6.7905,6.8241,342830,45.2
2009-12-30,6.7603,6.9263,6.7603,6.8846,208290,45.6
2009-12-31,6.9414,7.0923,6.881,7.0958,398120,47
2010-01-04,7.0923,7.4394,7.0923,7.4431,598640,49.3
2010-01-05,7.6959,7.7714,7.4394,7.5186,935140,49.8
2010-01-06,7.2583,7.5148,7.2432,7.2467,479840,48
2010-01-07,7.2432,7.2583,7.0923,7.0958,207490,47
2010-01-08,7.1828,7.213,7.0772,7.0958,351610,47
2010-01-11,7.1678,7.1678,6.7603,7.0958,207120,47
2010-01-12,7.0169,7.0923,6.866,6.8695,269580,45.5
2010-01-13,6.5642,7.0923,6.5642,7.0958,469510,47
2010-01-14,7.0923,7.1225,6.9414,7.0054,129590,46.4
2010-01-15,6.866,6.9263,6.8358,6.8393,213500,45.3
2010-01-18,6.7905,6.7905,6.5642,6.5675,332360,43.5
2010-01-19,6.6396,6.7452,6.6094,6.7486,208770,44.7
2010-01-20,6.8509,6.8509,6.6094,6.6127,154590,43.8
2010-01-21,6.6094,6.6396,6.4887,6.4919,441690,43
2010-01-22,6.4887,6.5642,6.368,6.4166,331220,42.5
2010-01-25,6.3831,6.4283,6.3831,6.4166,161220,42.5
2010-01-26,6.5642,6.5943,6.4283,6.4616,279270,42.8
2010-01-27,6.5038,6.5642,6.4434,6.4616,168830,42.8
2010-01-28,6.4133,6.4887,6.3831,6.3863,134440,42.3
2010-01-29,6.3831,6.3831,6.3378,6.3409,162850,42
2010-02-01,6.3378,6.3982,6.3076,6.3108,108370,41.8
2010-02-02,6.4887,6.4887,6.3378,6.3863,260860,42.3
2010-02-03,6.4887,6.5642,6.4585,6.5675,334020,43.5
2010-02-04,6.5642,6.7151,6.5491,6.7185,341670,44.5
2010-02-05,6.6396,6.6396,6.5642,6.5977,220730,43.7
2010-02-08,6.4736,6.5943,6.4736,6.5977,146740,43.7
2010-02-09,6.5189,6.5491,6.4283,6.4317,80320,42.6
2010-02-10,6.4887,6.6094,6.4887,6.5675,77640,43.5
2010-02-11,6.5792,6.7151,6.5792,6.7185,229520,44.5
2010-02-12,6.7905,6.8056,6.7,6.7185,191060,44.5
2010-02-22,6.7905,6.8961,6.7905,6.8241,282530,45.2
2010-02-23,6.8207,6.8207,6.7301,6.8241,473230,45.2
2010-02-24,6.8358,7.0169,6.7603,7.0204,708110,46.5
2010-02-25,7.0169,7.0923,6.9112,7.0958,664780,47
2010-02-26,7.0621,7.3941,7.047,7.3979,896140,49
2010-03-01,7.3941,7.545,7.3941,7.5186,569580,49.8
2010-03-02,7.3337,7.379,7.1527,7.1562,438130,47.4
2010-03-03,7.1678,7.2432,7.0923,7.2167,200550,47.8
2010-03-04,7.2432,7.2432,7.1074,7.111,180180,47.1
2010-03-05,7.0772,7.1678,7.0772,7.0807,131760,46.9
2010-03-08,7.0772,7.1527,7.0169,7.0807,349730,46.9
2010-03-09,7.0772,7.2432,7.0772,7.2467,423380,48
2010-03-10,7.3994,7.4459,7.384,7.4172,268350,47.9
2010-03-11,7.4614,7.4614,7.353,7.3552,90870,47.5
2010-03-12,7.3994,7.3994,7.2911,7.3552,200050,47.5
2010-03-15,7.353,7.3685,7.2756,7.2778,335920,47
2010-03-16,7.1982,7.1982,7.0898,7.0919,289410,45.8
2010-03-17,7.1208,7.1982,6.966,6.9681,212650,45
2010-03-18,6.966,7.0434,6.9505,6.9836,262660,45.1
2010-03-19,6.9815,6.9815,6.9041,6.9062,326180,44.6
2010-03-22,6.8886,7.0898,6.8886,6.9372,192140,44.8
2010-03-23,6.9505,7.1208,6.935,6.9527,200810,44.9
2010-03-24,6.966,6.997,6.935,6.9991,124330,45.2
2010-03-25,6.9041,6.9505,6.8112,6.8442,135370,44.2
2010-03-26,6.8422,7.0434,6.8112,7.0455,284850,45.5
2010-03-29,6.9815,7.0434,6.935,6.9527,165200,44.9
2010-03-30,6.8886,6.935,6.8422,6.8442,119080,44.2
2010-03-31,6.8267,6.935,6.8112,6.8133,148860,44
2010-04-01,6.8422,6.8422,6.7957,6.8442,268010,44.2
2010-04-02,6.966,6.966,6.8112,6.8597,190480,44.3
2010-04-05,6.9505,6.966,6.8886,6.9218,265780,44.7
2010-04-06,6.9196,6.935,6.8886,6.8907,248550,44.5
2010-04-07,6.8886,6.8886,6.8267,6.8597,167350,44.3
2010-04-08,6.8112,6.8576,6.7957,6.7978,266300,43.9
2010-04-09,6.7493,6.8422,6.7493,6.8133,230040,44
2010-04-12,6.8267,6.8886,6.8112,6.8907,295540,44.5
2010-04-13,6.8422,6.8886,6.7957,6.7978,117080,43.9
2010-04-14,6.7957,6.7957,6.7338,6.7513,83880,43.6
2010-04-15,6.8112,6.8112,6.7338,6.7513,300830,43.6
2010-04-16,6.7493,6.7648,6.6874,6.6894,226720,43.2
2010-04-19,6.6564,6.6719,6.6254,6.6274,154570,42.8
2010-04-20,6.6254,6.6409,6.548,6.5655,200870,42.4
2010-04-21,6.548,6.579,6.548,6.5811,146630,42.5
2010-04-22,6.6254,6.8576,6.61,6.7823,210380,43.8
2010-04-26,6.7802,6.8112,6.7183,6.7204,205770,43.4
2010-04-27,6.7338,6.8112,6.7183,6.7978,273440,43.9
2010-04-28,6.7648,6.7802,6.7183,6.7358,111590,43.5
2010-04-29,6.6874,6.7028,6.6564,6.6584,167650,43
2010-05-04,6.6564,6.9505,6.6564,6.8442,331060,44.2
2010-05-05,6.8112,6.8112,6.7028,6.705,102950,43.3
2010-05-06,6.6564,6.7028,6.6409,6.6429,209480,42.9
2010-05-07,6.579,6.61,6.5326,6.5811,285430,42.5
2010-05-10,6.548,6.5945,6.4552,6.5811,443310,42.5
2010-05-11,6.6564,6.6564,6.5326,6.5811,261630,42.5
2010-05-12,6.5016,6.548,6.4242,6.4261,431400,41.5
2010-05-13,6.5635,6.5635,6.4242,6.4572,324040,41.7
2010-05-14,6.5171,6.5171,6.4552,6.4572,227070,41.7
2010-05-17,6.4861,6.4861,6.3468,6.4106,347520,41.4
2010-05-18,6.2849,6.4087,6.2849,6.4106,206540,41.4
2010-05-19,6.3004,6.3623,6.2849,6.2869,429800,40.6
2010-05-20,6.192,6.3158,6.192,6.3177,443540,40.8
2010-05-21,6.0682,6.1765,6.0527,6.0545,583870,39.1
2010-05-24,6.0527,6.192,6.0527,6.194,281430,40
2010-05-25,6.192,6.223,6.1765,6.2249,378760,40.2
2010-05-26,6.2075,6.2384,6.192,6.194,309750,40
2010-05-27,6.192,6.2075,6.1765,6.2093,230180,40.1
2010-05-28,6.2694,6.3468,6.2075,6.3489,232910,41
2010-05-31,6.3468,6.3468,6.3004,6.3177,265480,40.8
2010-06-01,6.2849,6.3468,6.2694,6.3489,186910,41
2010-06-02,6.3313,6.3623,6.3158,6.3489,373100,41
2010-06-03,6.3468,6.3778,6.3468,6.3489,381990,41
2010-06-04,6.4175,6.4506,6.401,6.4202,339560,38.8
2010-06-07,6.2521,6.3679,6.2521,6.2713,254160,37.9
2010-06-08,6.2687,6.2852,6.2521,6.2549,269320,37.8
2010-06-09,6.219,6.2687,6.219,6.2382,215320,37.7
2010-06-10,6.2356,6.2687,6.219,6.2549,191400,37.8
2010-06-11,6.3514,6.3514,6.2852,6.3209,140560,38.2
2010-06-14,6.3183,6.3348,6.3017,6.3043,79290,38.1
2010-06-15,6.3514,6.401,6.3183,6.4037,243940,38.7
2010-06-16,6.4671,6.5333,6.4506,6.5362,207980,39.5
2010-06-17,6.5333,6.6822,6.5002,6.685,434550,40.4
2010-06-18,6.616,6.7649,6.616,6.6188,674600,40
2010-06-21,6.6822,6.6822,6.5995,6.6354,119230,40.1
2010-06-22,6.5002,6.6656,6.5002,6.6519,164040,40.2
2010-06-23,6.4837,6.6656,6.4837,6.6188,103900,40
2010-06-24,6.6325,6.6491,6.616,6.6188,152680,40
2010-06-25,6.5664,6.5829,6.3679,6.3706,128320,38.5
2010-06-28,6.3679,6.5333,6.3679,6.5362,50970,39.5
2010-06-29,6.5333,6.8476,6.5333,6.8505,408480,41.4
2010-06-30,6.7814,6.8145,6.5995,6.8173,488910,41.2
2010-07-01,6.6987,6.7814,6.5333,6.5362,39510,39.5
2010-07-02,6.616,6.616,6.4506,6.5194,94670,39.4
2010-07-05,6.5498,6.5829,6.5002,6.5857,145630,39.8
2010-07-06,6.4837,6.616,6.4506,6.4699,55750,39.1
2010-07-07,6.4671,6.5829,6.4506,6.4533,43960,39
2010-07-08,6.4506,6.5664,6.4506,6.4533,52320,39
2010-07-09,6.4506,6.5333,6.4341,6.4367,18950,38.9
2010-07-12,6.4341,6.4506,6.3844,6.3871,24100,38.6
2010-07-13,6.5333,6.616,6.4506,6.6188,111090,40
2010-07-14,6.616,6.616,6.401,6.4037,81300,38.7
2010-07-15,6.5168,6.5168,6.4506,6.4533,39380,39
2010-07-16,6.5333,6.5333,6.4671,6.4699,94420,39.1
2010-07-19,6.5168,6.5168,6.4837,6.5194,122320,39.4
2010-07-20,6.5333,6.5333,6.4671,6.4864,146500,39.2
2010-07-21,6.4506,6.4506,6.401,6.4037,70110,38.7
2010-07-22,6.401,6.4175,6.3183,6.3209,107000,38.2
2010-07-23,6.3017,6.3183,6.2687,6.2879,127830,38
2010-07-26,6.2687,6.2852,6.1198,6.1555,133550,37.2
2010-07-27,6.2852,6.2852,6.1198,6.1224,66980,37
2010-07-28,6.1198,6.2521,6.1033,6.1058,64740,36.9
2010-07-29,6.2687,6.2687,6.1198,6.1224,24000,37
2010-07-30,6.1198,6.2025,6.1198,6.2051,39300,37.5
2010-08-02,6.2025,6.2356,6.1198,6.1224,26370,37
2010-08-03,6.186,6.186,6.1033,6.1058,73530,36.9
2010-08-04,6.1198,6.1198,6.0702,6.1224,64130,37
2010-08-05,6.1694,6.1694,6.1363,6.1555,79450,37.2
2010-08-06,6.1694,6.1694,6.1363,6.1555,114610,37.2
2010-08-09,6.0702,6.1694,5.9048,5.9074,111670,35.7
2010-08-10,5.8386,5.8717,5.7228,5.7418,186800,34.7
2010-08-11,5.789,5.8386,5.7228,5.7584,114600,34.8
2010-08-12,5.6567,5.7559,5.574,5.7418,162530,34.7
2010-08-13,5.6236,5.7228,5.6236,5.7253,53260,34.6
2010-08-16,5.7559,5.9048,5.7228,5.9074,103380,35.7
2010-08-17,5.9213,6.0371,5.8552,6.0397,159010,36.5
2010-08-18,6.0371,6.0371,5.9379,5.9735,54130,36.1
2010-08-19,5.9379,5.9709,5.9379,5.9735,80750,36.1
2010-08-20,5.9709,6.1363,5.9544,6.139,205430,37.1
2010-08-23,6.0867,6.1529,6.0702,6.1224,170400,37
2010-08-24,6.1198,6.1198,6.0371,6.0397,110180,36.5
2010-08-25,5.9379,5.9544,5.8221,5.9569,135930,36
2010-08-26,5.9544,5.9875,5.9213,5.9735,231230,36.1
2010-08-27,5.9709,6.0867,5.9379,6.0893,233600,36.8
2010-08-30,6.1529,6.2687,6.1529,6.2549,91950,37.8
2010-08-31,6.3348,6.3514,6.2521,6.354,516550,38.4
2010-09-01,6.219,6.3514,6.1363,6.354,168180,38.4
2010-09-06,6.4175,6.4175,6.2852,6.2879,318190,38
2010-09-07,6.2025,6.2025,6.1529,6.1885,102770,37.4
2010-09-08,6.1198,6.2852,6.1198,6.2879,184680,38
2010-09-09,6.3183,6.3514,6.2521,6.2713,126490,37.9
2010-09-10,6.2687,6.2852,6.1198,6.1224,55360,37
2010-09-13,6.2356,6.2356,6.0702,6.1885,114600,37.4
2010-09-14,6.1198,6.2687,6.1198,6.1721,40380,37.3
2010-09-15,6.2521,6.2521,6.0867,6.1555,202130,37.2
2010-09-16,6.0536,6.1529,6.0536,6.0562,142660,36.6
2010-09-17,6.0867,6.219,6.0536,6.2216,238640,37.6
2010-09-20,6.219,6.219,6.0867,6.0893,147180,36.8
2010-09-21,6.1694,6.1694,5.8882,5.8908,408250,35.6
2010-09-22,6.0206,6.0206,5.9213,5.9569,84790,36
2010-09-23,5.8882,6.1033,5.8882,6.1058,134410,36.9
2010-09-24,6.1033,6.1033,6.0371,6.0397,40990,36.5
2010-09-27,6.004,6.004,5.9379,5.9569,132350,36
2010-09-28,5.9213,6.0371,5.9213,6.0397,115620,36.5
2010-09-29,5.9709,6.0371,5.9379,6.0232,60990,36.4
2010-09-30,6.0536,6.0536,5.9213,5.9901,257980,36.2
2010-10-01,5.9544,6.0206,5.9379,5.9569,53730,36
2010-10-04,6.0206,6.0206,5.9379,5.9569,299090,36
2010-10-05,5.9213,5.9875,5.9213,5.9901,213200,36.2
2010-10-06,5.9875,6.0867,5.9875,6.0893,387140,36.8
2010-10-07,6.0867,6.0867,6.0206,6.0397,149940,36.5
2010-10-08,6.0371,6.0536,6.004,6.0397,195810,36.5
2010-10-11,5.9544,6.0371,5.9544,6.0397,111880,36.5
2010-10-12,5.9875,6.0206,5.9544,5.9569,61240,36
2010-10-13,5.9544,6.0206,5.9379,6.0232,130930,36.4
2010-10-14,6.0371,6.0371,6.0206,6.0232,74470,36.4
2010-10-15,6.0371,6.0371,5.9875,6.0232,167580,36.4
2010-10-18,5.9379,5.9709,5.9379,5.9404,140980,35.9
2010-10-19,5.8882,5.9213,5.8221,5.8741,141430,35.5
2010-10-20,5.8717,5.8717,5.7725,5.775,180010,34.9
2010-10-21,5.789,5.789,5.7228,5.7914,114640,35
2010-10-22,5.8221,5.8221,5.7228,5.7584,134950,34.8
2010-10-25,5.6236,5.7063,5.6236,5.6426,170760,34.1
2010-10-26,5.6401,5.7559,5.6401,5.6922,115340,34.4
2010-10-27,5.789,5.789,5.6732,5.7584,92540,34.8
2010-10-28,5.7559,5.7559,5.6732,5.7584,61130,34.8
2010-10-29,5.7559,5.789,5.7559,5.7584,69730,34.8
2010-11-01,5.789,5.789,5.7394,5.7914,128990,35
2010-11-02,5.6898,5.7228,5.6567,5.6591,135750,34.2
2010-11-03,5.6567,5.6567,5.5905,5.6426,156210,34.1
2010-11-04,5.6732,5.7063,5.6236,5.6261,109890,34
2010-11-05,5.7228,5.7228,5.6236,5.6922,103610,34.4
2010-11-08,5.6236,5.6236,5.5409,5.5432,134860,33.5
2010-11-09,5.5409,5.5409,5.4417,5.4606,371880,33
2010-11-10,5.4913,5.4913,5.4251,5.4606,166720,33
2010-11-11,5.3259,5.3755,5.2928,5.295,86640,32
2010-11-12,5.2928,5.359,5.1439,5.3612,128420,32.4
2010-11-15,5.3755,5.3755,5.2101,5.2289,122910,31.6
2010-11-16,5.177,5.177,5.1439,5.1626,151250,31.2
