date,open,high,low,close,volume,close_raw
2025-12-16,34.0625,34.0625,30.6875,31.75,14838900,50.8
2025-12-17,31.25,32.8125,30,32.75,6551600,52.4
2025-12-18,32.75,33.25,32.0625,32.875,4803500,52.6
2025-12-19,33,33.125,32.4375,32.875,1968700,52.6
2025-12-22,32.8125,32.8125,32.375,32.4375,1816800,51.9
2025-12-23,32.4375,32.4375,31.5625,31.5625,2960400,50.5
2025-12-24,31.5625,31.5625,30.9375,31.25,2367100,50
2025-12-25,31.375,31.5625,30.625,30.625,2038200,49
2025-12-26,30.3438,30.7813,30.1875,30.375,2091500,48.6
2025-12-29,30.25,31.2188,30.125,31.0625,3001300,49.7
2025-12-30,31.1875,31.3125,31.125,31.1875,1167000,49.9
2025-12-31,31.375,31.375,31.125,31.3125,1532300,50.1
2026-01-05,30.6875,31.2188,30.375,30.4063,915600,48.65
2026-01-06,30.4063,30.7188,30.2188,30.375,1316100,48.6
2026-01-07,30.4375,30.7188,30.3125,30.3125,2191900,48.5
2026-01-08,30.0313,30.5625,30.0313,30.125,2199100,48.2
2026-01-09,30.0938,30.25,28.75,28.75,3424500,46
2026-01-12,28.7188,30.625,27.9375,29.4688,4187900,47.15
2026-01-13,29.5313,30.3125,29.4375,29.6875,2754900,47.5
2026-01-14,29.7188,30,28.9063,28.9375,3200600,46.3
2026-01-15,29,29.5313,28.8438,29.1563,2747700,46.65
2026-01-16,29.3438,29.375,28.875,29.0313,3000100,46.45
2026-01-19,29.0625,30.2813,28.875,30,4445800,48
2026-01-20,30.1875,30.2813,29.9063,29.9375,3457000,47.9
2026-01-21,29.75,29.7813,29,29.375,2348300,47
2026-01-22,29.5625,29.5625,29.0313,29.4063,2663700,47.05
2026-01-23,29.4063,29.7188,29.125,29.6875,2706800,47.5
2026-01-26,29.6875,29.75,28.8438,29.0625,2088800,46.5
2026-01-27,29.0625,29.375,28.875,29.1875,1555500,46.7
2026-01-28,29.25,29.25,28.75,28.9063,1642900,46.25
2026-01-29,28.875,29.0625,28.75,28.8125,1265400,46.1
2026-01-30,28.8125,29.0313,28.5625,28.6875,2204500,45.9
2026-02-02,28.75,28.75,28.25,28.25,1648500,45.2
2026-02-03,28.3125,28.6875,28.1875,28.5938,2590300,45.75
2026-02-04,28.7188,29.0625,28.2188,28.25,2595400,45.2
2026-02-05,28.5,28.5,27.9063,27.9063,1885500,44.65
2026-02-06,27.75,27.75,26.75,26.75,2423800,42.8
2026-02-09,26.875,26.875,26.3125,26.6875,1435900,42.7
2026-02-10,26.875,28.5313,26.5,28.5313,3065700,45.65
2026-02-11,28.625,28.8125,28.3438,28.6875,2245400,45.9
2026-02-12,29.0313,29.0313,28.5313,28.9688,2232400,46.35
2026-02-13,29.0938,29.0938,28.6563,28.9375,2199400,46.3
2026-02-23,28.9375,30.5625,28.8438,30.5625,4907200,48.9
2026-02-24,30.5625,30.75,30.0625,30.6875,2871300,49.1
2026-02-25,30.6875,30.75,30.3125,30.3125,1363400,48.5
2026-02-26,30.4063,30.4063,30.0625,30.1563,1951200,48.25
2026-02-27,30.5,31.0625,30.25,31.0625,7039000,49.7
2026-03-02,30,30.9375,30,30.375,3317300,48.6
2026-03-03,30.5,31.0625,30.0625,30.5,3237200,48.8
2026-03-04,30.625,31.875,29.7188,31.875,4730800,51
2026-03-05,32.0625,32.8125,31.8125,32.0625,4820400,51.3
2026-03-06,32.0625,32.0625,30.4688,30.4688,2459100,48.75
2026-03-09,28.625,28.75,28.3438,28.3438,5656200,45.35
2026-03-10,30.3,30.3,29,30.3,6699200,30.3
2026-03-11,30,30.5,29.55,30.5,3445700,30.5
2026-03-12,30.3,30.5,29.5,30.4,2376000,30.4
2026-03-13,29.5,31.25,29.5,31.25,6189800,31.25
2026-03-16,31.5,33.4,31.4,33.4,10856000,33.4
2026-03-17,34,35.7,33.7,35.7,20015400,35.7
2026-03-18,38.1,38.1,33.25,35,12227700,35
2026-03-19,33.9,34.5,32.6,34.5,4508000,34.5
2026-03-20,33.4,35.7,33.1,35.7,20916100,35.7
2026-03-23,33.8,35.15,33.25,35.15,7995700,35.15
2026-03-24,35,35.8,33.95,35.65,9024300,35.65
2026-03-25,35.65,35.7,35,35.5,3772700,35.5
2026-03-26,35.3,35.4,34.3,35,3907200,35
2026-03-27,34.6,35.15,34.35,34.85,3960600,34.85
2026-03-30,34,34.5,33.9,34,3970700,34
2026-03-31,34.2,34.7,33.7,33.75,4125400,33.75
2026-04-01,33.8,35.1,33.8,35,7347600,35
2026-04-02,34.7,37,34.3,36.8,14911700,36.8
2026-04-03,36.25,37,36.1,37,7479700,37
2026-04-06,36.5,37.4,36.35,36.8,5442000,36.8
2026-04-07,36.6,36.95,35.6,36.85,5946500,36.85
2026-04-08,37.5,37.9,36.85,37.9,11153300,37.9
2026-04-09,37.4,37.8,36.5,37.3,5912900,37.3
2026-04-10,37.25,37.3,36.7,37,4853000,37
2026-04-13,36.7,37.9,36.45,37.1,5857000,37.1
