date,open,high,low,close,volume,close_raw
2007-12-17,3.6848,4.512,3.1584,3.1793,48400,84.5
2007-12-18,3.2261,3.2261,3.2261,3.2282,2000,85.8
2007-12-19,2.9065,3.3088,2.9065,3.1981,40900,85
2007-12-20,3.2336,3.2336,3.1584,3.1981,4000,85
2007-12-21,3.2148,3.2148,3.0381,3.0476,6300,81
2007-12-24,3.1584,3.1584,2.899,2.9535,7800,78.5
2007-12-25,3.008,3.008,2.9704,2.9911,21600,79.5
2007-12-26,3.008,3.008,2.9704,2.9723,20300,79
2007-12-27,3.008,3.008,2.9027,2.9046,12900,77.2
2007-12-28,2.9178,2.9704,2.914,2.9347,9800,78
2008-01-02,2.9704,2.9892,2.9704,2.9911,1300,79.5
2008-01-03,2.8576,2.8576,2.82,2.8406,9800,75.5
2008-01-04,2.7147,2.7523,2.553,2.5547,16400,67.9
2008-01-07,2.4139,2.4139,2.3876,2.408,24400,64
2008-01-08,2.444,2.647,2.4064,2.6149,19600,69.5
2008-01-09,2.6809,2.6884,2.4102,2.4117,17300,64.1
2008-01-10,2.6282,2.6282,2.4252,2.4832,13100,66
2008-01-11,2.5192,2.5568,2.4854,2.5208,22900,67
2008-01-14,2.5305,2.538,2.3575,2.4456,26700,65
2008-01-15,2.3688,2.3688,2.2184,2.2575,8800,60
2008-01-16,2.4064,2.5079,2.4064,2.5095,33300,66.7
2008-01-17,2.632,2.632,2.444,2.5396,19200,67.5
2008-01-18,2.444,2.5568,2.444,2.4832,3800,66
2008-01-21,2.4628,2.4816,2.3538,2.4644,12400,65.5
2008-01-22,2.3312,2.3688,2.2936,2.3703,15500,63
2008-01-23,2.3312,2.3312,2.256,2.2951,14700,61
2008-01-24,2.3688,2.3876,2.2598,2.2763,11600,60.5
2008-01-25,2.3312,2.3876,2.3312,2.3854,16900,63.4
2008-01-28,2.4402,2.444,2.3124,2.3703,15000,63
2008-01-29,2.4064,2.4778,2.3876,2.4794,40000,65.9
2008-01-30,2.6884,2.6884,2.6245,2.6901,72000,71.5
2008-01-31,2.9328,2.9328,2.5944,2.6713,10000,71
2008-02-01,2.6696,2.8238,2.6583,2.803,41500,74.5
2008-02-12,2.7824,2.7824,2.632,2.6337,26100,70
2008-02-13,2.6696,2.6696,2.4816,2.4832,35500,66
2008-02-14,2.5568,2.5568,2.444,2.4644,25500,65.5
2008-02-15,2.4816,2.4816,2.3688,2.3967,29900,63.7
2008-02-18,2.3312,2.3312,2.1808,2.2951,19900,61
2008-02-19,2.256,2.3312,2.2184,2.2951,23200,61
2008-02-20,2.2372,2.256,2.0567,2.0581,16000,54.7
2008-02-21,1.959,1.959,1.9402,1.9414,18400,51.6
2008-02-22,1.786,1.9552,1.7559,1.9226,23000,51.1
2008-02-25,1.9552,1.9627,1.9552,1.964,2200,52.2
2008-02-26,2.068,2.1056,1.88,1.9188,17000,51
2008-02-27,1.8424,2.0116,1.8424,1.9565,13300,52
2008-02-28,1.9477,1.9552,1.88,1.9565,8400,52
2008-02-29,1.8612,1.9251,1.8612,1.8812,8000,50
2008-03-03,1.8048,1.8048,1.6958,1.7006,10900,45.2
2008-03-04,1.5792,1.5792,1.5416,1.5426,11400,41
2008-03-05,1.4288,1.5416,1.3912,1.4862,17400,39.5
2008-03-06,1.5642,1.5642,1.5642,1.5652,1100,41.6
2008-03-07,1.7183,1.7183,1.7183,1.7194,2700,45.7
2008-03-10,1.8854,1.8854,1.8693,1.8808,39800,46.7
2008-03-11,1.809,2.01,1.7527,1.8083,29500,44.9
2008-03-12,1.7286,1.9819,1.7286,1.9654,10100,48.8
2008-03-13,2.006,2.01,1.8894,1.9654,18800,48.8
2008-03-14,1.9497,1.9698,1.9497,1.9533,7600,48.5
2008-03-17,1.8492,1.8492,1.7608,1.764,17800,43.8
2008-03-18,1.604,1.6884,1.604,1.611,21500,40
2008-03-19,1.6482,1.7085,1.608,1.611,18200,40
2008-03-20,1.5276,1.5718,1.5196,1.5224,17700,37.8
2008-03-21,1.5075,1.5276,1.4472,1.4499,15800,36
2008-03-24,1.3668,1.3668,1.3427,1.3693,11600,34
2008-03-25,1.2462,1.2864,1.214,1.2364,39300,30.7
2008-03-26,1.2864,1.3668,1.2583,1.3693,12100,34
2008-03-27,1.3387,1.3387,1.3387,1.3411,100,33.3
2008-03-28,1.3628,1.3628,1.3628,1.3653,3500,33.9
2008-03-31,1.3869,1.3869,1.3869,1.3895,100,34.5
2008-04-01,1.411,1.411,1.411,1.4136,100,35.1
2008-04-02,1.4392,1.4392,1.4392,1.4418,400,35.8
2008-04-03,1.4673,1.4673,1.4673,1.47,200,36.5
2008-04-04,1.4954,1.4954,1.4954,1.4982,1000,37.2
2008-04-07,1.5397,1.5397,1.5397,1.5425,100,38.3
2008-04-08,1.5839,1.5839,1.5758,1.5868,22100,39.4
2008-04-09,1.628,1.628,1.5873,1.6317,31400,40
2008-04-10,1.5873,1.5873,1.5751,1.5787,10800,38.7
2008-04-11,1.5344,1.5344,1.5344,1.5379,13500,37.7
2008-04-16,1.4896,1.4896,1.4896,1.493,12300,36.6
2008-04-17,1.4489,1.5303,1.4489,1.5338,10300,37.6
2008-04-18,1.5059,1.5303,1.4489,1.4522,12500,35.6
2008-04-21,1.4652,1.4652,1.4652,1.4685,2000,36
2008-04-22,1.4896,1.4896,1.4326,1.4359,4500,35.2
2008-04-23,1.4082,1.4164,1.4082,1.4114,9300,34.6
2008-04-24,1.3675,1.3919,1.3675,1.3951,8300,34.2
2008-04-25,1.3838,1.4042,1.3838,1.4073,2700,34.5
2008-04-28,1.4326,1.4326,1.4326,1.4359,2100,35.2
2008-04-29,1.4733,1.4733,1.396,1.3992,51300,34.3
2008-05-05,1.4123,1.4164,1.4082,1.4114,11100,34.6
2008-05-06,1.3675,1.4489,1.3675,1.4522,13200,35.6
2008-05-07,1.3675,1.3675,1.3675,1.3706,9900,33.6
2008-05-08,1.3268,1.3268,1.3268,1.3298,14700,32.6
2008-05-09,1.2902,1.2902,1.2902,1.2931,5200,31.7
2008-05-13,1.2536,1.2536,1.2536,1.2564,100,30.8
2008-05-14,1.2169,1.2169,1.2169,1.2197,200,29.9
2008-05-15,1.1844,1.1844,1.1844,1.1871,200,29.1
2008-05-16,1.1518,1.1803,1.1518,1.1544,13800,28.3
2008-05-19,1.1233,1.1233,1.1233,1.1259,8700,27.6
2008-05-20,1.0908,1.0908,1.0908,1.0932,500,26.8
2008-05-21,1.0582,1.0582,1.0582,1.0606,100,26
2008-05-22,1.0297,1.0297,1.0297,1.0321,100,25.3
2008-05-23,1.0012,1.0012,1.0012,1.0035,400,24.6
2008-05-26,0.9727,0.9727,0.9727,0.9749,100,23.9
2008-05-27,0.9442,0.9442,0.9442,0.9464,100,23.2
2008-05-28,0.9198,0.9442,0.9198,0.9464,29700,23.2
2008-05-29,0.9198,0.9361,0.8954,0.926,26500,22.7
2008-05-30,0.8913,0.932,0.8832,0.8852,57400,21.7
2008-06-02,0.8873,0.8873,0.8791,0.8852,5500,21.7
2008-06-03,0.8588,0.8588,0.8588,0.8607,500,21.1
2008-06-04,0.8344,0.8344,0.8344,0.8362,1200,20.5
2008-06-05,0.8099,0.8099,0.8099,0.8118,2000,19.9
2008-06-06,0.7896,0.7896,0.7896,0.7914,500,19.4
2008-06-09,0.7692,0.7692,0.7692,0.771,600,18.9
2008-06-10,0.7489,0.7896,0.7489,0.7914,12000,19.4
2008-06-11,0.7733,0.7733,0.7733,0.7751,3900,19
2008-06-12,0.7937,0.7937,0.7937,0.7955,2000,19.5
2008-06-13,0.814,0.814,0.814,0.8159,100,20
2008-06-16,0.8384,0.8384,0.8384,0.8403,300,20.6
2008-06-17,0.8628,0.8628,0.8628,0.8648,300,21.2
2008-06-18,0.8873,0.8873,0.8384,0.8403,36600,20.6
2008-06-19,0.8303,0.8303,0.8303,0.8322,12600,20.4
2008-06-20,0.7977,0.8547,0.7977,0.8322,7700,20.4
2008-06-23,0.8221,0.8344,0.8221,0.8362,5300,20.5
