date,open,high,low,close,volume,close_raw
2020-07-01,10.3742,14.0933,10.3742,14.0933,120500,14.4
2020-07-02,10.6678,12.2338,10.6678,12.2338,102800,12.5
2020-07-03,13.994,13.994,13.994,13.9954,113200,14.3
2020-07-06,16.049,16.049,11.9389,12.3316,108600,12.6
2020-07-07,10.8636,10.8636,10.57,10.57,29600,10.8
2020-07-08,9.101,9.101,9.101,9.1019,5000,9.3
2020-07-09,7.8288,10.3732,7.8288,10.3742,46564,10.6
2020-07-10,8.8083,9.2977,7.8296,8.8083,20008,9
2020-07-13,7.8296,8.7104,7.2424,7.2424,39000,7.4
2020-07-14,7.2424,7.3403,6.753,7.2424,36670,7.4
2020-07-15,7.8288,7.8288,6.8502,7.1445,45920,7.3
2020-07-16,7.0466,7.536,7.0466,7.536,36050,7.7
2020-07-17,7.0466,7.2424,6.9488,7.2424,38700,7.4
2020-07-20,7.2424,7.2424,7.1445,7.2424,32430,7.4
2020-07-21,7.2424,7.3403,6.9488,7.2424,36608,7.4
2020-07-22,7.1445,7.536,7.1445,7.536,40405,7.7
2020-07-23,7.2424,7.2424,7.1445,7.2424,25215,7.4
2020-07-24,7.3395,7.3395,6.9481,7.0466,28800,7.2
2020-07-27,6.8502,7.1438,6.1652,7.1445,24415,7.3
2020-07-28,5.8722,6.6552,5.8722,6.6552,25110,6.8
2020-07-29,5.9701,6.3616,5.9701,6.3616,31400,6.5
2020-07-30,6.2637,6.2637,6.2637,6.2637,13200,6.4
2020-07-31,6.3616,6.3616,6.1658,6.3616,25000,6.5
2020-08-03,6.2637,6.3616,6.2637,6.2637,25320,6.4
2020-08-04,6.3609,6.4588,6.3609,6.4594,1800,6.6
2020-08-05,6.3616,6.6552,6.3616,6.6552,300,6.8
2020-08-06,7.5352,7.5352,6.4588,6.753,5300,6.9
2020-08-07,6.5566,7.0459,6.5566,7.0466,13000,7.2
2020-08-10,6.6545,6.7523,6.6545,6.753,5110,6.9
2020-08-11,6.3609,6.7523,6.3609,6.753,15800,6.9
2020-08-12,6.3616,6.5573,6.3616,6.5573,17400,6.7
2020-08-13,6.5573,6.5573,6.5573,6.5573,16000,6.7
2020-08-14,6.5566,6.7523,6.5566,6.753,20710,6.9
2020-08-17,6.4594,6.6552,6.3616,6.6552,7600,6.8
2020-08-18,6.4588,6.4588,6.4588,6.4594,2000,6.6
2020-08-19,6.4588,6.4588,6.3609,6.4594,11500,6.6
2020-08-20,6.4594,6.753,6.4594,6.5573,18700,6.7
2020-08-21,6.5573,6.6552,6.5573,6.6552,15200,6.8
2020-08-24,6.6552,6.753,6.6552,6.6552,14900,6.8
