date,open,high,low,close,volume,close_raw
2019-05-29,14.092,14.4308,13.8549,13.8897,2018050,20.5
2019-05-30,13.8888,14.0243,13.8888,13.8897,358940,20.5
2019-05-31,13.8888,13.9904,13.5839,13.5848,724470,20.05
2019-06-03,13.4145,13.55,13.2113,13.4832,1625780,19.9
2019-06-04,13.55,13.6178,13.4484,13.5509,791440,20
2019-06-05,13.6178,13.6178,13.3468,13.3477,577390,19.7
2019-06-06,13.3129,13.55,13.3129,13.3477,518450,19.7
2019-06-07,13.4145,13.9565,13.3806,13.9575,1087110,20.6
2019-06-10,14.0243,14.1259,13.821,13.8897,598030,20.5
2019-06-11,13.8888,14.092,13.7533,13.8897,570190,20.5
2019-06-12,13.9565,13.9565,13.821,13.8558,444260,20.45
2019-06-13,13.8549,13.8549,13.55,13.5848,293890,20.05
2019-06-14,13.6178,13.821,13.55,13.6187,313190,20.1
2019-06-17,13.7194,13.7194,13.3806,13.5509,628990,20
2019-06-18,13.55,13.6855,13.55,13.6864,585840,20.2
2019-06-19,13.6855,13.821,13.6855,13.6864,290130,20.2
2019-06-20,13.7871,14.1598,13.7194,14.1607,2331420,20.9
2019-06-21,14.1936,14.4308,14.092,14.1946,1516310,20.95
2019-06-24,14.2275,14.3291,14.092,14.1607,451260,20.9
2019-06-25,14.092,14.1598,13.9904,14.1607,677380,20.9
2019-06-26,13.8888,14.1598,13.8888,13.8897,958650,20.5
2019-06-27,13.55,13.8888,13.5161,13.5509,1822990,20
2019-06-28,13.7871,13.821,13.5839,13.7881,886270,20.35
2019-07-01,13.7533,13.8888,13.7533,13.7542,448520,20.3
2019-07-02,13.7871,13.8888,13.6855,13.7881,553760,20.35
2019-07-03,13.8549,13.8549,13.6178,13.6187,537840,20.1
2019-07-04,13.8549,13.8888,13.6178,13.8897,552580,20.5
2019-07-05,13.9565,13.9565,13.821,13.822,372800,20.4
2019-07-08,13.821,13.9565,13.7871,13.9575,764920,20.6
2019-07-09,14.0243,14.5663,13.9904,14.5673,3003790,21.5
2019-07-10,14.5663,14.7356,14.4646,14.5673,1624770,21.5
2019-07-11,14.5663,14.5663,14.4308,14.5334,850380,21.45
2019-07-12,14.634,14.634,14.3291,14.3979,1098720,21.25
2019-07-15,14.634,14.6001,14.4646,14.5334,1033230,21.45
2019-07-16,14.4985,14.5324,14.4646,14.4995,963950,21.4
2019-07-17,14.8536,14.8536,14.3561,14.3569,1039600,20.2
2019-07-18,14.2851,14.5338,13.8587,14.3214,780480,20.15
2019-07-19,14.2851,14.5338,14.3206,14.4991,442800,20.4
2019-07-22,14.4983,14.4983,14.3206,14.3569,299030,20.2
2019-07-23,14.4627,14.4627,14.2851,14.3214,370080,20.15
2019-07-24,14.3206,14.3917,14.2495,14.3569,374540,20.2
2019-07-25,14.3561,14.6404,14.2851,14.5701,961510,20.5
2019-07-26,14.5694,14.5694,14.4272,14.428,441240,20.3
2019-07-29,14.4272,14.4272,14.0008,14.0015,827890,19.7
2019-07-30,13.8587,14.0008,13.6099,13.6106,947690,19.15
2019-07-31,13.6099,13.752,13.4678,13.7528,440710,19.35
2019-08-01,13.5744,13.7876,13.5388,13.5751,400950,19.1
2019-08-02,13.5033,13.7165,13.4322,13.5751,510830,19.1
2019-08-05,13.5744,13.681,13.3612,13.3974,614400,18.85
2019-08-06,13.219,14.0008,13.148,13.7883,965350,19.4
2019-08-07,13.9297,14.0719,13.681,13.8594,506030,19.5
2019-08-08,13.681,13.8231,13.6099,13.7883,286650,19.4
