date,open,high,low,close,volume,close_raw
2020-11-10,7.5378,7.56,7.2718,7.2731,1745460,32.8
2020-11-11,7.3161,7.3272,7.2496,7.2509,834380,32.7
2020-11-12,7.2274,7.3161,7.2274,7.2842,908760,32.85
2020-11-13,7.3161,7.3161,7.2607,7.3064,1097190,32.95
2020-11-16,7.3161,7.3272,7.2385,7.2842,866930,32.85
2020-11-17,7.2828,7.3161,7.2718,7.2953,1185510,32.9
2020-11-18,7.2274,7.305,7.2274,7.3064,963360,32.95
2020-11-19,7.6342,7.6342,7.4746,7.5306,1224460,28.3
2020-11-20,7.5544,7.5544,7.4746,7.504,422520,28.2
2020-11-23,7.504,7.504,7.3178,7.4375,493780,27.95
2020-11-24,7.4375,7.4508,7.3178,7.4375,601450,27.95
2020-11-25,7.4508,7.4508,7.3976,7.4508,497760,28
2020-11-26,7.4375,7.4508,7.3577,7.4508,518170,28
2020-11-27,7.4375,7.4508,7.4109,7.4508,356110,28
2020-11-30,7.4508,7.4508,7.3444,7.3444,313150,27.6
2020-12-01,7.2379,7.85,7.2379,7.85,3254230,29.5
2020-12-02,8.0096,8.3955,7.983,8.3955,1697450,31.55
2020-12-03,8.8478,8.9809,8.6216,8.6217,1280960,32.4
2020-12-04,8.5152,8.7813,8.2624,8.6749,1539490,32.6
2020-12-07,8.5386,8.7248,8.4854,8.5418,734790,32.1
2020-12-08,8.5418,8.8744,8.5019,8.6749,897840,32.6
2020-12-09,8.7248,8.7381,8.5652,8.5684,821210,32.2
2020-12-10,8.5684,8.6216,8.3955,8.4354,789190,31.7
2020-12-11,8.4322,8.645,8.3524,8.5418,968860,32.1
2020-12-14,8.5418,8.6216,8.4753,8.4753,778310,31.85
2020-12-15,8.462,8.7281,8.4354,8.5019,720170,31.95
2020-12-16,8.5019,8.6483,8.4886,8.6217,794690,32.4
2020-12-17,8.6483,8.9144,8.5152,8.7281,2055240,32.8
2020-12-18,8.778,8.8844,8.6849,8.8345,585030,33.2
2020-12-21,8.8345,9.0474,8.8345,8.9809,639870,33.75
2020-12-22,8.9144,8.9809,8.8212,8.9011,678900,33.45
2020-12-23,8.8744,8.901,8.7148,8.7148,845870,32.75
2020-12-24,8.7115,8.778,8.4588,8.5418,789260,32.1
2020-12-25,8.5152,8.7547,8.4886,8.7281,446980,32.8
2020-12-28,8.8345,8.8877,8.6349,8.7148,871930,32.75
2020-12-29,8.7148,8.7547,8.6749,8.7547,360210,32.9
2020-12-30,8.7547,8.9144,8.7547,8.7813,860320,33
2020-12-31,8.7281,8.8079,8.6216,8.6217,1390750,32.4
2021-01-04,8.7414,8.8345,8.7015,8.7813,946800,33
2021-01-05,8.778,9.3898,8.778,9.3933,2145100,35.3
2021-01-06,9.5796,9.7792,9.3933,9.4067,711000,35.35
2021-01-07,9.3933,9.3933,9.2071,9.3135,1036700,35
2021-01-08,9.3135,9.4466,9.247,9.247,1291700,34.75
2021-01-11,9.3135,9.3135,9.1538,9.1672,1011300,34.45
2021-01-12,9.074,9.2869,9.074,9.1672,605200,34.45
2021-01-13,9.2869,9.3667,9.2204,9.2337,1052400,34.7
2021-01-14,9.2435,9.443,9.2435,9.3667,818400,35.2
2021-01-15,9.4466,9.5663,9.4466,9.4865,824200,35.65
2021-01-18,9.4696,9.5228,9.3898,9.3933,661800,35.3
2021-01-19,9.3135,9.3933,8.7414,8.7813,1032900,33
2021-01-20,8.7813,8.9144,8.1826,8.768,850500,32.95
2021-01-21,8.911,9.0706,8.778,9.074,606100,34.1
2021-01-22,9.1238,9.1238,9.044,9.0873,646900,34.15
2021-01-25,9.0972,9.0972,8.9908,9.0873,411700,34.15
2021-01-26,9.0839,9.0839,8.778,8.8079,500000,33.1
2021-01-27,8.7813,9.0208,8.7281,8.9011,842600,33.45
2021-01-28,8.2992,8.778,8.2859,8.289,1079800,31.15
2021-01-29,7.7701,8.5152,7.7701,8.4088,457900,31.6
