date,open,high,low,close,volume,close_raw
2007-09-19,2.425,2.425,2.425,2.4303,307840,125
2007-09-20,2.5414,2.5414,2.522,2.5469,794790,131
2007-09-21,2.6578,2.6578,2.619,2.6636,1224660,137
2007-09-24,2.7742,2.7742,2.7742,2.7802,551130,143
2007-09-25,2.91,2.91,2.8712,2.9163,962110,150
2007-09-26,3.0458,3.0458,2.9876,3.0524,781900,157
2007-09-27,3.007,3.0458,2.91,2.9163,562590,150
2007-09-28,2.9876,3.0458,2.9682,3.0524,833570,157
2007-10-01,3.1816,3.1816,3.1622,3.1885,781020,164
2007-10-02,3.3368,3.3368,3.2592,3.3441,887990,172
2007-10-03,3.492,3.492,3.4726,3.4996,1027610,180
2007-10-04,3.6666,3.6666,3.6666,3.6746,1206640,189
2007-10-05,3.8412,3.8412,3.6666,3.7523,1116040,193
2007-10-08,3.7248,3.8218,3.6666,3.7523,949940,193
2007-10-09,3.6666,3.686,3.5696,3.5774,527100,184
2007-10-10,3.6278,3.6472,3.5502,3.5774,599460,184
2007-10-11,3.5502,3.5502,3.4726,3.4801,362850,179
2007-10-12,3.4532,3.492,3.4338,3.4996,527800,180
2007-10-15,3.492,3.589,3.492,3.5968,326950,185
2007-10-16,3.589,3.589,3.5114,3.519,236970,181
2007-10-17,3.4726,3.492,3.4532,3.4607,272570,178
2007-10-18,3.4144,3.5308,3.395,3.4024,398500,175
2007-10-19,3.4726,3.5502,3.4532,3.5579,525830,183
2007-10-22,3.492,3.492,3.4532,3.4996,280000,180
2007-10-23,3.4144,3.4532,3.395,3.4024,192730,175
2007-10-24,3.395,3.492,3.395,3.4413,182750,177
2007-10-25,3.4338,3.4532,3.3756,3.3829,163650,174
2007-10-26,3.3562,3.3562,3.3174,3.3246,212630,171
2007-10-29,3.1622,3.2398,3.1622,3.1691,457260,163
2007-10-30,3.1622,3.2204,3.1622,3.1885,146250,164
2007-10-31,3.1816,3.201,3.1428,3.1496,140770,162
2007-11-01,3.1622,3.1816,3.0652,3.1302,195380,161
2007-11-02,3.104,3.104,3.0458,3.0524,197100,157
2007-11-05,3.1816,3.1816,3.1816,3.1885,66650,164
2007-11-06,3.3368,3.3368,3.3368,3.3441,70540,172
2007-11-07,3.2204,3.298,3.2204,3.2274,444180,166
2007-11-08,3.201,3.201,3.1428,3.1496,170020,162
2007-11-09,3.1428,3.2592,3.1428,3.2663,316190,168
2007-11-12,3.201,3.2204,3.1622,3.1691,96340,163
2007-11-13,3.1234,3.1234,3.007,3.0135,167790,155
2007-11-14,3.104,3.1428,3.0846,3.0913,296610,159
2007-11-15,3.0846,3.104,3.0652,3.1107,138080,160
2007-11-16,3.104,3.104,3.0652,3.0913,93360,159
2007-11-19,3.104,3.104,3.0846,3.0913,103860,159
2007-11-20,3.0458,3.0652,3.0264,3.0524,73830,157
2007-11-21,2.9682,3.007,2.9488,3.0135,193670,155
2007-11-22,3.0458,3.0652,3.007,3.0135,60070,155
2007-11-23,3.1428,3.1428,3.1428,3.1496,122430,162
2007-11-26,3.298,3.298,3.201,3.3052,594620,170
2007-11-27,3.298,3.298,3.2204,3.2857,359580,169
2007-11-28,3.2398,3.2592,3.201,3.208,237300,165
