date,open,high,low,close,volume,close_raw
2009-12-29,2.652,2.652,2.21,2.5034,96300,28.3
2009-12-30,2.3868,2.5017,2.3338,2.3353,74500,26.4
2009-12-31,2.3868,2.3868,2.21,2.2114,86600,25
2010-01-04,2.2365,2.3868,2.1216,2.3884,177700,27
2010-01-05,2.4222,2.4222,2.4222,2.4237,61300,27.4
2010-01-06,2.5901,2.5901,2.4222,2.5918,243500,29.3
2010-01-07,2.7316,2.7316,2.6343,2.7333,95900,30.9
2010-01-08,2.8995,2.8995,2.652,2.7156,349400,30.7
2010-01-11,2.8995,2.8995,2.6343,2.6803,163000,30.3
2010-01-12,2.652,2.652,2.484,2.4857,127700,28.1
2010-01-13,2.6078,2.6078,2.3426,2.5387,136900,28.7
2010-01-14,2.5548,2.5636,2.4752,2.4857,42400,28.1
2010-01-15,2.3956,2.4752,2.3426,2.353,40100,26.6
2010-01-18,2.2984,2.2984,2.2012,2.2026,60500,24.9
2010-01-19,2.2542,2.2984,2.21,2.2468,23300,25.4
2010-01-20,2.2542,2.2984,2.1039,2.1141,52700,23.9
2010-01-21,2.21,2.2277,1.9978,2.1407,18600,24.2
2010-01-22,1.9978,2.1746,1.9978,2.123,15700,24
2010-01-25,2.2012,2.2012,2.0332,2.1407,29700,24.2
2010-01-26,2.21,2.263,2.21,2.2645,30900,25.6
2010-01-27,2.3603,2.3603,2.2542,2.2645,11900,25.6
2010-01-28,2.263,2.263,2.1216,2.1318,31500,24.1
2010-01-29,2.2542,2.2719,2.1216,2.123,10900,24
2010-02-01,2.2188,2.2188,2.0686,2.0788,61900,23.5
2010-02-02,2.21,2.21,1.9978,2.008,21700,22.7
2010-02-03,1.9978,1.9978,1.9183,1.9461,66500,22
2010-02-04,2.0332,2.0332,1.8741,1.9549,45800,22.1
2010-02-05,1.9625,2.0244,1.9094,2.0257,17800,22.9
2010-02-08,1.9448,1.9448,1.8564,1.8576,33300,21
2010-02-09,1.9713,1.989,1.7415,1.7957,22300,20.3
2010-02-10,1.8476,1.8829,1.821,1.8576,3800,21
