date,open,high,low,close,volume,close_raw
2017-02-28,46.6884,46.6884,46.6884,46.6929,12030,108
2017-03-01,49.9307,49.9307,49.9307,49.9355,99100,115.5
2017-03-02,53.3891,53.3891,53.3891,53.3942,190550,123.5
2017-03-03,57.1068,57.1068,53.3891,57.1124,2750050,132.1
2017-03-06,57.9282,59.6574,57.1068,59.4038,1155300,137.4
2017-03-07,59.398,59.4413,56.2422,57.2853,901520,132.5
2017-03-08,56.2422,57.2798,54.686,56.2044,916200,130
2017-03-09,55.637,56.6313,55.637,56.4639,635920,130.6
2017-03-10,56.6313,56.6313,55.6802,56.6368,436480,131
2017-03-13,56.8475,57.0204,56.3287,56.6368,566660,131
2017-03-14,56.3719,56.5448,55.9829,55.9883,410150,129.5
2017-03-15,55.7667,55.9829,52.3083,52.5295,662540,121.5
2017-03-16,52.5245,52.7406,50.363,50.3678,477810,116.5
2017-03-17,49.9739,52.3083,48.8499,50.8002,496260,117.5
2017-03-20,51.876,54.3401,51.2276,54.3454,307470,125.7
2017-03-21,54.3401,56.1125,54.2104,54.2157,348100,125.4
2017-03-22,54.0375,54.4266,53.3458,54.0427,380360,125
2017-03-23,54.0375,55.1183,53.9078,54.4751,402040,126
2017-03-24,54.9021,55.7235,54.9021,55.3398,557630,128
2017-03-27,55.5506,56.6313,55.5506,56.1612,454930,129.9
2017-03-28,56.6313,57.7985,56.199,56.5936,475680,130.9
2017-03-29,57.0204,57.0204,56.199,56.9394,426200,131.7
2017-03-30,57.0636,57.0636,55.3344,55.3398,363980,128
2017-03-31,56.1558,56.1558,55.3344,55.383,318710,128.1
2017-04-03,55.3344,55.9829,54.3833,54.3886,282490,125.8
2017-04-04,55.7667,56.1558,54.513,55.3398,459220,128
2017-04-05,55.0318,56.2422,54.686,55.6424,596140,128.7
2017-04-07,55.8099,55.8532,55.637,55.8153,350370,129.1
2017-04-10,55.8099,56.8475,55.7235,56.5503,765530,130.8
2017-04-11,56.6313,57.0636,56.5881,56.9827,206460,131.8
2017-04-12,56.6745,58.1876,56.6745,57.977,458390,134.1
2017-04-13,57.9282,58.1011,57.8417,58.0203,278260,134.2
2017-04-14,58.0579,58.1011,56.6313,57.5879,335130,133.2
2017-04-17,56.8475,57.8417,56.199,56.9394,227200,131.7
2017-04-18,56.2422,56.9771,55.3344,55.7721,263970,129
2017-04-19,55.7667,56.8475,55.2912,56.8097,255600,131.4
2017-04-20,56.8042,56.9771,55.9829,56.8962,313760,131.6
2017-04-21,57.0204,57.0204,56.5016,56.8097,218910,131.4
2017-04-24,56.8042,56.9771,55.9396,55.945,229020,129.4
