date,open,high,low,close,volume,close_raw
2006-01-19,2.0246,2.0246,2.0246,2.025,109350,53
2006-01-20,2.101,2.101,2.0628,2.0632,157840,54
2006-01-23,2.0628,2.0628,2.0055,2.0059,81400,52.5
2006-01-24,2.0055,2.0055,1.9864,1.9868,66000,52
2006-01-25,1.9864,2.0246,1.9864,2.025,57220,53
2006-01-26,2.0437,2.0437,2.0437,2.0441,18750,53.5
2006-01-27,2.0246,2.0246,2.0246,2.025,25630,53
2006-02-06,2.0246,2.0246,2.0246,2.025,25190,53
2006-02-07,2.0628,2.0628,2.0628,2.0632,138720,54
2006-02-08,2.101,2.101,2.101,2.1015,159300,55
2006-02-09,2.101,2.101,2.101,2.1015,153580,55
2006-02-10,2.0628,2.101,2.0628,2.1015,128650,55
2006-02-13,2.101,2.101,2.101,2.1015,153670,55
2006-02-14,2.101,2.101,2.101,2.1015,113260,55
2006-02-15,2.101,2.101,2.0819,2.0824,132600,54.5
2006-02-16,2.101,2.101,2.101,2.1015,184290,55
2006-02-17,2.1392,2.1965,2.1392,2.197,128090,57.5
2006-02-20,2.292,2.292,2.292,2.2925,62050,60
2006-02-21,2.4066,2.4066,2.4066,2.4071,101970,63
2006-02-22,2.483,2.483,2.4066,2.4071,264890,63
2006-02-23,2.4448,2.4448,2.4448,2.4453,130490,64
2006-02-24,2.4639,2.4639,2.4639,2.4644,90480,64.5
2006-02-27,2.483,2.5021,2.483,2.5026,162140,65.5
2006-02-28,2.5212,2.6167,2.5212,2.6173,164820,68.5
2006-03-01,2.7313,2.7313,2.7122,2.7128,164480,71
2006-03-02,2.7313,2.7504,2.7313,2.751,222520,72
2006-03-03,2.7122,2.7122,2.6167,2.6173,227880,68.5
2006-03-06,2.5976,2.674,2.5976,2.6746,200050,70
2006-03-07,2.674,2.674,2.674,2.6746,129210,70
2006-03-08,2.6358,2.6358,2.5976,2.5982,163660,68
2006-03-09,2.6358,2.6358,2.6167,2.6173,206310,68.5
2006-03-10,2.6358,2.6358,2.6167,2.6173,125760,68.5
2006-03-13,2.674,2.674,2.674,2.6746,257130,70
2006-03-14,2.6931,2.7122,2.6931,2.7128,223540,71
2006-03-15,2.7122,2.7122,2.6358,2.6364,201720,69
2006-03-16,2.7122,2.7122,2.674,2.6746,171110,70
2006-03-17,2.674,2.7122,2.674,2.7128,189800,71
2006-03-20,2.7122,2.7504,2.7122,2.751,320020,72
2006-03-21,2.7886,2.8077,2.7886,2.8083,266040,73.5
2006-03-22,2.865,2.865,2.8077,2.8083,173010,73.5
2006-03-23,2.8268,2.8459,2.8268,2.8465,181330,74.5
2006-03-24,2.8459,2.8459,2.8268,2.8274,137520,74
2006-03-27,2.8459,2.8459,2.8459,2.8465,167410,74.5
2006-03-28,2.8459,2.8459,2.8459,2.8465,130790,74.5
2006-03-29,2.865,2.9223,2.865,2.9229,284640,76.5
2006-03-30,3.056,3.056,3.056,3.0567,184200,80
2006-03-31,3.1324,3.1324,3.0942,3.0949,171770,81
2006-04-03,3.2088,3.247,3.2088,3.2477,259620,85
2006-04-04,3.3616,3.3616,3.0942,3.0949,242500,81
2006-04-05,3.247,3.247,3.247,3.2477,191790,85
2006-04-06,3.3234,3.3234,3.3234,3.3241,234410,87
2006-04-07,3.3998,3.438,3.3998,3.4387,276750,90
2006-04-10,3.4953,3.4953,3.3998,3.4005,190930,89
2006-04-11,3.3616,3.3616,3.3043,3.305,152780,86.5
2006-04-12,3.3616,3.3998,3.3616,3.4005,134540,89
2006-04-13,3.438,3.4762,3.438,3.477,182010,91
2006-04-14,3.4762,3.4762,3.438,3.4387,135270,90
2006-04-17,3.438,3.438,3.438,3.4387,162080,90
2006-04-18,3.4762,3.4762,3.4762,3.477,183230,91
2006-04-19,3.5144,3.5144,3.4762,3.477,195960,91
2006-04-20,3.4762,3.4762,3.4762,3.477,130410,91
2006-04-21,3.6481,3.6481,3.6481,3.6489,378460,95.5
2006-04-24,3.82,3.82,3.82,3.8208,202190,100
2006-04-25,3.9728,3.9728,3.8964,3.8972,387490,102
2006-04-26,3.7436,3.7436,3.7436,3.7444,282180,98
2006-04-27,3.7436,3.7436,3.5717,3.5725,371490,93.5
2006-04-28,3.5526,3.5717,3.5526,3.5725,420830,93.5
2006-05-03,3.7054,3.7054,3.7054,3.7062,132570,97
2006-05-04,3.6672,3.6672,3.629,3.6298,217800,95
2006-05-05,3.629,3.629,3.5526,3.5534,272950,93
2006-05-08,3.5526,3.5526,3.438,3.4387,217830,90
2006-05-09,3.2661,3.2661,3.2661,3.2668,421900,85.5
2006-05-10,3.1133,3.1133,3.1133,3.114,360820,81.5
2006-05-11,3.2661,3.2661,3.2661,3.2668,393040,85.5
2006-05-12,3.4189,3.4189,3.4189,3.4196,60420,89.5
2006-05-15,3.5717,3.5717,3.5717,3.5725,133080,93.5
2006-05-16,3.4762,3.4762,3.3998,3.4005,340760,89
2006-05-17,3.4762,3.4762,3.4571,3.4579,191180,90.5
2006-05-18,3.4189,3.4189,3.4189,3.4196,112310,89.5
2006-05-19,3.3616,3.3998,3.3616,3.4005,137010,89
2006-05-22,3.3998,3.3998,3.3616,3.3623,122780,88
2006-05-23,3.2852,3.2852,3.2852,3.2859,122020,86
2006-05-24,3.3616,3.438,3.3616,3.4387,122100,90
2006-05-25,3.3616,3.3616,3.3234,3.3241,127620,87
2006-05-26,3.3616,3.3616,3.3234,3.3623,105180,88
2006-05-29,3.3234,3.3234,3.3234,3.3241,105830,87
2006-05-30,3.2852,3.2852,3.2852,3.2859,227310,86
2006-05-31,3.3616,3.3998,3.3616,3.4005,196540,89
2006-06-01,3.3998,3.3998,3.3616,3.3623,61330,88
2006-06-02,3.3616,3.3616,3.3616,3.3623,63670,88
2006-06-05,3.3998,3.3998,3.3998,3.4005,90560,89
2006-06-06,3.4189,3.4189,3.3998,3.4005,117690,89
2006-06-07,3.3807,3.3807,3.3616,3.3623,67020,88
2006-06-08,3.3616,3.3807,3.3616,3.3814,70020,88.5
2006-06-09,3.4189,3.4189,3.3998,3.4005,140600,89
2006-06-12,3.3616,3.3616,3.3616,3.3623,29670,88
2006-06-13,3.3616,3.3616,3.3425,3.3432,85330,87.5
2006-06-14,3.3425,3.3425,3.3234,3.3241,62490,87
2006-06-15,3.3043,3.3043,3.3043,3.305,54860,86.5
2006-06-16,3.247,3.247,3.2088,3.2095,215160,84
2006-06-19,3.1897,3.1897,3.1706,3.1713,107900,83
2006-06-20,3.1515,3.1515,3.056,3.0567,143160,80
2006-06-21,2.9796,2.9796,2.9414,2.942,590790,77
2006-06-22,3.056,3.0751,3.056,3.0758,195510,80.5
2006-06-23,3.1133,3.1133,3.056,3.0758,168260,80.5
2006-06-26,3.0369,3.056,3.0369,3.0376,105820,79.5
2006-06-27,2.9987,3.0178,2.9987,3.0185,134560,79
2006-06-28,3.0178,3.056,3.0178,3.0567,93070,80
2006-06-29,3.056,3.0942,3.056,3.0949,178890,81
2006-06-30,3.0942,3.0942,3.0751,3.0949,364050,81
2006-07-03,3.056,3.0751,3.056,3.0567,53410,80
2006-07-04,3.0369,3.0369,3.0178,3.0185,55320,79
2006-07-05,3.0178,3.0178,3.0178,3.0185,38160,79
2006-07-06,2.9987,3.056,2.9987,3.0567,43990,80
2006-07-07,3.056,3.056,3.056,3.0567,61580,80
2006-07-10,3.056,3.056,3.0178,3.0185,50220,79
2006-07-11,3.0178,3.0369,3.0178,3.0185,74950,79
2006-07-12,3.0178,3.0178,2.9987,2.9994,55640,78.5
2006-07-13,2.9987,2.9987,2.9987,2.9994,68140,78.5
2006-07-14,2.9987,2.9987,2.9987,2.9994,43290,78.5
2006-07-17,2.9032,2.9414,2.9032,2.942,49640,77
2006-07-18,2.9414,2.9414,2.8841,2.8847,65390,75.5
